@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0026302896,SCOPUS_ID:0026302896,2-s2.0-0026302896,Calling song displacement in a zone of overlap and hybridization,Benedix J.H.,Evolution,00143820,45,8,1751-1759,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02685.x,"The ground crickets Allonemobius fasciatus and A. socius meet in a mosaic zone of overlap and hybridization stretching from the East Coast to at least Illinois. No evidence of calling song displacement was found in A. socius males from populations within the zone of overlap, but A. fasciatus displayed calling song displacement in three populations. Results are consistent with the hypothesis that the selective pressure exerted by the challenge from a related species is frequency dependent. Observed shifts in calling song are strongly suggestive of reproductive character displacement. -from Authors",28,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,15
true,https://api.elsevier.com/content/abstract/scopus_id/0026302761,SCOPUS_ID:0026302761,2-s2.0-0026302761,Why are clutch sizes more variable in some species than in others?,Shine R.,Evolution,00143820,45,7,1696-1706,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02675.x,"In lizards, virtually invariant clutch sizes have evolved independently in at least 23 lineages in seven families. Reduced variance in clutch size may arise either as an adaptation (because females with less variable clutch sizes have higher fitness) or as an indirect by-product of selection on other life-history characteristics. Comparative data on Australian scincid lizards indicate that variance in clutch sizes is lowest among species with low mean clutch sizes, small body sizes and a low variance in body sizes of adult females. Phylogenetic analysis shows that evolutionary decreases in the variance of clutch size have accompanied decreases in mean clutch sizes and decreases in the variance of adult female body sizes. Tropical lizards may also exhibit lower variance in clutch size. These characteristics may be allometrically tied to small body size. Exceptions to the general patterns (especially, lizard species with invariant clutch sizes but large body sizes) may be due to loss of genetic variance for clutch sizes in lineages that have passed through a ""bottleneck' of small body sizes and hence, low variance in clutch sizes. -from Authors",67,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,16
true,https://api.elsevier.com/content/abstract/scopus_id/0026302627,SCOPUS_ID:0026302627,2-s2.0-0026302627,Evolution of generalists and specialists in spatially heterogeneous environments,Van Tienderen P.,Evolution,00143820,45,6,1317-1331,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02638.x,"Under soft selection (eg for juvenile or male-reproductive traits) the population evolves towards the single peak in the adaptive landscape. At equilibrium, the population mean phenotype is a compromise between the reaction that would be optimal in both habitats and the reaction with the lowest cost. The equilibrium is closer to the optimal phenotype in the most frequent habitat, or the habitat in which selection on the focal trait is stronger. A specialist genotype always has a lower fitness than a generalist, even when the costs are high. Under hard selection (eg for adult or female-reproductive traits) the adaptive landscape can have one, two, or three peaks; a peak represents a population specialized to one habitat, equally adapted to both habitats, or an intermediate. One peak is always found when the reaction with the lowest cost is not much different from the optimal reaction, and this situation is similar to the soft selection case. Multiple peaks are present when the costs become higher, and the course of evolution is then determined by initial conditions, and the region of attraction of each peak. This implies that the evolution of specialization and phenotypic plasticity may not only depend on selection regimes within habitats, but also on contingent, historical events (migration, mutation). -from Author",425,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,17
true,https://api.elsevier.com/content/abstract/scopus_id/0026302576,SCOPUS_ID:0026302576,2-s2.0-0026302576,The potential for genetic exchange by transformation within a natural population of Bacillus subtilis,Cohan F.M.,Evolution,00143820,45,6,1393-1421,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02644.x,"Within a Mojave Desert population of Bacillus subtilis, almost all strains surveyed were competent for transformation, and the strains varied over almost three orders of magnitude in their levels of competence. This high degree of variation suggests that natural selection toward an optimal level of competence is, at most, very weak in this population. -from Authors",44,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,18
true,https://api.elsevier.com/content/abstract/scopus_id/0026301185,SCOPUS_ID:0026301185,2-s2.0-0026301185,Selection of benevolence in a host-parasite system,Bull J.J.,Evolution,00143820,45,4,875-882,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04356.x,"A paradigm for the evolution of cooperation between parasites and their hosts argues that the mode of parasite transmission is critical to the long-term maintenance of cooperation. Cooperation is not expected to be maintained whenever the chief mode of transmission is horizontal: a parasite's progeny infect hosts unrelated to their parent's host. Cooperation is expected to be maintained if the chief mode of transmission is vertical: a parasite's progeny infect only the parent's host or descendants of that host. This paradigm was tested using bacteria and filamentous bacteriophage. When cells harboring different variants of these phage were cultured so that no infectious spread was allowed, ensuring that all parasite transmission was vertical, selection favored the variants that were most benevolent to the host - those that least harmed host growth rate. By changing the culture conditions so that horizontal spread of the phage was allowed, the selective advantage of the benevolent forms was lost. -from Authors",253,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,19
true,https://api.elsevier.com/content/abstract/scopus_id/0026300920,SCOPUS_ID:0026300920,2-s2.0-0026300920,Multivariate analysis of selection in experimental populations derived from hybridization of two ecotypes of the annual plant Diodia teres W. (Rubiaceae),Jordan N.,Evolution,00143820,45,8,1760-1772,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02686.x,"Morphologically variable F2 genotypes derived from hybridization of coastal and inland ecotypes of Diodia teres were used to identify selection on morphological traits in the natural habitat of each ecotype. These ecotypes occur in very different habitats, and have evolved pronounced morphological differentiation. Directional selection favored traits of the native population at the coastal habitat, but less so at the inland habitat. Selection was of sufficient strength to create the observed morphological differences between ecotypes in 25-100 generations, given constant selection and sufficient genetic variation. Many traits entered into strong but evanescent interactions affecting particular components of fitness. -from Author",45,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,20
true,https://api.elsevier.com/content/abstract/scopus_id/0026299645,SCOPUS_ID:0026299645,2-s2.0-0026299645,Pemphigus revisited: changes in geographic variation but constancy in variability and covariation,Sokal R.R.,Evolution,00143820,45,7,1585-1605,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02665.x,"Samples of the gall-forming aphids Pemphigus populicaulis and P. populitransversus were re-collected at sites in E North America after 13-16 yr. Twenty-three morphometric characters of the galls, stem mothers, and alate fundatrigeniae were analyzed by univariate and multivariate methods. Varying proportions of the variance of each character are attributable to the four levels of variation (locality, year, year by locality interaction, and among galls). The year by locality interaction level generally has the greatest variation and is highly significant. Fluctuating interclonal competition among aphids on secondary hosts is believed to cause the marked heterogeneity in space and time among the aphids in the galls. -from Authors",7,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,21
true,https://api.elsevier.com/content/abstract/scopus_id/0026299627,SCOPUS_ID:0026299627,2-s2.0-0026299627,"Genetic consequences of rarity in Aster furcatus (Asteraceae), a threatened, self-incompatible plant",Les D.H.,Evolution,00143820,45,7,1641-1650,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02669.x,"Aster furcatus is a rare, self-incompatible plant with <50 known populations throughout its range. Self-incompatibility was continued by self- and cross-pollinations and by examining seed set in a small population composed of a single clonal genet. Variation was examined at 22 electrophoretic loci in 23 populations from Wisconsin, Illinois, Indiana, and Missouri. Except for two rare alleles found in single individuals in three populations, all loci but one were fixed for single alleles. -from Authors",78,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,22
true,https://api.elsevier.com/content/abstract/scopus_id/0026299370,SCOPUS_ID:0026299370,2-s2.0-0026299370,Measuring selection on a population of damselflies with a manipulated phenotype,Anholt B.R.,Evolution,00143820,45,5,1091-1106,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04377.x,"Measured selection on a population of adult Enallagma boreale whose phenotype had been modified by raising the larvae under various levels of food availability and density. Selection on body size (combination of skeletal and mass at emergence) and date of emergence was estimated with regard to survival from emergence to sexual maturity, and reproductive success after attaining sexual maturity. Female survival to sexual maturity was lower, and therefore opportunity for selection greater, than males in both years. Opportunity for selection due to reproductive success was greater for males. The total opportunity for selection was greater for males one year, for females the other. Survival to sexual maturity was related to mass gain between emergence and sexual maturity. Females gained more mass and survived less well than males. Females in the tails of the phenotype distribution were less likely to survive than those near the mean. Small males consistently gained more mass than large males and survived less well in one year. There was significant selection on timing of emergence, but early emerging females were more successful one year and late emerging males and females the other. Number of clutches laid by females was independent of body size. Small males may have had lower survival to sexual maturity but they had higher mating success than large males. -from Author",105,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,23
true,https://api.elsevier.com/content/abstract/scopus_id/0026296444,SCOPUS_ID:0026296444,2-s2.0-0026296444,The effect of a partial barrier on the movement of a hybrid zone,Kohlmann B.,Evolution,00143820,45,7,1606-1617,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02666.x,"Steps in gene frequencies will be pulled to partial barriers (areas of reduced gene flow) if they form within approximately a cline width of the partial barrier. The behavior of a hybrid zone between two chromosomal taxa of the acridine grasshopper Caledia captiva in SE Queensland conforms qualitatively with a model of altered gene flow patterns. Clines in four enzyme systems were analyzed for 1983 and 1986 along a transect across the hybrid zone. The clines have shifted towards an area of regenerating forest, while homozygote frequencies have increased at this point. This forest barrier has broken the continuity of the spatial distribution of C. captiva, forming population islands in part of the hybrid zone, reducing the amount of gene flow. The distance between the barrier and the original cline is approximately of the order of a cline width, so that they would be expected to interact. Historical information suggests that the secondary contact between the taxa occurred very recently (1844-1940), following land-clearing activities. -from Authors",20,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,24
true,https://api.elsevier.com/content/abstract/scopus_id/0026293437,SCOPUS_ID:0026293437,2-s2.0-0026293437,Whole- and part-flower self-pollination in Glycine clandestina and G. argyrea and the evolution of autogamy,Schoen D.J.,Evolution,00143820,45,7,1651-1664,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02670.x,"When the mating system is estimated using information on marker genotypes from chasmogamous fruits in two species of Glycine together with the whole- and part-flower selfing model, results indicate that the chasmogamous flowers in a subalpine population of G. clandestina underwent a significant level of whole-flower selfing, whereas in another, lower elevation population of G. clandestina and in a subtropical population of G. argyrea, they did not. This difference is thought to be related to the contrast in the variability of environmental conditions for insect-mediated pollination between the habitats. -from Authors",98,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,25
true,https://api.elsevier.com/content/abstract/scopus_id/0026293264,SCOPUS_ID:0026293264,2-s2.0-0026293264,Null models for the number of evolutionary steps in a character on a phylogenetic tree,Maddison W.P.,Evolution,00143820,45,5,1184-1197,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04385.x,Random trees and random characters can be used in null models for testing phylogenetic hypothesis. The authors consider three interpretations of random trees: that trees are selected from the set of all possible trees with equal probability; that trees are formed by random speciation or coalescence (equivalent); and that trees are formed by a series of random partitions of the taxa. -from Authors,224,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,26
true,https://api.elsevier.com/content/abstract/scopus_id/0026293261,SCOPUS_ID:0026293261,2-s2.0-0026293261,Methods for the analysis of comparative data in evolutionary biology,Lynch M.,Evolution,00143820,45,5,1065-1080,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04375.x,"Inferences regarding phylogenetic patterns and constraints on the evolution of characters often can be derived only from comparisons of extant species. If the phylogeny of these species is known, then the mean phenotypes of taxa can be partitioned into heritable phylogenetic effects and nonheritable residual components. Methods are presented for estimation of phylogeny-wide means of characters, the variance-covariance structure of the components of taxon-specific means, and the mean phenotypes of ancestral taxa. The covariance structure of phylogenetic effects provides a description of a macroevolutionary pattern, whereas that for the residual effects, when corrected for sampling error, is more closely related to a microevolutionary pattern. -from Author",243,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,27
true,https://api.elsevier.com/content/abstract/scopus_id/0026292710,SCOPUS_ID:0026292710,2-s2.0-0026292710,"Genetic variance for rate of population increase in natural populations of flour beetles, Tribolium spp.",Wade M.J.,Evolution,00143820,45,7,1574-1584,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02664.x,The genetic and ecological effects of population subdivision were investigated for two wild strains of Tribolium castaneum and two wild strains of T. confusum and compared with the effects of population subdivision on the synthetic laboratory strain of T. castaneum (c-SM). The observation of substantial heritable variation for fitness in natural populations is unexpected under additive theory and may be indicative of nonadditive genetic variance. -from Author,24,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,28
true,https://api.elsevier.com/content/abstract/scopus_id/0026292312,SCOPUS_ID:0026292312,2-s2.0-0026292312,The extent of introgression outside the contact zone between Notropis cornutus and Notropis chrysocephalus (Teleostei: Cyprinidae),Dowling T.E.,Evolution,00143820,45,4,944-956,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04362.x,"These two species hybridize in a long, narrow zone in the midwestern USA. To quantify the extent of introgression of genetic markers outside of this zone, samples were collected among transects starting near the region of contact, followed by samples progressively more distant. Introgressed mtDNA and allozyme haplotypes were rare and found only in the population closest to the contact zone. Introgressed haplotypes are probably indicators of a more southern position of the contact zone during the Pleistocene, with the contact zone shifting northward with the recession of the glacial front. -from Authors",53,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,29
true,https://api.elsevier.com/content/abstract/scopus_id/0026291048,SCOPUS_ID:0026291048,2-s2.0-0026291048,The covariance structure of life-history characters in Daphnia pulex,Spitze K.,Evolution,00143820,45,5,1081-1090,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04376.x,"Although there is no genetic correlation between offspring size and offspring number, present growth and present reproduction are both strongly positively correlated genetically with future reproduction, and early maturity is genetically correlated with larger clutch size. Although the ubiquity of antagonisitc pleiotropy has been recently questioned, there are peculiarities of cyclical parthenogenesis that could lead to positive life-history covariance even when negative covariance would be expected in a similar sexual species. These include the influence of nonadditive gene action on evolution in clonally reproducing organisms, and the periodic release of hidden genetic variance within populations of cyclical parthenogens. Examination of matrix similarity reveals no evidence to suggest that the genetic covariance matrices differ between the populations, but there is considerable evidence that the phenotypic and environmental covariance matrices differ between populations. Results indicate approximate stability of the genetic covariance matrix within species, an important assumption of many phenotypic evolution models, but should caution against the use of phenotypic in place of genetic covariance matrices. -from Authors",63,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,30
true,https://api.elsevier.com/content/abstract/scopus_id/0026290941,SCOPUS_ID:0026290941,2-s2.0-0026290941,The ecology and genetics of fitness in Chlamydomonas. IV. The properties of mixtures of genotypes of the same species,Bell G.,Evolution,00143820,45,4,1036-1046,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04368.x,"Average performance of a Chlamydomonas reinhardtii genotype in mixture was tightly correlated with its performance in monoculture. Mixtures became dominated by the component with the greater performance in monoculture, so that the properties of mixtures were attributable to replacement rather than to complementation. -from Author",37,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,31
