@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/0026314592,SCOPUS_ID:0026314592,2-s2.0-0026314592,"Effects of leaf and ramet removal on growth and reproduction of Geonoma congesta, a clonal understorey palm",Chazdon R.,Journal of Ecology,00220477,79,4,1137-1146,1991-01-01,1991,10.2307/2261104,"In a Costa Rican rain forest (La Selva) 15 Geonoma congesta clones, each with eight or fewer stems, were assigned to each of four treatments: 1) control (no manipulation), 2) removal of all but one ramet, 3) removal of 50% of the leaves from one ramet, and 4) removal of all but one ramet plus removal of 50% of the leaves. Ramet and leaf removal alone did not significantly increase mortality over controls, but mortality was significantly increased when both ramets and leaves were removed. Leaf and ramet removal had no significant effect on height-growth and stem-growth increments. Leaf size and stem diameter after 3 yr were not influenced by leaf removal or ramet removal. Defoliated ramets had a significantly higher annual rate of leaf production per initial number of leaves than non-defoliated ramets, whereas ramet removal showed no significant effect on leaf production of the remaining ramet. Clones were remarkably resistant to repeated defoliation and ramet removal. Results suggest that stored reserves are mobilized to maintain normal patterns of growth and ramet production following defoliation. Clonal growth in this species appears to buffer individual ramets against traumatic effects of ramet and leaf removal on growth, survival and reproduction. -from Author",55,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026314497,SCOPUS_ID:0026314497,2-s2.0-0026314497,Responses of Mediterranean grassland species to changing rainfall,Figueroa M.,Journal of Ecology,00220477,79,4,925-941,1991-01-01,1991,10.2307/2261089,"Changes over 14 yr were investigated in the composition of a species-rich grassland in SW Spain. The vegetation was dominated by winter annuals, which germinated after the autumn rains and fruited in late spring or early summer; they comprised 86 of the 99 species recorded. Most of these species displayed considerable variations in abundance over the period of study. The abundance of many species was highly correlated with rainfall, which accounted for up to 83% of year-to-year variance (in Juncus capitatus). Rainfall over the whole growing season was a good predictor of abundance for more species than any of its component periods (25 species with significant associations out of 99). Cluster analysis resolved five groups of species with similar year-to-year variations in abundance: two groups contained most of the species showing significant positive correlations with rainfall, and another group contained a small number of generally infrequent species that showed significant negative correlations. The species in the remaining two groups had few significant correlations with rainfall. Only three moderately abundant species were significantly correlated with time. -from Authors",56,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026314399,SCOPUS_ID:0026314399,2-s2.0-0026314399,"Growth patterns of tree height and stem diameter in populations of Abies veitchii, A. mariesii and Betula ermanii",Hara T.,Journal of Ecology,00220477,79,4,1085-1098,1991-01-01,1991,10.2307/2261100,"Small, suppressed individuals of Abies spp. showed little growth in tree height but grew in stem diameter. In small, suppressed individuals of B. ermanii, the converse was found. Stem diameter growth of Abies spp. and tree height growth of B. ermanii are affected only a little by competition between individuals even under crowded conditions, and thus growth in these dimensions is determined in a genetically strict manner for each species. These growth patterns correspond to the life-history traits and the successional status of Abies spp. (shade-tolerant late-successional species) and B. ermanii (a shade-intolerant early-successional species). -from Authors",87,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026314397,SCOPUS_ID:0026314397,2-s2.0-0026314397,Competition and the coexistence of species in a mixed podocarp stand,Duncan R.,Journal of Ecology,00220477,79,4,1073-1084,1991-01-01,1991,10.2307/2261099,"Examined the importance of intra- and interspecific competition in affecting the growth and survival of Dacrycarpus dacrydioides and Dacrydium cupressinum, the two dominant trees in a mixed podocarp stand in Ohinemaka Forest, Westland, New Zealand. Two lines of evidence (spatial patterning of trees and correlates of tree performance with neighbourhood density) were used to infer the importance of competition. Intraspecific competition among D. dacrydioides trees appeared to be intense. Mean radial growth rate (MGR) was significantly negatively correlated with the number of conspecific neighbours, and patterns of non-random mortality resulted in a shift in spatial pattern from a significantly clumped to a significantly regular distribution. Intraspecific competition among D. cupressinum was less intense. D. cupressinum had a low rate of mortality, predominantly random spatial patterns of mortality, and a weak correlation between MGR and the number of conspecific neighbours. Differences in the relative importance of intraspecific competition in affecting survival and growth of the two species was attributed to differences in the distribution and availability of suitable establishment sites. D. dacrydioides preferentially established on abundant level or slightly elevated sites, and in patches reached densities where resources were limiting. The number and distribution of D. cupressinum were determined primarily by the availability of suitable elevated establishment sites that were scattered throughout the stand. The restricted number of suitable sites limited D. cupressinum to densities where resources were not severely limiting. The two species avoided interspecific competition by partitioning the variability in forest-floor micro-relief. -from Author",148,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026314066,SCOPUS_ID:0026314066,2-s2.0-0026314066,New site formation and colonizing vegetation in primary succession on the western Amazon floodplains,Kalliola R.,Journal of Ecology,00220477,79,4,877-901,1991-01-01,1991,10.2307/2261087,"Newly deposited fluvial sediments are poor in organic C and N. Colonization begins either with immigrant propagules dispersed by wind or water, or with invasion of species by vegetative means. Usually numbers of individuals are few, and the initial vegetation pattern is a reflection of the small-scale mosaic of microsites. The pioneer flora (125 species recorded) includes many widespread perennial herbs; seeds of most forest species do not germinate in the dry sediments. Herbaceous colonist species are almost non-existent in suspension-poor rivers of low erosion rate. The persistence of the initial plant assemblage is controlled by the evolution of fluvial landforms. Only a few species among the set of colonists are significant in later forest succession. These include Tessaria integrifolia and Gynerium sagittatum, which resist moderate flood damage and resprout after burial. Mature seed populations of these 10-15-m-tall species are abundant at the outermost margin of the successional forest just beyond the fluvial bars. The low representation of tree species in the colonizing phase suggests that the extreme environmental conditions at the river margins differ from other natural environments along the Amazon. Aquatic succession on lakes affected by suspension-rich waters starts with genuine floating species. The general habits of these vegetation assemblages and their species composition are highly similar in the white-water floodplains of the Peruvian Amazon study area. An annual vegetation flush characteristically follows the flood period. Macrophyte vegetation is almost non-existent on the floodplain lakes of suspension-poor rivers. -from Authors",147,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026314065,SCOPUS_ID:0026314065,2-s2.0-0026314065,"The effect of reproduction on canopy structure, allocation and growth in Oenothera biennis",Reekie E.,Journal of Ecology,00220477,79,4,1061-1071,1991-01-01,1991,10.2307/2261098,"Regardless of age, reproduction increased stem allocation and decreased root and leaf allocation. Early reproduction reduced growth relative to vegetative plants, while late reproduction had no effect on growth in the long term and enhanced growth in the short term. Seed output increased with age at reproduction up to a point after which there was little change. The reduced growth of plants reproducing at an early age was due to a decrease in leaf area ratio, and the enhanced growth of older plants to a temporary increase. Specific leaf area in older plants increased with reproduction, temporarily over-compensating for the decrease in leaf allocation. There was a temporary increase in unit leaf rate in plants reproducing at a young age but not in plants reproducing at a late age. Changes in specific leaf area were the result of a switch in leaf morphology between vegetative and reproductive plants. Vegetative plants produced leaves with petioles which increased in length with age. This morphology minimized shelf-shading in the vegetative rosettes. Leaves produced after reproduction had short petioles and, consequently, a higher specific leaf area. Plants reproducing at an early age produced few new leaves and exhibited little change in specific leaf area. The beneficial effects of reproduction on canopy structure and photosynthesis that are observed in many species can compensate for the cost of reproduction, providing the accumulated nutrient reserves are sufficient to supply the reproductive structures. -from Authors",22,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,16,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026313957,SCOPUS_ID:0026313957,2-s2.0-0026313957,Self-thinning and competition intensity over a gradient of nutrient availability,Morris E.,Journal of Ecology,00220477,79,4,903-923,1991-01-01,1991,10.2307/2261088,"High-density populations of Ocimum basilicum at each of three nutrient levels showed self-thinning with different biomass-density relationships (thinning lines) for each level. Competition at common plant mass was more intense in stands grown at low nutrient levels, but because thinning proceeded fastest in the stands grown at high nutrient supply, competition at a common time was most intense in these stands. The mechanism underlying intensified competition (irrespective of rate of development) is possibly the extent of overlap of resource depletion zones to achieve given plant mass. If this overlap increases at lower resource levels to achieve a given plant mass, competition will intensify at the lower resource levels, but the rate at which overlap develops at each resource level will determine the intensity of competition when stands are compared in time. Plants from stands grown at lower nutrient levels tended to have less radial extension of the canopy for a given height, and to be shorter and have less radial extension for a given shoot weight. Thus they packed their shoot weight into a smaller canopy volume plant-1 than plants at high nutrient levels. If canopy packing had determined the relative positions of thinning lines, populations grown at low nutrient levels would have followed higher thinning lines than those at high levels. Biomass packing measured at the population level showed the reverse trend, ie it was lower in the stands at low nutrient levels. This occurred because of the wider spacing between plants in these stands than in the high-resource stands at a given biomass level. Canopy interactions between plants grown at low nutrient levels were less than in plants grown at high nutrient levels. Thus the major determinant of plant spacing in the stands at low nutrient levels was below rather than above ground. Plants at the two lower nutrient levels grew relatively more root (weight and length) than those at the high nutrient level. Just under half of this root growth occurred in the top 16% of the soil volume. Root densities achieved were so high that conditions for mutual overlap of depletion zones for mobile nutrients were present. This is taken as evidence that increased overlap of nutrient uptake zones occurred at lower nutrient levels in order for plants to achieve a given mass. -from Authors",54,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,17,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026313849,SCOPUS_ID:0026313849,2-s2.0-0026313849,Competitive effect and response: hierarchies and correlated traits in the early stages of competition,Goldberg D.,Journal of Ecology,00220477,79,4,1013-1030,1991-01-01,1991,10.2307/2261095,"Five weeks after sowing, significant non-linear regressions of target biomass on neighbour density were found for 59% of the 49 species combinations and significant linear regressions on neighbour biomass were found for 51% of the species combinations. The slopes of these regressions represent per-plant and per-gram competition coefficients, respectively. Neighbour species differed strongly in competitive effect per plant. Differences in effect per gram, response per plant, and response per gram were much weaker. Nevertheless, consistent competitive hierarchies were found for both effect and response on both a per-plant and per-gram basis. Neighbour species with larger seed mass and larger maximum potential mass had stronger per-plant competitive effects, whilst neighbour species with higher maximum relative growth rates had stronger per-gram competitive effects. The reverse of this latter pattern was seen for competitive response: target species with lower maximum relative growth rates were better response competitors. -from Authors",349,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026313767,SCOPUS_ID:0026313767,2-s2.0-0026313767,Dynamics of soil-stored seed banks of six shrubs in fire-prone dune fynbos,Pierce S.,Journal of Ecology,00220477,79,3,731-747,1991-01-01,1991,10.2307/2260664,"Soil-stored seed banks of six non-sprouting dominant shrubs with small seeds (0.4-4.6 mg) were determined in three mature (13-yr-old) dune fynbos communities each autumn for three successive years. Instead of the large seed banks typical of shrubs from fire-prone vegetation, dune fynbos shrubs had relatively small seed banks: highest mean seed density recorded was 825 ± 1187 seed m-2. Shrub and community seed banks showed no significant increments over 3 yr. After a fire, seed banks were depleted by more than half. Removal of seeds by ants and rodents from the soil surface was relatively rapid. Almost all seed had been removed from open deposits by the sixth day of cafeteria experiments. Removal rates by ants of elaiosome-bearing (myrmecochorous) seeds was not significantly different from non-myrmecochorous species; neither were the intact seeds of a myrmecochorous species removed faster than the seeds from which the elaiosome had been removed. Seeds are thus removed by ants as much for granivory as for myrmecochory. Seed burials showed that seed bank losses due to decay and germination varied widely amongst species and with seed age, with losses ranging from 12-93%. There were large differences in seed-bank sizes between the six species which could be attributed to their life-history attributes such as seed production, dispersal mode and germination requirements. The myrmecochorous species with relatively large and poorly dispersed seeds, small to moderate seed production and seed-bank sizes, and germination and seedling establishment cued to post-fire conditions, were most vulnerable to local extinction. -from Authors",58,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026313649,SCOPUS_ID:0026313649,2-s2.0-0026313649,Performance of two contrasting morphs of Brachypodium sylvaticum transplanted into shaded and unshaded sites,Davies M.S.,Journal of Ecology,00220477,79,2,505-517,1991-01-01,1991,10.2307/2260729,"Two contrasting morphs of slender false-brome Brachypodium sylvaticum which can be distinguished by the presence or absence of spreading macro-hairs at the leaf margins, termed hairy-edge (HE) and non-hairy-edge (NHE), are described. The NHE morph is confined to shaded sites, whereas the HE morph is found in both open and shaded habitats but is generally the less-frequent morph in shaded conditions. At a woodland site 77% of NHE transplants survived to 27 months compared with 45% of the HE plants. At the unshaded site, 90% of HE plants survived to 27 months compared with 60% of the NHE plants. The NHE morph grew better at the shaded site whilst the HE morph grew better at the unshaded site. The NHE morph allocated a greater proportion of the above-ground dry matter to reproductive tillers than the HE morph at both sites. The relative fitness of the ""alien' morph declined with time for survival and tiller number and was also low for characters measured at the final harvest. -from Authors",4,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026313353,SCOPUS_ID:0026313353,2-s2.0-0026313353,"Riparian vegetation along current-exposure gradients in floodplain wetlands of the River Murray, Australia",Roberts J.,Journal of Ecology,00220477,79,1,117-127,1991-01-01,1991,10.2307/2260787,"On the Chowilla floodplain in the semi-arid zone of South Australia, four vegetation types were distinguished by cluster analysis and by separation of three ordination axes. The 1st ordination axis was a current-related gradient, having a significant regression on current; the vegetation type with the swiftest currents and steepest banks was riparian grasses. The third axis was a gradient related to exposure to wave action. -from Authors",53,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,21,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312950,SCOPUS_ID:0026312950,2-s2.0-0026312950,Colonization dynamics of herbs and shrubs in a disturbed northern hardwood forest,Hughes J.,Journal of Ecology,00220477,79,3,605-616,1991-01-01,1991,10.2307/2260656,"Following canopy removal at the Hubbard Brook Experimental Forest, New Hampshire, the most common shrubs were Rubus idaeus and Viburnum alnifolium; the most common herbs were Aster acuminatus, Dennstaedtia punctilobula and Dryopteris spinulosa. All of the first-year recruitment of Rubus occurred through germination of buried seeds. First-year recruitment of the other four species occurred through survival of pre-existing stems or expansion of pre-existing patches, or both. Recruitment of Viburnum, Dennstaedtia and Dryopteris during the second and third years of regrowth continued to be strictly vegetative, whilst recruitment of Aster occurred through newly dispersed seeds as well as rhizomatous growth. The spatial distribution of herbs and shrubs after overstorey removal was strongly related to the location of predecessors before removal. Seed production in the site with overstorey removal was higher than in the surrounding, intact forest for most species. Some unoccupied sites were colonized by these seeds during the second and third years of regrowth. Ruderals obscured but did not affect spatial patterns of stress-tolerators and competitors that were present in the forest before overstorey removal. This suggests that, in the absence of physical destruction to existing herbs and shrubs in the forest, ""disturbance' has, in the short term at least, little effect on spatial patterns of some understorey species. -from Authors",115,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,22,NA,NA,NA
