@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:description,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0742270764,SCOPUS_ID:0742270764,2-s2.0-0742270764,Molecular Systematic Analysis Reveals Cryptic Tertiary Diversification of a Widespread Tropical Rain Forest Tree,Dick C.,American Naturalist,00030147,162,6,691-703,2003-12-01,December 2003,10.1086/379795,154,14737707,Journal,ar,Article,100,3,3,Fossils | Internal transcribed spacer (ITS) | Long-distance dispersal | Molecular clock | Phylogeography | Tropical trees,12604,undefined,0,FALSE,NA,NA,11,"The broad geographic range of many Neotropical rain forest tree species implies excellent dispersal abilities or range establishment that preceded the formation of current dispersal barriers. In order to initiate historical analyses of such widespread Neotropical trees, we sequenced the nuclear ribosomal spacer (ITS) region of Symphonia globulifera L. f. (Clusiaceae) from populations spanning the Neotropics and western Africa. This rain forest tree has left unmistakable Miocene fossils in Mesoamerica (15.5-18.2 Ma) and in South America (∼15 Ma). Although marine dispersal of S. globulifera is considered improbable, our study establishes three marine dispersal events leading to the colonization of Mesoamerica, the Amazon basin, and the West Indies, thus supporting the paleontological data. Our phylogeographic analysis revealed the spatial extent of the three Neotropical S. globulifera clades, which represent trans-Andes (Mesoamerica + west Ecuador), cis-Andes (Amazonia + Guiana), and the West Indies. Strong phylogeographic structure found among trans-Andean populations of S. globulifera stands in contrast to an absence of ITS nucleotide variation across the Amazon basin and indicates profound regional differences in the demographic history of this rain forest tree. Drawing from these results, we provide a historical biogeographic hypothesis to account for differences in the patterns of β diversity within Mesoamerican and Amazonian forests.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742270759,SCOPUS_ID:0742270759,2-s2.0-0742270759,Talkin' 'bout My Generation: Environmental Variability and Cohort Effects,Beckerman A.,American Naturalist,00030147,162,6,754-767,2003-12-01,December 2003,10.1086/381056,73,14737713,Journal,ar,Article,100,4,4,Cohort effects | Delayed density dependence | Population dynamics,12604,undefined,0,FALSE,NA,NA,12,"In variable environments, it is probable that environmental conditions in the past can influence demographic performance now. Cohort effects occur when these delayed life-history effects are synchronized among groups of individuals in a population. Here we show how plasticity in density-dependent demographic traits throughout the life cycle can lead to cohort effects and that there can be substantial population dynamic consequences of these effects. We show experimentally that density and food conditions early in development can influence subsequent juvenile life-history traits. We also show that conditions early in development can interact with conditions at maturity to shape future adult performance. In fact, conditions such as food availability and density at maturity, like conditions early in development, can generate cohort effects in mature stages. Based on these data, and on current theory about the effects of plasticity generated by historical environments, we make predictions about the consequences of such changes on density-dependent demography and on mite population dynamics. We use a stochastic cohort effects model to generate a range of population dynamics. In accordance with the theory, we find the predicted changes in the strength of density dependence and associated changes in population dynamics and population variability.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742270741,SCOPUS_ID:0742270741,2-s2.0-0742270741,The Forager's Dilemma: Food Sharing and Food Defense as Risk-Sensitive Foraging Options,Dubois F.,American Naturalist,00030147,162,6,768-779,2003-12-01,December 2003,10.1086/379202,25,14737714,Journal,ar,Article,100,2,2,Aggression | ESS model | Foraging groups | Prisoner's dilemma | Risk-sensitive theory,12604,undefined,0,FALSE,NA,NA,13,"Although many variants of the hawk-dove game predict the frequency at which group foraging animals should compete aggressively, none of them can explain why a large number of group foraging animals share food clumps without any overt aggression. One reason for this shortcoming is that hawk-dove games typically consider only a single contest, while most group foraging situations involve opponents that interact repeatedly over discovered food clumps. The present iterated hawk-dove game predicts that in situations that are analogous to a prisoner's dilemma, animals should share the resources without aggression, provided that the number of simultaneously available food clumps is sufficiently large and the number of competitors is relatively small. However, given that the expected gain of an aggressive animal is more variable than the gain expected by nonaggressive individuals, the predicted effect of the number of food items in a clump - clump richness - depends on whether only the mean or both the mean and variability associated with payoffs are considered. More precisely, the deterministic game predicts that aggression should increase with clump richness, whereas the stochastic risk-sensitive game predicts that the frequency of encounters resulting in aggression should peak at intermediate clump richnesses or decrease with increasing clump richness if animals show sensitivity to the variance or coefficient of variation, respectively.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0043278861,SCOPUS_ID:0043278861,2-s2.0-0043278861,"Carotenoids, Immunocompetence, and the Information Content of Sexual Colors: An Experimental Test",McGraw K.,American Naturalist,00030147,162,6,704-712,2003-12-01,December 2003,10.1086/378904,381,14737708,Journal,ar,Article,100,2,2,Cell-mediated immunity | Humoral immunity | Ornamental coloration | Plasma carotenoids | Sexual selection | Taeniopygia guttata | Zebra finch,12604,undefined,0,FALSE,NA,NA,14,"Many male birds use carotenoid pigments to acquire brilliant colors that advertise their health and condition to prospective mates. The direct means by which the most colorful males achieve superior health has been debated, however. One hypothesis, based on studies of carotenoids as antioxidants in humans and other animals, is that carotenoids directly boost the immune system of colorful birds. We studied the relationship between carotenoid pigments, immune function, and sexual coloration in zebra finches (Taeniopygia guttata), a species in which males incorporate carotenoid pigments into their beak to attract mates. We tested the hypotheses that increased dietary carotenoid intake enhances immunocompetence in male zebra finches and that levels of carotenoids circulating in blood, which also determine beak coloration, directly predict the immune response of individuals. We experimentally supplemented captive finches with two common dietary carotenoid pigments (lutein and zeaxanthin) and measured cell-mediated and humoral immunity a month later. Supplemented males showed elevated blood-carotenoid levels, brighter beak coloration, and increased cell-mediated and humoral immune responses than did controls. Cell-mediated responses were predicted directly by changes in beak color and plasma carotenoid concentration of individual birds. These experimental findings suggest that carotenoid-based color signals in birds may directly signal male health via the immunostimulatory action of ingested and circulated carotenoid pigments.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345581425,SCOPUS_ID:0345581425,2-s2.0-0345581425,"Optimization, Conflict, and Nonoverlapping Foraging Ranges in Ants",Adler F.,American Naturalist,00030147,162,5,529-543,2003-11-01,November 2003,10.1086/378856,71,14618533,Journal,ar,Article,100,2,2,Competition for space | Foraging ranges | Game theory | Optimization models | Territoriality,12604,undefined,0,FALSE,NA,NA,15,"An organism's foraging range depends on the behavior of neighbors, the dynamics of resources, and the availability of information. We use a well-studied population of the red harvester ant Pogonomyrmex barbatus to develop and independently parameterize models that include these three factors. The models solve for an allocation of foraging ants in the area around the nest in response to other colonies. We compare formulations that optimize at the colony or individual level and those that do or do not include costs of conflict. Model predictions were compared with data collected on ant time budgets and ant density. The strategy that optimizes at the colony level but neglects costs of conflict predicts unrealistic levels of overlap. In contrast, the strategy that optimizes at the individual level predicts realistic foraging ranges with or without inclusion of conflict costs. Both the individual model and the colony model that includes conflict costs show good quantitative agreement with data. Thus, an optimal foraging response to a combination of exploitation and interference competition can largely explain how individual foraging behavior creates the foraging range of a colony. Deviations between model predictions and data indicate that colonies might allocate a larger than optimal number of foragers to areas near boundaries between foraging ranges.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345581391,SCOPUS_ID:0345581391,2-s2.0-0345581391,Resource Allocation in Offspring Provisioning: An Evaluation of the Conditions Favoring the Evolution of Matrotrophy,Trexler J.,American Naturalist,00030147,162,5,574-585,2003-11-01,November 2003,10.1086/378822,68,14618536,Journal,ar,Article,100,2,2,Lecithotrophy | Life history | Matrotrophy | Poecilia latipinna | Trade-off | Viviparity,12604,S06GM008205,0,FALSE,NA,NA,16,"We used analytic and simulation models to determine the ecological conditions favoring evolution of a matrotrophic fish from a lecithotrophic ancestor given a complex set of trade-offs. Matrotrophy is the nourishment of viviparous embryos by resources provided between fertilization and parturition, while lecithotrophy describes embryo nourishment provided before fertilization. In fishes and reptiles, embryo nourishment encompasses a continuum from solely lecithotrophic to primarily matrotrophic. Matrotrophy has evolved independently from lecithotrophic ancestors many times in many groups. We assumed matrotrophy increased the number of offspring a viviparous female could gestate and evaluated conditions of food availability favoring lecithotrophy or matrotrophy. The matrotrophic strategy was superior when food resources exceeded demand during gestation but at a risk of overproduction and reproductive failure if food intake was limited. Matrotrophic females were leaner during gestation than lecithotrophic females, yielding shorter life spans. Our models suggest that matrotrophic embryo nourishment evolved in environments with high food availability, consistently exceeding energy requirements for maintaining relatively large broods. Embryo abortion with some resorption of invested energy is a necessary preadaptation to the evolution of matrotrophy. Future work should explore trade-offs of age-specific mortality and reproductive output for females maintaining different levels of fat storage during gestation.",NIGMS,National Institute of General Medical Sciences
true,https://api.elsevier.com/content/abstract/scopus_id/0345581390,SCOPUS_ID:0345581390,2-s2.0-0345581390,Fundamental Predictability in Multispecies Competition: The Influence of Large Disturbance,Roelke D.,American Naturalist,00030147,162,5,615-623,2003-11-01,November 2003,10.1086/378750,51,14618539,Journal,ar,Article,100,3,3,Complex behavior | Disturbance | Phytoplankton | Predictability | Succession,12604,undefined,0,FALSE,NA,NA,17,"Empirical evidence of chaos, or complex behavior, in ecosystems is scarce, presumably due to high system-level noise and/ or the rarity of conditions necessary for complex behavior to arise. An alternative explanation might be that complex behavior is fragile and readily suppressed by disturbances that are common in many ecosystems. Here we investigated the role of disturbance frequency and magnitude on complex behavior and focused on population succession trajectories in a plankton system. Because of its prominence in aquatic ecology, we used hydraulic flushing and nutrient loading as disturbances. Our findings from numerical modeling exercises and laboratory microcosm experiments using natural plankton assemblages indicated that one aspect of complex behavior, divergence of nearby trajectories, was suppressed when the magnitude and periodicity of hydraulic flushing and nutrient loading were large. In other words, complex succession became determinable. Divergence of nearby trajectories was relatively robust, however, because pulses of not less than 85% of the total inflow were required to suppress this behavior. Our numerical findings also revealed that large hydraulic disturbances could introduce to the system another aspect of complex behavior, aperiodic succession.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345581387,SCOPUS_ID:0345581387,2-s2.0-0345581387,Dynamic versus Instantaneous Models of Diet Choice,Ma B.O.,American Naturalist,00030147,162,5,668-684,2003-11-01,November 2003,10.1086/378783,33,14618543,Journal,ar,Article,100,3,3,Adaptive choice | Behavioral dynamics | Chaos | Food web | Indirect effects | Optimal foraging | Predation | Stability,12604,undefined,0,FALSE,all,All Open Access,18,"We investigate the dynamics of a series of two-prey-one-predator models in which the predator exhibits adaptive diet choice based on the different energy contents and/or handling times of the two prey species. The predator is efficient at exploiting its prey and has a saturating functional response; these two features combine to produce sustained population cycles over a wide range of parameter values. Two types of models of behavioral change are compared. In one class of models (""instantaneous choice""), the probability of acceptance of the poorer prey by the predator instantaneously approximates the optimal choice, given current prey densities. In the second class of models (""dynamic choice""), the probability of acceptance of the poorer prey is a dynamic variable, which begins to change in an adaptive direction when prey densities change but which requires a finite amount of time to approach the new optimal behavior. The two types of models frequently predict qualitatively different population dynamics of the three-species system, with chaotic dynamics and complex cycles being a common outcome only in the dynamic choice models. In dynamic choice models, factors that reduce the rate of behavioral change when the probability of accepting the poorer prey approaches extreme values often produce complex population dynamics. Instantaneous and dynamic models often predict different average population densities and different indirect interactions between prey species. Alternative dynamic models of behavior are analyzed and suggest, first, that instantaneous choice models may be good approximations in some circumstances and, second, that different types of dynamic choice models often lead to significantly different population dynamics. The results suggest possible behavioral mechanisms leading to complex population dynamics and highlight the need for more empirical study of the dynamics of behavioral change.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345581384,SCOPUS_ID:0345581384,2-s2.0-0345581384,"Cryptic Forcible Insemination: Male Snakes Exploit Female Physiology, Anatomy, and Behavior to Obtain Coercive Matings",Shine R.,American Naturalist,00030147,162,5,653-667,2003-11-01,November 2003,10.1086/378749,54,14618542,Journal,ar,Article,100,3,3,Female choice | Forcible insemination | Pulmonary anatomy | Sexual selection,12604,undefined,0,FALSE,NA,NA,19,"Whether males can inseminate uncooperative females is a central determinant of mating system evolution that profoundly affects the interpretation of phenomena such as multiple mating by females, mate choice, reproductive seasonality, and courtship tactics. Forcible insemination is usually inferred from direct physical battles between the sexes and has been dismissed on intuitive grounds for many kinds of animals. For example, snakes have elongate flexible bodies (making it difficult for a male to restrain a female physically), males are typically smaller than females, and copulation requires female cloacal gaping to enable intromission. Male garter snakes (Thamnophis sirtalis) do not display any overt aggression during courtship and simply lie over the female and exhibit rhythmic pulsating caudocephalic waves of muscular contraction; previous studies have interpreted this behavior as a mechanism for eliciting female receptivity. In contrast, we show that male garter snakes forcibly inseminate females. They do so by taking advantage of specific features of snake physiology, respiratory anatomy, and antipredator behavior. The snake lung extends along most of the body, with the large posterior section (the saccular lung) lacking any respiratory exchange surface. Rhythmic caudocephalic waves by courting male garter snakes push anoxic air from the saccular lung forward and across the respiratory surfaces such that females cannot obtain oxygen. Their stress response involves cloacal gaping, which functions in other contexts to repel predators by extruding feces and musk but in this situation permits male intromission. Thus, superficially benign courtship behaviors may involve cryptic coercion even in species for which intuition dismisses any possibility of forcible insemination.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345149522,SCOPUS_ID:0345149522,2-s2.0-0345149522,Life-History Models of Extinction: A Test with Island Spiders,Schoener T.,American Naturalist,00030147,162,5,558-573,2003-11-01,November 2003,10.1086/378693,22,14618535,Journal,ar,Article,100,4,4,Demographic stochasticity | Environmental stochasticity | Extinction models | Islands | Life histories | Spiders,12604,undefined,0,FALSE,NA,NA,20,"This study analyzes extinction patterns for two species of orb spiders monitored annually on 77 islands over a continuous 20-yr period. One species, Argiope argentata, has large populations sometimes crashing quickly to extinction and a much weaker relation of extinction likelihood to population size than does the other species, Metepeira datona. Demographic models were built for both species and matched against observations. Differences between the species in life-history traits - estimated with measurements from the field -together with incorporation of demographic stochasticity, a population ceiling, and environmental stochasticity, were necessary to fit the observed extinction curves. As predicted from life-history patterns, long-term population growth rates (and hence predicted extinction probabilities) are relatively very sensitive to values of juvenile survivorship. Models are also sensitive to variation in the population ceiling and environmental noise, which tend to act in a complementary manner. A simple model with no age structure was able to fit the data on large initial population sizes but not on small initial population sizes, showing that life cycle characteristics interact with the various sources of stochasticity and hence have to be taken into account to produce a precise model of the extinction process.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345149504,SCOPUS_ID:0345149504,2-s2.0-0345149504,Inbreeding Avoidance through Kin Recognition: Choosy Females Boost Male Dispersal,Lehmann L.,American Naturalist,00030147,162,5,638-652,2003-11-01,November 2003,10.1086/378823,165,14618541,Journal,ar,Article,100,2,2,Inbreeding depression | Local competition | Mate choice | Mating systems | Sexual selection,12604,undefined,0,FALSE,all,All Open Access,21,"Inbreeding avoidance is predicted to induce sex biases in dispersal. But which sex should disperse? In polygynous species, females pay higher costs to inbreeding and thus might be expected to disperse more, but empirical evidence consistently reveals male biases. Here, we show that theoretical expectations change drastically if females are allowed to avoid inbreeding via kin recognition. At high inbreeding loads, females should prefer immigrants over residents, thereby boosting male dispersal. At lower inbreeding loads, by contrast, inclusive fitness benefits should induce females to prefer relatives, thereby promoting male philopatry. This result points to disruptive effects of sexual selection. The inbreeding load that females are ready to accept is surprisingly high. In absence of search costs, females should prefer related partners as long as δ < r/(1 + r), where r is relatedness and δ is the fecundity loss relative to an outbred mating. This amounts to fitness losses up to one-fifth for a half-sib mating and one-third for a full-sib mating, which lie in the upper range of inbreeding depression values currently reported in natural populations. The observation of active inbreeding avoidance in a polygynous species thus suggests that inbreeding depression exceeds this threshold in the species under scrutiny or that inbred matings at least partly forfeit other mating opportunities for males. Our model also shows that female choosiness should decline rapidly with search costs, stemming from, for example, reproductive delays. Species under strong time constraints on reproduction should thus be tolerant of inbreeding.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344719174,SCOPUS_ID:0344719174,2-s2.0-0344719174,Comparative Tests of Parasite Species Richness in Primates,Nunn C.,American Naturalist,00030147,162,5,597-614,2003-11-01,November 2003,10.1086/378721,268,14618538,Journal,ar,Article,100,4,4,Comparative analysis | Host-parasite interactions | Parasite diversity | Population density | Primates,12604,undefined,0,FALSE,NA,NA,22,"Some hosts harbor diverse parasite communities, whereas others are relatively parasite free. Many factors have been proposed to account for patterns of parasite species richness, but few studies have investigated competing hypotheses among multiple parasite communities in the same host clade. We used a comparative data set of 941 host-parasite combinations, representing 101 anthropoid primate species and 231 parasite taxa, to test the relative importance of four sets of variables that have been proposed as determinants of parasite community diversity in primates: host body mass and life history, social contact and population density, diet, and habitat diversity. We denned parasites broadly to include not only parasitic helminths and arthropods but also viruses, bacteria, fungi, and protozoa, and we controlled for effects of uneven sampling effort on per-host measures of parasite diversity. In nonphylogenetic tests, body mass was correlated with total parasite diversity and the diversity of helminths and viruses. When phylogeny was taken into account, however, body mass became nonsignificant. Host population density, a key determinant of parasite spread in many epidemiological models, was associated consistently with total parasite species richness and the diversity of helminths, protozoa, and viruses tested separately. Geographic range size and day range length explained significant variation in the diversity of viruses.",NA,NA
