@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0022232253,SCOPUS_ID:0022232253,2-s2.0-0022232253,Butterfly wing markings are more advantageous during handling than during the initial strike of an avian predator.,Wourms M.K.,Evolution,00143820,NA,39,4,845-851,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00426.x,59,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,11,"The 'false head' hypothesis states that due to the posterior ventral wing markings of certain butterflies which resemble a 'false head', visually hunting predators, such as birds, are deceived into attacking the hind wing area rather than the true head of the butterfly. Six groups of artificially marked dead cabbage butterflies Pieris rapae were presented to blue jays Cyanocitta cristata. Of the six 'false head', markings, only the eyespot significantly influenced the point of attack. All of the 'false head' markings, however, led to a greater proportion of attacks to the hind wing area of the butterfly. In the course of prey handling following an initial attack, each of the 6 'false head' markings significantly directed predator handling strikes away from the true head of captive butterflies to the anal angle of the hind wing. In a 2nd experiment, live P. rapae with 'false head' markings were mishandled and thus escaped, significantly more frequently than controls. 'False head' markings may thus confer a selective advantage by increasing the probability of escape, particularly during handling.-from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022227904,SCOPUS_ID:0022227904,2-s2.0-0022227904,Pollen and gene dispersal: the influences of competition for pollination.,Campbell D.R.,Evolution,00143820,NA,39,2,418-431,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05678.x,91,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,12,"The presence of another plant species visited by the same pollinators can reduce pollen dispersal distances and outcrossing. This has the potential to influence gene flow and reproductive success. Pollen carryover and movement patterns were measured for the shared insect pollinators of Stellaria pubera and Claytonia virginica in North Carolina. Bee flies deposited similar amounts of Stellaria flowers. In arrays of potted plants, flies and solitary bees visited most flowers on a plant before leaving and then flew to a nearby plant chosen independently of species; 95% of moves were to one of 12 nearest neighbors. These measures of pollen carryover and movement patterns were used in a set of computer simulations to predict pollen dispersal distances. C. virginica substantially reduces outcrossing and pollen flow in S. pubera. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022227044,SCOPUS_ID:0022227044,2-s2.0-0022227044,Inheritance of meristic variation and the evolution of developmental stability in rainbow trout.,Leary R.F.,Evolution,00143820,NA,39,2,308-314,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05668.x,99,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,1,TRUE,13,"There were relatively high heritabilities in the narrow sense for 7 of 8 meristic characters in a Salmo gairdneri population, using regression of mean progeny values on mid-parent values. There is no statistically significant additive genetic variance controlling developmental stability, as measured by fluctuating asymmetry. However, there is a significant correlation between the average heterozygosity of each family at isozyme loci and the average number of asymmetric traits per individual. There is little or no additive, but substantial dominance, genetic variation affecting fluctuating asymmetry. There has apparently been directional selection for increased developmental stability. -from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022227042,SCOPUS_ID:0022227042,2-s2.0-0022227042,Intraspecific life history variation in a pond snail: the roles of population divergence and phenotypic plasticity.,Brown K.M.,Evolution,00143820,NA,39,2,387-395,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05675.x,56,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,14,"Juvenile Lymnaea elodes were reciprocally transferred between ponds differing in permanence and productivity, and the resulting variation in life history traits was recorded. In a 2nd experiment, parents and their offspring from both a vernal and a permanent pond population were reared in the same pond. Proximal factors had by far the greatest effects on life history traits in the transfer experiment, with snails reared in a more productive pond showing earlier reproduction at a larger size, higher fecundity, and longer life cycle length. Snails from the more uncertain pond in terms of drying date did reproduce at an earlier age and smaller size and grew less in each pond. However, these population differences, for the most part, disappeared when snails were reared for 2 generations in the same environment. Much of the intraspecific variation in life histories seen in this species must therefore be considered the result of phenotypic plasticity. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022226076,SCOPUS_ID:0022226076,2-s2.0-0022226076,On the evolution of parthenogenesis. II. Inbreeding and the cost of meiosis.,Uyenoyama M.K.,Evolution,00143820,NA,39,6,1194-1206,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05686.x,11,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,0,FALSE,15,"Quantitative models of genetic change were analyzed to study the effect of inbreeding on the conditions for the evolution of parthenogenesis. Inbreeding does not greatly change the cost of meiosis in diploids and actually increases it is haplodiploids. Inbreeding increases parent-offspring relatedness and the reproductive value of females. These direct effects act antagonistically on the cost of meiosis: higher relatedness between parents and biparentally-derived offspring promotes biparental reproduction, and high reproductive value of females promotes thelytoky. In diploids the two effects cancel one another, while in haplodiploids the latter predominates. A high proportion of haplodiploid species that undergo close inbreeding have thelytokous relatives. Apart from its effect on the sex ratio, inbreeding directly promotes parthenogenesis in haplodiploids. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022226015,SCOPUS_ID:0022226015,2-s2.0-0022226015,Developmental instability and high meristic counts in interspecific hybrids of salmonid fishes.,Leary R.F.,Evolution,00143820,NA,39,6,1318-1326,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05697.x,87,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,1,TRUE,16,"Interspecific hybrids have been proposed to have reduced developmental stability in comparison to their parental species because the parental genomes have not undergone selection for the maintenance of developmental stability when they occur together. Data from 4 interspecific hybrids of salmonid fishes support this view. Natural hybrids of bull trout Salvelinus confluentus with brook trout Salvelinus fontinalis and laboratory hybrids of rainbow trout Salmo gairdneri with Yellowstone Salmo clarki bouvieri, westslope S. c. lewisi and coastal S. c. clarki cutthroat trout all have higher levels of fluctuating asymmetry than either of their parental species raised in the same environment. Thus, the hybrids have reduced developmental stability. The hybrids usually have meristic counts as high as the species with the higher count for those characters that differ between the parental species and often have higher counts for those characters that do not differ between the parental species. The tendency for interspecific hybrids to have high meristic counts may be related to differences between the species in the length and timing of the developmental periods during which the counts of the characters are determined. -from Authors bull trout Salvelinus confluentus brook trout Salvelinus fontinalis rainbow trout Salmo gairdneri cutthroat trout Salmo clarki",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022224849,SCOPUS_ID:0022224849,2-s2.0-0022224849,Adaptive radiation and genetic differentiation in Hawaiian Bidens.,Helenurm K.,Evolution,00143820,NA,39,4,753-765,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00417.x,84,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,17,"The genus Bidens (Asteraceae) has undergone extensive adaptive radiation on the Hawaiian Islands. The 19 species and 8 subspecies endemic to Hawaii exhibit much more morphological and ecological differentiation than the continental members of the genus, but the Hawaiian taxa have the same chromosome number and retain the capacity to interbreed in all possible combinations. Twenty-two population of 15 Hawaiian taxa and 4 populations of American taxa were compared at 21 loci controlling 8 enzyme systems. Populations of Hawaiian taxa are highly polymorphic, but, little genetic differentiation has occurred among taxa despite the high levels of genetic variability. Populations of the same taxon are genetically more similar than are populations belonging to different taxa, but all values are high. There is no correlation between the isozyme data and morphological data. No groups of taxa are evident in the genetic data, although morphological groups exist. Genetic differentiation at isozyme loci has not occurred at the same rate as the acquisition of presumably adaptive morphological and ecological characters in Hawaiian Bidens. Adaptive radiation may be limited to a few genes controlling morphological and ecological characters.-from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022223743,SCOPUS_ID:0022223743,2-s2.0-0022223743,The genetic basis of the ecological amplitude of Spartina patens. II. Variance and correlation analysis.,Silander J.A.,Evolution,00143820,NA,39,5,1034-1052,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00445.x,51,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,18,"Reciprocal transplantations of Spartina patens genotypes from adjacent salt marsh, swale and dune habitats provided evidence for genetic differentiation among subpopulations, due at least in part to contrasting selection regimes. Genet survival in the different habitats was related to the amount of genetic divergence. In dune, marsh ramets showed lowest survival, swale ramets intermediate survival, and dune ramets highest survival. This relationship was not reciprocal. The marsh habitat afforded an environment where survival was maximal for all genotypes. By comparison, the dune environment appeared to impose a more intense selection pressure, and the swale an intermediate selection pressure on S. patens. In each site resident genotypes tended to show greater relative fitness than aliens. High levels of phenotypic plasticity may permit greater adaptation to the spatially and temporally heterogeneous environment occupied by S. patens than would genetic variation alone. Dune and swale genets were more phenotypically plastic across traits examined. The higher plasticity in these peripheral subpopulations may confer increased fitness among residents and compensate for observed declines in genetic variation. Evolutionary divergence among subpopulations may be retarded by negative or unfavorable correlations among characters being selected simultaneously. These negative correlations may increase extinction probabilities in small peripheral populations, such as those represented by the dune or swale, and are likely to lower fitness. Further microevolution may be retarded in peripheral dune and swale subpopulations, primarily by unfavorable genetic correlation structures among fitness components or characters under simultaneous selection. Contributing factors may include lowered genetic variance and higher levels of phenotypic plasticity. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022222644,SCOPUS_ID:0022222644,2-s2.0-0022222644,The influence of flower color on outcrossing rate and male reproductive success in Ipomoea purpurea.,Schoen D.J.,Evolution,00143820,NA,39,6,1242-1249,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05690.x,49,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,19,"The pigmented and white morphs outcross at similar rates, but the white morph is favored as a pollen donor. The dynamics of selection occurring at the locus coding for white versus pigmented flowers are more complex than previously believed. Factors such as frequency-dependent outcrossing rates and epistatic effects of the white allele may be operating. Pollinator observations are unreliable indicators of the actual mating system. -from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022222432,SCOPUS_ID:0022222432,2-s2.0-0022222432,Disruptive selection on habitat preference and the evolution of reproductive isolation: an exploratory experiment.,Rice W.R.,Evolution,00143820,NA,39,3,645-656,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00401.x,33,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,20,"Replicate experiments was carried out to examine the role of habitat specialization in the process of sympatric speciation. Disruptive selection for habitat preference can facilitate the process of sympatric speciation by reducing an antagonistic interaction between the processes of recombination and selection. Replicate populations of Drosophila melanogaster were subjected to disruptive selection for habitat preference and simultaneous selection for positive assortative mating, for 46 generations. There was a gradual increase in the philopatry of the flies, indicating the development of habitat specialization. The evolution of habitat specialization resulted in substantial reproductive isolation between the subpopulations utilizing each habitat resource.-from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022222426,SCOPUS_ID:0022222426,2-s2.0-0022222426,Foraging dynamics of bird predators on overwintering monarch butterflies in Mexico.,Brower L.P.,Evolution,00143820,NA,39,4,852-868,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00427.x,66,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,21,"Black-backed orioles Icterus galbula abeillei and black-headed grosbeaks Pheucticus melanocephalus killed 4550-34 00 and an average of 15 067 Danaus plexippus per day. A conservative calculation of mortality through the 135 day overwintering season was 2034 million butterflies, or c9% of the colony. The birds preyed selectively upon male butterflies, possibly because of a difference in fat content, or possibly because females contain higher concentrations and larger amounts of cardenolide or other defensive chemicals. The risk to individual monarchs of being killed was much greater on the colony periphery and in thinned areas of the forest. Bird predation thus is sufficient to have played a major role in shaping the evolution of the monarch's overwintering and aggregation behavior. Substantial daily variation in predation intensity occurred, 26% of which was attributable to the birds eating more butterflies on colder days, 30% attributable to a 7.85 day predation cycle. The hypothesis is put forward that the birds feed cyclically because they build up toxic levels of cardenolides or other defensive chemicals contained in the butterflies. The cyclic predation may reduce total predation on the colony by as much as 50%. Such chemical-based group protection is interpreted as a fortuitous by-product of the evolution of unpalatability through selective processes acting on other phases of the monarch's life history.-from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022222053,SCOPUS_ID:0022222053,2-s2.0-0022222053,Genetic and environmental determinants of food preference in Drosophila tripunctata.,Jaenike J.,Evolution,00143820,NA,39,2,362-369,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05673.x,42,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,0,FALSE,22,"Strain identity strongly and consistently affected the preferences of both males and females for mushrooms vs tomatoes. Females, but not males, showed an augmented preference for the type of food on which they had been kept prior to release. The behavior of F2 flies from reciprocal crosses between the 2 strains demonstrated that genetic variation for food preference is autosomal and largely additive. Because mating often occurs in the vicinity of food in the wild, positive assortative mating with respect to genes for food preference may lead to greater phenotypic variance in preference, which could increase the variety of food resources used by a population. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022220923,SCOPUS_ID:0022220923,2-s2.0-0022220923,"Titanothere allometry, heterochrony, and biomechanics: revising an evolutionary classic.",McKinney M.L.,Evolution,00143820,NA,39,6,1352-1363,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05700.x,12,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,23,"A reanalysis of Osborn's titanothere data indicates that extrapolative growth of a constant allometric relationship alone (""hypermorphosis') does not account for the trend toward body and horn size increase. Empirically, one also observes possible positive changes in the y-intercept (""predisplacement' or early onset of development), and possibly, changes in the slope (""acceleration/neoteny' or changes in growth rate) between the Oligocene and Eocene groups. Theoretically, these may be responses to more massive body shapes, perforce accompanying size increase, which increase the amount of force to which the horns were subjected. -Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022220616,SCOPUS_ID:0022220616,2-s2.0-0022220616,On the Darwinian hypothesis of the adaptive significance of tristyly.,Barrett S.C.H.,Evolution,00143820,NA,39,4,766-774,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00418.x,70,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,24,"Darwin proposed that the function of the stamen-style polymorphism in heterostylous plants is to increase the probability of legitimate (compatible) pollinations among the floral morphs. Conspicuous pollen trimorphism in tristylous Pontederia cordata enables a test of the hypothesis. Comparison of the composition of pollen loads in naturally pollinated stigmas of flowers were made at Paugh Lake, Ontario, which was visited primarily by bumblebees. In intact flowers, significant legitimate pollination was detected in the long-styled morph only. Following emasculation legitimate pollination was evident in the long- and short-styled morphs, with the mid-styled morph just short of displaying significant legitimate pollination. Heterostyly may reduce mutual interference between maternal and paternal reproductive function. The potential importance of stigmatic or stylar clogging by incompatible pollen was examined by controlled field pollinations and measurements of seed set. Prior application of large amounts of imcompatible pollen has no significant effect on the seed set of open-pollinated inflorescences. Comparison of legitimate pollen capture in intact and emasculated flowers provided no evidence that the presence of stamens within flowers of the floral morphs interfers with the receipt of legitimate pollen. Pollen-stigma interference remains to be demonstrated in heterostylous plants.-from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022216110,SCOPUS_ID:0022216110,2-s2.0-0022216110,Barriers to gene exchange between closely related cricket species. II. Life cycle variation and temporal isolation.,Harrison R.G.,Evolution,00143820,NA,39,2,244-259,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05664.x,58,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,25,"The closely related field crickets Gryllus firmus and G. pennsylvanicus hybridize in a zone of contact that extends over >800 km from the Blue Ridge in Virginia to S Connecticut. The extent of temporal reproductive isolation of the 2 cricket species varies along the length of the zone. Although G. firmus and G. pennsylvanicus are temporally isolated in Virginia, adults of the species do occur together. Examination of Esterase genotypes of field-inseminated females and their progeny from a mixed population on the Blue Ridge suggests that premating barriers other than temporal isolation are not effective in preventing gene exchange.-from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022213290,SCOPUS_ID:0022213290,2-s2.0-0022213290,"Evolutionary divergence and character displacement in two phenotypically-variable, competing species.",Milligan B.G.,Evolution,00143820,NA,39,6,1207-1222,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05687.x,28,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,26,"Evolutionary divergence depends primarily on incomplete utilization of available resources. Models which incorporate constraints preventing complete utilization of resources, even in the absence of competitors, all predict character displacement. Models which allow greater flexibility of resource use within a species predict correspondingly less divergence. The author extends a model used by Slatkin (1980, 1983) and Taper & Case (1985) which allows each species to fully utilize its resources in the absence of competitors, concentrating on the case in which the species, though similar, differ in their ecological characteristics. The presence of a variety of biological differences between species - including as a subset those which result from resource underutilization - leads to divergence with respect to a quantitatively inherited character, due to interspecific competitive interactions. The resulting displacement can be large and depends little on the parameters chosen. The only exception, involving a character with very low heritability, occurs when the non-interactive phenotypic differences are much greater than those associated with studies of character displacement in natural populations. Thus, under conditions comparable to those encountered in the field, involving similar yet not identical species, evolutionary divergence is a consequence of interspecific competition. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022213263,SCOPUS_ID:0022213263,2-s2.0-0022213263,Competition and the evolution of aggressive behavior in two species of terrestrial salamanders.,Nishikawa K.C.,Evolution,00143820,NA,39,6,1282-1294,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05694.x,64,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,27,"Plethodon jordani and P. glutinosus are closely related, ecologically similar species that are sympatric at intermediate elevations in the S Appalachian Mountains. Interspecific competition is more intense in the NE Great Smoky Mountains, where the species are narrowly sympatric, than in the nearby Balsam Mountains, where sympatry is broader. In laboratory encounters, P. glutinosus from the Great Smoky Mountains were more aggressive to heterospecific and conspecific intruders than were P. glutinosus from the Balsam Mountains. For P. jordani, however, the variation in interspecific and intraspecific aggressive behavior among individuals within populations was as great as the variation between populations. Alpha-selection (ie improved competitive ability by the acquisition of interspecific interference mechanisms) has occurred in populations of P. glutinosus under conditions of intense interspecific competition. The evolution of aggressive behavior also appears to have been influenced by the intensity of intraspecific competition. -from Author",all,All Open Access
