@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/77955295418,SCOPUS_ID:77955295418,2-s2.0-77955295418,Floristic and structural characterization of three secondary forest fragments in Costa Rica,Morales C.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,69-82,2009-12-01,December 2009,"Observations on successional development and floristic composition were made in 25 plots (10x2 m) established in three contiguous secondary forest fragments of the Lankester Botanical Garden, Costa Rica. Human activities favored forest regeneration there by 1) protecting an abandoned farm and pasture area since 1970, and 2) planting and propagating plant species. Planting successfully growing native and introduced species can accelerate the succession process, avoid dominance of pioneer or invasive species, and increase species diversity faster than in common successional processes. Natural diversification slowed down as natural vegetation surrounding the secondary fragments was disappearing, with a consequent reduction or lost of seed input and other reproductive sources, such as spores and stalks. Introduced plant species became naturalized in these forests, their reproduction is successful, and some of them are invasive. This study proposes general paths to help Neotropical forest restoration processes by combining natural succession and planting of native species.",1,Journal,ar,Article,100,1,1,Costa Rica | Forest restoration | Introduced plant species | Lankester botanical garden | Natural succession | Secondary forest fragments,13567,undefined,0,FALSE,12,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955295089,SCOPUS_ID:77955295089,2-s2.0-77955295089,Parasitism and predation of the planthopper Tagosodes orizicolus (Homoptera: Delphacidae) by a dryinid parasitoid in Costa Rica,Mora-Kepfer F.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,203-211,2009-12-01,December 2009,"We analyzed the effect of predation and parasitism by the native dryinid Haplogonatopus hernandezae as a natural enemy of the rice pest Tagosodes orizicolus under controlled conditions in an insectary in Costa Rica. We found no change in the proportion of T. orizicolus nymphs that were fed upon, parasitized, and that showed no apparent damage throughout the adult stage in H. hernandezae, which favors a stable control of the pest. The percentage of T. orizicolus nymphs that were parasitized (37 %) and preyed upon (36.5 %) was similar, eliminating 73,5 % of the total nymphs causing damage to the rice plants (N = 1 099). Of the total 324 parasitized nymphs, female nymphs were more parasitized than male nymphs (95 % and 5 % respectively) and dryinids developed more successfully in female host nymphs. These tendencies did not change with dryinid age. Survival of dryinids was higher in female T. orizicolus, both for larvae that emerged from the host and pupated, and for pupae that moulted to adults. In cages where the nymphs had no contact with dryinids we found a higher amount of males than females (57.44 ± 28.5 vs 45.22 ± 25.85). In contrast, when the nymphs were in contact with dryinids, the sex ratio was two females to one male reaching adulthood since the dryinids fed more on male nymphs (N = 692). Our results indicate that female dryinids prefer to oviposit in female T. orizicolus nymphs and prey on males. Reproduction by parthenogenesis, acceleration of the development in an insectary with controlled conditions and eficiency of H. hernandezae as a parasitoid and predator indicate that this dryinid is an effective biological control agent of T. orizicolus.",14,Journal,ar,Article,100,2,2,Biological control | Costa Rica | Haplogonatopus hernandezae | Homoptera | Parasitoid | Rice | Tagosodes orizicolus,13567,undefined,0,FALSE,13,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955294793,SCOPUS_ID:77955294793,2-s2.0-77955294793,Substrate vibrations in the scorpion Centruroides margaritatus (Scorpiones: Buthidae) during courtship,Briceño R.D.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,267-274,2009-12-01,December 2009,"Mating behavior in Centruroides margaritatus, as in other scorpion species, includes a series of rapid rocking or shaking movements of the male (""juddering""). It has been suggested that substrate vibrations are generated by juddering and that females respond to them by approaching the male, but its functional significance remains little studied. For the first time, substrate vibrations produced by males during courtship in Centruroides margaritatus are documented. The male started juddering after his first physical contact with the female and only one type of male vibratory signal was registered. The signal is produced during a series of rapid shaking of the male's body from front to rear and consists of multiple short pulses. Each pulse is called a judder and several judders ""a series"". The average duration of each judder was 0.018±0.009s (n=50) with an interval of 0.028±0.013s (n=50); the average duration of each series of judders was 4.2±3.5s with an interval between series of 3.5±6.3s and a rate of 0.21±0.17 series per second. The females responded in 72% of the time to the males juddering.",10,Journal,ar,Article,100,2,2,Centruroides margaritatus | Costa Rica | Juddering | Scorpions,13567,undefined,0,FALSE,14,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955294214,SCOPUS_ID:77955294214,2-s2.0-77955294214,Effects of copulation and male size on the oviposition behavior of the manure fly Archisepsis diversiformis (Diptera: Sepsidae),Hurtado M.L.B.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,239-250,2009-12-01,December 2009,"I evaluated the effect of copulation as a stimulation factor for oviposition of Archisepsis diversiformis by using two different age groups of females. In addition, I tested the effect of copulation on female longevity and progeny sex ratio, taking into account female and male size, and oocyte development in relation to female age. A delay in copulation leads to a delay in oviposition. Females of both age groups started to oviposit between four and five days after copulation. The number of eggs that were laid during the first ten days after copulation, the average number of ovipositions (number of eggs laid per day) during the female's life, and the average time between ovipositions were all similar. I found further evidence for the effect of copulation on oviposition: when females copulate, they oviposited faster than virgin females. In addition, these females laid a lower number of eggs after the age of 13 days, while females of the same age (that have copulated before, when they were two or six days old) laid a higher number of eggs (an average of 75 eggs). Oocytes in virgin females became larger with age; 57 % of the variation in the number of eggs laid by females depends on female's longevity. As in other studies, female size had an effect on the total number of eggs laid. However, male size significantly affected the oviposition rate (total number of eggs/female longevity). Females tended to have a higher oviposition rate after copulating with larger males. These data suggest that for this fly species, sexual selection through female choice might be occurring.",2,Journal,ar,Article,100,1,1,Archisepsis diversiformis | Costa Rica | Development of oocytes | Female choice | Oviposition rates | Size and longevity of female,13567,undefined,0,FALSE,15,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955293438,SCOPUS_ID:77955293438,2-s2.0-77955293438,In vitro plant regeneration system for tropical butternut squash genotypes (Cucurbita moschata),Valdez-Melara M.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,119-127,2009-12-01,December 2009,"An efficient and reproducible method for regeneration of commercial and pure lines of tropical butternut squash (Cucurbita moschata) plants via somatic embryogenesis was developed. The influence of genotype, explant source, N6-benzylaminopurine (BAP), 2,4-dichlorophenoxyacetic acid (2,4-D) and 2,4,5-trichlorophenoxyacetic acid (2,4,5-T) concentration on somatic embryogenesis induction was investigated. Friable embryogenic calli was produced from zigotic embryos (53-56%) and cotyledons from seedlings (70%) of C. moschata cv. Sello de Oro cultured on callus induction medium (CIM) supplemented with 0.5 mg/l or 3.5 mg/l 2,4-D. No embryogenic calli was obtained from leaf segments of C. moschata cv. Sello de Oro cultured on CIM supplemented with different concentrations of BAP and 2,4-D and cotyledons from seedlings of C. moschata cv. PVG 04 cultured on CIM with BAP and 2,4,5-T. Embryogenic calli induction was achieved in 75% C. moschata pure lines evaluated and calli percentage frequency range from 5% to 34%. Successful acclimatization of squash in vitro plants was achieved in the greenhouse and in the field. Regenerated plants appeared morphologically normal and set flowers and fruits with seeds that could germinate normally.",0,Journal,ar,Article,100,5,5,Auxins | Costa Rica | Cucurbita moschata | Cucurbits | Cytokinin | Explant source | Genotype,13567,undefined,0,FALSE,16,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955292747,SCOPUS_ID:77955292747,2-s2.0-77955292747,"Brief history of the school of biology, University of Costa Rica (1957-2009)",García G J.E.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,1-14,2009-12-01,December 2009,NA,2,Journal,ar,Article,100,1,1,NA,13567,undefined,0,FALSE,17,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955292014,SCOPUS_ID:77955292014,2-s2.0-77955292014,"Patterns of nectar production and composition, and morphology of floral nectaries in Helicteres guazumifolia and Helicteres baruensis (Sterculiaceae): Two sympatric species from the Costa Rican tropical dry forest",Goldberg L.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,161-177,2009-12-01,December 2009,"Helicteres guazumifolia Kunth and Helicteres baruensis Jacq. (Sterculiaceae) are two sympatric species of shrubs common along the North Western tropical dry forest of Costa Rica. I recorded their nectar production within a 24 hour cycle. I also describe the morphology of extrafloral nectaries with scanning electron microscopy. In H. guazumifolia secretion was restricted to the first day of flower life span, shortly after anthesis (0600 hr - 1800 hr). Flowers secreted on average 15.63 ±8.45 μl (N=409). Nectar is composed of three main sugars: sucrose, fructose and glucose (mainly sucrose). A total of 17 free amino acids were identified: mainly proline, arginine, threonine and tyrosine, with a concentration above 70 Ng/μl. Values were different for H. baruensis. Nectar secretion was confined to the second day after anthesis, starting at 1600 hr and ending at 0600 hr the following day. Flowers secreted on average 77.03 ±64.99 μl (N=163) of nectar. Nectar is also composed of three main sugars; however, it showed a tendency to be hexose-rich, having more fructose and glucose than sucrose. There were also 17 free amino acids, mainly proline, alanine, tyrosine, arginine and threonine. Patterns of nectar production are different between the two species for timing, and for amount and composition of nectar secretion.",12,Journal,ar,Article,100,1,1,Amino acids | Costa Rica | Floral nectary | Helicteres baruensis | Helicteres guazumifolia | Nectar | Pollination | Reproductive biology | Sugars,13567,undefined,0,FALSE,18,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955291021,SCOPUS_ID:77955291021,2-s2.0-77955291021,"The Cyperaceae of La Selva Biological Station, Costa Rica",Gómez-Laurito J.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,93-110,2009-12-01,December 2009,"The family Cyperaceae is cosmopolitan and includes some 115 genera and 3 600 species. Costa Rica has 25 genera and 210 species. Here I present keys and descriptions for 34 species (10 genera) that occur in La Selva Biological Station, Costa Rica. The genus Cyperus is represented by 12 species, followed by Rhynchospora (6), Scleria (5), Calyptocarya (2), Eleocharis (2), Kyllinga (2), Mapania (2), Hypolytrum (1) and Lipocarpha (1). Oxycaryum cubense (Poepp & Kunth) Palla, has been collected in the vicinity and could eventually be found at the Station.",1,Journal,ar,Article,100,1,1,Angiosperms | Costa Rica | Cyperaceae | Cyperus | La selva | Rhynchospora | Scleria,13567,undefined,0,FALSE,19,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955290479,SCOPUS_ID:77955290479,2-s2.0-77955290479,"Ontogenic changes in the feeding habits of the fishes Agonostomus monticola (Mugilidae) and Brycon behreae (Characidae), Térraba River, Costa Rica",Cotta-Ribeiro T.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,285-290,2009-12-01,December 2009,"Fish diets can vary in food quality, quantity and size. The variation can be caused by several factors, including season and the ontogenic phase of the individual (McCormick 1998). We studied the ontogenic changes in feeding habits of two freshwater fishes, Agonostomus monticola and Brycon behreae, from the Térraba River basin, South Pacific of Costa Rica. Both populations were omnivorous, but displayed ontogenic shifts in terms of quantity and quality of the food items consumed. As it grew, A. monticola modified its diet from insectivorous towards a higher consumption of vegetables, which was accompanied by an increase in relative length of the intestine. While remaining dependent on vegetation as staple food, B. behreae diversified its diet in two ways. Initially, from soft plant parts to seeds, leaves, and fruits. Secondly, prey items changed from insects into a more carnivore diet (fish and shrimp). These findings for both species stress the importance of protecting riparian vegetation in these tropical ecosystems.",9,Journal,ar,Article,100,2,2,Agonostomus | Brycon | Costa Rica | Feeding ecology | Freshwater fish | Ontogenic changes,13567,undefined,0,FALSE,20,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955289580,SCOPUS_ID:77955289580,2-s2.0-77955289580,Histology of somatic embryogenesis in rice (Oryza sativa cv. 5272),Vega R.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,141-150,2009-12-01,December 2009,"Rice (Oryza sativa cv. 5272) embryogenic calli were obtained from mature zygotic embryos culture on Murashige & Skoog (1962) medium supplemented with 2.5 mg/l 2,4- dichlorophenoxyacetic acid. Histological analysis of somatic embryogenesis revealed that after two weeks of culture of explants on the callus induction medium, somatic embryo development began with a cluster of proembryogenic cells in the peripheral region of the calli. The outer cell layer of embryogenic calli consisted of small and isodiametric cells with a dense cytoplasm and a prominent nucleus and nucleolus; whereas the inner cell layer is composed of large cells with small nucleus and large vacuole. These embryogenic cells underwent a series of organized divisions and formed the proembryo with a well-defined protodermis.",32,Journal,ar,Article,100,5,5,Costa Rica | Histology | In vitro culture | Morphogenesis | Oryza sativa | Rice | Somatic embryogenesis,13567,undefined,0,FALSE,21,NA,NA,NA,NA,NA,NA
