@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84969317541,SCOPUS_ID:84969317541,2-s2.0-84969317541,Inhibition of crop seedling growth by hydrophobic root exudates of the weed,pilosa B.,Journal of Tropical Ecology,02664674,14697831,3,1,91-94,1987-01-01,February 1987,10.1017/S0266467400001140,11,Journal,ar,Article,100,3,3,allelochemicals | allelopathy | Bidens pilosa | Lactuca sativa | rhizosphere | root exudates | Sorghum bicolor | XAD-4 | Zea mays,23435,NA,83-CSRS2-2293,NA,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520530,SCOPUS_ID:0023520530,2-s2.0-0023520530,"Forest tree growth and dynamics at la selva, costa rica (1969-1982)",Lieberman D.,Journal of Tropical Ecology,02664674,14697831,3,4,347-358,1987-01-01,November 1987,10.1017/S0266467400002327,184,Journal,ar,Article,100,2,2,Costa Rica | forest dynamics | growth | growth simulation | mortality | regeneration | tree age | tropical forest,23435,NSF,BSR-8117507,National Science Foundation,0,FALSE,12,"Permanent plots totalling 12.4 hectares were established in 1969 in primary tropical wet forest at La Selva Biological Station, Costa Rica; all stems >10 cm diameter at breast height were tagged and measured. In 1982, the plots were again censused, and all live trees remeasured. Mortality over 13 years was 23.2%, or 2.03% per year based on a logarithmic mortality model. This suggests a stand half-life of around 34 years. Mortality was independent of size class in trees >10 cm diameter. Recruitment was equal to mortality. Tree growth curves and age-size relationships for 44 species were projected from 13-year diameter increments using a growth simulation procedure. Understorey trees grow slowly and consistently, and have short life spans; subcanopy trees also grow slowly, but live longer; shade-tolerant canopy trees show variable and often rapid growth and are long-lived; and shade-intolerant canopy trees grow rapidly, show little variation, and have short life spans. The longest imputed life span in our sample was around 440 years (years from 10 cm diameter to the maximum diameter); the shortest life span was around 50 years. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519321,SCOPUS_ID:0023519321,2-s2.0-0023519321,Ant foraging on ant-inhabited triplaris (polygonaceae) in western brazil: A field experiment using live termite-baits,Oliveira P.S.,Journal of Tropical Ecology,02664674,14697831,3,3,193-200,1987-01-01,August 1987,10.1017/S0266467400002066,37,Journal,ar,Article,100,3,3,ants | Brazil | Crematogaster | foraging behaviour | myrmecophyte | Pseudomyrmex | termites | Triplaris,23435,CNPq,undefined,Conselho Nacional de Desenvolvimento Científico e Tecnológico,0,FALSE,13,"Foraging parameters of two ant species, Pseudomyrtnex triplarinus and Crematogaster sp., on P. triplarinus-occupied shrubs of Triplaris surinamensis were evaluated in a semi-deciduous forest of Mato Grosso, western Brazil. Live workers of the termite Microcerotermes strunckii, used as baits for ants, were placed on leaves in the lower, medium and upper thirds of the crown of thirty experimental Triplaris (nine baits/plant). Besides attacking more than twice as many baits as Crematogaster (131 against 59), Pseudomyrmex also attacked them significantly faster. Pseudomyrmex patrolled the plant uniformly, while Crematogaster patrolled more intensively the lower portion of the crown of Triplaris. Baits retrieved by Pseudomyrtnex were taken to their nests in the stem galleries of Triplaris; those retrieved by Crematogaster were carried to nearby nests in the forest understory. Greater aggressiveness and alertness to foreign objects (i.e. baits), better eyesight, larger size, and an individual foraging technique appear to be responsible for the greater foraging success of Pseudomyrmex when compared with Crematogaster. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519291,SCOPUS_ID:0023519291,2-s2.0-0023519291,Carbon mineralization in semi-arid northeastern australia: The role of termites,Holt J.A.,Journal of Tropical Ecology,02664674,14697831,3,3,255-263,1987-01-01,August 1987,10.1017/S0266467400002121,59,Journal,ar,Article,100,1,1,Australia | carbon mineralization | microbial activity | nutrient cycling | semi-arid tropics | termites,23435,NA,undefined,NA,0,FALSE,14,"The contribution of a population of mound building, detritivorous termites (Amitermes laurensis (Mjöberg)) to nett carbon mineralization in an Australian tropical semi-arid woodland has been examined. Carbon mineralization rates were estimated by measuring daily CO2flux from five termite mounds at monthly intervals for 12 months. Carbon flux from the mounds was found to be due to microbial activity as well as termite activity. It is conservatively estimated that the association of A. laurensis and the microbial population present in their mounds is responsible for between 4%-10% of carbon mineralized in this ecosystem, and the contribution of all termites together (mound builders and subterranean) may account for up to 20% of carbon mineralized. Regression analysis showed that rates of carbon mineralization in termite mounds were significantly related to mound moisture and mound temperature. Soil moisture was the most important factor in soil carbon mineralization, with temperature and a moisture X temperature interaction term also exerting significant affects. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023517926,SCOPUS_ID:0023517926,2-s2.0-0023517926,"Forest composition and inferred dynamics in jengka forest reserve, malaysia",Ho C.C.,Journal of Tropical Ecology,02664674,14697831,3,1,25-56,1987-01-01,February 1987,10.1017/S0266467400001103,40,Journal,ar,Article,100,3,3,dynamics | Elateriospermum tapos | long-lived pioneers | Malaysia | ordination and classification | rain forest | Segamat soils,23435,NA,undefined,NA,0,FALSE,15,"1211 trees of 3 ft (0.91 m) girth or more were enumerated in 288 1-ch2(about 400 m2) quadrats forming a 11.7 ha plot on the mainly Segamat soil series, Jengka Forest Reserve, Peninsular Malaysia, in 1964. Of the 261 taxa, 84% were identified to species. Five per cent of the area was of the permanently wetter Akob soil series. The plot was topographically flat and lay about 3 km west of the plot on the Batu Anam soil series, described in an earlier paper. Data on the chemical composition of the three soils are summarized here from a survey in 1967. The vegetation on the Segamat series is of the Shorea-Dipterocarpus type of lowland dipterocarp forest. It has an unusually high abundance of the Euphorbiaceae (25% of trees) and a clear dominant species, Elateriospermum tapos. E. tapos, which regenerates profusely in the shade, grows up in small gaps and is strongly clumped, and appears well suited to the very friable, relatively nutrient-rich soil of the Segamat series, with lower soil-water holding capacity especially in dry periods. Forest on the Segamat series is floristically very different from that on the Batu Anam series. This is most likely due to large differences in soil properties, the latter being of lower clay content, less nutrient-rich and, having a greater soil-water holding capacity at least in dry periods. It was dominated by Dipterocarpaceae. Classification of quadrats on the Segamat series highlighted four classes; vegetation of the main E. tapos-dominated type on relatively dry soil (54% of plot area), vegetation on the wet Akob soil (21%), an association of shade-tolerant, mainly understorey trees beneath non-E. tapos-associated emergents (11%), and an association of long-lived, light-demanding pioneer trees of late-successional stages (11%); 3% of plot had no enumerated trees. Ordination showed that the plot was largely homogeneous with respect to edaphic factors but clearly displayed stages in forest succession. The possible dynamics of the Segamat forest are inferred in terms of species autecology. Two hypotheses are advanced to explain the composition of the Segamat forest: (a) a dynamic equilibirum, (b) a non-equilibrium recovery from a recent catastrophe. The latter was thought more likely. Compared with the more benign Batu Anam environment, where co-dominants might be ‘ecologically equivalent’, the more selective soil conditions on the Segamat leads to reduced equivalence, with accidents of regeneration playing a smaller role in the local distribution of the most abundant species. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023507598,SCOPUS_ID:0023507598,2-s2.0-0023507598,"A survey of food-plant utilization by hemiptera (insecta) in the understorey of primary lowland rain forest in sulawesi, indonesia",Hodkinson I.,Journal of Tropical Ecology,02664674,14697831,3,1,75-86,1987-01-01,February 1987,10.1017/S0266467400001127,9,Journal,ar,Article,100,2,2,Aleyrodoidea | Auchenorrhyncha | Coccoidea | Hemiptera | Heteroptera | host-plant | Psylloidea | rain forest | Sulawesi,23435,RES,27,Royal Entomological Society,0,FALSE,16,"The study was conducted in tropical lowland forest in the Dumoga Bone National Park, Sulawesi, Indonesia. It sought (a) to establish the typical densities of sap-sucking Hemiptera, (b) to quantify the intensity of Hemiptera feeding on leaves, and (c) to investigate, using multivariate techniques, the relationships between Hemiptera density and/or feeding damage and a range of leaf or plant characteristics. Only 3% of shrubs examined had colonial Hemiptera feeding on growing shoots. Feeding punctures on leaves were common but the insects which produced them such as the Cicadellidae and various Heteroptera were scarce. Coccoidea and Aleyrodoidea were the dominant and ubiquitous Hemipterans, feeding primarily on the surface of the leaves. Psylloidea were relatively rare and Aphidoidea were not recorded. For the complete data set, which included all leaves examined, there were few significant correlations, either singly or in combination, between the various measures of insect abundance and the state of the 17 leaf characteristics recorded. However, when the data for young leaves were extracted there was evidence to suggest that the number of feeding punctures cm-2 of leaf and the number of coccids cm-2of upper leaf surface increased rapidly to a maximum as the young leaf aged and certain characters changed accordingly. Other more stable leaf characteristics such as hairiness, spininess, glossiness, etc. explained only a small additional amount of the total variance in Hemiptera abundance. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023504101,SCOPUS_ID:0023504101,2-s2.0-0023504101,"Stemonoporus (dipterocarpaceae)-dominated montane forests in the adam's peak wilderness, sri lanka",Greller A.,Journal of Tropical Ecology,02664674,14697831,3,3,243-253,1987-01-01,August 1987,10.1017/S0266467400002108,8,Journal,ar,Article,100,6,6,Dipterocarpaceae | forest ecology | Sri Lanka | Stemonoporus | tropical montane forest,23435,NSF,INT-8317600,National Science Foundation,0,FALSE,17,"Stemonoporus Thw. (Dipterocarpaceae), a genus endemic to Sri Lanka, contains as many as 26 species, all but one confined to the perhumid forests of the island. Several species reach 1800 m, the highest altitude recorded for any dipterocarp species in Sri Lanka. We report the first quantitative data on Stemonoporus-dominated stands in the montane zone (1500–1700m). Stemonoporus cordifolius and S. rigidus show clear single-species dominance of their respective stands. Stemonoporus gardneri is a co-dominant with Palaquium rubiginosum in its two stands. All Stemonoporus species appear to have a unique geographical and ecological range and no two Stemonoporus species co-exist in our stands. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023500489,SCOPUS_ID:0023500489,2-s2.0-0023500489,Effects of fire regimes on lizards in the wet-dry tropics of australia,Braithwaite R.,Journal of Tropical Ecology,02664674,14697831,3,3,265-275,1987-01-01,August 1987,10.1017/S0266467400002145,72,Journal,ar,Article,100,1,1,Australia | fire intensity | fire management | habitat selection | high-frequency fires | lizards | Reptilia,23435,NA,undefined,NA,0,FALSE,18,"A quantitative analysis of the effect of fire regime on the abundance of common lizard species and genera and the species richness of two lizard groups in Kakadu National Park (12° S) is presented. A surprising range of relationships between species abundance and components of fire regimes was revealed. Carlia amax, Heteronotia binoei and Carlia gracilis appear to be fire-sensitive, Diporiphora bilineata and Carlia triacantha are favoured by early hot fires, Cryptoblepharus plagiocephalus seems relatively unaffected, Carlia foliorum seems very tolerant of fires, while Ctenotus and Sphenomorphus spp. are favoured by low intensity, patchy fires with high intensity spots. Lizard species experiencing the high-frequency fire regimes of the savannas and dry forests of the Australian wet-dry tropics are not able to select habitat at different stages of regeneration after fire but select habitat produced by fires of different types. The implication for management is that no one fire regime is optimal for the fauna as a whole. A range of fire regimes within a park should be maintained in order to retain the whole fauna. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023500474,SCOPUS_ID:0023500474,2-s2.0-0023500474,"Survival, development and predatory effects of mosquito larvae in Venezuelan phytotelmata",Lounibos L.P.,Journal of Tropical Ecology,02664674,14697831,3,3,221-242,1987-01-01,August 1987,10.1017/S0266467400002091,42,Journal,ar,Article,100,5,5,Aechmea | Bambusa | development | Heliconia | mosquito | phytotelmata | predation | seasonality | survival | Toxorhynchites | Venezuela,23435,NSF,INT-8212581,National Science Foundation,0,FALSE,19,"To assess the influence of microhabitat and season on predator growth and survival and prey community structure, first instars of native Toxorhynchites haemorrhoidalis, a predatory mosquito, were released into Heltconia bracts, bamboo intemodes, and the axils of two species of Aechmea bromeliads during wet and dry seasons in a lowland rain. forest in eastern Venezuela. Experimental and control microhabitats were compared by complete censusing of macroscopic invertebrates 10 and 20 days after releases. Survival of T. haemorrhoidalis differed significantly among habitats and was reduced by desiccation in dry-season bamboos and in Aechmea nudicaulis and by the presence of a predatory damselfly (Odonata: Zygoptera) in bromeliads. Developmental rate differed among habitats in the wet but not in the dry season; rapid wet-season maturation was associated with increased prey abundance in Heliconia. Larvae of T. haemorrhoidalis consumed particular taxa and size categories of dipterous prey. Predation significantly reduced the abundance and skewed size-class distributions of Culicidae, Ceratopogonidac, Psychodidae, and pooled samples of Thaumaleidae plus Chironomidae. In bamboos, instar distributions of other mosquitoes were skewed in the presence of T. haemorrhoidalis even though a significant reduction in mosquito abundance was not detected. A decrease in species richness of aquatic Diptera was associated with intense predation by Toxorhynchites in Heliconia and A. nudicaulis. Toxorhynchites theobaldi was recognized as the naturally occurring predator in local bamboos, and released larvae caused significant reductions in abundance or size-class frequency shifts among three families of Diptera. Niche segregation between these sympatric Toxorhynchites is maintained by opposition preferences: the larger species, T. theobaldi, oviposits in bamboos and the smaller T. haemorrhoidalis occurs in plant bracts and axils. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023495886,SCOPUS_ID:0023495886,2-s2.0-0023495886,"Leaf production, growth rate, and age of the palm prestoea montana in the luquillo experimental forest, puerto rico",Lugo A.E.,Journal of Tropical Ecology,02664674,14697831,3,2,151-161,1987-01-01,May 1987,10.1017/S0266467400001905,31,Journal,ar,Article,100,2,2,leaf turnover | Luquillo Mountains | palms | Prestoea montana | Puerto Rico | tree age | tree growth,23435,NA,undefined,NA,0,FALSE,20,"Long-term growth rates of 32 palms (Prestoea montana) were studied using height and diameter measurements taken four times between 1946 and 1982. All leaf scars were counted to estimate leaf production rate, and the distance between scars was measured to establish relationships between leaf production and height growth. Height and diameter growth and leaf production of these palms were not constant during this 36-year period. A greater distance between leaf scars was indicative of rapid height growth but not of high leaf production rate. Dominant palms always grew fast (>20 cm/yr) in height when they were small, but height growth slowed down when they reached the canopy. Small palms with slow height growth remained suppressed and lost the capacity to grow rapidly in height as adults. Diameter growth decreased with age from 0.07 cm/yr (SE = 0.02) between1946–51to 0.01 cm/yr (SE = 0.003) between1951–82. Annual leaf production averaged 4 leaves/yr over the 36 years of study, was significantly different (P = 0.001) between1946–51(5.6 leaves/yr) and1951–82(3.8 leaves/yr), and was 4.6 leaves/yr for palms that grew >5 m since 1946 and 3.7 leaves/yr for those that remained suppressed. The best estimate for the mean age of all palms was 61.1 yr (SE = 2.4), obtained from long-term population leaf production rates. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023490732,SCOPUS_ID:0023490732,2-s2.0-0023490732,Species Structure in Zambian Miombo Woodland,Chidumayo E.,Journal of Tropical Ecology,02664674,14697831,3,2,109-118,1987-01-01,May 1987,10.1017/S0266467400001838,49,Journal,ar,Article,100,1,1,conservation | coppice | miombo | old-growth | species diversity | woodland | Zambia,23435,NA,undefined,NA,0,FALSE,21,"Miombo woodland in Zambia is divided into wetter and drier types by the 1100 mm mean rainfall isohyet. In the present study two wetter (Northern, Northwestern) and three drier (Central, Eastern, Western) miombo subtypes were recognized. A survey of the woody flora of 94 old-growth and 58 coppice stands in the five miombo subtypes revealed some significant differences in species diversity among them. The floristic differentiantion of miombo subtypes was best achieved by the use of the Shannon species diversity index (H') and species density (number of species 0.1 ha-1or 0.4 ha-1). H' in miombo decreased from 2.247 in Northwestern to 2.136 in Northern, 2.052 in Eastern, 1.918 in Central and 1.824 in Western subtypes. Although species density was not significantly different between wetter miombo subtypes, this decreased in a similar fashion from 18.78 0.1 ha-1in North-western to 18.30 in Northern, 16.65 in Eastern, 14.79 in Central and 12.29 in Western subtypes. The low species diversity in Western drier miombo was attributed to the combined effects of low soil fertility and rainfall. Although the mean number of species per 0.1 ha plot was higher in coppice samples, species richness (d) and index of diversity (H') were lower than in old-growth samples. These results indicate lower species diversity in regenerating miombo. The dynamic aspects of species structure should therefore be considered in the future conservation of biological diversity in miombo woodland. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023488191,SCOPUS_ID:0023488191,2-s2.0-0023488191,"Tree population changes in treated rain forest at omo forest reserve, south-western nigeria",Okali D.,Journal of Tropical Ecology,02664674,14697831,3,4,291-313,1987-01-01,November 1987,10.1017/S0266467400002297,50,Journal,ar,Article,100,1,1,forest dynamics | Nigeria | rain forest | silviculture | species composition | tree populations,23435,UNESCO,undefined,"United Nations Educational, Scientific and Cultural Organization",0,FALSE,22,"A review of previous evaluations of long-term changes in treated Nigerian rain forest is presented, to show that these studies have concentrated on economic species with little consideration of other species, or of forest biomass and structure. We examine regeneration and successional patterns in Omo Forest Reserve by comparing enumeration data taken before (1952) and after (1981) treatment of the forest by selective canopy opening and climber-cutting (Plot A), or clear-felling and burning (Walsh system) (Plot C). Before treatment, about 50 species in 25 families were found of stems >10 cm dbh, in 4.05 ha of the forest, the Euphorbiaceae contributing the greatest number of species while the medium-sized trees Dtospyros alboflavescens (Ebenaceae) and Strombosia pustulate (Olacaceae) contributed more than 40% of the stems. Twenty-eight years after treatment (1981) the number of species and families remained similar to those in 1952, although smaller areas (0.75 ha) were enumerated; the treated plots were, however, dominated by early succession species such as Macaranga barteri, Musanga cecropioides, Cleistopholis patens, Funtumia elastica and Fagara macrophylla, and lacked an abundance of the ‘economic’ species that treatment had been expected to induce; the medium-sized trees that were dominant in 1952 were still abundant in Plot A but not in Plot C. For stems >30 cm dbh tree diversity (reciprocal of Simpson’s index) was highest (15.7) in a 1952 plot and least (4.8) in the clear-felled plot enumerated in 1981; diversity of the 1952 plots, however, fell markedly to values lower than those for the 1981 plots when computation was based on all stems >10 cm dbh, presumably because of increase in abundance of small-stemmed species like Diospyros spp., Strombosia sp. and Rinorea sp., each represented by a large number of stems. Basal area was greatest (29.6 m2 ha-1) in the 1952 plots and least (12.7 m2ha-1) in the clear-felled plots enumerated in 1981, but the relative distribution of basal area and number of stems in size-classes was similar in all the plots. Mean annual increment, computed by dividing the mean diameter (7.50 cm) of the stems in the clear-felled plots by the number of years (28) over which they had grown, was 0.27 cm. Nauclea diderrichii dominated the seedling regeneration from the first year after clear-felling and burning (1954) till the sixth year (1960), when seedlings of the Meliaceae entered the regeneration list and overall seedling density was 395 per hectare. Among the plots assessed in 1981, the standing crop was greatest in an untreated Control plot (229.6 t ha”1) followed by Plot A (159.7 t ha’1) and Plot C (91.1 t ha”1), but the relative allocation of biomass to stem, branch, leaf, root and fruit fractions was comparable for all plots. The data arc discussed in relation to other Nigerian forest studies and it is suggested that the main qualitative features of structural organization and the species composition of the top canopy synusia of mature secondary rain forest may be determined quite early in the development of the stand. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023486839,SCOPUS_ID:0023486839,2-s2.0-0023486839,"Invertebrates in the litter and soil at a range of altitudes on gunung silam, a small ultrabasic mountain in sabah",Leakey R.,Journal of Tropical Ecology,02664674,14697831,3,2,119-129,1987-01-01,May 1987,10.1017/S026646740000184X,31,Journal,ar,Article,100,2,2,altitudinal zonation | Borneo | Sabah | soil invertebrates | ultrabasic soils,23435,NA,undefined,NA,0,FALSE,23,"The numbers and biomass of litter and soil invertebrate fauna were investigated in six plots at altitudes of 280 m, 330 m, 480 m, 610 m, 790 m and 870 m on Gunung Silam, Sabah, East Malaysia. There were relatively high numbers and biomass in the lower plots, where the Oligochaeta were a high proportion of the total invertebrate biomass. The biomass of other invertebrate groups was low in the soil. There was a marked effect of altitude, particularly for the Oligochaeta above 610 m. The low biomass of the Oligochaeta in the higher plots suggested that the importance of this group may be diminished at relatively low altitudes on small mountains. However, several other soil faunal groups showed no evidence of an altitudinal effect, and it is suggested that the stunted forests near the summits of small mountains such as Gunung Silam may have a different litter and soil fauna from forests of a similar physiognomy at high elevations on large mountains. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023486399,SCOPUS_ID:0023486399,2-s2.0-0023486399,"Recruitment, growth and mortality of tree species in a lowland dipterocarp forest in peninsular malaysia",Manokaran N.,Journal of Tropical Ecology,02664674,14697831,3,4,315-330,1987-01-01,November 1987,10.1017/S0266467400002303,147,Journal,ar,Article,100,2,2,forest dynamics | Malaysia | Sungei Menyala | tree growth | tree mortality | tropical forest,23435,NA,undefined,NA,0,FALSE,24,"Changes in the lowland dipterocarp forest structure and composition are described for a 34-year period between 1947 and 1981 in Sungei Menyala Forest Reserve, Peninsular Malaysia. Although tree density declined by about 10%, basal area changed little, averaging 32.4 m2 ha-1. Size class distributions in 1947 and 1981 were not significantly different. Mortality rates were independent of size class. Mortality exceeded recruitment during the first 16 years to 1963, but was thereafter almost exactly balanced by recruitment. Recruitment rate increased significantly for the latter part of the study. Mortality was greater than average for understorey species and lower for emergents. Pioneer and late semi species together showed significantly higher mortality rates. Amongst the commoner species, emergent, late-seral and pioneer species showed the highest annual diameter growth rates with species averages over all size classes exceeding 3 mm yr-1; rates for main-canopy species were between 1.5 and 2.5 mm yr-1, and understorey species generally less than 2 mm yr-1. Species richness was almost identical in 1947 and 1981 (243, 244 species), but a clear decline (to 229 species) between 1953 and 1971 was recovered by 1981. Most species showed little net change in density over the 34-year period, but eight of the 32 commoner species showed significant changes, all unidirectional. These changes in species composition are not negligible, but further analysis is needed to determine if, for example, they are related to disturbance of part of the plot in 1917. © 1987, Cambridge University Press. All rights reserved.",NA,NA
