@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/34848844035,SCOPUS_ID:34848844035,2-s2.0-34848844035,First record of the army ant Cheliomyrmex morosus in Panama and its high associate diversity,Berghoff S.,Biotropica,00063606,17447429,39,6,771-773,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00302.x,"The occurrence and distribution of hypogaeic army ants is still poorly known despite their potential importance for tropical soil ecosystems. We present the first record of one of the most cryptic of army ants, Cheliomyrmex morosus, in Panama and list a diverse array of associated arthropods. The late discovery of these ants and high diversity of their associates indicates that much remains to be discovered even in one of the most intensely studied research areas. © 2007 The Author(s).",6,Journal,ar,Article,100,2,2,Acari | Coleoptera | Diptera | Ecitoninae | Formicidae | Hypogaeic | Myrmecophile | Zygentoma,13817,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848840301,SCOPUS_ID:34848840301,2-s2.0-34848840301,"The energetic determination, spatial dispersion and density dependence of Myrmeleon ant lion pits in Las Cruces, Costa Rica",Swenson N.G.,Biotropica,00063606,17447429,39,6,774-777,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00301.x,"The amount of space used by an organism is energetically determined. We utilized a population of ant lion larvae in Costa Rica to test allometric theories concerning the use of space by organisms and how different densities of individuals affect the use of space. The area of ant lion trapping pits scaled with mass to the three-quarters power, supporting allometric theory for sessile organisms. Our analyses also show that larger ant lion larvae show spatial repulsion and facultative density dependent pit-building strategies. © 2007 The Author(s).",7,Journal,ar,Article,100,4,4,Allometry | Competition | Home range | Overdispersion | Scaling | Tropical moist forest,13817,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848838582,SCOPUS_ID:34848838582,2-s2.0-34848838582,Disturbance-mediated drift in tree functional groups in Amazonian forest fragments,Michalski F.,Biotropica,00063606,17447429,39,6,691-701,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00318.x,"The interactive effects of forest disturbance and fragmentation on tropical tree assemblages remain poorly understood. We examined the effects of forest patch and landscape metrics, and levels of forest disturbance on the patterns of floristic composition and abundance of tree functional groups within 21 forest fragments and two continuous forest sites in southern Brazilian Amazonia. Trees were sampled within 60 (10 × 250 m) plots placed in the core areas of the fragments. Tree assemblage composition and abundance were summarized using nonmetric multidimensional scaling (NMDS). Forest patch size explained 36.2 percent and 30 percent of the variance in the proportion of small-seeded softwood and hardwood stems in the 21 forest patches, respectively. Large fragments retained a higher abundance of hardwood tree species whereas small-seeded softwood trees appear to proliferate rapidly in small disturbed fragments. Generalized linear mixed models showed that time since fragmentation had both positive and negative effects on the density of different functional groups of trees and on the ordination axes describing tree abundance. The composition and abundance of different tree genera were also related to time since fragmentation, distance to the nearest edge, and fire severity, despite the recent post-isolation history of the forest patches surveyed. Both the proliferation of fast-growing pioneer trees and the decline of hardwood trees found in our forest plots have profound consequences on the floristic composition, forest dynamics, carbon storage, and nutrient cycling in Amazonian forest fragments. © 2007 The Author(s).",85,Journal,ar,Article,100,3,3,Floristic composition | Fragmentation | Pioneers | Tree communities,13817,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548312360,SCOPUS_ID:34548312360,2-s2.0-34548312360,"Species dynamics during early secondary forest succession: Recruitment, mortality and species turnover",Van Breugel M.,Biotropica,00063606,17447429,39,5,610-619,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00316.x,"The ""Initial Floristic Composition"" hypothesis is applied to secondary tropical rain forest succession in abandoned agricultural fields with light previous land-use and close to seed sources. This hypothesis predicts that both pioneer and shade-tolerant species colonize a site directly after abandonment, and as the canopy closes, the recruitment of pioneers sharply declines, while recruitment of shade-tolerant species continues. It also predicts higher mortality among pioneers. Consequently, recruited and dead trees are expected to differ in species composition, with highest species richness for the recruits. During 18 mo, we monitored recruitment and mortality of trees with height ≥ 1.5 m in eight plots in abandoned cornfields with initial fallow age of 1-5 yr, in SE Mexico. Shade-tolerant species established in the first years of succession, albeit in low numbers. As predicted, recruited and dead trees differed in species richness and composition, and in shade-tolerant frequency. In contrast to our expectations, over 50 percent of recruits were from pioneer species, as high stand-level mortality opened new opportunities for continued pioneer colonization. Species turnover starts very early in succession but is not always a gradual and continuous process, complicating prevailing succession models. The strong spatial and temporal variability of succession emphasizes the need to monitor these dynamics in permanent plots across a range of initial stand ages, with multiple plots in a given age class. © 2007 The Author(s).",88,Journal,ar,Article,100,3,3,Initial floristic composition | Mexico | Secondary forest dynamics | Tropical wet forest,13817,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548294673,SCOPUS_ID:34548294673,2-s2.0-34548294673,Controls over leaf litter and soil nitrogen fixation in two lowland tropical rain forests,Reed S.,Biotropica,00063606,17447429,39,5,585-592,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00310.x,"Global comparisons suggest that rates of N fixation in tropical rain forests may be among the highest on earth. However, data supporting this contention are rare, and the factors that regulate N fixation within the biome remain largely unknown. We conducted a full-factorial (N × P) fertilization experiment in two lowland tropical rain forests in Costa Rica to explore the effects of nutrient availability on rates of free-living N fixation in leaf litter and soil. P fertilization significantly increased N fixation rates in both leaf litter and soil, and the effect was dependent on sampling date. Fertilization with N did not affect rates of N fixation at any time. In addition, variation in N fixation rates measured in unfertilized plots at four sampling time points suggested seasonal variability in N fixation: leaf litter N fixation ranged from 0.36 kg/ha/yr in the dry season to 5.48 kg/ha/yr in the wet season. Soil N fixation showed similar patterns ranging from a dry season low of 0.26 kg/ha/yr to a wet season high of 2.71 kg/ha/yr. While the observed temporal variability suggests potential climatic control over free-living N fixation in these forests, data suggest that neither soil nor leaf litter moisture alone regulate N fixation rates. Instead, we hypothesize that a combination of ample C availability, low leaf litter N:P ratios, and high rainfall coincide during the latter portions of the rainy season and drive the highest free-living N fixation rates of the year. © 2007 The Author(s).",109,Journal,ar,Article,100,3,3,Costa Rica | Fertilization | Free-living | Phosphorus | Tropical wet forest,13817,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548282070,SCOPUS_ID:34548282070,2-s2.0-34548282070,"Environmental control of early succession on a large landslide in a tropical dry ecosystem (Casita Volcano, Nicaragua)",Velázquez E.,Biotropica,00063606,17447429,39,5,601-609,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00306.x,"We described the plant communities on a large landslide in a human-dominated area of tropical dry forest landscape (Casita Volcano, Nicaragua) and in the adjacent forest, 3 yr after landslide occurrence. At both sites, we determined the relationships between spatial changes in environmental factors and the spatial distribution of species and plant traits. Subsequently, we tested the hypothesis that the compositional similarity between the landslide and the forest increased with a decrease in the distance from the forest edge and the width of the landslide. In the forest, the spatial distribution of species and plant traits was determined mainly by an elevational gradient that was associated with the amount of bare soil, whereas, on the landslide, there was no such gradient but species distributions were influenced mostly by the presence of residual agricultural and forest soils and human disturbance. We did not find an increase in compositional similarity between the landslide and the forest at the edge or in the narrow zones of the landslide. Compared to other landslides, the recovery process was strongly influenced by the extreme abiotic heterogeneity, climate seasonality, and human use in the area. The study of succession in tropical dry landslides located in densely populated zones should focus on understanding the response of regional ecosystems to a complex disturbance regime in which human-induced disturbances play a major role. © 2007 The Author(s).",24,Journal,ar,Article,100,2,2,Environmental factors | Forest recovery | Human disturbance | Plant communities,13817,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548277470,SCOPUS_ID:34548277470,2-s2.0-34548277470,"Photosynthesis and optimal light microhabitats for a rare cactus, Mammillaria gaumeri, in two tropical ecosystems",Cervera J.C.,Biotropica,00063606,17447429,39,5,620-627,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00311.x,"Mammillaria gaumeri, an endemic cactus from Yucatan, is threatened due to human-mediated habitat fragmentation but knowledge regarding factors that would inform management plans is limited, including information on optimal microhabitats and growth. We studied seasonal patterns of microclimate, net CO2 uptake and growth of adult individuals during the dry, rainy and northwind (late fall to winter) seasons in separate populations located in a coastal dune and in a dry forest. To provide an assay of primary productivity, we measured the production of new axillary buds (areoles) from the apex. We found that patterns of net CO2 uptake in the three seasons were consistent with obligate crassulacean acid metabolism. The reduction in soil water potential and the increase in water vapor pressure deficit led to a reduction in 24-h net CO2 uptake from 18.0 to 1.3 mmol CO 2/m2, after 30 d of drought. Dry-weight gain was maximal during the rainy season and there was no growth during the dry season, thus seasonal patterns of net CO2 uptake and growth for M. gaumeri reflected soil and atmospheric water contents. Annual dry-weight gain increased linearly with plant size and with total daily photosynthetic photon flux density (PPFD) up to 80 percent of ambient. Maximal growth was in exposed microhabitats receiving 60-80 percent of total ambient PPFD. We hypothesize that low-magnitude disturbances, resulting in more exposed microhabitats, might be beneficial for growth and conservation of adult individuals of this rare species. © 2007 The Author(s).",11,Journal,ar,Article,100,6,6,Cactaceae | Coastal dune | Crassulacean acid metabolism | Photosynthetic photon flux density | Relative growth rate | Tropical dry forest | Yucatan,13817,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548265117,SCOPUS_ID:34548265117,2-s2.0-34548265117,Regeneration of seasonal deciduous forest tree species in long-used pastures in central Brazil,Sampaio A.,Biotropica,00063606,17447429,39,5,655-659,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00295.x,"We tested the relationship between the length of pasture use and the density, richness, and composition of naturally regenerating tropical seasonal deciduous forest in pastures. We sampled regenerating trees in 25 pastures distributed in four age classes ranging from < 6 to 40 yr of use. Density and composition of regenerating trees did not change with pasture age, but richness was lower in 25- and 40-yr-old pastures. Nonetheless, a number of species seem to be able to resprout even after 40 yr of ranching. © 2007 The Author(s).",34,Journal,ar,Article,100,3,3,Braquiaria decumbens | Cerrado | Coppice shoot | Dry forest | Paranã River Basin | Resilience | Resprout | Root sucker,13817,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548259204,SCOPUS_ID:34548259204,2-s2.0-34548259204,Diploid male frequencies in Colombian populations of euglossine bees,López-Uribe M.M.,Biotropica,00063606,17447429,39,5,660-662,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00287.x,Some studies have recently reported high diploid male frequencies in euglossine bees indicating possible population declines. We estimated the genetic variability and frequency of males that are diploid in five Colombian species of euglossine bees using allozyme markers. Expected heterozygosities ranged from 0.10 to 0.23. Diploid males were found in three species with frequencies ranging from 8 to 32 percent. Our results suggest that some species are more susceptible to environmental changes and anthropogenic pressure. © 2007 The Author(s).,15,Journal,ar,Article,100,3,3,Allozyme markers | Colombia | Euglossini tribe | Genetic variability | Heterozygosity,13817,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34548256261,SCOPUS_ID:34548256261,2-s2.0-34548256261,Rain forest structure at forest-pasture edges in northeastern Costa Rica,Schedlbauer J.,Biotropica,00063606,17447429,39,5,578-584,2007-09-01,September 2007,10.1111/j.1744-7429.2007.00312.x,"Land-use change in the Sarapiquí region of Costa Rica has resulted in a fragmented forest landscape with abrupt edges between forest and pasture. Forest responses to edge effects vary widely and can significantly affect ecosystem integrity. Our objective was to examine forest structure at 20+ yr old forest-pasture edges in Sarapiquí. Three transects with 0.095-ha plots at seven distances from forest edges were established in each of six forest patches. Stem density, basal area, and aboveground biomass in trees and palms ≥ 10-cm diameter at breast height were measured in all plots. In addition, hemispherical photographs were taken to determine leaf area index, understory light availability, and percent canopy openness. Linear mixed-effects models showed significantly higher tree stem density at forest edges, relative to interiors, a pattern reflected by increased stem density, basal area, and aboveground biomass in small diameter trees (≤ 20 cm) growing near edges. No differences in total tree basal area, aboveground biomass, or hemispherical photograph-derived parameters were detected across the forest edge to interior gradient. The recruitment of small diameter trees following edge creation has contributed to the development of dense vegetation at the forest edge and has aided in the maintenance of similar tree basal area and aboveground biomass between edge and interior environments. These data reflect on the robustness of forest edges in Sarapiquí, a characteristic that will likely minimize future detrimental edge effects and promote a number of high-value environmental services in these forests. © 2007 The Author(s).",16,Journal,ar,Article,100,3,3,Edge effects | Forest fragmentation | Hemispherical photography | Tropical wet forest,13817,undefined,0,FALSE,20,NA,NA
