@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/1842855240,SCOPUS_ID:1842855240,2-s2.0-1842855240,"Characteristics of Carcharhinus galapagensis from Salas y Gómez Island, Chile (Chondrichthyes: Carcharhinidae)",Germán Pequeño R.,Revista de Biologia Tropical,00347744,51,3-4,795-796,2003-09-01,September 2003,NA,5,15162787,Journal,ar,Article,100,2,2,Carcharhinidae | Carcharhinus galapagensis | Chile | Salas y Gomez,13567,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842855239,SCOPUS_ID:1842855239,2-s2.0-1842855239,"Male and mosquito larvae survey at the Arenal-Tempisque irrigation project, Guanacaste, Costa Rica",Vargas V M.,Revista de Biologia Tropical,00347744,51,3-4,759-762,2003-09-01,September 2003,"A monitoring of male and larvae of mosquitoes was conducted during 1991-1994, at the Irrigation Project in Arenal-Tempisque, Guanacaste, Costa Rica. CDC CO2-baited traps were used to collect adults of mosquitoes and dips were used for immatures of culicids. A total of 1 480 larvae and 1 129 males of culicids were identified resulting in, Aedes with 6 species, Anopheles, Mansonia and Psorophora with 2 species, Culex with 21 species and Haemagogus, Limatus, Toxorhynchites and Uranotaenia with only one species each. The results indicate that, as occurred in other countries, irrigation projects must be under strict monitoring programs to prevent and control possible health problems in which mosquitoes act as vectors.",4,15162783,Journal,re,Review,100,2,2,Costa rica | Culicidae | Diptera | Guanacaste | Irrigation project | Monitoring mosquitoes,13567,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842844307,SCOPUS_ID:1842844307,2-s2.0-1842844307,In vitro establishment of Cryptomeria japonica (Taxocidaceae),Hine-Gómez A.,Revista de Biologia Tropical,00347744,51,3-4,683-690,2003-09-01,September 2003,"In this work, it was achieved to stablish in vitro shoots of Cryptomeria japonica from 20 year old trees. The shoots were disinfected and treated with six different concentrations of kinetin and belciladenine in order to induce their development and budding. It was evaluated the effect of quality and lighting intensity on these using for this orange light at 20 μEs -1m-2 and white light at 30 μEs-1m -2. For shoots rooting it was used different concentrations of NAA (naftalen acetic acid) and IBA (indolbutiric acid) alone or combined. BA and KIN induced the bud formation in Cryptomeria but it was observed the best budding with BA at 9.1 μM. White light and orange light promoved the growth of explants as well as the growth of new buds but it was higher with orange light. The bud rooting was observed but it was not posible to find the best auxin concentration for rooting because of the plentiful callus formation on the base of explants and the root formation was very sporadic. The rooted shoots were placed on a substrate for their acclimatation in greenhouse conditions.",3,15162774,Journal,ar,Article,100,2,2,Cryptomeria japonica | Forestry species | Micropropagation | Taxocidaceae | Tissue culture,13567,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842844306,SCOPUS_ID:1842844306,2-s2.0-1842844306,Sexual phase of the ferns Odontosoria schlechtendalii and Odontosoria scandens (Dennstaedtiaceae),Granados B.,Revista de Biologia Tropical,00347744,51,3-4,675-681,2003-09-01,September 2003,"The results of morphogenesis studies of the sexual phase of Odontosoria schlechtendalii and O. scandens are presented in this paper. In O. schlechtendalii and O. scandens the spores are triletes, non-chlorophyllous, and germinación is of the Vittaria-type, devoid of perine, the exine is smoth and sometimes coarsely ridged to reticulate. The development pattern is of the Adiantum-type. The adult gametophyte is cordate-spathulate, with probable presence of anteridiogen in O. schlechtendalii, both species are glabrous. Sex organs are of the common type of the leptosporangiate ferns. The first leaves appeared after 56-92 days of culture, with petiole and plate divide narrow, trichomes bifurcate and stomate anomocytic.",3,15162773,Journal,ar,Article,100,3,3,Dennstaedtiaceae | Gametophyte | Germination | Greater Antilles | Mexico | Morphogenesis | Odontosoria,13567,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833411,SCOPUS_ID:1842833411,2-s2.0-1842833411,A name for Biología Tropical,Monge-Nájera J.,Revista de Biologia Tropical,00347744,51,3-4,617-620,2003-09-01,September 2003,NA,1,NA,Journal,ed,Editorial,100,3,3,NA,13567,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833410,SCOPUS_ID:1842833410,2-s2.0-1842833410,Sub-chronic toxicity and test of eye irritability of leaf aqueous extract from Plantago major (Plantaginaceae),González M.,Revista de Biologia Tropical,00347744,51,3-4,635-638,2003-09-01,September 2003,"For the sub-chronic toxicity an aqueous preparation of Plantago major leaves was tested in 20 male NGP mice, with an average weight of 20.15 g and separated in two groups of ten individuals each. The dose used was 2000 mg/kg and the control group received 0.5 ml of distilled water. The extract administration was done daily during five days at week for a total period of 40 days. Signs of sub-chronic toxicity were observed in the days two and 12 of treatment. No significant change in corporal weight was observed. The ocular irritation was tested in five New Zeland male rabbits, with an average weight of 3.640 kg. The dose used was a 200 μl the preparation (100 mg/ml) of Plantago major leaves, instill into the right eye and the control was used the left eye instill 200 μl of distilled water. The administration was done daily during five days. The extract shows no significant irritation during the observation period.",8,15162770,Journal,ar,Article,100,4,4,Herbal medicine | Irritation ocular | Llantén | Plantaginaceae | Plantago major | Sub-chronic toxicity,13567,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833408,SCOPUS_ID:1842833408,2-s2.0-1842833408,Polythene and plastic-degrading microbes in an Indian mangrove soil,Kathiresan K.,Revista de Biologia Tropical,00347744,51,3-4,629-633,2003-09-01,September 2003,"Biodegradation of polythene bags and plastic cups was analyzed after 2, 4, 6, and 9 months of incubation in the mangrove soil. The biodegradation of polythene bags was significantly higher (up to 4.21% in 9 months) than that of plastic cups (up to 0.25% in 9 months). Microbial counts in the degrading materials were recorded up to 79.67 × 104 per gram for total heterotrophic bacteria, and up to 55.33 × 102 per gram for fungi. The microbial species found associated with the degrading materials were identified as five Gram positive and two Gram negative bacteria, and eight fungal species of Aspergillus. The species that were predominant were Streptococcus, Staphylococcus, Micrococcus (Gram +ve), Moraxella, and Pseudomonas (Gram -ve) and two species of fungi (Aspergillus glaucus and A. niger). Efficacy of the microbial species in degradation of plastics and polythene was analyzed in shaker cultures. Among the bacteria, Pseudomonas species degraded 20.54% of polythene and 8.16% of plastics in one-month period. Among the fungal species, Aspergillus glaucus degraded 28.80% of polythene and 7.26% of plastics in one-month period. This work reveals that the mangrove soil is a good source of microbes capable of degrading polythene and plastics.",128,15162769,Journal,ar,Article,100,1,1,Avicennia | Degradation | Plastics | Polythene | Rhizophora,13567,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833403,SCOPUS_ID:1842833403,2-s2.0-1842833403,"In vitro multiplication of Toxoplasma gondii and Trypanosoma cruzi in mouse, rat, and hamster astrocytes",Troyo A.,Revista de Biologia Tropical,00347744,51,3-4,639-645,2003-09-01,September 2003,"The infection and multiplication of Toxoplasma gondii and Trypanosoma cruzi were compared in primary cultures of white rat, mouse and hamster astrocytes. These cells were cultured on cover slides and infected with T. gondii tachyzoites or T. cruzi blood trypomastigotes. Results show that hamster astrocytes are more susceptible to the multiplication of both parasites than rat and mouse cells. There was no statistical difference between the T. gondii infection in rat and mouse astrocytes (p<0.05), and this suggests an important role of other mechanisms or cells in the white rat natural resistance to this parasite. Because the hamster astrocytes are less resistant to these parasites multiplication and not necessarily to the invasion, any difference observed could be due to an intracellular effect: hamster brain astrocytes favor survival and multiplication of these parasites.",6,15162771,Journal,ar,Article,100,2,2,Astrocyte | Cell culture | Hamster | Mouse | Rat | Toxoplasma gondii | Trypanosoma cruzi,13567,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833397,SCOPUS_ID:1842833397,2-s2.0-1842833397,"Variation in fruit and seed size from 38 wild populations of Phaseolus lunatus (Fabaceae) from Central Valley, Costa Rica [Spanish with English abstract]",Vargas E.,Revista de Biologia Tropical,00347744,51,3-4,707-724,2003-09-01,September 2003,"We studied the morfological diversity in fruits and seeds in 38 wild populations of Phaseolus lunatus var. lunatus (lima beans) in the central valley of Costa Rica. In order to do so, measured the lenght and width of the fruits and the lenght, width and thickness of seeds. We also calculated the ratio between these traits and determined the weight of 100 seeds. In general, we found significant variation between populations for all variables. When we grouped the 38 populations into eight geographical regions within the study area, we found significant differences between regions. However, the levels of variation between populations within geographical regions was larger than that found between geographical regions. These findings suggested that there is no clear relationship between these variables and the geographical grouping established in this study. The implications of these findings for the establishment of strategies for in situ conservation of wild populations of lima beans are discussed.",11,15162777,Journal,ar,Article,100,4,4,Gene pool | Genetic diversity in situ conservation Leguminosae | Lima beans | Mesoamerica | Morphological variation,13567,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833396,SCOPUS_ID:1842833396,2-s2.0-1842833396,"Effect of diet protein on the development of young Australian lobsters, Cherax quadricarinatus (Decapoda: Parastacidae)",Torres A.,Revista de Biologia Tropical,00347744,51,3-4,749-751,2003-09-01,September 2003,"An experimental study was conducted from October to December, 1999, in the aquaculture facilities of CIBNOR SC, at La Paz, BCS. To evaluate the effect of diet protein level on the productive response, in juveniles of the australian lobster, Cherax quadricarinatus, diets with four levels of crude protein (20.45, 28.25, 37.33 y 45.44%), were formulated and probed. Growth, grow rate, survival, biomass and food conversion rate were greater in juveniles fed with diets of 37.33 and 45.44% of crude protein. It is concluded that diet protein level affects the productive response of redclaw and a level of 37% of crude protein in the diet is enough to obtain acceptable results.",3,15162781,Journal,ar,Article,100,4,4,Cherax quadricarinatus | Nutrition | Redclaw,13567,undefined,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833394,SCOPUS_ID:1842833394,2-s2.0-1842833394,"Effect of temperature on longevity and infection with the nematode Strelkovimermis spiculatus (Nemata: Mermithidae), a parasite of culicid mosquitoes",Achinelly M.,Revista de Biologia Tropical,00347744,51,3-4,753-757,2003-09-01,September 2003,"Strelkovimermis spiculatus is a common parasite of culicid species in Argentina. Effect of temperature on longevity and infectivity of juvenile preparasites of S. spiculatus was determined at 4, 10, 20 and 27°C. Three containers with 100 ml of dechlorinate water and 300 preparasites (12 hour-old), were placed for each day and temperature, during 40 days (total = 480 containers). Survived preparasites were counted on 12 containers per day (three for each temperature). When number of survived preparasites was determined, second instar larvae of Aedes aegypti were added to each container in a 10:1 ratio (preparasites:mosquito) to determine infectivity of daily survived preparasites. Longevity of preparasites decreased at higher temperatures. Maximum longevity of preparasites maintained at 4, 10, 20 and 27°C were 35, 30, 25 and 27 days, respectively. Survivorship of preparasites, exposed to the same temperatures, varied from 57% to 100% at day two, from 21% to 77% at day five and from 9% to 33% at day ten. Infectivity of preparasites maintained at temperatures from 4 to 27°C was always higher than 70%. Extended longevity with maintenance of the infectivity capacity of preparasites, are important attributes to consider S. spiculatus an effective mean of controlling a large number of culicid species between 4 and 27°C.",4,15162782,Journal,ar,Article,100,2,2,Aedes aegypti | Culicidae | Longevity | Mermithidae | Nematode | Parasitism | Strelkovimermis spiculatus,13567,undefined,0,FALSE,21,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833393,SCOPUS_ID:1842833393,2-s2.0-1842833393,"The fish fauna in tropical rivers: The case of the Sorocaba river basin, São Paulo, Brazil",Smith W.,Revista de Biologia Tropical,00347744,51,3-4,769-782,2003-09-01,September 2003,"A survey was carried out on the fish species in the Sorocaba River basin, the main tributary of the left margin of the Tietê River, located in the State of São Paulo, Brazil. The species were collected with gill nets. After identification of the specimens, their relative abundance, weight and standard length were determined. Up to the present moment there are not any studies that focus this subject in this hydrographic basin. Fifty-three species, distributed in eighteen families and six orders were collected. Characiformes were represented by twenty-eight species, Siluriformes by seventeen species, the Gymnotiformes by three species, Perciformes and Cyprinodontiformes by two species, and the Synbranchiformes by one species. Among the collected species there were two exotic. The most abundant species were Astyanax fasciatus and Hypostomus ancistroides. In relation to total weight the most representative species were Hoplias malabaricus and Hypostomus ancistroides. Cyprinus carpio, Prochilodus lineatus, Schizodon nasutus and Hoplias malabaricus were the most representative species in relation to average weight. Largest standard length were recorded for Sternopygus macrurus, Steindachnerina insculpta, Eigenmannia off. virescens and Cyprinus carpio.",18,15162785,Journal,re,Review,100,3,3,Brazil | Freshwater fishes | Lagoon | Reservoir | Sorocaba river | Spatial distribution,13567,undefined,0,FALSE,22,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842833387,SCOPUS_ID:1842833387,2-s2.0-1842833387,Sexual behavior of mutant strains of the medfly Ceratitis capitata (Diptera: Tephritidae),Briceño R.,Revista de Biologia Tropical,00347744,51,3-4,763-767,2003-09-01,September 2003,"Males of the mutant strains (blind, vestigal-winged) of the Mediterranean fruit fly (medfly), Ceratits capitata (Wiedmann) showed differences in behavior compared with control (mass-reared) males. Mutant males made fewer mating attempts and achieved fewer matings than control males. Vestigal-winged females copulated less frequently with both mutants. Blind males climbed rather than jumped onto females and copulated in very low numbers compared with control and vestigal males. Blind females copulated normally with control, males and in very low numbers with both types of mutant males.",1,15162784,Journal,ar,Article,100,1,1,Ceratitis capitata | Courtship behavior | Medfly | Mutants,13567,undefined,0,FALSE,23,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642418392,SCOPUS_ID:1642418392,2-s2.0-1642418392,Effect of arthropod extracts on the multiplication of Toxoplasma gondii in mouse peritoneal macrophages,Carmona M.C.,Revista de Biologia Tropical,00347744,51,2,317-320,2003-06-01,June 2003,"Treatment of toxoplasmosis usually causes secondary effects. It is important to find active substances extracted from natural organisms. In this work we studied some arthropod extracts that have effect against Toxoplasma multiplication inside mouse macrophages. After studying 382 extracts, 23 were selected on the basis of the activity and we found that 13 extracts from orders Polydesmida, Lepidoptera, Orthoptera and Hymenoptera exerted an important inhibition of Toxoplasma multiplication.",4,15162724,Journal,ar,Article,100,8,8,Insect extracts | Natural products | Toxoplasmosis | Treatment,13567,undefined,0,FALSE,24,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642418387,SCOPUS_ID:1642418387,2-s2.0-1642418387,Life history of Manataria maculata (Lepidoptera: Satyrinae) from Costa Rica,Ricardo Murillo L.,Revista de Biologia Tropical,00347744,51,2,463-469,2003-06-01,June 2003,"The life history and early stages of the satyrine butterfly Manataria maculata are described and illus-trated from Costa Rica. Eggs are laid on Lasiacis sp. (Panicoideae), a new non-bamboo host plant for the genus Manataria. The larval stage varied from 23 to 28 days, and the pupal duration was approximately 12 days when reared on Bambusa vulgaris and Guadua angustifolia in captivity at 23-24°C.",6,15162739,Journal,ar,Article,100,2,2,Bambusa vulgaris | Guadua angustifolia | Lasiacis | Manataria | Natural history | Neotropical | Patelloa xanthura | Tachinidae,13567,undefined,0,FALSE,25,NA,NA
