@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0022860892,SCOPUS_ID:0022860892,2-s2.0-0022860892,Sex-ratio selection in species with helpers-at-the-nest.,Emlen S.,American Naturalist,00030147,127,1,1-8,1986-01-01,1986,10.1086/284463,143,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,11,"Among many cooperatively breeding birds and mammals, grown offspring remain with their parents and aid them in rearing successive broods/litters of young. Through such actions, helpers can be said to 'repay' part of the cost of their production. When a strong sexual asymmetry exists in the preponderance of philopatry and helping behavior, selection should favor females that skew the sex ratio of their offspring in favor of the helping sex. Fisher's sex-ratio model is expanded to incorporate the concept of a sex-specific helper payback. The result is an imbalance in the evolutionarily stable strategy sex ratio at the termination of parental care; the magnitude of the imbalance is proportional to the product of P, the fraction of the helper sex that actually acts as helpers, and alpha , the average magnitude of the helper contribution measured relative to that of either parent. This formulation leads to the testable hypothesis that the male-biased adult sex ratio found in most species of cooperatively breeding birds may be a result rather than a cause of the helping behavior. -Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022858396,SCOPUS_ID:0022858396,2-s2.0-0022858396,Size-abundance relations in communities.,Griffiths D.,American Naturalist,00030147,127,2,140-166,1986-01-01,1986,10.1086/284475,37,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,12,"It is suggested that size-abundance relations in communities (community profiles) are frequently polymodal. Bird census data were used to test this possibility. At least 60% of the bird community profiles are polymodal, with the modes separated by 1.6-1.8 times. Organisms of particular sizes are much more likely than others to form abundance peaks. Community profiles for isects and planktonic particles also show evidence of polymodality. Not only do the abundance peaks contain more species than the troughs, but the mean abundance per species is also higher in the peaks. Some of the polymodality in bird communities is assocated with the vegetation structure and with bird guild structure. Species stacking, whereby the development of a size-abundance peak depends on the existence of an abundance peak of smaller organisms as a food source, is suggested as another, possibly major, contributor to polymodality.-from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022856437,SCOPUS_ID:0022856437,2-s2.0-0022856437,Shrub-steppe bird assemblages revisited: implications for community theory.,Dunning J.,American Naturalist,00030147,128,1,82-98,1986-01-01,1986,10.1086/284541,10,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,13,"Wiens and Rotenberry's shrub-steppe avifaunas, used to test predictions of competition theory, are characterized by low species number, variable total density of all species, and dominance by a few characteristic species. Variation in total species density is strongly affected by variation in densities of the dominant species, which can change dramatically from year to year. Analysis of 24 longterm censuses from a wide variety of North American habitats shows that these are not characteristics of breeding bird assemblages in general. A single study, that of a Connecticut swamp that flooded in 2 of the 8 census years, conformed to the pattern set by the shrub-steppe avifauna. This study confirms that environmental perturbation can produce the variability found by Wiens and Rotenberry, but also illustrates the severity of perturbation necessary for the bottleneck model. Thus, the shrub-steppe avifauna may not be a good model for determining the role of competition in avian communities. Fitness-set analysis suggests that the dominant species in the shrub steppe may be limited by resources during winter. Competition during the breeding season is better measured by factors reflecting reproductive success instead of winter survival. The importance of exploitation competition in structuring communities is a function of the frequency with which ecological bottlenecks occur: a gradient of conditions can be described, ranging from severe annual resource limitation and intense competition to irregular catastrophes and little intervening competition. Knowledge of the natural history of the species of interest, especially the timing of resource limitation, is critical to designing proper tests of competition-based community theory. -Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022856005,SCOPUS_ID:0022856005,2-s2.0-0022856005,Physiological constraints on life history phenomena: the example of small bear cubs at birth.,Ramsay M.A.,American Naturalist,00030147,127,6,735-743,1986-01-01,1986,10.1086/284522,68,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,14,"Bears give birth to tiny, immature neonates and, for eutherian mammals, display the most extreme deviations from the regression of litter weight on mother weight. This may reflect physiological constraints on the ability of a pregnant female to meet the requirements of fetal metabolism while in a state of winter dormancy and without access to food or water. Although all postnatal mammals can use body-fat stores to supply energy during fasting, the mammalian fetus does not appear to have the capacity for catabolizing significant quantities of free fatty acids. Instead, it requires glucose as the principal oxidative substrate. However, a fasting female could continue to supply glucose to a developing fetus through gluconeogenesis only by using her body protein, eventually jeopardizing her own survival. By shortening the period of gestation and giving birth to very small, immature neonates, a female would shift from transplacental to mammary nourishment of her offspring. Fatty acids from maternal lipid stores could then be incorporated into milk and used directly for nourishing the offspring. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854978,SCOPUS_ID:0022854978,2-s2.0-0022854978,Trends in scorpion diversity along the Baja California peninsula.,Due A.,American Naturalist,00030147,128,4,460-468,1986-01-01,1986,10.1086/284580,24,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,15,"The most diverse scorpion fauna in the world occurs in Baja California, with at least 53 species on the peninsula and an additional 8 species on the associated islands. Fewer species are found at the northern base of the peninsula (5) than either at the southern tip (8) or in the lower mid-peninsular region (10-13). This pattern is opposite to the one expected from the peninsular effect, which predicts that an equilibrium between extinction and (re)colonization will lead to fewer species at the tip of the peninsula than at the base. Colonization appears to be a relatively unimportant process. Diversity is high in the S because in situ speciation produces a large number of endemic species. Scorpion diversity along the Florida and Italian peninsulas also was analyzed. More species live at the tip in southern Florida than in the N. Potential (re)colonization comes from a direction opposite to that posited by the peninsular effect: from the rich Caribbean fauna rather than the species-poor N. Although the distribution of scorpions in Italy is consistent with that predicted by the peninsular effect, Italian scorpion biogeography can be explained more parsimoniously by examining the autecology of each species.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854811,SCOPUS_ID:0022854811,2-s2.0-0022854811,Associational plant defenses and the maintenance of species diversity: turning competitors into accomplices.,Hay M.,American Naturalist,00030147,128,5,617-641,1986-01-01,1986,10.1086/284593,259,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,16,"The palatable plants investigated gained significant protection from herbivores by associating with abundant competitors that were less susceptible to herbivory. When herbivores were excluded, palatable species associated with unpalatable ones grew at only 14-19% of the rate of palatable plants separated from unpalatable ones. When herbivores were present, however, palatable species appeared to depend completely on unpalatable competitors to provide microsites of reduced herbivory to prevent grazers from causing local extinction of the preferred species. The cost of being associated with a larger, unpalatable competitor was much less than the cost of increased consumption in the absence of that competitor. Under these conditions, one competitor can have a strong positive effect on another. In this community, increases in the abundance of common late-successional competitors led to increases, not decreases, in the abundance and number of other species and to retention, not exclusion, of early-successional species. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022854629,SCOPUS_ID:0022854629,2-s2.0-0022854629,Plant phenols and nutrients in relation to variations in climate and rodent grazing.,Jonasson S.,American Naturalist,00030147,128,3,394-408,1986-01-01,1986,10.1086/284570,84,Journal,ar,Article,100,4,4,12604,NA,undefined,NA,0,FALSE,17,"Measured several secondary metabolites and nutrients in 5 species of plants during 2 rodent cycles on alpine heath in N Sweden. There was no evidence that rodent grazing markedly affected the chemical composition of plants during the same or the subsequent year. Secondary metabolites and nutrients also failed to show any clear relationship to the 4-yr cycles in rodent density, which are probably caused by other factors. Instead, the levels of phenols and nutrients seem to vary according to climatic fluctuations. In warm summers, nutrient concentrations decreased and phenols increased in 4 of the plant species. The increased photosynthate in warm summers was possibly partly allocated to synthesis of phenols and other carbohydrates, causing a simultaneous dilution of nutrients. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854366,SCOPUS_ID:0022854366,2-s2.0-0022854366,Stable underdominance and the evolutionary invasion of empty niches.,Sloan Wilson D.,American Naturalist,00030147,127,6,835-850,1986-01-01,1986,10.1086/284528,146,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,18,"Complex adaptations are frequently polygenic passing through several relatively poorly adapted intermediate stages. Evolutionists frequently invoke density- and frequency-dependent selection to explain this process. The initial poorly adapted morphs are assumed to have high fitness because they use an unexploited resource or otherwise occupy an 'empty niche'. This process is explored with a single-locus selection model based on the differential utilization of 2 distinct resources. Unexploited niches can be invaded by poorly adapted morphs. Heterozygotes often have the lowest fitness at stable polymorphic equilibria. Stable 2-locus polymorphisms exist, in which the most heterozygous individuals are the least fit. In general, maladaptive phenotypes are frequently maintained in these models, and may present a biologically plausible framework in which to investigate evolutionary modifications of dominance, linkage, and mating that reduce the frequency of maladaptive phenotypes. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854239,SCOPUS_ID:0022854239,2-s2.0-0022854239,Does herbivory benefit plants? a review of the evidence.,Belsky A.,American Naturalist,00030147,127,6,870-892,1986-01-01,1986,10.1086/284531,657,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,19,"Several investigators claim that removal of or damage to the productive, absorptive, or reproductive tissue of plants by herbiores benefits some plant species by increasing their net primary productivity, seed production, or longevity, and that these changes increase plant fitness and result in the evolution of herbivore-plant mutualisms. Although >40 papers have been cited as presenting experimental evidence in support of these benefits and mutualisms, strong evidence is lacking. Increased plant biomass as a result of tissue removal has been found only under growth-chamber conditions and in cultivated crops. Although herbivores may benefit certain plants by reducing competition or removing senescent tissue no convincing evidence supports the theory that herbivory benefits grazed plants.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854147,SCOPUS_ID:0022854147,2-s2.0-0022854147,Mountain pine beetle outbreaks in the Rocky Mountain: regulators of primary productivity?,Romme W.,American Naturalist,00030147,127,4,484-494,1986-01-01,1986,10.1086/284497,139,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,20,"Considers the hypothesis that Dendroctonus ponderosae function as cybernetic regulators of primary productivity in ecosystems of lodgepole pine Pinus contorta forest through their selective killing of dominant trees and the subsequent redistribution of resources. Following a recent major beetle outbreak in Yellowstone and Grand Teton national parks, surviving trees did grow significantly faster; wood production was redistributed among canopy, subcanopy, and understory trees; and annual wood production per hectare usually returned to pre-attack levels or exceeded them within 10-15 yr. However, reconstructions of annual wood production over the last 70-80 yr indicate that the beetle outbreak did not reduce the variation in productivity; rather, the beetles introduced more variation than would have existed in their absence. The beetle- pine system shows great resilience, and the effects of beetles on primary productivity do not appear to be as severe as conventional wisdom maintains. Annual wood production per hectare returned quickly to previous levels in examined stands. -from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022854138,SCOPUS_ID:0022854138,2-s2.0-0022854138,Influence of sibling competition on nestling sex ratios of sexually dimorphic birds.,Bortolotti G.,American Naturalist,00030147,127,4,495-507,1986-01-01,1986,10.1086/284498,141,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,21,"Theoretically, the ratio of male to female offspring should equal the inverse ratio of the cost of their rearing. For birds exhibiting brood reduction, the cost of raising offspring sexually dimorphic in size may not be independent of the sex composition of the brood if males and females are not equally affected by sibling competition or are not equally effective at competing with a sibling of the opposite sex. Parents may thus manipulate the sex ratio of their brood to achieve an optimal combination of the sexes and to maximize their fitness. By examining the effects of sex, growth, and hatching asynchrony on the relative size of sibling bald eagles Haliaeetus leucocephalus it is shown that the probability of brood reduction is not equal among broods of different sex composition. The hatching sequence of male 1st and female 2nd was predicted to have the greatest chance of experiencing nestling mortality. This type of brood is rare in bald eagles because there is a sex-dependent hatching sequence whereby the 1st egg in mixed-sex clutches is predominantly female (93%). In contrast, golden eagle Aquila chrysaetos broods of female 1st and male 2nd appear to be the combination most likely to result in brood reduction. Golden eagles do not adjust their prenatal sex ratio, but there is a postnatal sex bias in favor of females caused by brood reduction in years of poor food availability.-Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022853504,SCOPUS_ID:0022853504,2-s2.0-0022853504,Length of birds' breeding seasons.,Wyndham E.,American Naturalist,00030147,128,2,155-164,1986-01-01,1986,10.1086/284551,67,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,22,"Published sets of breeding records for birds from 35 locations throughout the world were used to examine the relationship between length of the breeding season and latitude, annual rainfall, and altitude. The length of the breeding season was estimated as the number of equally good months for breeding (EGM). Sets of records came from a wide range of latitudes and levels of annual rainfall, but most records were from low altitudes. The EGM is negatively correlated with latitude, and it decreases by 1 mo for every 11o increase in latitude. There is no evidence of a difference in the EGM between Australia and Africa, but, latitude for latitude, Australia and Africa have a mean EGM 1.9 mo longer than elsewhere. The EGM of birds in arid and non-arid parts of Australia are of similar length, and birds of arid parts have quite well defined breeding seasons, particularly in southern (mid-latitude) regions. -Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022853257,SCOPUS_ID:0022853257,2-s2.0-0022853257,The delayed effect of fertility of preadult competition: two- species population dynamics.,Prout T.,American Naturalist,00030147,127,6,809-818,1986-01-01,1986,10.1086/284526,7,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,23,"The delayed effect on fertility of preadult crowding is incorporated into a model of competition between 2 species. Using the symmetric case of the exponential version of the Lotka- Volterra function, equilibrium solutions are examined for adults and eggs. When looking at adult numbers, this delayed effect can give the appearance of competitive interactions quite different from the true relationships and, in the extreme, can result in apparent mutualism between strong competitors. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022853132,SCOPUS_ID:0022853132,2-s2.0-0022853132,Evolution of host-plant manipulation by gall makers: ecological and genetic factors in the Solidago- Eurosta system.,Weis A.,American Naturalist,00030147,127,5,681-695,1986-01-01,1986,10.1086/284513,101,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,24,"The benefits derived by the insect from its interaction with the host plant suggest that gall-making ability is an adaptive trait of the insect subject to modification by natural selection. Findings, that variation in gall phenotype influences insect fitness and that gall phenotypic variation is affected by genetic variation in the insect population support this interpretation. Study of the goldenrod gall fly Eurosta solidaginis shows that gall size variation results from genetic variation among flies despite selective pressures by natural enemies. Eurosta larvae that produce small galls are vulnerable to the attack of parasitoid wasps; those producing large galls are more prone to attack by avian predators. Parasitoid attack was more intense; hence, a net upward selective pressure was exerted. Significant differences in gall diameter were found among full-sib families of gall makers. Gall dimensions were genetically correlated with one another at most developmental stages. Plant genotype also influences gall phenotype, and thus affects gall-maker vulnerability to natural enemies.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022852504,SCOPUS_ID:0022852504,2-s2.0-0022852504,A model for Drosophila melanogaster mating behavior.,Van Den Berg M.,American Naturalist,00030147,127,6,796-808,1986-01-01,1986,10.1086/284525,2,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,25,"Copulation-latency time is thought to be the quotient of 2 gamma -distributed variables, female reluctance and male vigor. When 2 parameters are assumed to be equal, it is possible to derive estimators for the relevant parameters of the distribution of the quotients. The model describes copulation-latency times of single pairs and the data of mass-mating experiments very well. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022852363,SCOPUS_ID:0022852363,2-s2.0-0022852363,Heterochrony and frogs: the relationship of a life history trait to morphological form.,Emerson S.,American Naturalist,00030147,127,2,167-183,1986-01-01,1986,10.1086/284476,75,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,26,"Frog species are often characterized by minor differences in relative hind-limb length. Although the length of the hind limb generally correlates with locomotor performance, differences between closely related species are often too small to affect jumping ability significantly. Heterochrony is suggested as a source of these minor shape variants, since 1) hind-limb and body lengths scale allometrically in frogs during development, and 2) there are significant differences in relative hind-limb length in frogs when developmental time is altered.-from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022850131,SCOPUS_ID:0022850131,2-s2.0-0022850131,Interspecific competition and niche changes in tits ( Parus spp.): evaluation of nonexperimental data.,Alatalo R.,American Naturalist,00030147,127,6,819-834,1986-01-01,1986,10.1086/284527,74,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,27,"Evaluated niche changes in European tits. In all 7 cases studied, 1 or 2 species showed a clear, divergent ecological shift in the area of sympatry. Likewise, Alatalo (1981) found a general pattern of divergence in foraging sites in mixed-species tit flocks compared with monospecific flocks. These significant tendencies toward divergent rather than convergent shifts in the presence of putative competitors cannot be explained by differences in the environment alone. The strongest evidence that interspecific competition causes niche changes comes from the observation that, within the guild, changes were found only in the species that morphologically most closely resembled the species that were absent in allopatry (weight ratio = or <1.2). -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022849924,SCOPUS_ID:0022849924,2-s2.0-0022849924,Preference and profitability: theory and experiment.,Stephens D.W.,American Naturalist,00030147,127,4,533-553,1986-01-01,1986,10.1086/284501,60,Journal,ar,Article,100,4,4,12604,NA,undefined,NA,0,FALSE,28,"Attempts to integrate the related problems of patch choice and prey choice within patches. Two models of prey choice within patches are discussed. One based on momentary rate maximizing (the take-the-most-profitable rule) has been presented previously. An alternative long-term rate-maximizing rule, the discrete-marginal-value theorem, is developed. An experimental test of these alternatives is presented using honeybee flower-choice behavior. Empirical results strongly favor the discrete-marginal-value theorem. The relative values of flowers affect honeybee flower choice as both models predict, but the overall richness of the habitat also affects flower choice as the discrete-marginal-value theorem predicts. Experimental results are consistent with data on the 'problem of self-control' in animal psychology. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022849288,SCOPUS_ID:0022849288,2-s2.0-0022849288,Theories and models of species abundance.,Hughes R.G.,American Naturalist,00030147,128,6,879-899,1986-01-01,1986,10.1086/284611,128,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,29,"Three theories of explanation for the observed patterns of species abundance in samples from animal and plant communities are reviewed; the niche-preemption hypothesis associated with the log-series distribution; the theory based on the central-limit theorem to explain the truncated lognormal distribution; and explanations associated with a recently published model of community dynamics. The relative performance of the log-series, lognormal, and dynamics models in predicting the species abundance in 222 samples from a wide range of communities is examined. The dynamics model predicts the species-abundance pattern of most samples with greater accuracy and provides an explanation of species abundance based on recognized and testable ecological principles. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022848837,SCOPUS_ID:0022848837,2-s2.0-0022848837,Population density and body size in birds.,Juanes F.,American Naturalist,00030147,128,6,921-929,1986-01-01,1986,10.1086/284613,48,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,30,"Re-examines the relationship of body size and density in birds by using data from many species within different areas and over a large range of body weights, and classifies these data by feeding type and habitat to test whether the relationship depends on food resources.-from Author",NA,NA
