@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/0028490803,SCOPUS_ID:0028490803,2-s2.0-0028490803,Susceptibility of the bacterium Vibrio cholerae to acid pH in salad vegetables: an ultrastructural view.,Rivera P.,Revista de biología tropical,00347744,42 Suppl 2,97-100,1994-01-01,Aug 1994,NA,1,7701087,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,11,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028490686,SCOPUS_ID:0028490686,2-s2.0-0028490686,A rotary shadow freeze-drying replica method for the three dimensional view of virus ultrastructure.,Hernández F.,Revista de biología tropical,00347744,42 Suppl 2,175-178,1994-01-01,Aug 1994,"A new rotary-shadowing process to obtain freeze-drying replicas is described for the analysis of virus ultrastructure, using the inner capsid of human rotavirus as a model. The findings corroborate the icosahedral symmetry with an arrangement pattern of capsomers of T = 13L.",1,7701085,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,12,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028490587,SCOPUS_ID:0028490587,2-s2.0-0028490587,Ultrastructural view of the bacterium Mobilucus mulieris: an approach to understand some problems for their isolation.,Hernández F.,Revista de biología tropical,00347744,42 Suppl 2,101-104,1994-01-01,Aug 1994,NA,1,7701082,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,13,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421823,SCOPUS_ID:0028421823,2-s2.0-0028421823,"Type I hypersensitivity to graminea pollens by tribe, in allergic rhinitis patients",Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"Type I Hypersensitivity to pollens of the Poaceae Family (Gramineae) organized by subfamilies and tribes were studied in 404 Costa Rican patients with a clinical diagnosis of Allergic Rhinitis and 100 non atopic subjects. Skin prick tests (for each tribe) were done with pooled samples from the species which are most abundant in Costa Rica (1/10 W/V, 50% glycerinated). The tribes were: Paniceae, Andropogoneae, Poeae, Aveneae, Oryzoideae and Chloridoideae (Eragrostoideae); 53% of the patients were positive to at least one of the tribes against 2% of the non atopic subjects. The most frequent tribe was the Aveneae with a 37.4% of positivity; the lowest was Paniceae with an 24.8% positivity. The provinces with the highest positivities to graminean pollens were Alajuela and Guanacaste with more than 60% of the rhinitic patients positive for at least one test. When an individual is positive to one tribe, it does not mean that this patient is positive to other tribes of this large Family. It is necessary to include all the tribes of the Poaceae Family present in a country or region to properly analyze allergic hypersensitivity to this family.",0,7708967,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,14,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421773,SCOPUS_ID:0028421773,2-s2.0-0028421773,"Type I hypersensitivity to pollen of the Poaceae family (Gramineae), by tribe, in atopic dermatitis patients",Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"Type I Hypersensitivity to Poaceae pollen was tested in 27 Costa Rican patients with a clinical diagnosis of Atopic Dermatitis (six were males). Skin prick tests were done with 1/10 W/V, 50% glycerinated, pollen extracts, organized by tribes. Most patients had several allergic problems. Sensitivity increased with the number of allergic diagnoses. Positivity ranged from 25% in patients with Atopic Dermatitis exclusively to 100% in those with three or four simultaneous allergic illnesses. Andropogoneae was highest with 37% while the lower positivity was in the Paniceae (22.2%).",1,7708968,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,15,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421696,SCOPUS_ID:0028421696,2-s2.0-0028421696,Type I hypersensitivity to gramineae pollen (by species) in allergic rhinitis patients,Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"A total of 184 Costa Rican Allergic Rhinitis patients with at least one positive skin prick test in a previous study were tested for reaction to Poaceae tribes and species compared with 100 non atopic subjects. Skin prick tests were applied for the most abundant species present in Costa Rica. Highest positivity rates among the Allergic Rhinitis patients were obtained with Anthoxatum odoratum (83.2%) (Tribe Aveneae), Panicum maximum (82.1%) (Paniceae), Panicum mole (78.3%) (Paniceae) and Holcus lanatus (77.7%) (Aveneae). The only species with a low percentage of positivity was Uniola pittieri. There was a high prevalence of positive prick tests to pollens of the Poaceae species used for food, including corn, sorghum, sugar cane and rice. All exceeded 60% of positive results in the patients (against 2% in controls). These cultivated species have a special pattern of flowering which can explain the known exhacerbation of allergic symptoms in patients with perennial allergic rhinitis.",6,7708971,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,16,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421686,SCOPUS_ID:0028421686,2-s2.0-0028421686,Pollen of gramineae and its relation with allergic manifestations in Costa Rica,Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"Allergy to pollen is a significant health problem in Costa Rica. This volume both reviews and presents new data on the subject, for which there are no similar comprehensive studies in other areas of Latin America. A description of the sampling methods is presented, as well as an introduction to work presented throughout the volume. A hundred control subjects were compared with 480 patients with rhinitis, conjuntivitis, bronchial asthma and/or atopic dermatitis. Poaceae pollen ranks first in Type I allergic sensitivization, because (1) it produces abundant pollen, (2) occurs in a variety of climates and habitats and (3) its proteins are particularly allergenic. In 1986, about 0.33% of the country's population became new allergy patients, and the rate is increasing. The normal extraction methods were satisfactory and were applied to frozen pollen with a mean active life of about three years. Prich tests were done for a period of two years using only extract combinations by tribe. A second stage used species-specific extracts (1/10 W/V 50% glycerine).",1,7708966,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,17,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421620,SCOPUS_ID:0028421620,2-s2.0-0028421620,"Pollen of gramineae and its botanical, taxonomical, and ecological aspects",Montiel Longhi M.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"This is a review of tropical pollens (Gramineae) which cause allergy, addressed to medical workers and with emphasis in the Costa Rican. The graminean family Poaceae is widely distributed and has great genetic plasticity. An evolutionary tendency to floral reduction has led to anemophily, with pollens ranging from large (e.g. corn, Zea mays) to very small (e.g. tribes Poae and Avenae). This family produces a large number of pollens per panicle. The early morning production of free pollen (before 8 am) enhances allergic problems. In contrast, in rice (Oryza sativa) most pollen is liberated near mid day, which favours long range dispersal because of more appropriate environmental temperature and humidity. This can explain why rice is the first cause of allergic sensitivization in the asthmatic patients of the Costa Rican driest provinces (Guanacaste and Puntarenas). Despite the small size of several temperate and tropical species are present, because of geographic position, climatic diversity, irregular topography, etc. This paper presents a general description of the subfamilies Pooideae, Panicoideae, Chlorideae (Eragrostoideae) and Oryzoideae (including the medically most important tribes). Their pollens are illustrated with light and electron microscopy.",4,7708965,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,18,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421564,SCOPUS_ID:0028421564,2-s2.0-0028421564,"Home range, use of habitat and daily activity of the gopher Orthogeomys heterodus (Rodentia: Geomyidae) in a Costa Rican horticultural area",Bonino N.,Revista de biología tropical,00347744,42,297-303,1994-01-01,1994 Apr-Aug,"Home range, daily activity and habitat use of four Giant Pocket Gophers Orthogeomys heterodus were determined by radiotelemetry. The study was carried out in a horticultural area of Cartago province, Costa Rica, during December 1989 and January 1990. Home range averaged 325 m2 for males and 233 m2 for females. There was a significant relationship between home range size and individual body mass. In average, 78% of localizations were in the nest or refuge located in all cases in the border of crops. Activity was greatest from 0600 to 0800 h and 1200 to 1400 h, and was reduced at night.",0,7480938,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,19,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421539,SCOPUS_ID:0028421539,2-s2.0-0028421539,The effect neutron irradiation of Uranium 235 on the venom of Lachesis muta muta (Ofidia: Viperidae),Becerra P.,Revista de biología tropical,00347744,42,319-322,1994-01-01,1994 Apr-Aug,"The effect of irradiation of the aqueous solution of L. m. muta venom was evaluated with thermic neutrons from Uranium-235 employing doses of 1.61 to 5.19 Gray. The venom was examined for protein content by the Folin Lowry Method modified by Stauffer; for acute toxicity by intraperitoneal route estimation in mice and for immunochemical tests by the antigen-antibody reactions evaluation. Neutronic radiation affects all evaluated parameters in venom (decrease in protein content levels, increase of LD50 values and decrease in the number of precipitating antigen-antibody) as shown by immunodiffusion and immunoelectrophoresis.",0,7480940,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,20,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421525,SCOPUS_ID:0028421525,2-s2.0-0028421525,"Incidence of Listeria monocytogenes in pasteurized ice cream and soft cheese in Costa Rica, 1992.",Monge R.,Revista de biología tropical,00347744,42,327-328,1994-01-01,1994 Apr-Aug,NA,8,7480942,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,21,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421524,SCOPUS_ID:0028421524,2-s2.0-0028421524,Isolation of the bacteria Ureaplasma sp. in the reproductive tract of milking cows in Costa Rica,León B.,Revista de biología tropical,00347744,42,9-13,1994-01-01,1994 Apr-Aug,"This is the first report of Ureaplasma sp. from the reproductive tract of Costa Rican cows. Among 204 animals sampled from 11 dairy farms in the country's Central Plateau, the infection rate was 0-71%. Isolation was more frequent in vulvo-vestibular (38.7%) than in cervical swabs (23%). Ureaplasma was correlated with clinical granular vulvitis symptoms.",1,7480944,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,22,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421323,SCOPUS_ID:0028421323,2-s2.0-0028421323,"Type I hypersensitivity to gramineae pollen (by tribe), in bronchial asthma patients",Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,A total of 260 Costa Rican patients (106 males) with clinical diagnosis of Bronchial Asthma and 100 non atopic subjects were studied with skin prick tests for all Poaceae tribes. Allergic Type I Hypersensitivity to these pollens among the Bronchial Asthma patients reached 51.2% positivity to at least one tribe (2% in controls). The positivity to each tribe was lower than positivity to at least one tribe. Up to 25.4% of positive patients could missed by not testing for all tribes present in the country. The pollen of the Oryzeae tribe (rice) showed the highest positivity among the Bronchial Asthma patients of Guanacaste Province. This province produces most of the country's grains. Type I Allergic Hypersensitivity to Poaceae Family pollens in Bronchial Asthma patients in Costa Rica was higher than expected.,1,7708970,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,23,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421189,SCOPUS_ID:0028421189,2-s2.0-0028421189,Correlation of allergy positivity for the tests of gramineas between tribes and species,Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"In a sample of 190 Costa Rican allergic patients and 100 non atopic subjects there was a positive correlation of positivities in skin prick tests to individual Poaceae species and to the Tribe. The exceptions were Panicum maximun, Panicum molle, and Holcus lanatus, because they presented higher individual positivities. A table of correlations among tribes is included. Skin prick tests for Poaceae pollens should be organized by tribes to prevent a 25% of false negative cases.",0,7708972,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,24,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028421154,SCOPUS_ID:0028421154,2-s2.0-0028421154,Cicatrization effect of Jatropha curcas latex (Angiospermae: Euforbiaceae),Salas J.,Revista de biología tropical,00347744,42,323-326,1994-01-01,1994 Apr-Aug,"The wound healing effects of Jathopha curcas latex upon surgical wound produced in Balb/c mice skin, were studied with a modification of the Hoowes-Sooy-Harvey method. The effects of topical treatment using single 50 ul doses of latex at different dilutions (10% to 100%) was compared with a multiple dose treatment (four 25 ul/dose q12h, latex 5% to 100%). The single dose treatment with 10%, 50% or 100% latex and the multiple dose treatment with dilutions between 5% and 10%, have a healing effect but only on males. The multiple dose treatment with 50% or pure undiluted latex produced caustic lesions to treated skin.",12,7480941,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,25,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421152,SCOPUS_ID:0028421152,2-s2.0-0028421152,"Patterns of reproduction among the Fang of Nsork (Equatorial Guinea): pregnancies, abortions and child spacing.",Sainz de la Maza Kaufmann M.,Revista de biología tropical,00347744,42,315-318,1994-01-01,1994 Apr-Aug,"Fang women are known to practice virtually no contraception but for them induced abortion is not an acceptable option. Their reproductive behaviour consequently is governed by the ability to conceive, spontaneous intrauterine mortality and child spacing (due to prolonged breast-feeding and sexual abstinence). In a sample of 587 women from one hospital and one clinic in Nsork, there was a positive correlation between maternal age and the number of pregnancies, resulting in a mean of 5.52 pregnancies per female and one child born every 2.5 years. The reported spontaneous abortion rate was 28.6%.",2,7480939,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,26,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028421113,SCOPUS_ID:0028421113,2-s2.0-0028421113,Effects of Casimiroa edulis (Rutacea) on blood pressure and heart rate in albino rats,García González M.,Revista de biología tropical,00347744,42,115-119,1994-01-01,1994 Apr-Aug,"Aqueous extracts of Casimiroa edulis leaves injected intravenously to 20 normal Sprague-Dawley rats produced a rapid and transitory increase in blood pressure. The amplitude of the blood pressure rise was dose dependent. The increase was statistically significant (p < or = 0.01) at a concentration of 220 mOsm/l, and was associated with a significant heart rate decrease (p < or = 0.01) probably secondary to barorreceptor stimuli. The application of 130 mOsm/l of the extract did not produce a significant increase in blood pressure, which was followed by a rapid pressure normalization. The slight increase in cardiac rate during the pressure lift was probably due to sympathetic stimuli.",8,7480935,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,27,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028420795,SCOPUS_ID:0028420795,2-s2.0-0028420795,"Type I hypersensitivity to gramineae pollen (by tribe), in allergic conjunctivitis patients",Riggioni O.,Revista de biología tropical,00347744,42 Suppl 1,NA,1994-01-01,Apr 1994,"A total of 84 Costa Rican patients with a clinical diagnosis of Allergic Conjuntivitis (with or without other allergic diagnosis) and 100 non atopic subjects were studied by prick tests for all of Poaceae Tribes present in Costa Rica. Positivity was recorded in 70% of the Allergic Conjunctivitis patients for at least one of the tribes (against 2% of controls). An increase in the number of analysed tribes correlated with a higher number of patients allergic to graminean pollens. Guanacaste Province had the highest positivity, and patients aged 11 to 20 years were the most sensitive. Aveneae had the highest positivity except in Alajuela Province, in which Paniceae was highest in positivity. Poaceae pollens are very important in allergic hypersensitivity among Allergic Conjunctivitis patients. Prick tests for all the tribes present in the country are required to fully detect positivity to this family.",0,7708969,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,28,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028420714,SCOPUS_ID:0028420714,2-s2.0-0028420714,Reproduction and average size at maturity of the trout Oncorphynchus mykiss (Salmoniformes:Salmonidae) in the Venezuelan Andes),Bastardo H.,Revista de biología tropical,00347744,42,263-270,1994-01-01,1994 Apr-Aug,"From January 1987 to February 1988, a total of 393 rainbow trout were captured in a high mountain stream of the Venezuelan Andes (8 degrees 40'N; 71 degrees 5'W). Gonadal development was measured using the Nikolsky method. The mean size for sexual maturation was analyzed with the method of relative frequency of adults and young for each size class. Males reproduced throughout the year, while ripe females were observed only in January (11%). A half of the males was sexually mature at the minimum size of 13.40 cm SL (16.25 for females). All individuals were sexually mature at 26.40 cm (males) and 26.80 cm (females).",2,7480937,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,29,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028420693,SCOPUS_ID:0028420693,2-s2.0-0028420693,Cockroaches as transport hosts of the protozoan Toxoplasma gondii.,Chinchilla M.,Revista de biología tropical,00347744,42,329-331,1994-01-01,1994 Apr-Aug,NA,24,7480943,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,30,1-2
true,https://api.elsevier.com/content/abstract/scopus_id/0028420682,SCOPUS_ID:0028420682,2-s2.0-0028420682,Seroepidemiology of Toxoplasma gondii (Apicomplexa) in meat producing animals in Costa Rica.,Arias M.,Revista de biología tropical,00347744,42,15-20,1994-01-01,1994 Apr-Aug,"A serologic screening for Toxoplasma gondii antibodies by IgG indirect fluorescent antibodies test (IgG-IFAT) was carried among 496 swine and 601 cattle serum samples from throughout Costa Rica, to study the possible role of their meat in the transmission of the parasite. The overall prevalence of antibodies was 34.4% in cattle and 43.8% in swine. No significant differences were found in the antibody prevalence between males and females in both animal groups, which acquire the infection early in their lives. Swine did not present significant differences between age groups. In cattle there was a high percent of seropositivity between the first and third years of age. The provinces that showed a greater number of seropositive animals were Limón and Puntarenas for both animals, and Guanacaste for cattle.",21,7480936,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,31,1-2
