@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0032444659,SCOPUS_ID:0032444659,2-s2.0-0032444659,"Species richness, spatial variation, and abundance of the soil seed bank of a secondary tropical rain forest",Butler B.,Biotropica,00063606,30,2,214-222,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00056.x,"Despite the importance of the soil seed bank in tropical forest regeneration, little is known about spatial variability in species composition and abundance of seeds stored in the soil. To develop sampling methods for comparative studies, we examined species richness, spatial variation, and abundance of germinants from the soil seed bank in a 16 year old secondary, tropical wet forest at La Selva Biological Station, Costa Rica. Surface soil (10 cm deep, 4.7 cm diameter) was collected at the intersection points of a gridded 1 ha plot (10 × 10-m grid, 121 samples) and in a nested 100 m2 subplot (2 × 2-m grid, 36 samples). The 1 ha plot had a density of 4535 seeds/m2 with 34 species observed. Based on a series of 100 randomized species accumulation curves, a Michaelis-Menten fit predicted a mean species richness of 36.3 species; the number of observed species was close to the predicted asymptote. A nonparametric, first-order jackknife species richness estimtor predicted a species richness of 37.0 species. Eighty-five and 95 percent of the observed species richness is contained, on average, within 41 and 74 pooled samples, respectively. Within the 100 m2 nested subplot, a density of 5476 seeds/m2 was observed, comprising 26 species with an estimates species richness (Michaelis-Menten fit) of 29.1 species. The jackknife species richness estimator predicted a species richness of 36.7 species. For species richness and abundance of both plots, spatial autocorrelation statistics (Moran's I) were not significantly different from zero at lag distances from 2 to 100 m, indicating a random distribution at these spatial scales. For this site, accurate estimates of species composition depend upon the number of samples collected as well as the spatial distribution of sampling effort. Many small samples distributed over a large area provide greater accuracy and precision for estimating species richness of the soil seed bank.",68,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032444388,SCOPUS_ID:0032444388,2-s2.0-0032444388,Long-term effects of forest regrowth and selective logging on the seed bank of tropical forests in NE Costa Rica,Dupuy J.,Biotropica,00063606,30,2,223-237,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00057.x,"To investigate long-term effects of land use on the soil seed bank, we compared the abundance/density, species richness, life form distribution, and species composition of seeds sotred in the soil of four 15-20 yr-old second-growth stands, two old-growth stands, and two previously selectively-logged stands in the Caribbean lowlands of Costa Rica. Surface soil (10 cm deep, 4.7 cm diameter) was collected at 10 m intervals along three 120-160 m long transects in each stand (44-48 soil cores, 22-24 combined seed bank samples per site). Seed density was highest but variable in second-growth stands (8331-1435 seeds/m2), low and homogeneous in old-growth stands (2258-2659 seeds/m2), and intermeidate and highly variable in selectively-logged stands (1165-6954 seeds/m2), which also had contrasting logging intensities. Species richness was strongly dependent on seed density, but showed less variation. Life form distribution did not differ statistically among or within land-use categories. In each stand, herbs-forbs, shrubs, and vines dominated the seed bank (>75% of the species richness and abundance), whereas trees were a minor component (<20% of the species richness and <5% of the abundance) and were predominantly early successional. Shrubs and vines were most abundant in second-growth stands where regrowth vegetation was repeatedly cut before abandonment, whereas grasses and sedges were most abundant in the only forest stand that was completely surrounded by pastures. In terms of species composition, old-growth stands were more similar to selectively-logged stands than to second-growth stands, but across stands, selectively-logged forests were most distinct from the other two forest types. An inventory of the standing woody vegetation in each site showed little representation of the woody taxa found in the seed bank. We discuss these results in the context of the main factors that have been postulated to influence the abundance, life form, and species composition of tropical forest seed banks, and explore the role of the latter during intermediate phases of tropical forest succession and regeneration.",62,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032444386,SCOPUS_ID:0032444386,2-s2.0-0032444386,The contribution of ant-plant protection studies to our understanding of mutualism,Bronstein J.,Biotropica,00063606,30,2,150-161,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00050.x,"One common class of ant-plant mutualism involves ants that defend plants from natural enemies in return for food and sometimes shelter. Studies of these interactions have played a major role in shaping our broad understanding of mutualism. Their central contribution has come via their development of approaches to measuring the benefits, costs, and net outcomes of mutualism, and their explicit consideration of variability in all of these phenomena. Current research on these interactions is suggesting ecological and evolutionary hypotheses that may be applicable to many other forms of mutualism. It is also generating comparative data for testing the few general theories about mutualism that currently exist.",240,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032443426,SCOPUS_ID:0032443426,2-s2.0-0032443426,Density patterns of Piper ant-plants and associated arthropods: top-predator trophic cascades in a terrestrial system?,Letourneau D.,Biotropica,00063606,30,2,162-169,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00051.x,"Top-predator (fourth-trophic-level) controlled trophic cascades are thought to be uncommon in terrestrial systems, but actual quantitative tests and comparisons of bottom-up and top-down forces in systems with more than three linear trophic levels are rare. Here, we describe the density patterns of the arthropod community associated with Piper ant-plants in Costa Rican wet forests. Consumers in this community comprise a complex, interacting web of herbivores, predaceous ants, and predators of ants. Although the hollow stems and petioles of the Piper plants provide some protection to resident ants from predation, specialized Dipoena spiders and Phyllobaenus beetles exploit Pheidole ants inhabiting Piper plants. We report abundance patterns of plants, ants and predators in four forests. These patterns of abundance are consistent with predictions of top-down cascades across four trophic levels when the top predators are effective (beetles). We discuss how top-down and bottom-up forces may interact in systems wiht less effective top predators (spiders).",39,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032438738,SCOPUS_ID:0032438738,2-s2.0-0032438738,Characterizing a forest mosaic and its dynamics in an evergreen tropical rainforest,Riéra B.,Biotropica,00063606,30,2,251-260,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00059.x,"Using a 0.78 ha transect in an undisturbed forest in French Guiana, we sought a typology of forest mosaic units (5 × 5 m quadrats) based on diameter distribution with three main classes of trees ≥5 cm DBH. We identified nine basic structural types corresponding to potential stages of a sequence of development from colonization of gaps to filling of the vertical space mong three layers. Two enumerations made over a 10-year interval (1981 and 1991), enabled a transition matrix to be estimated. This summarizes movement between structural types over the period and enables ideas on dynamics to be discussed.",10,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032438459,SCOPUS_ID:0032438459,2-s2.0-0032438459,Thrips cross-pollination of Popowia pisocarpa (Annonaceae) in a lowland dipterocarp forest in Sarawak,Momose K.,Biotropica,00063606,30,3,444-448,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00078.x,"This paper reports thrips (Thysanoptera) cross-pollination in the primitive angiosperm, Popowia pisocarpa (Annonaceae), in lowland rain forest of Sarawak, Malaysia. Flowers of P. pisocarpa have a tiny pollination chamber (3-4 mm in depth) with the entrance almost closed by the disk-shaped stigmatic heads, allowing only small insects to enter. Experiments showed that thrips were effective pollinators and flowers of P. pisocarpa were self-incompatible. Seed set was limited by pollen. Clumped adult trees had higher seed-set than more distant individuals (>5 m from nearest flowering neighbor), indicating limited inter-tree movement by thrips.",49,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,16,Malaysia | Pollination | Popowia pisocarpa | Rainforest | Sarawak | Seed set | Thrips | Thysanoptera,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032436562,SCOPUS_ID:0032436562,2-s2.0-0032436562,Seasonal foliage changes in the eastern Amazon basin detected from Landsat Thematic Mapper satellite images,Bohlman S.,Biotropica,00063606,30,3,376-391,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00072.x,"Seasonal changes in tropical forests are difficult to measure from the ground, especially in areas of high species diversity and low phenological synchrony. Satellite images, which integrate individual tree canopies and cover a large spatial extent, facilitate tests for stand-level canopy phenology. Variability in near-infrared radiance (TM bands 4 and 5) of several distinct vegetation types was used to detect seasonal changes in a series of three Landsat Thematic Mapper (TM) images from the wet season to the dry season in Maraba, Brazil (eastern Amazon basin). Despite different atmospheric and instrumental conditions among the images, spectral changes were distinguishable. A phenological process (leaf aging, leaf drop, water stress) was determined from the spectral changes for each vegetation type. Changes in the spectral properties suggest that during the dry season, upland terra firme forest increased the rate of leaf exchange and some riparian vegetation was deciduous. Terra firme forest that had been altered by penetration of fires from nearby pastures increased in leaf biomass over a 14-month period. This study shows that a time series of images can provide information on temporal changes in primary vegetation and guide field studies to investigate seasonal changes that may not be detectable from the ground.",22,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,17,Brazil | Landsat Thematic Mapper | Maraba | Phenology | Temporal variation | Tropical forest | Vegetation mapping,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032430938,SCOPUS_ID:0032430938,2-s2.0-0032430938,"Hurricane disturbance, plant-animal interactions, and the reproductive success of a tropical shrub",Pascarella J.,Biotropica,00063606,30,3,416-424,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00075.x,"Hurricane disturbance may have strong effects on plant-animal interactions important in plant reproductive success. Components of reproductive success (flowering, pollination, seed predation) in the tropical shrub Ardisia escallonioides (Myrsinaceae) were examined from 1991-1994 in four southern Florida populations. Hurricane Andrew struck three of the four populations on 24 August 1992. Hurricane Andrew delayed flowering by two months in 1992. In 1993 and 1994, the three hurricane-damaged populations had increased flowering and inflorescence production compared to 1991 and 1992, while the undamaged population had no flowering. Hurricane disturbance had different effects on generalist versus specialist plant-animal interactions. Species composition and relative abundance of the generalist pollinator community that visits A. escallonioides was similar before and after the hurricane, indicating little effect of the disturbance on this interaction. In contrast, populations of a specialist flower galling moth (Periploca sp., Cosmopterigidae) declined in 1992 following Hurricane Andrew. Although moth populations increased at two of the three sites in 1993, the relative impact of moth predation on seed production was low due to extensive flower production. One moth population suffered local population extirpation for two years, reestablishing itself in November 1994. Hurricane disturbance resulted in a window of opportunity for massive seed production of Ardisia escallonioides in south Florida. Total seed production in 1993 increased twelve to seventy-three times the 1992 levels. Total seed production declined in 1994, but remained high compared to prehurricane levels.",38,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,18,Ardisia escallonioides | Cosmopterigidae | Environmental disturbance | Florida | Hurricane | Lepidoptera | Periploca | Pollination | Reproductive success | Seed predation | Shrub | United States,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426950,SCOPUS_ID:0032426950,2-s2.0-0032426950,Microclimate change and effect on fire following forest-grass conversion in seasonally dry tropical woodland,Freifelder R.,Biotropica,00063606,30,2,286-297,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00062.x,"We tested the hypothesis that, where fire has historically been infrequent, wooded areas that have been invaded by grasses and converted to grassland by fire are predisposed to future fire compared to adjacent areas that remain wooded; thus, an initial forest fire may promote future fires. We compared microclimate between a grass-dominated burned area and as nearby grass-invaded woodland that has not burned in recent history, both located in the submontane dry forest of Hawaii Volcanoes National Park. The results were used to parameterize BEHAVE, a fire behavior prediction model developed by the USDA Forest Service. The model's predictions include probability of ignition, intensity, rate of spread, and tree mortality. Contrary to expectations, daytime hourly mean temperatures were higher and relative humidity was lower in the woodland site. However, the differences in temperature and humidity were not great enough to affect spread rate or probability of ignition. Wind speeds were substantially greater in the grassland, and this was most important in driving differnces in modeled fire spread. Given similar synoptic conditions, a fire started in the grassland can be expected to spread an order of magnitude faster than one started in the woodland.",39,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426684,SCOPUS_ID:0032426684,2-s2.0-0032426684,Interspecific territoriality by a rufous-tailed hummingbird (Amazilia tzacatl): effects of intruder size and resource value,Dearborn D.,Biotropica,00063606,30,2,306-313,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00064.x,"I studied two aspects of interspecific territoriality in a Costa Rican nectarivorous bird, the rufous-tailed hummingbird (Amazilia tzacatl). First, I examined variation in the response of the territory holder to four species of intruding hummingbirds by quantifying the proportion of intruders chased from the territory. This measure of territory defense varied significantly among species of intruders and was negatively related to the intruding species' body mass, possibly due to potential costs associated with becoming involved in escalated contests with larger individuals. Second, I tested for an effect of resource manipulation on territory defense. I increased the resource value of the territory by injecting extant natural flowers with artificial sucrose solutions. While the frequency of territorial intrusions did not change, the proportion of intruders chased by the territory holder increased. Apparently, nectar supplementation changed the territory holder's perception of resource value but had little impact on the intruders' perception.",39,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426126,SCOPUS_ID:0032426126,2-s2.0-0032426126,Typhoon disturbance and stand-level damage patterns at a subtropical forest in Taiwan,Mabry C.M.,Biotropica,00063606,30,2,238-250,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00058.x,"We examined the typhoon wind disturbance regime of the Fu-Shan Experimental Forest in northeastern Taiwan. Mean number of typhoons passing within 200 kilometers of Taipei (40 kilometers from the site) was 1.4 per year. Category 4 and 5 typhoons, which are intense enough to uproot large numbers of trees, occurred every 8.3 and 12.5 years respectively, although it is likely that some category 4 and 5 typhoons did not produce extensive blowdowns at Fu-Shan because the area of maximum winds missed the study site. Uprooting was more common than snapped boles; the most common damage to trees, however, was probably defoliation, although this damage was not quantified in the current study. Thirty-five percent of wind-damaged trees were associated with a gap. Six percent of the land area was in gaps. Canopy turnover time was calculated at 175 years when all gaps ≤ 9 years old were included in the calculation, but the time decreased when older gaps were excluded from the calculation. Turnover time was somewhat higher than calculated for other tropical forests. Because turnover time increases as the percent of land in gaps decreases, the short life span of gaps at Fu-Shan probably contributed to our higher calculated time. Probability of being damaged was not related to tree species identity, and only a few species of trees were found regenerating in gpas. Principal Components Analysis indicated that damaged trees varied largely in treefall orientation and aspect; gaps varied primarily in aspect and in gap size.",82,Journal,ar,Article,100,6,6,13817,undefined,0,FALSE,21,NA,NA,NA
