@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0028163951,SCOPUS_ID:0028163951,2-s2.0-0028163951,Scale dependence and the species-area relationship,Palmer M.W.,American Naturalist,00030147,144,5,717-740,1994-12-01,1994,10.1086/285704,304,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,22,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163949,SCOPUS_ID:0028163949,2-s2.0-0028163949,Nonbiological gradients in species richness and a spurious Rapoport effect,Colwell R.K.,American Naturalist,00030147,144,4,570-595,1994-12-01,1994,10.1086/285695,523,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,23,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163948,SCOPUS_ID:0028163948,2-s2.0-0028163948,Habitat persistence and the evolution of wing dimorphism in insects,Roff D.,American Naturalist,00030147,144,5,772-798,1994-12-01,1994,10.1086/285706,155,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,24,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163939,SCOPUS_ID:0028163939,2-s2.0-0028163939,Energy conservation and the evolution of flightlessness in birds,McNab B.,American Naturalist,00030147,144,4,628-642,1994-12-01,1994,10.1086/285697,150,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,25,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163405,SCOPUS_ID:0028163405,2-s2.0-0028163405,Resource use and the survival of land and freshwater vertebrates on oceanic islands,McNab B.,American Naturalist,00030147,144,4,643-660,1994-12-01,1994,10.1086/285698,101,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,26,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163356,SCOPUS_ID:0028163356,2-s2.0-0028163356,Pollen discounting in Erythronium grandiflorum: Mass-action estimates from pollen transfer dynamics,Holsinger K.,American Naturalist,00030147,144,5,799-812,1994-12-01,1994,10.1086/285707,48,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,27,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163313,SCOPUS_ID:0028163313,2-s2.0-0028163313,Character release and displacement in fishes: A neglected literature,Robinson B.W.,American Naturalist,00030147,144,4,596-627,1994-12-01,1994,10.1086/285696,438,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,28,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163312,SCOPUS_ID:0028163312,2-s2.0-0028163312,"The macroecology of Cyprinella: Correlates of phylogeny, body size, and geographical range",Taylor C.M.,American Naturalist,00030147,144,4,549-569,1994-12-01,1994,10.1086/285694,104,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,29,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028602661,SCOPUS_ID:0028602661,2-s2.0-0028602661,Male-female conflict and parent-offspring conflict,Queller D.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285654,55,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,30,NA,NA,"Although the male competition half of sexual selection theory is now widely applied in plant studies, there is still little agreement on female choice in plants. One of the main reasons is that plants probably have relatively little opportunity to choose males directly. Choice is more likely to be exerted on traits of postpollination entities such as pollen tubes, endosperms, or embryos, which seems to place the interactions into the realm of parent-offspring relations rather than sexual selection. Nevertheless, these two kinds of interactions have much in common; they have similar underlying causes and at least sometimes lead to similar results. Moreover, if genomic imprinting (differential expression of alleles inherited from the mother and father) turns out to be common, parent-offspring conflicts will often turn out to be a special case of male-female conflicts. These similarities suggest that it may indeed be useful to try to apply theory and methods from one area to the other. A new method is described for investigating the history and resolution of both male-female conflict and parent-offspring conflict. -Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028594458,SCOPUS_ID:0028594458,2-s2.0-0028594458,Bateman's principles and the measurement of sexual selection in plants and animals,Arnold S.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285656,215,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,31,NA,NA,"Bateman's (1948) approach to animal mating systems is generalized to provide a framework for studying sexual selection in plants and hermaphroditic animals. The key feature of this generalization is the realization that the relationship between fecundity and mating success can take a variety of forms beyond those observed in Bateman's data. Thus, under many circumstances, female animals, or the female function of a hermaphroditic plant or animal, can experience sexual selection. Path diagrams are used to show that sexual selection is a component of fecundity selection. Statistical procedures are discussed for measuring sexual selection in plant and animal populations with separate or combined sexes. -Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028578525,SCOPUS_ID:0028578525,2-s2.0-0028578525,Sexual selection in plants: perspective and overview,Willson M.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285651,98,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,32,NA,NA,"In recent years, the number of articles on sexual selection has grown; in journals that regularly accept articles on both animals and plants, the frequency of these on sexual selection in plants has grown dramatically. However, articles that examine processes and outcomes related to sexual selection in plants often do not use the term ""sexual selection'. Sexual selection can occur at any phase of the reproductive process, from ""courtship' to postnatal stages, in plants as well as animals. Most of this work has addressed events or traits before fertilization, but postfertilization aspects of sexual selection are receiving increased attention. -from Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028572784,SCOPUS_ID:0028572784,2-s2.0-0028572784,"Models of sexual selection in hermaphrodites, especially plants",Morgan M.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285655,67,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,33,NA,NA,"Investigates how theoretical (especially quantitative genetic) models of sexual selection in hermaphrodites differ from those in species with separate sexes. Hermaphroditism poses no conceptual difficulties to application of sexual selection theory, and key characteristics of sexual reproduction are as relevant to hermaphroditic species as they are to separate sexed species. Hermaphroditism may, however, curtail opportunities for sex-specific trait expression, which would impose a kind of constraint that influences the evolution and equilibrium of sexually selected traits. Definitions of sexual selection sometimes contrast components of selection such as viability and fertility selection or mating and offspring production. Because of the constraint imposed by hermaphroditism, viability selection balances the average selection associated with male and female fertility at equilibrium; in separate-sexed species, viability and fertility selection balance separately in each sex. Curtailed scope for sex-specific trait expression also limits, but does not eliminate, opportunity for Fisherian runaway evolution in hermaphrodites. The selection and evolution of characters influencing competition between members of the same sex (intrasexual selection; eg Bateman's principes) are markedly different from corresponding processes arising from interactions between the sexes (intersexual selection; eg the Fisherian runaway). -from Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028571423,SCOPUS_ID:0028571423,2-s2.0-0028571423,Postpollination selection and male fitness in plants,Snow A.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285653,66,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,34,NA,NA,"Postpollination events are often described as potential mechanisms for sexual selection in plants. The broadest interpretation of what constitutes sexual selection includes selection on both pollen and embryos as possible manifestations of male-male competition and/or female choice. Including selective embryo abortion as a mechanism for sexual selection is controversial because interactions among young progeny and their maternal parent are distinct from interactions among parental plants or their gametes. Nonetheless the author discusses mechanisms for both pre- and postfertilization selection, in part because of the practical difficulties of discriminating between the two. She focuses on whether these processes result in differential mating success among pollen donors in natural populations. Evolutionary change occurs when such differences are due to traits controlled by additive genetic variation. -from Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028561428,SCOPUS_ID:0028561428,2-s2.0-0028561428,Male-male competition during pollination in plant populations,Stanton M.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285652,63,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,35,NA,NA,"Variation in mating success in plant populations may reflect differences in performance during pollination as well as nonrandom events occurring after pollen deposition. For studies of evolution by sexual selection, it is especially important to determine the degree to which variation in mating success is dictated by environmental versus genetic variation. It is extremely difficult to discriminate between male-male competition and female choice during postpollination interactions, but male-male competition commonly occurs during pollination itself. Male-male competition will reduce average male fertility, but asymmetrical competition should be evolutionarily advantageous to some individuals and lead to the evolution of traits that confer a competitive advantage during pollination. Pollen-producing plants can compete for pollinator visits and access to receptive stigmas, even when average seed set in the population is not pollen limited. Variation in male mating success should depend on the abundance and distribution of pollinator visits and fertilizable ovules, the potentially limiting resources. Pr-emptive competition for rare fertilization opportunities or consumptive competition for pollinators can increase variation in male fertility. When pollinators are abundant, synchronous floral presentation is likely to favor attractive plants that export pollen more rapidly than their competitors. In contrast, gradual floral presentation should select for high pollen production and greater efficiency of pollen delivery. -Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028553137,SCOPUS_ID:0028553137,2-s2.0-0028553137,Is there a unifying concept of sexual selection that applies to both plants and animals?,Arnold S.,American Naturalist,00030147,144,Suppl.,NA,1994-01-01,1994,10.1086/285650,76,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,36,NA,NA,"Introduces a symposium on sexual selection in plants and animals and seeks a definition of sexual selection that applies to both kingdoms. Ten different criteria that could be used as a basis for defining sexual selection are reviewed. In particular, the author argues that ""mate choice' and ""sexual competition' are problematic elements that should be avoided in a definition. In place of these elements, he argues for a mating success definition of sexual selection and propose that it constitutes a unifying concept that applies to both plants and animals. -Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0028181583,SCOPUS_ID:0028181583,2-s2.0-0028181583,Density dependence and patch dynamics in tropical rain forests: Matrix models and applications to a tree species,Alvarez-Buylla E.R.,American Naturalist,00030147,143,1,155-191,1994-01-01,1994,10.1086/285599,94,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,37,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181580,SCOPUS_ID:0028181580,2-s2.0-0028181580,Light and the phenology of tropical trees,Wright S.,American Naturalist,00030147,143,1,192-199,1994-01-01,1994,10.1086/285600,368,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,38,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181579,SCOPUS_ID:0028181579,2-s2.0-0028181579,How to behave around cannibals: A density-dependent dynamic game,Crowley P.,American Naturalist,00030147,143,1,117-154,1994-01-01,1994,10.1086/285598,67,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,39,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181577,SCOPUS_ID:0028181577,2-s2.0-0028181577,Evolution of trichome number in a naturalized population of Brassica rapa,Agren J.,American Naturalist,00030147,143,1,1-13,1994-01-01,1994,10.1086/285593,67,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,40,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181576,SCOPUS_ID:0028181576,2-s2.0-0028181576,"Experimental analysis of allocation in two divergent, natural salamander populations",Bernardo J.,American Naturalist,00030147,143,1,14-38,1994-01-01,1994,10.1086/285594,89,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,41,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181574,SCOPUS_ID:0028181574,2-s2.0-0028181574,Sexual selection and exaggerated male tail length in birds,Winquist T.,American Naturalist,00030147,143,1,95-116,1994-01-01,1994,10.1086/285597,44,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,42,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181573,SCOPUS_ID:0028181573,2-s2.0-0028181573,On the origin of parental care and the early evolution of male and female parental roles in birds,Wesolowski T.,American Naturalist,00030147,143,1,39-58,1994-01-01,1994,10.1086/285595,67,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,43,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028181572,SCOPUS_ID:0028181572,2-s2.0-0028181572,Polygyny in birds: The role of competition between females for male parental care,Slagsvold T.,American Naturalist,00030147,143,1,59-94,1994-01-01,1994,10.1086/285596,193,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,44,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178704,SCOPUS_ID:0028178704,2-s2.0-0028178704,Material cycling and the stability of ecosystems,Loreau M.,American Naturalist,00030147,143,3,508-513,1994-01-01,1994,10.1086/285616,36,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,45,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178697,SCOPUS_ID:0028178697,2-s2.0-0028178697,Experimental evidence for the included niche,Chase J.,American Naturalist,00030147,143,3,514-527,1994-01-01,1994,10.1086/285617,26,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,46,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178696,SCOPUS_ID:0028178696,2-s2.0-0028178696,Modeling of discontinuous relationships in biology with censored regression,Schmid B.,American Naturalist,00030147,143,3,494-507,1994-01-01,1994,10.1086/285615,30,Journal,ar,Article,100,5,5,12604,undefined,0,FALSE,47,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178694,SCOPUS_ID:0028178694,2-s2.0-0028178694,The energetic equivalence hypothesis and the relation between population density and body size in stream-living salmonids,Bohlin T.,American Naturalist,00030147,143,3,478-493,1994-01-01,1994,10.1086/285614,86,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,48,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178693,SCOPUS_ID:0028178693,2-s2.0-0028178693,Morphological relationships among coexisting heteromyids: An incisive dental character,Dayan T.,American Naturalist,00030147,143,3,462-477,1994-01-01,1994,10.1086/285613,74,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,49,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178688,SCOPUS_ID:0028178688,2-s2.0-0028178688,Kin recognition and the major histocompatibility complex: An integrative review,Brown J.L.,American Naturalist,00030147,143,3,435-461,1994-01-01,1994,10.1086/285612,208,Journal,re,Review,100,2,2,12604,undefined,0,FALSE,50,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178649,SCOPUS_ID:0028178649,2-s2.0-0028178649,Optimality models and the test of adaptationism,Orzack S.,American Naturalist,00030147,143,3,361-380,1994-01-01,1994,10.1086/285608,163,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,51,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178644,SCOPUS_ID:0028178644,2-s2.0-0028178644,Sexual size dimorphism and sex ratios in bees and wasps,Helms K.R.,American Naturalist,00030147,143,3,418-434,1994-01-01,1994,10.1086/285611,49,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,52,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178642,SCOPUS_ID:0028178642,2-s2.0-0028178642,Role of overlapping generations in maintaining genetic variation in a fluctuating environment,Ellner S.,American Naturalist,00030147,143,3,403-417,1994-01-01,1994,10.1086/285610,268,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,53,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178641,SCOPUS_ID:0028178641,2-s2.0-0028178641,What does the comparative method reveal about adaptation?,Leroi A.,American Naturalist,00030147,143,3,381-402,1994-01-01,1994,10.1086/285609,155,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,54,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178233,SCOPUS_ID:0028178233,2-s2.0-0028178233,"Male gametic strategies: Sperm size, testes size, and the allocation of ejaculate among successive mates by the sperm-limited fly Drosophila pachea and its relatives",Pitnick S.,American Naturalist,00030147,143,5,785-819,1994-01-01,1994,10.1086/285633,203,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,55,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178230,SCOPUS_ID:0028178230,2-s2.0-0028178230,"Hypotheses on seed size: Tests using the semiarid flora of western New South Wales, Australia",Leishman M.,American Naturalist,00030147,143,5,890-906,1994-01-01,1994,10.1086/285638,92,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,56,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178228,SCOPUS_ID:0028178228,2-s2.0-0028178228,Testing pattern predictions of sexual selection: A frog example,Emerson S.,American Naturalist,00030147,143,5,848-869,1994-01-01,1994,10.1086/285636,38,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,57,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178227,SCOPUS_ID:0028178227,2-s2.0-0028178227,"Effects of floral traits, pollinator visitation, and plant size on Ipomopsis aggregata fruit production",Mitchell R.,American Naturalist,00030147,143,5,870-889,1994-01-01,1994,10.1086/285637,132,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,58,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178226,SCOPUS_ID:0028178226,2-s2.0-0028178226,Fission and the genetic variance among populations: The changing demography of forked fungus beetle populations,Whitlock M.,American Naturalist,00030147,143,5,820-829,1994-01-01,1994,10.1086/285634,10,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,59,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028178225,SCOPUS_ID:0028178225,2-s2.0-0028178225,Intragroup conflicts and the evolution of sterile castes in termites,Roisin Y.,American Naturalist,00030147,143,5,751-765,1994-01-01,1994,10.1086/285631,42,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,60,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176458,SCOPUS_ID:0028176458,2-s2.0-0028176458,The effects of genotype and the environment on costs of resistance in lettuce,Bergelson J.,American Naturalist,00030147,143,2,349-359,1994-01-01,1994,10.1086/285607,97,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,61,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176451,SCOPUS_ID:0028176451,2-s2.0-0028176451,Beyond floral Batemania: Gender biases in selection for pollination success,Wilson P.,American Naturalist,00030147,143,2,283-296,1994-01-01,1994,10.1086/285604,153,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,62,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176448,SCOPUS_ID:0028176448,2-s2.0-0028176448,Evolutionarily stable strategy sex ratios when correlates of relatedness can be assessed,Taylor P.,American Naturalist,00030147,143,2,297-316,1994-01-01,1994,10.1086/285605,33,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,63,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176446,SCOPUS_ID:0028176446,2-s2.0-0028176446,Reductionist approaches in community ecology,Inchausti P.,American Naturalist,00030147,143,2,201-221,1994-01-01,1994,10.1086/285601,12,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,64,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176445,SCOPUS_ID:0028176445,2-s2.0-0028176445,Limiting similarity in mechanistic and spatial models of plant competition in heterogeneous environments,Pacala S.,American Naturalist,00030147,143,2,222-257,1994-01-01,1994,10.1086/285602,273,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,65,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176444,SCOPUS_ID:0028176444,2-s2.0-0028176444,Animal mating systems: A synthesis based on selection theory,Arnold S.,American Naturalist,00030147,143,2,317-348,1994-01-01,1994,10.1086/285606,343,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,66,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028176438,SCOPUS_ID:0028176438,2-s2.0-0028176438,Assembly rules for communities of nutrient-limited plants and specialist herbivores,Grover J.,American Naturalist,00030147,143,2,258-282,1994-01-01,1994,10.1086/285603,86,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,67,NA,NA,NA
