@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/4444306350,SCOPUS_ID:4444306350,2-s2.0-4444306350,Population dynamics of a resident colony of Leptonycteris curasoae (Chiroptera: Phyllostomidae) in Central México,Galindo G. C.,Biotropica,00063606,36,3,382-391,2004-01-01,September 2004,12,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,11,10.1111/j.1744-7429.2004.tb00331.x,"We studied the population dynamics of the lesser long-nosed bat Leptonycteris curasoae in a cave in central Mexico for a two-year time. The population had substantial seasonal changes in size and composition during this time. Colony size was largest from February to July (22,000-27,000 adults) and contained equal numbers of males and females. In June and July, males had enlarged testes and presumably mated with females. In August, the population size began to decline and was mostly composed of pregnant females. Between September and December, the colony was composed exclusively of pregnant and lactating females and their young, and population size decreased to about one-third of the observed maximum size. In January, adult males returned to the roost and the population size increased. We also observed an increase in body mass and fat accumulation in both sexes, apparently related to reproductive activity. This is the first report of the continuous presence of a substantial female population of L. curasoae throughout the year in a single roost in Mexican tropics, indicating that some populations of L. curasoae in central Mexico complete their life cycle without having to migrate.",Caves | Conservation | Leptonycteris curasoae | México | Migration | Nectarivorous bats | Population dynamics | Tropical dry forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444297106,SCOPUS_ID:4444297106,2-s2.0-4444297106,Flower mites of Calyptrogyne ghiesbreghtiana (Arecaceae): Evidence for dispersal using pollinating bats,Tschapka M.,Biotropica,00063606,36,3,377-381,2004-01-01,September 2004,18,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,12,10.1111/j.1744-7429.2004.tb00330.x,"We describe the association between a new species of flower mite (tribe Melicharini) and Neotropical flower-visiting bats. Analogous to the well-known hummingbird-mite interactions, these mites appear to use bat visitors of the lowland tropical palm Calyptrogyne ghiesbreghtiana as a means of traveling to new inflorescences. Phenology data show tight coupling between the occurrence of mites on bats and flowering phenology of C. ghiesbreghtiana, suggesting that the palm is the most important host for the mites.",Ascidae | Bat pollination | Flower mites | Glossophaginae | Melicharini | Phoresy | Phyllostomatidae | Stenoderminae,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444295842,SCOPUS_ID:4444295842,2-s2.0-4444295842,Life history and demography of Cephaloleia fenestrata (Hispinae: Chrysomelidae: Coleopatera),Johnson D.M.,Biotropica,00063606,36,3,352-361,2004-01-01,September 2004,20,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,13,10.1111/j.1744-7429.2004.tb00327.x,"The Neotropical beetle Cephaloleia fenestrata is a specialist herbivore on Pleiostachya pruinosa (Marantaceae) in upland and flood zone habitat of lowland tropical wet forest in Costa Rica. Cephaloleia fenestrata spends its entire life cycle on P. pruinosa, feeding primarily in rolled young leaves as adults, feeding in the concavity of leaf petioles as larvae, and laying eggs and pupating on the leaf petioles. Egg development time is about average for Chrysomelidae, approximately ten days. Cephaloleia fenestrata larvae, like other rolled leaf hispines, have an extremely long development period (94 d) consisting of only two instars (compared to a range of three to six in other Chrysomelidae). The 30-day pupal stage is also long, but within the range of that observed in other Chrysomelidae. Adults live an average of six weeks. The generation time for C. fenestrata is thus approximately six months. Male C. fenestrata lived longer and had a higher capture probability than females. There was no difference between males and females in the movement probabilities between upland and flood zone habitat. Rolled P. pruinosa leaves are both ephemeral (available to the beetles for approximately two days) and somewhat rare (1 in ca 15 ramets has a rolled leaf). Adults must move from leaf to leaf ca 36 times during their average adult life span. Still, C. fenestrata adults demonstrate high site fidelity.",Cephaloleia fenestrata | Chrysomelidae | Hispinae | Marantaceae | Mark-recapture | Pleiostachya pruinosa,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444290648,SCOPUS_ID:4444290648,2-s2.0-4444290648,"The role of canopy ants in removing Ficus perforata seeds from howler monkey (Alouatta palliata mexicana) feces at Los Tuxtlas, México",Martínez-Mota R.,Biotropica,00063606,36,3,429-432,2004-01-01,September 2004,19,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,14,10.1111/j.1744-7429.2004.tb00338.x,"We analyzed Ficus perforata seed removal by canopy ants under four treatments: syconia seeds; howler monkey-defecated washed seeds; syconia seeds with howler dung; and defecated seeds with howler dung. Ants removed more defecated washed seeds in the wet season, while during the dry season, removal was greater for syconia seeds and defecated washed seeds. Our results suggest that ants tended to remove more seeds when they were not embedded in feces; however, even seeds set on howler dung were still attractive to ants.",Ants | Canopy | Defecated seeds | Deposition sites | Ficus perforata | Howler monkeys | Los Tuxtlas | Seed removal | Tropical rain forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444279817,SCOPUS_ID:4444279817,2-s2.0-4444279817,Beyond paradise - Meeting the challenges in tropical biology in the 21 <sup>st</sup> century,Bawa K.S.,Biotropica,00063606,36,3,276-284,2004-01-01,September 2004,66,Journal,re,Review,100,3,3,13817,undefined,0,FALSE,15,10.1111/j.1744-7429.2004.tb00320.x,"Tropical ecosystems support a diversity of species and ecological processes that are unparalleled anywhere else on Earth. Despite their tremendous social and scientific importance, tropical ecosystems are rapidly disappearing. To usher tropical ecosystems and the human communities dependent upon them through the environmental transformations of the 21st century, tropical biologists must provide critical knowledge in three areas: 1) the structure and function of tropical ecosystems; 2) the nature and magnitude of anthropogenic effects on tropical ecosystems; and 3) the socioeconomic drivers of these anthropogenic effects. To develop effective strategies for conservation, restoration, and sustainable management of tropical ecosystems, scientific perspectives must be integrated with social necessities. A new set of principles built on a framework for pursuing relevant tropical biological research will facilitate interdisciplinary approaches, integrate biological knowledge with the social sciences, and link science with policy. We propose four broad recommendations for immediate action in tropical biology and conservation that are fundamental to all biological and social disciplines in the tropics: 1) assemble and disseminate information on life's diversity in the tropics; 2) enhance tropical field stations and build a worldwide network to link them with tropical field biologists at their field sites; 3) bring the field of tropical biology to the tropics by strengthening institutions in tropical countries through novel partnerships between tropical and temperate zone institutions and scientists; and 4) create concrete mechanisms to increase interactions between tropical biologists, social scientists, and policy makers.",Biodiversity | Biological research | Conservation | Social science | Sustainable development | Tropical ecosystems | Tropical forests,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444271811,SCOPUS_ID:4444271811,2-s2.0-4444271811,Levels of herbivory in two Costa Rican rain forests: Implications for studies of fossil herbivory,Smith D.M.,Biotropica,00063606,36,3,318-326,2004-01-01,September 2004,15,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,16,10.1111/j.1744-7429.2004.tb00323.x,"We measured changes in insect herbivore intensity and guild structure in two tropical forests of Costa Rica over a three-year period. We estimated herbivory levels using discrete leaf litter samples to account for factors that influence the types of leaves most likely to be preserved in the fossil record. We found that leaf area removed by insect herbivores did not vary significantly between years within the two sampled forests, but differed across years between forests. The lack of variation in herbivore intensity within forests suggests that estimates of herbivore damage from fossil assemblages may reflect levels of herbivore intensity typically experienced by a given forest, at least over a short ecological timescale. The differences in herbivore intensity between similarly categorized forests suggest that simple one-to-one comparisons between fossil and modern sites can be problematic. The distribution of functional feeding groups also differed on an interannual basis both within and between forests. As guild structure can be highly variable, caution should be taken when comparing modern herbivore guild structures with those from fossil assemblages. Studies of herbivory in fossil assemblages have yielded much lower levels of damage than those found in this study as well as those measured from other modern forests. Leaf fossil preservation, environmental differences, and changes in plant-insect associations through time may account for these differences.",Annual variation | Discrete vs. long-term measurement | Fossil herbivory | Rates of herbivory | Tropical wet forests,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444267131,SCOPUS_ID:4444267131,2-s2.0-4444267131,Predation-mediated mortality of early life stages: A field experiment with nymphs of an herbivorous stick insect (Metriophasma diocles),Berger J.R.,Biotropica,00063606,36,3,424-428,2004-01-01,September 2004,9,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,17,10.1111/j.1744-7429.2004.tb00337.x,"We quantified predation pressure on first instar nymphs of a stick insect in predator-exclusion experiments in the forest of Barro Colorado Island, Panamá. After considering intrinsic mortality (19%) and potential emigration (negligible), we estimated that 54 percent of the nymphs died due to predation in a two-week period. Predation on nymphs was highest at night and may explain the low abundance of Metriophasma diocles in the understory.",Early life stages | Hemimetabolous insects | Nocturnal predation | Panamá | Phasmatodea | Top-down | Tropical rain forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444261914,SCOPUS_ID:4444261914,2-s2.0-4444261914,"The flexible breeding system of Werauhia sintenisii, a cloud forest bromeliad from Puerto Rico",Lasso E.,Biotropica,00063606,36,3,414-417,2004-01-01,September 2004,14,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,18,10.1111/j.1744-7429.2004.tb00335.x,"The tropical mountain cloud forest bromeliads studied thus far have been reported as self compatible; however, whether or not autogamy and apomixis occur is not known. We characterized the breeding system of Werauchia sintenisii using a series of treatments to detect self-compatibility, autogamy, and apomixes. The natural fruit set of this population was 97 percent. Pollen origin (self vs. cross) did not affect fruit and seed set. Werauhia sintenisii is autogamous but not apomictic. All pollinator-excluded flowers produced fruits, but flowers that were emasculated and caged did not produce any fruit. Factors affecting the evolution of autogamy in this system are discussed.",Autogamy | Epiphytes | Hummingbird pollination | Mating system | Outcrossing | Pico del Este,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444261106,SCOPUS_ID:4444261106,2-s2.0-4444261106,Herbivory by leaf-cutting ants: Nutrient balance between harvested and refuse material,Bucher E.H.,Biotropica,00063606,36,3,327-332,2004-01-01,September 2004,20,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,19,10.1111/j.1744-7429.2004.tb00324.x,"From an ecological standpoint, the symbiosis between leaf-cutting ants and their fungus can be described as an herbivore feeding on plant material harvested by the ants, metabolized by the fungus, and finally removed by the ants as refuse. Here, we report on a nutrient balance (soluble and insoluble carbon and nitrogen compounds) between harvested and refuse material collected from six Acromyrmex lundi nests from a semiarid woodland in Córdoba, Argentina. The nutrient balance was calculated using cellulose as an indicator. Harvested material had low protein (10%) and high fiber content (57%). Refuse material was rich in fiber (53%), total nitrogen (2%), and ash content (28%). Balance was negative for soluble carbon and phenols. Soluble fibers, lignin, and true protein remained unchanged. Surprisingly, crude protein and all soluble nitrogen fractions had a positive balance, suggesting additional nitrogen sources besides plant material. Phenol utilization by the leaf-cutting ant fungus suggests that phenols are not harmful to the fungus. Inability to metabolize insoluble carbon compounds and a net nitrogen gain in the refuse material were peculiar and interesting features of the ant-fungus system.",Acromyrmex lundi | Argentina | Chaco woodland | Córdoba | Fibers | Herbivory | Phenols | Protein,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444261105,SCOPUS_ID:4444261105,2-s2.0-4444261105,Does mangrove leaf chemistry help explain crab herbivory patterns?,Erickson A.A.,Biotropica,00063606,36,3,333-343,2004-01-01,September 2004,37,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,20,10.1111/j.1744-7429.2004.tb00325.x,"We examined feeding by the mangrove tree crab Aratus pisonii in Tampa Bay, Florida, in relation to the percent dry weight of carbohydrate, protein, phenolics, condensed tannins, ash, carbon, nitrogen, carbon:nitrogen ratio, water content, and sclerophylly for leaves of the red mangrove Rhizophora mangle. Comparisons of leaf chemistry were made among leaves that experienced variable levels of crab damage. Because R. mangle is the crab's preferred food source based on damage patterns in the field, comparisons of R. mangle leaf chemistry were made in relation to that of the black mangrove Avicennia germinans and the white mangrove Laguncularia racemosa. We observed a negative relationship between level of leaf damage and percent dry weight of nitrogen, carbohydrates, condensed tannins, and sclerophylly. In contrast, a positive relationship was found between leaf damage and the carbon:nitrogen ratio. The chemical constituents that provided the best explanation for differences in damage among the three mangrove species include condensed tannins, nitrogen, carbon:nitrogen ratio, carbohydrates, phenolics, water content, and ash. The results from this study suggest that chemistry only partially explains food preference by A. pisonii. It appears that A. pisonii feeding behavior and preference may be influenced by a more complex series of factors and interactions, which may include reproduction by, predation on, and interspecific competition with A. pisonii.",Aratus pisonii | Avicennia germinans | Florida | Herbivory | Laguncularia racemosa | Mangrove | Nitrogen | Rhizophora mangle | Tannin,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444233294,SCOPUS_ID:4444233294,2-s2.0-4444233294,Observations on the ecology of weaver ants (Oecophylla smaragdina fabricius) in a thai mangrove ecosystem and their effect on herbivory of Rhizophora mucronata lam,Offenberg J.,Biotropica,00063606,36,3,344-351,2004-01-01,September 2004,40,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,21,10.1111/j.1744-7429.2004.tb00326.x,"Ants of the genus Oecophylla are predators of other insects and are able to protect a variety of terrestrial plants against pest insects; however, observations on the ecology of these ants in mangrove forests are lacking. General observations on the ecology of Oecophylla smaragdina were carried out in a Thai mangrove forest to determine if these ants can protect their host plants in less favorable mangrove habitats. Leaf herbivory and the density of O. smaragdina ants were measured on Rhizophora mucronata trees at two sites. The results showed a negative correlation between ant density and herbivory. At both sites, the mean percent damaged leaf area was more than four times higher on trees without ants compared to ""ant-trees."" A significant negative correlation was found between tree mean percent leaf damage and the density of ants on the tree. Furthermore, on trees with ants, there was less herbivory on leaves close to ant nests compared to other leaves on the tree. Most damage was caused by chrysomelid beetles (62%) and sesarmid crabs (25%) and both types of herbivory were significantly reduced on ant-trees.",Ant protection | Ants | Herbivory | Mangrove forest | Oecophylla smaragdina | Rhizophora mucronata | Thailand,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444233293,SCOPUS_ID:4444233293,2-s2.0-4444233293,"Fruit, minerals, and forest elephant trails: Do all roads lead to Rome?",Blake S.,Biotropica,00063606,36,3,392-401,2004-01-01,September 2004,46,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,22,10.1111/j.1744-7429.2004.tb00332.x,"Tropical forests are among the most heterogeneous environments on earth, and food resources for many animals are patchy both in time and space. In Africa's equatorial forest, permanent trails created and maintained by forest elephants are conspicuous features. Trails may be several meters wide and continue for tens of kilometers. Speculation on which resources determine the distribution of trails has identified fruit, browse, and mineral deposits as candidates. In this study, the relationships between these habitat variables and elephant trails were investigated. The size of individual trails and the density of the trail system increased dramatically with proximity to mineral deposits. Fruit tree basal area decreased with perpendicular distance from trails, while that of non-fruit trees did not. Fruit tree abundance and basal area were significantly higher on trail intersections than random sites and increased with intersection size. No relationship was found between monocotyledon browse abundance and elephant trail system characteristics. Clumped resources, which are at least partially reliable, provide a high nutritional payback, and are not rapidly depleted and can thus be visited repeatedly, appear to influence permanent trail formation by forest elephants. Permanent trails may allow naive individuals or those with imperfect knowledge to locate and acquire important resources.",Congo basin | Elephant trails | Foraging strategies | Forest structure | Frugivory | Heterogeneity | Loxodonta africana cyclotis,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3242883133,SCOPUS_ID:3242883133,2-s2.0-3242883133,Physical damage in relation to carbon allocation strategies of tropical forest tree saplings,Pauw A.,Biotropica,00063606,36,3,410-413,2004-01-01,September 2004,5,Journal,ar,Article,100,15,15,13817,undefined,0,FALSE,23,10.1111/j.1744-7429.2004.tb00334.x,"We show that tropical forest tree saplings with greater belowground carbon allocation have more breakage scars along their stems. We suggest the existence of alternative carbon allocation strategies in relation to physical damage in the forest understorey. ""Tolerators"" allocate more belowground, have enhanced resprouting ability and slower aboveground growth, whereas ""escapers"" allocate less belowground, are not well prepared for recovering from damage, but grow fast enough to escape from the damage-susceptible size class.",Disturbance | Forest dynamics | Forest regeneration | La selva | Resprouting | Root | Shoot ratio | Sprouting,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2942694677,SCOPUS_ID:2942694677,2-s2.0-2942694677,Alien abduction: Disruption of native plant-pollinator interactions by invasive species,Ghazoul J.,Biotropica,00063606,36,2,156-164,2004-01-01,June 2004,89,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,24,10.1111/j.1744-7429.2004.tb00308.x,"The indirect impacts of Shorea siamensis-logging on the reproductive ecology of Dipterocarpus obtusifolius, a self-incompatible butterfly-, moth-, and bird-pollinated tree, were studied in tropical dry forest in Thailand. Pollinator activity at D. obtusifolius trees and subsequent seed production were recorded in three forest areas subject to differing intensities of S. siamensis extraction. The pollinator and plant understory communities in these areas were also noted. Forest areas subject to high S. siamensis extraction intensities had very high understory flowering plant cover, dominated by the exotic invader Chromolaena odorata. Activity of butterfly pollinators at D. obtusifolius trees decreased in these disturbed areas, although their abundance remained comparable to other forest areas subject to only moderate or no extraction. For sphingid moth pollinators, there was no difference across differentially disturbed forest areas in either abundance or in the proportion bearing pollen. Pollinator activity by birds increased at highly disturbed locations but was not sufficient to offset a decline in overall pollinator activity at D. obtusifolius canopies in areas of heavy S. siamensis extraction. Thus, extraction of S. siamensis indirectly affected the pollination of D. obtusifolius, primarily by causing changes in the foraging behavior of butterfly pollinators rather than their abundance. A shift in the relative abundance of floral nectar resources from the canopy to the understory, a consequence of S. siamensis extraction and invasion by C. odorata, led to a parallel shift in foraging location of the principal diurnal pollinators, the butterflies, toward the understory. Despite reduced pollination at disturbed sites, behavioral changes did not translate into a D. obtusifolius seed set effect, possibly because pollination by birds (or moths) at the disturbed site compensated for reduced butterfly pollination.","Compensation | Dipterocarpaceae | Disturbance | Invasive species | Pollination | Reproductive success, seed set | Tropical dry forest",NA,NA
