@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0015700611,SCOPUS_ID:0015700611,2-s2.0-0015700611,Studies of linkage in populations. VII. Temporal variation and X chromosomal linkage disequilibriums,Levitan M.,Evolution,00143820,27,3,476-485,1973-01-01,1973,10.2307/2407310,6,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700609,SCOPUS_ID:0015700609,2-s2.0-0015700609,Fertility genes in natural populations of Drosophila melanogaster. III. Superiority of inversion heterozygotes,Watanabe T.K.,Evolution,00143820,27,3,468-475,1973-01-01,1973,10.2307/2407309,17,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700608,SCOPUS_ID:0015700608,2-s2.0-0015700608,Active dispersal and passive transport in Drosophila,Dobzhansky T.,Evolution,00143820,27,4,565-575,1973-01-01,1973,10.2307/2407191,23,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700491,SCOPUS_ID:0015700491,2-s2.0-0015700491,Genetic variation in Lycopodium lucidulum: a phylogenetic relic,Levin D.,Evolution,00143820,27,4,622-632,1973-01-01,1973,10.2307/2407195,18,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700358,SCOPUS_ID:0015700358,2-s2.0-0015700358,Propensity for multiple mating in Drosophila melanogaster females,Fuerst P.,Evolution,00143820,27,2,265-268,1973-01-01,1973,10.2307/2406966,26,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700356,SCOPUS_ID:0015700356,2-s2.0-0015700356,An explanation for Cope's rule,Stanley S.,Evolution,00143820,27,1,1-26,1973-01-01,1973,10.2307/2407115,409,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,16,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700195,SCOPUS_ID:0015700195,2-s2.0-0015700195,A model relating developmental interaction and differential evolutionary reduction of tooth size,Sofaer J.,Evolution,00143820,27,3,427-434,1973-01-01,1973,10.2307/2407305,49,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,17,"Reduction in size of the jaws during hominid evolution has been accompanied by a general reduction of tooth size, but within each morphological class the later a tooth develops the more it has been reduced. This pattern of differential reduction can be explained by assuming that a proportion of the reduction that has taken place in the dentition has been secondary to skeletal reduction, through selection for harmony between size of teeth and size of jaws. Primary reduction of jaw size implies that the teeth were always genetically too large for the jaw in which they developed, and under such conditions of restriction were likely to have shown compensatory interaction due to competition for requirements necessary for growth. In order to explain differential reduction of tooth size in terms of selection for harmony between size of teeth and size of jaws it is necessary to show that genotypes with the potential to produce relatively large early and small late developing teeth were likely to have been favoured over genotypes with the potential to produce relatively small early and large late developing teeth. That is, it must be shown that the genotypically large early and small late combination results in a smaller combined phenotype, which is presumably better suited to a reduced jaw. A model that embodies these features is proposed. The model predicts that among populations of contemporary individuals greater compensatory interaction is associated with greater asymmetry of the late relative to the early developing teeth within a morphological class. A test of this prediction in twelve genetically different samples of mice showed a slight though non significant tendency in accordance with this prediction for the relationship between first and second molars in both the upper and lower jaws.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015700193,SCOPUS_ID:0015700193,2-s2.0-0015700193,Sexual vigor and sexual selection in Drosophila melanogaster,Elens A.,Evolution,00143820,27,4,549-557,1973-01-01,1973,10.2307/2407189,11,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015697251,SCOPUS_ID:0015697251,2-s2.0-0015697251,"Maintenance of chromosomal polymorphism in a population of Drosophila pseudoobscura. II. Fecundity, longevity, viability and competitive fitness",Nickerson R.,Evolution,00143820,27,1,125-133,1973-01-01,1973,10.2307/2407126,5,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,19,"Strains containing AR or CH gene arrangements were reextracted from a polymorphic cage population of Drosophila pseudoobscura which had been maintained in the laboratory at 25 C since 1957. Heterokaryotypes and homokaryotypes were analyzed with respect to fecundity, longevity and egg to adult viability. Heterozygote superiority was observed for fecundity and longevity, but not for viability. The rank order of fitness with regard to fecundity and longevity was determined to be AR/CH > AR/AR > CH/CH. A comparison was also made between populations polymorphic for the reextracted AR + CH strains and monomorphic ones, by independently competing each population against a standard strain of Drosophila nebulosa. Although D. nebulosa tended to eliminate D. pseudoobscura, the polymorphic populations proved to be superior in competition against D. nebulosa compared to the monomorphic populations.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015697119,SCOPUS_ID:0015697119,2-s2.0-0015697119,Polploidy in fungi,Rogers J.D.,Evolution,00143820,27,1,153-160,1973-01-01,1973,10.2307/2407129,7,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015696031,SCOPUS_ID:0015696031,2-s2.0-0015696031,Predator polymorphism and apostatic selection,Paulson D.,Evolution,00143820,27,2,269-277,1973-01-01,1973,10.2307/2406967,39,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,21,NA,NA,NA
