@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33750297549,SCOPUS_ID:33750297549,2-s2.0-33750297549,Food niche overlap between sympatric potential competitors increases with habitat alteration at different trophic levels in rain-forest reptiles (omnivorous tortoises and carnivorous vipers),Luiselli L.,Journal of Tropical Ecology,02664674,14697831,22,6,695-704,2006-11-01,November 2006,10.1017/S0266467406003634,S0266467406003634,"Comparisons of sympatric reptile species were used to assess the variation in niche overlap for food between potential competitors at different trophic levels. Omnivorous tortoises and carnivorous vipers inhabiting the rain-forest region of West Africa were used as study models. Food niche overlap between species increased with habitat alteration in both the independent study systems: tortoises (Kinixys homeana and Kinixys erosa) and vipers (Bitis gabonica and Bitis nasicornis) showed lower values of Pianka's niche overlap index in the pristine habitat than in the altered habitat, and these differences in overlap values did not depend on chance after Monte Carlo simulations. There were higher inter-habitat food niche overlaps within-species than between-species. Permutation tests (assessed after 5000 iterations) revealed that, for both study systems, the P-values became significantly smaller with fewer resource states, thus showing the niche overlap between species really increases after habitat alteration. The observed increases in food niche overlap between species accomplished with rain-forest habitat degradation in turn may be predicted to have cumulative effects on reducing the level of forest biodiversity. Copyright © 2006 Cambridge University Press.",36,Journal,ar,Article,100,1,1,Africa | Community ecology | Food niche overlap | Habitat alteration | Rain forest | Tortoises | Vipers,23435,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750291383,SCOPUS_ID:33750291383,2-s2.0-33750291383,"Does tree size influence timing of flowering in Cerberiopsis candelabra (Apocynaceae), a long-lived monocarpic rain-forest tree?",Read J.,Journal of Tropical Ecology,02664674,14697831,22,6,621-629,2006-11-01,November 2006,10.1017/S0266467406003464,S0266467406003464,"Cerberiopsis candelabra is a long-lived monocarpic rain-forest tree endemic to New Caledonia that shows mass flowering across a substantial proportion of a population, and across a substantial number of populations. We investigated the relationship between tree size and flowering (and subsequent dying) across 18 populations from the flowering event of 2003 in order to understand the role of possible size thresholds for flowering in the life history and regeneration ecology of this monocarpic species. There was a strong positive correlation between trunk diameter and the incidence of flowering when population data were combined. However, the relationship between size and flowering was complex in that flowering occurred across a wide range of tree sizes, with almost complete overlap in size between flowering (5-79 cm dbh) and non-flowering trees (5-64 cm dbh), and with large trees in both the flowering and non-flowering state in the same population. In about half the populations studied there was no significant difference in mean trunk diameter of flowering and non-flowering trees. Nonetheless, we suggest that tree size may play a fundamental role in the life history and regeneration ecology of this species. The seedlings appear to be relatively shade-intolerant and dependent on large canopy gaps for recruitment. A significant effect of mass flowering and subsequent death of multiple large trees is the potential to form large canopy gaps and enhance seedling survival, as the gap is temporally linked with seed germination. However, it is unclear why there is such a large size range of flowering trees, i.e. whether this is just a consequence of the proximate cue, or whether the optimal size for flowering does indeed vary among individuals. Copyright © 2006 Cambridge University Press.",12,Journal,ar,Article,100,4,4,Delayed reproduction | Mass flowering | Masting | Monocarpy | New Caledonia | Plant life history | Reproductive strategy | Semelparity,23435,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750286195,SCOPUS_ID:33750286195,2-s2.0-33750286195,"Comparison of diets of the acouchy, agouti and paca, the three largest terrestrial rodents of French Guianan forests",Dubost G.,Journal of Tropical Ecology,02664674,14697831,22,6,641-651,2006-11-01,November 2006,10.1017/S0266467406003440,S0266467406003440,"The diets of the acouchy Myoprocta exilis, agouti Dasyprocta leporina and paca Agouti paca, the three largest terrestrial rodents of French Guiana forests, were investigated from stomachs collected over several years. These species are primarily frugivores. The percentage of fruit in their diet decreased, and seasonal variation increased from the smallest species, the acouchy, to the largest, the paca (contents in dry mass: respectively, 98.5% ± 0.6%, 87.4% ± 3.5%, and 83.9% ± 7.6%). They differed from each other in the proportions of pulp and secondary foods (leaves, fibre, insects) consumed annually as well as seasonally. Dietary diversity in the acouchy was half that of the two other species. The seasonal variation in consumption of different fruit parts and of secondary foods by these species corresponded well with the fruit production in the forest, and was linked to their reproductive events. Overall, the diets of these three large rodents appeared intermediate between the small rodent species and the artiodactyls (peccaries and brocket deer) inhabiting the same areas, which also concords with their body mass and their place within the guild of terrestrial mammals. Copyright © 2006 Cambridge University Press.",60,Journal,ar,Article,100,2,2,Agouti paca | Dasyprocta leporina | Diet | Forest | French Guiana | Myoprocta exilis | Seasonality,23435,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750285689,SCOPUS_ID:33750285689,2-s2.0-33750285689,Embryonic development and mortality in Hyalinobatrachium pulveratum (Anura: Centrolenidae) of south-western Costa Rica,Hawley T.,Journal of Tropical Ecology,02664674,14697831,22,6,731-734,2006-11-01,November 2006,10.1017/S0266467406003506,S0266467406003506,"The population biology and ecology of most members of the neotropical family Centrolenidae, or glass frogs, are unknown. Glass frogs deposit their eggs in a gelatinous mass on vegetation overhanging streams, the eggs hatch, and the tadpoles drop into the water, where they complete development (Savage 2002). This study will contribute to our limited understanding of centrolenid reproductive ecology by quantifying variation in clutch size, embryonic development and embryonic mortality in a population of Hyalinobatrachium pulveratum. Copyright © 2006 Cambridge University Press.",16,Journal,ar,Article,100,1,1,Amphibians | Eggs | Embryonic mortality | Reproductive ecology,23435,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746661206,SCOPUS_ID:33746661206,2-s2.0-33746661206,"Diversity and abundance of termites along an altitudinal gradient in Khao Kitchagoot National Park, Thailand",Inoue T.,Journal of Tropical Ecology,02664674,14697831,22,5,609-612,2006-09-01,September 2006,10.1017/S0266467406003403,S0266467406003403,NA,24,Journal,ar,Article,100,10,10,Distribution | Feeding group | Fungus-growing termite | Macrotermitinae | Nasutitermitinae,23435,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746655014,SCOPUS_ID:33746655014,2-s2.0-33746655014,Seedling species determines rates of leaf herbivory in a Malaysian rain forest,Eichhorn M.,Journal of Tropical Ecology,02664674,14697831,22,5,513-519,2006-09-01,September 2006,10.1017/S026646740600335X,S026646740600335X,"Seedlings of five species in the Dipterocarpaceae were grown in experimental plots in Sabah, Malaysia. These were sited both in gaps and understorey and on alluvial and sandstone soils. Half of all seedlings were provided with a complete fertilizer. Herbivore damage levels were recorded on over 25 000 individual leaves in four surveys over the course of 2 y. Rates of herbivory were lower on mature leaves (0.07-0.8% leaf area mo-1 among species) than new leaves (2.1-4.4% leaf area mo-1). There were no overall effects of light conditions, soil type, fertilizer treatment or time on rates of herbivory. The only consistent source of variation was that between species, with the three alluvial-specialist species suffering higher rates of damage than the two sandstone-specialists. Mature leaves of alluvial species received greater damage in sandstone soils, whereas sandstone species were damaged at equivalent rates on both soil types. New leaves were more damaged on their native soil type. Published herbivory rates vary in the timescales and methods of measurement. Nevertheless, the few comparable studies confirm that herbivory rates on seedlings in tropical rain forests are remarkably constant over time and across experimental treatments. Copyright © 2006 Cambridge University Press.",18,Journal,ar,Article,100,3,3,Dipterocarpaceae | Gap | Habitat specialization | Insect | Reciprocal transplant | Understorey,23435,undefined,0,FALSE,16,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746645666,SCOPUS_ID:33746645666,2-s2.0-33746645666,Spatial variation of soil respiration across a topographic gradient in a tropical rain forest in French Guiana,Epron D.,Journal of Tropical Ecology,02664674,14697831,22,5,565-574,2006-09-01,September 2006,10.1017/S0266467406003415,S0266467406003415,"The objective of this study was to analyse the factors explaining spatial variation in soil respiration over topographic transects in a tropical rain forest of French Guiana. The soil of 30 plots along six transects was characterized. The appearance of the 'dry to the touch' character at a depth of less than 1.2 m was used to discriminate soils exhibiting vertical drainage from soils exhibiting superficial lateral drainage and along with colour and texture, to define five classes from well-drained to strongly hydromorphic soils. Spatial variation in soil respiration was closely related to topographic position and soil type. Increasing soil water content and bulk density and decreasing root biomass and soil carbon content explained most of the decrease in soil respiration from the plateaux (vertically drained hypoferralic acrisol) to the bottomlands (haplic gleysol). These results will help to stratify further field experiments and to identify the underlying determinants of spatial variation in soil respiration to develop mechanistic models of soil respiration. Copyright © 2006 Cambridge University Press.",104,Journal,ar,Article,100,4,4,Acrisol | Carbon balance | Carbon flux | Gleysol | Root biomass,23435,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746643855,SCOPUS_ID:33746643855,2-s2.0-33746643855,Differential seedling growth response to soil resource availability among nine neotropical tree species,Baraloto C.,Journal of Tropical Ecology,02664674,14697831,22,5,487-497,2006-09-01,September 2006,10.1017/S0266467406003439,S0266467406003439,"Although the potential contribution to tropical tree species coexistence of niche differentiation along light gradients has received much attention, the degree to which species perform differentially along soil resource gradients remains unclear. To examine differential growth response to soil resources, we grew seedlings of nine tropical tree species at 6.0% of full sun for 12 mo in a factorial design of two soil types (clay and white sand), two phosphate fertilization treatments (control and addition of 100 mg P kg-1) and two watering treatments (field capacity and water limitation to one-third field capacity). Species differed markedly in biomass growth rate, but this hierarchy was almost completely conserved across all eight treatments. All species grew more slowly in sand than clay soils, and no species grew faster with phosphate additions. Only Eperua grandiflora and E. falcata showed significant growth increases in the absence of water limitation. Faster-growing species were characterized by high specific leaf area, high leaf allocation and high net assimilation rate but not lower root allocation. Slower-growing species exhibited greater plasticity in net assimilation rate, suggesting that tolerance of edaphic stress in these species is related more to stomatal control than to whole-plant carbon allocation. Although relative growth rate for biomass was correlated with both its physiological and morphological components, interspecific differences were best explained by differences in net assimilation rate across six of the eight treatments. A suite of traits including high assimilation and high specific leaf area maintains rapid growth rate of faster-growing species across a wide gradient of soil resources, but the lack of plasticity they exhibit may compromise their survival in the poorest soil environments. Copyright © 2006 Cambridge University Press.",41,Journal,ar,Article,100,3,3,Biomass allocation | Dicorynia | Drought stress | Eperua | French Guiana | Goupia | Jacaranda | Plasticity | Qualea | Recordoxylon | Relative growth rate | Sextonia | Soil phosphorus | Specific leaf area | Virola,23435,undefined,0,FALSE,18,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746640532,SCOPUS_ID:33746640532,2-s2.0-33746640532,"The relative roles of environment, history and local dispersal in controlling the distributions of common tree and shrub species in a tropical forest landscape, Panama",Svenning J.,Journal of Tropical Ecology,02664674,14697831,22,5,575-586,2006-09-01,September 2006,10.1017/S0266467406003348,S0266467406003348,"We used regression models and information-theoretic model selection to assess the relative importance of environment, local dispersal and historical contingency as controls of the distributions of 26 common plant species in tropical forest on Barro Colorado Island (BCI), Panama. We censused eighty-eight 0.09-ha plots scattered across the landscape. Environmental control, local dispersal and historical contingency were represented by environmental variables (soil moisture, slope, soil type, distance to shore, old-forest presence), a spatial autoregressive parameter (ρ), and four spatial trend variables, respectively. We built regression models, representing all combinations of the three hypotheses, for each species. The probability that the best model included the environmental variables, spatial trend variables and ρ averaged 33%, 64% and 50% across the study species, respectively. The environmental variables, spatial trend variables, ρ, and a simple intercept model received the strongest support for 4, 15, 5 and 2 species, respectively. Comparing the model results to information on species traits showed that species with strong spatial trends produced few and heavy diaspores, while species with strong soil moisture relationships were particularly drought-sensitive. In conclusion, history and local dispersal appeared to be the dominant controls of the distributions of common plant species on BCI. Copyright © 2006 Cambridge University Press.",19,Journal,ar,Article,100,6,6,Barro Colorado Island | Dispersal limitation | Drought tolerance | Environmental control | Soil,23435,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33746622979,SCOPUS_ID:33746622979,2-s2.0-33746622979,Seedling survival and growth of three ectomycorrhizal caesalpiniaceous tree species in a Central African rain forest,Newbery D.M.,Journal of Tropical Ecology,02664674,14697831,22,5,499-511,2006-09-01,September 2006,10.1017/S0266467406003427,S0266467406003427,"Tree recruitment is determined in part by the survivorship and growth of seedlings. Two seedling cohorts of the three most abundant caesalpiniaceous species forming groves at Korup, Cameroon, were followed from 1995/1997 to 2002, to investigate why Microberlinia bisulcata, the most abundant species, currently has very few recruits compared with Tetraberlinia korupensis and T. bifoliolata. Numbers of seedlings dying, and the heights and leaf numbers of survivors, were recorded on 30 occasions. Survivorship after 2.5 y was 30% for M. bisulcata and 59% for the similar Tetraberlinia spp. together. After 7 y the corresponding values were 4 and 21%. Growth of all species was slow for the first 4 y; but survivors of T. korupensis became 63% taller, as the other species stagnated, by 7 y. The poor recruitment of M. bisulcata was the result of its very low seedling survival. Within species, the tallest seedlings of M. bisulcata and T. bifoliolata, but medium-height ones of T. korupensis, survived longest. This was likely due to higher root allocation in T. korupensis. Seedling dynamics of M. bisulcata and T. korupensis over 7 y accorded well with relative abundances of adult trees; T. bifoliolata is predicted to recruit later. Copyright © 2006 Cambridge University Press.",18,Journal,ar,Article,100,4,4,Africa | Grove dynamics | Growth | Microberlinia | Rain forest | Seedlings | Survivorship | Tetraberlinia,23435,undefined,0,FALSE,20,all,All Open Access,NA,NA
