@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:pageRange,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0035658970,SCOPUS_ID:0035658970,2-s2.0-0035658970,Laboratory adaptation of life history in Drosophila,Sgrò C.M.,American Naturalist,00030147,158,6,2001-12-01,2001,34,Journal,no,Note,100,2,2,12604,undefined,0,FALSE,11,657-658,10.1086/323592,NA,Drosophila | Laboratory adaptation | Life history,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035658889,SCOPUS_ID:0035658889,2-s2.0-0035658889,Relatedness and the evolution of conspecific brood parasitism,Andersson M.,American Naturalist,00030147,158,6,2001-12-01,2001,70,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,12,599-614,10.1086/324113,"In conspecific brood parasitism (CBP), a parasitic female takes advantage of the parental care performed by a host female by laying eggs in the nest of the host. The host female raises the offspring of the parasitic female as well as her own. In species where local females are related, direct costs for the host might be more than compensated for by gains in inclusive fitness through increased reproduction of a related parasite, but the role of relatedness in CBP is debated. This inclusive-fitness model of parasitism, structured as a game between host and parasite, suggests that both females can gain inclusive fitness and that host-parasite relatedness can therefore facilitate the evolution of CBP. Crucial assumptions are that there is kin discrimination and a potential for host resistance to parasitism by unrelated females but close relatives are accepted. The cost of parasitism in terms of reduced clutch size or offspring survival for the host must not be large; otherwise, parasitism will reduce her inclusive fitness. Therefore, if these costs are high, it does not benefit a host to accept a parasite, even if the parasite is closely related. The secondary female may still have higher fitness from parasitism, but if the costs are high, she should parasitize an unrelated host, not a relative. This requires that the reduction in parasite success that a host can cause by resistance is not too large; otherwise, it will be better for the secondary female to parasitize an accepting related host or to nest solitarily. For these reasons, host-parasite relatedness is most likely to occur in animals where costs of being parasitized are low and host resistance can markedly reduce the success of an unrelated parasite. When costs are higher, parasitism of unrelated hosts may be better, and if host resistance strongly reduces parasite success, solitary breeding is preferable. In some cases, CBP is directly advantageous for the host, and it may sometimes evolve in close connection with cooperative breeding, which is also considered in the model. Some but not all empirical results support these ideas, and more detailed studies of behavior, relatedness, and reproduction of host and parasite are needed for critical tests.",Cooperative breeding | Decision-tree model | Female philopatry | Host-parasite relatedness | Inclusive fitness | Kin discrimination,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035138045,SCOPUS_ID:0035138045,2-s2.0-0035138045,The effect of dominance on food hoarding: A game theoretical model,Brodin A.,American Naturalist,00030147,157,1,2001-01-01,2001,21,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,13,66-75,10.1086/317008,"Many food hoarding animals live in small groups structured by rank. The presence of conspecifics in the hoarding area increases the risk of losing stored supplies. The possibility of stealing from others depends on a forager's rank in the group. Highly ranked individuals can steal from subordinates and also protect their own caches. Since storing incurs both costs and benefits, the optimal hoarding investment will differ between individuals of different rank. In a game theoretical model, we investigate how dominant and subordinate individuals should optimize their hoarding effort. Our model imagines animals that are large-scale hoarders in autumn and dependent on stored supplies for winter survival. Many examples can be found in the bird families Paridae and Corvidae, but the model can be used for any hoarding species that forage in groups. Predictions from the model are as follows: First, subordinates should store more than dominants, but in a predictable environment, this difference will decrease as the environment gets harsher. Under harsh conditions, dominants should store almost as much as subordinates and, later, spend almost as much time retrieving their own caches, as subordinates. Second, if on the other hand, bad winter conditions were not expected when storing, dominants should spend more time pilfering caches from subordinates. Third, in populations that are highly dependent on stored supplies, dominants should store relatively more than in populations that are less dependent on stored supplies. Fourth, harsher environments will favor hoarding. And finally, if dominant individuals store, it implies that hoarders have a selfish recovery advantage over conspecific pilferers.",Behavioral ecology | Dominance rank | Food hoarding | Foraging theory | Game theoretical model | Optimization model,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0035128864,SCOPUS_ID:0035128864,2-s2.0-0035128864,The currency and tempo of extinction,Regan H.M.,American Naturalist,00030147,157,1,2001-01-01,2001,69,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,14,1-10,10.1086/317005,"This study examines estimates of extinction rates for the current purported biotic crisis and from the fossil record. Studies that compare current and geological extinctions sometimes use metrics that confound different sources of error and reflect different features of extinction processes. The per taxon extinction rate is a standard measure in paleontology that avoids some of the pitfalls of alternative approaches. Extinction rates reported in the conservation literature are rarely accompanied by measures of uncertainty, despite many elements of the calculations being subject to considerable error. We quantify some of the most important sources of uncertainty and carry them through the arithmetic of extinction rate calculations using fuzzy numbers. The results emphasize that estimates of current and future rates rely heavily on assumptions about the tempo of extinction and on extrapolations among taxa. Available data are unlikely to be useful in measuring magnitudes or trends in current extinction rates.",Current extinction | Fuzzy sets | Mammals | Mass extinction | Uncertainty | Vascular plants,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035128786,SCOPUS_ID:0035128786,2-s2.0-0035128786,Inferring the origins of state-dependent courtship traits,Payne R.,American Naturalist,00030147,157,1,2001-01-01,2001,20,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,15,42-50,10.1086/317007,"We examine a simple model of state-dependent (indicator) traits that focuses on their evolutionary origins as courtship signals. A necessary condition for the initial evolution of signals was found: the marginal female preference for minimal traits must exceed a certain threshold, where that threshold is proportional to the marginal male fitness costs for minimal traits. We interpret a positive threshold as implying a need for preexisting sensory bias in order to overcome the threshold if indicator signals are to start to evolve. We extend the model to allow for the possibility that signal costs and female preferences may vary over evolutionary time. If there is independent information on the way that signaling costs have evolved, then one may use measurements of contemporary female preferences to make inferences concerning the presence of the ancestral threshold. It is the marginal female preferences for minimal male traits that are important, whereas reconstructing ancestral origins from measurement of average size signals is not informative. Our analyses suggest two foci for future studies: measurement of the marginal response of contemporary females to minimal male signals and reconstruction of how signaling costs have changed over evolutionary time.",Female preferences | Handicap signals | Sensory bias | Sexual selection,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035128629,SCOPUS_ID:0035128629,2-s2.0-0035128629,Inferring developmental modularity from morphological integration: Analysis of individual variation and asymmetry in bumblebee wings,Klingenberg C.,American Naturalist,00030147,157,1,2001-01-01,2001,186,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,16,11-23,10.1086/317002,"Organisms are built from distinct modules, which are internally coherent but flexible in their relationships among one another. We examined morphological variation within and between two candidate modules: the fore- and hindwings of bumblebees (Hymenoptera: Apidae: Bombus empatiens). We used the techniques of geometric morphometrics (Procrustes superimposition) to analyze the variation of landmark configurations in fore- and hindwings. Regression was used to correct for size-related shape variation (allometry). Principal component analysis revealed patterns of variation that were remarkably similar for individual variation and fluctuating asymmetry (FA). Because covariation of FA among parts must be due to direct transmission of the developmental perturbations causing FA, this agreement of patterns suggests that much of individual variation is also due to direct developmental interactions within each developing wing. Moreover, partial least squares analysis indicated that the patterns of shape covariation between fore- and hindwings were nearly the same as the patterns of within-wing variation. Shape covariation of FA was only found in bees that had been reared under elevated CO2 concentration but not in bees from the control treatment, suggesting that the mechanisms of developmental interactions between fore- and hindwings are related to gas exchange. We conclude that the fore- and hindwings are developmental modules that maintain internal coherence through direct developmental interactions and are connected to each other only by relatively few links that use the system of interactions within modules.",Allometry | Developmental modules | Fluctuating asymmetry | Geometric morphometrics | Morphological integration | Shape,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035125537,SCOPUS_ID:0035125537,2-s2.0-0035125537,Latitudinal gradients in colony size for social insects: Termites and ants show different patterns,Porter E.,American Naturalist,00030147,157,1,2001-01-01,2001,25,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,17,97-106,10.1086/317006,"On the basis of a comparison of Nearctic and Neotropical ants, social insects have been proposed to show a latitudinal gradient in colony size. Further, the ""fasting endurance hypothesis,"" which predicts larger colonies in areas with extended periods of low food availability, was proposed as the mechanism driving the gradient. To test the generality of the pattern and its mechanism, we examined the relationships between termite colony size and both latitude and annual evapotranspiration, a measure of plant productivity. We found no evidence that colony size increases with increasing latitude or decreasing plant productivity. We conclude that the pattern identified for ants cannot be generalized to include social insects as a whole. As is the case for ecogeographic gradients in insect body sizes, a pattern that is reported for one taxon may not be consistent for other taxa at the global level.",Bergmann's rule | Colony size | Latitudinal gradients | Primary productivity | Social insects | Termites,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035121989,SCOPUS_ID:0035121989,2-s2.0-0035121989,Spatial patterns and persistence of woody plant species in ecological communities,Chave J.,American Naturalist,00030147,157,1,2001-01-01,2001,16,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,18,51-65,10.1086/317003,"The role of stochastic effects and seed dispersal limitations in maintaining the diversity of a tree community is investigated by means of a forest growth simulator called TROLL. This simulator makes it possible to investigate impacts on the spatial distribution and the extinction probability of plant species. I present the results of a two-species competition scenario. Coexistence is found to be possible for competitively dissimilar species, and the criterion for this coexistence is given analytically in the reaction-diffusion approximation. A higher frequency of tree falls implies a smaller extinction probability of least adapted species. The multispecies model is also investigated. A mathematical quantity - the persistence function - permits measurement of the ability of a species to out compete other species locally. This quantity is compared with the average time to extinction, and it is computed for the TROLL simulator. I interpret the shape of this function in light of available information on the persistence function in simple interacting particle systems. These results indicate an analogy between the dynamics of forest communities and a simple discrete and spatially explicit model, the voter model. The ecological implications of this analogy are discussed and are extended to species-rich communities.",Forest community structure | Forest succession simulator | Persistence function | Spatial patterns | Voter model,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035121967,SCOPUS_ID:0035121967,2-s2.0-0035121967,"Simulation models of the interactions between herbivore foraging strategies, social behavior, and plant community dynamics",Seabloom E.,American Naturalist,00030147,157,1,2001-01-01,2001,29,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,19,76-96,10.1086/317009,"Herbivory often operates through a feedback in which herbivores affect the success and location of plants, which in turn affects the foraging behavior of animals. Factors other than food, such as social behavior, may influence the interactions between herbivores and the plants they consume. We used a simulation model to compare the effects of foraging and social behavior on plant distribution and foraging efficiency by gophers (Thomomys bottae) in a system characteristic of California grasslands. In this system, annual forbs are the preferred food items, and their abundance increases in areas disturbed by gopher burrowing. In addition, gopher social interactions generate buffer zones between adjacent burrows. During the first year of the simulations, before gophers affected the plant community, feeding efficiency declined with increased gopher density. However, after 40 yr, annual plant abundance increased with increasing gopher density, yielding higher maximum gopher density and per capita foraging efficiency. Conversely, increased width of the buffer zones lowered maximum gopher density and annual plant abundance resulting in lower feeding efficiency. In addition, the compact burrow structure of gophers employing an area-restricted search strategy allowed a higher density of gophers to coexist, resulting in higher annual plant abundance and higher per capita food-capture rates.",Animal-generated disturbance | Competition | Grasslands | Plant community | Spatial model | Spatial patterns,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035121958,SCOPUS_ID:0035121958,2-s2.0-0035121958,Toward ecologically scaled landscape indices,Vos C.,American Naturalist,00030147,157,1,2001-01-01,2001,290,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,20,24-41,10.1086/317004,"Nature conservation is increasingly based on a landscape approach rather than a species approach. Landscape planning that includes nature conservation goals requires integrated ecological tools. However, species differ widely in their response to landscape change. We propose a framework of ecologically scaled landscape indices that takes into account this variation. Our approach is based on a combination of field studies of spatially structured populations (metapopulations) and model simulations in artificial landscapes. From these, we seek generalities in the relationship among species features, landscape indices, and metapopulation viability. The concept of ecological species profiles is used to group species according to characteristics that are important in metapopulations' response to landscape change: individual area requirements as the dominant characteristic of extinction risk in landscape patches and dispersal distance as the main determinant of the ability to colonize patches. The ecological profiles and landscape indices are then integrated into two ecologically scaled landscape indices (ESLI): average patch carrying capacity and average patch connectivity. The field data show that the fraction of occupied habitat patches is correlated with the two ESLI. To put the ESLI into a perspective of metapopulation persistence, we determine the viability for six ecological profiles at different degrees of habitat fragmentation using a metapopulation model and computer-generated landscapes. The model results show that the fraction of occupied patches is a good indicator for metapopulation viability. We discuss how ecological profiles, ESLI, and the viability threshold can be applied for landscape planning and design in nature conservation.",Ecological profiles | Fragmentation | Landscape ecology | Landscape indices | Metapopulation | Viability threshold,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035118044,SCOPUS_ID:0035118044,2-s2.0-0035118044,"Dispersal, migration, and offspring retention in saturated habitats",Kokko H.,American Naturalist,00030147,157,2,2001-01-01,2001,126,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,21,188-202,10.1086/318632,"We examine the evolutionary stability of year-round residency in territorial populations, where breeding sites are a limiting resource. The model links individual life histories to the population-wide competition for territories and includes spatial variation in habitat quality as well as a potential parent-offspring conflict over territory ownership. The general form of the model makes it applicable to the evolution of dispersal, migration, partial migration, and delayed dispersal (offspring retention). We show that migration can be evolutionarily stable only if year-round residency in a given area would produce a sink population, where mortality exceeds reproduction. If this applies to a fraction of the breeding habitat only, partial migration is expected to evolve. In the context of delayed dispersal, habitat saturation has been argued to form an ecological constraint on independent breeding, which favors offspring retention and cooperative breeding. We show that habitat saturation must be considered as a dynamic outcome of birth, death, and dispersal rates in the population, rather than an externally determined constraint. Although delayed dispersal often associates with intense competition for territories, life-history traits, have direct effects on stable dispersal strategies, which can often override the effect of habitat saturation. As an example, high survival of floaters selects against delayed dispersal, even though it increases the number of competitors for each breeding vacancy (the ""habitat saturation factor""). High survival of territory owners, by contrast, generally favors natal philopatry. We also conclude that spatial variation in habitat quality only rarely selects for delayed dispersal. Within a population, however, offspring retention is more likely in high-quality territories.",Cooperative breeding | Delayed dispersal | Floating | Parent-offspring conflict | Partial migration | Philopatry | Territoriality,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0035117465,SCOPUS_ID:0035117465,2-s2.0-0035117465,Interspecific competition in plants: How well do current methods answer fundamental questions?,Connolly J.,American Naturalist,00030147,157,2,2001-01-01,2001,123,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,22,107-125,10.1086/318631,"Accurately quantifying and interpreting the processes and outcomes of competition among plants is essential for evaluating theories of plant community organization and evolution. We argue that many current experimental approaches to quantifying competitive interactions introduce size bias, which may significantly impact the quantitative and qualitative conclusions drawn from studies. Size bias generally arises when estimates of competitive ability are erroneously influenced by the initial size of competing individuals. We employ a series of quantitative thought experiments to demonstrate the potential for size bias in analysis of four traditional experimental designs (pairwise, replacement series, additive series, and response surfaces) either when only final measurements are available or when both initial and final measurements are collected. We distinguish three questions relevant to describing competitive interactions: Which species dominates? Which species gains? and How do species affect each other? The choice of experimental design and measurements greatly influences the scope of inference permitted. Conditions under which the latter two questions can give biased information are tabulated. We outline a new approach to characterizing competition that avoids size bias and that improves the concordance between research question and experimental design. The implications of the choice of size metrics used to quantify both the initial state and the responses of elements in interspecific mixtures are discussed. The relevance of size bias in competition studies with organisms other than plants is also discussed.",Additive series | Competition | Design of competition experiments | Replacement series | Size bias | Thought experiments,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035117132,SCOPUS_ID:0035117132,2-s2.0-0035117132,"Allee effects, invasion pinning, and species' borders",Keitt T.,American Naturalist,00030147,157,2,2001-01-01,2001,335,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,23,203-216,10.1086/318633,"All species' ranges are the result of successful past invasions. Thus, models of species' invasions and their failure can provide insight into the formation of a species' geographic range. Here, we study the properties of invasion models when a species cannot persist below a critical population density known as an ""Allee threshold."" In both spatially continuous reaction-diffusion models and spatially discrete coupled ordinary-differential-equation models, the Allee effect can cause an invasion to fail. In patchy landscapes (with dynamics described by the spatially discrete model), range limits caused by propagation failure (pinning) are stable over a wide range of parameters, whereas, in an uninterrupted habitat (with dynamics described by a spatially continuous model), the zero velocity solution is structurally unstable and thus unlikely to persist in nature. We derive conditions under which invasion waves are pinned in the discrete space model and discuss their implications for spatially complex dynamics, including critical phenomena, in ecological landscapes. Our results suggest caution when interpreting abrupt range limits as stemming either from competition between species or a hard environmental limit that cannot be crossed: under a wide range of plausible ecological conditions, species' ranges may be limited by an Allee effect. Several example systems appear to fit our general model.",Allee effects | Borders | Critical phenomena | Invasions | Range limits | Species,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035117040,SCOPUS_ID:0035117040,2-s2.0-0035117040,Competition of phytoplankton under fluctuating light,Litchman E.,American Naturalist,00030147,157,2,2001-01-01,2001,158,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,24,170-187,10.1086/318628,"Light is an essential resource for phytoplankton and fluctuates on a wide range of timescales. To understand how light fluctuations affect phytoplankton community structure and diversity, we have studied a set of simple models using a combination of analytical and numerical techniques. Light fluctuations can affect community structure when species exhibit the gleaner-opportunist trade-off between competitive ability and ability to reach carrying capacity quickly. Fast fluctuations can switch the competitive dominant from a gleaner to an opportunist; slow fluctuations can cause this switch and also lead to stable coexistence. Coexistence is easiest between species that are highly differentiated along the gleaner-opportunist trade-off. Our results remain qualitatively unchanged when more realistic light fluctuations such as daily and seasonal changes in irradiance and the presence of a spatial gradient in light are considered. Seasonal change in day length may be one of the factors driving the seasonal succession of phytoplankton, from opportunist species dominant under shorter day lengths (spring and autumn) to gleaner species dominant under longer day length (summer). These results illustrate how resource fluctuations can have an important role in structuring ecological communities.",Coexistence | Competition | Light fluctuations | Phytoplankton | Temporal heterogeneity,NA,NA
