@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/0030753033,SCOPUS_ID:0030753033,2-s2.0-0030753033,"Interactions among gypsy moths, white-footed mice, and acorns",Elkinton J.,Ecology,00129658,77,8,2332-2342,1996-01-01,1996,"Low-density populations of gypsy moth, Lymantria dispar, were studied over a 10-yr period in Massachusetts. Increases in gypsy moth density were associated with declines in density of the white-footed mouse, Peromyscus leucopus, a principal predator. Furthermore, changes in density of P. leucopus populations were positively correlated with the density of acorn crops, a dominant winter food source for these mice. To demonstrate these effects we used a novel bootstrap regression method that adjusts for spatial and temporal autocorrelation in the time series data. The findings are compatible with a dual equilibrium model of gypsy moth population dynamics, in which low densities are regulated by mice and high densities are regulated by other factors, notably a virus disease.",215,Journal,ar,Article,100,7,7,20308,undefined,0,FALSE,11,10.2307/2265735,Acorns | Bootstrap | Density dependence | Insect outbreaks | Lymantria dispar | Peromyscus leucopus | Quercus | Time series analysis,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441504,SCOPUS_ID:0030441504,2-s2.0-0030441504,Managing tropical rice pests through conservation of generalist natural enemies and alternative prey,Settle W.H.,Ecology,00129658,77,7,1975-1988,1996-01-01,1996,"The cultivation of tropical Asian rice, which may have originated 9000 yr ago, represents an agricultural ecosystem of unrivaled ecological complexity. We undertook a study of the community ecology of irrigated tropical rice fields on Java, Indonesia, as a supporting study for the Indonesian National Integrated Pest Management Programme, whose purpose is to train farmers to be better agronomists and to employ the principles of integrated pest management (IPM). Two of our study objectives, reported on here, were (1) to explore whether there exist general and consistent patterns of arthropod community dynamics related to natural or intrinsic levels of biological control, and (2) to understand how the existing levels of biological control are affected by insecticide use, as well as by large-scale habitat factors relating to differing patterns for vegetational landscapes, planting times, and the length of dry fallow periods. We performed a series of observational studies and two experimental studies. Abundant and well-distributed populations of generalist predators can be found in most early-season tropical rice fields. We took samples from plants and water surface using a vacuum-suction device, and from the subsurface using a dip net. Our results show that high populations of generalist predators are likely to be supported, in the early season, by feeding on abundant populations of detritus-feeding and plankton-feeding insects, whose populations consistently peak and decline in the first third of the season. We hypothesize that since this abundance of alternative prey gives the predator populations a ""head start"" on later-developing pest populations, this process should strongly suppress pest populations and generally lend stability to rice ecosystems by decoupling predator populations from a strict dependence on herbivore populations. We experimentally tested our hypothesis of trophic linkages among organic matter, detritivores and plankton feeders, and generalist predators and showed that by increasing organic matter in test plots we could boost populations of detritivores and plankton-feeders, and in turn significantly boost the abundance of generalist predators. These results hold for populations found on the plant, on the water surface, and below the water surface. We also demonstrated the link between early-season natural enemy populations and later-season pest populations by experimentally reducing early-season predator populations with insecticide applications, causing pest populations to resurge later in the season. Overall, these results demonstrate the existence of a mechanism in tropical irrigated rice systems that supports high levels of natural biological control. This mechanism depends on season-long successional processes and interactions among a wide array of species, many of which have hitherto been ignored as important elements in a rice ecosystem. Our results support a management strategy that promotes the conservation of existing natural biological control through a major reduction in insecticide use, and the corresponding increase in habitat heterogeneity.",515,Journal,ar,Article,100,9,9,20308,undefined,0,FALSE,12,10.2307/2265694,"Agroecosystems, tropical rice | Biological control | Chironomidae | Community dynamics | Detritivores and plankton feeders | Field experiment | Green revolution | Insecticide use and pest outbreaks | Integrated pest management | Java, Indonesia | Rice-field ecology",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441383,SCOPUS_ID:0030441383,2-s2.0-0030441383,Inference of parasite-induced host mortality from distributions of parasite loads,Rousset F.,Ecology,00129658,77,7,2203-2211,1996-01-01,1996,"Evidence for parasite-induced host mortality from field data remains difficult to obtain. We have developed analytical models to investigate the effects of parasite-induced host mortality on the distribution of macroparasites among individual hosts as a function of host age. Under the assumptions of these models, it is shown that a decrease of the mean parasite load or of its dispersion implies that there is parasite-induced host mortality and that infection rate is variable for different hosts in the population. Observed patterns will depend on the nature of such variation and of the relation between parasite load and host mortality.",96,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,13,10.2307/2265713,Aggregation | Host mortality | Parasitism | Prevalence,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441382,SCOPUS_ID:0030441382,2-s2.0-0030441382,Top-down impacts on creosotebush herbivores in a spatially and temporally complex environment,Floyd T.,Ecology,00129658,77,5,1544-1555,1996-01-01,1996,"I studied top-down effects on creosotebush (Larrea tridentata) insect herbivores by protecting them from bird and arthropod predation. The purpose of my study was to investigate experimentally the differential and/or interactive effects of two predator guilds on herbivore densities. I performed my experiments on 24 creosotebushes at each of three sites within the Jornada Long-Term Ecological Research Site in the Chihuahuan Desert of southwestern New Mexico, USA. At each site the experiment consisted of: six creosotebushes from which birds were excluded with nylon mesh cages; six creosotebushes from which arthropod predators were removed by hand or aspirator; six creosotebushes from which both birds and arthropod predators were removed; and six control creosotebushes from which neither birds nor arthropod predators were removed. I conducted nondestructive nocturnal visual censuses of herbivores on each creosotebush at the beginning of the experiments in mid-May, 6 wk after the start of the experiment in late June, and 12 wk after the start of the experiment in early August. I conducted these experiments and censuses in 1993 and again in 1994. In both years the herbivore densities became significantly higher in experimental than in control creosotebushes. The effects of bird and arthropod predation on herbivore densities were additive in 1993, but they were compensatory in 1994. In 1994 arthropod predator densities became lower in creosotebushes from which birds had been removed than in creosotebushes from which birds had not been removed, but this result did not obtain in 1993. These results may be due to a combination of factors including: avian and arthropod predation on herbivores, ""intraguild"" predation of birds on arthropod predators, and competition within the herbivore community. The relative numerical impacts of the predator-removal experiments varied among seasons and among sites within either year, but temporal and spatial variation in predator impacts did not correlate strongly with known gradients of climatic or bottom-up heterogeneity in this system. The results of this study confirm the important direct and cumulative effects of multiple predator guilds, even against a complex background of temporal and spatial heterogeneity.",47,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,14,10.2307/2265550,"Arthropod predation | Avian predation | Chihuahuan Desert, New Mexico | Creosotebush | Field experiment | Herbivorous insect populations | Larrea tridentata | Long-Term Ecological Research (LTER) Site | Predator-removal experiments",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441381,SCOPUS_ID:0030441381,2-s2.0-0030441381,Local communities of arboreal herbivores in Papua New Guinea: Predictors of insect variables,Basset Y.,Ecology,00129658,77,6,1906-1919,1996-01-01,1996,"As a contribution to enlarging and widening the array of studies available for examination of insect-plant relations, this study contrasts local and regional predictors of species richness and host specificity of leaf-chewing insects feeding on New Guinea trees. I tested the degree to which the variance in local insect variables (species richness, ratio of specialist to generalist chewers, abundance, and biomass) for leaf chewers associated with different species of tropical trees was accounted for by local and regional host-related variables and by local abundance of potential enemies. Leaf-chewing insects feeding externally on ten species of forest trees were collected over a 1-yr field study in a submontane area in Papua New Guinea. The tree species were taxonomically distant, and the list included species of different successional status, different patterns of leaf production, and different heights. The affinity of chewing insects with particular tree species was ascertained by feeding trials in the laboratory. Local insect species richness varied greatly among tree species by more than four-fold between the poorest (18 species) and the richest (94 species) tree species. The proportion of specialist insect species associated with particular tree species was significantly different among tree species and ranged from 16 to 72%. Trees supporting a rich fauna usually also supported a high proportion of specialists. The abundance and biomass of leaf-chewing insects per host species was difficult to predict. However, path analyses showed that most of the causal variance in insect species richness and in the ratio of specialist to generalist chewers was accounted for by five properties of the tree species: numbers of young leaves available throughout the year, ant (i.e., enemy) abundance leaf palataility, leaf water content, and altitudinal range. Most of the variation in local species richness could be predicted from local processes (i.e., food resources and abundance of enemies), not from regional processes. This study and others suggest that in complex environments, such as tropical rain forests, local processes may be comparatively more important in maintaining the local species richness of insect herbivores than in less complex ones such as temperate woodlands. The implications of these findings are evident: the effects of moderate habitat fragmentation and ecological stress may be more pronounced in tropical systems than in temperate systems and may result in a greater proportional loss of local biodiversity in the former.",76,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,15,10.2307/2265794,Ants | Host specificity | Insect-plant interactions | Insects | Leaf production | Papua New Guinea | Species richness,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441379,SCOPUS_ID:0030441379,2-s2.0-0030441379,Phenotypic plasticity for offspring traits in Polygonum Persicaria,Sultan S.E.,Ecology,00129658,77,6,1791-1807,1996-01-01,1996,"This paper investigates the effects of parental environment and genotype on offspring provisioning, structure, and growth traits in the annual plant Polygonum persicaria. Replicate offspring were studied from cloned individuals of five parental genotypes grown in high vs. low light, soil moisture, and soil nutrients. Genotypic norms of reaction were determined for ecologically important offspring traits. The effects on those traits of parental genotype, parental environment, and their interaction were tested by analysis of variance. The results showed that parental genotypes altered offspring traits in response to particular resource limits, such that offspring quality was maintained or enhanced despite parental resource deprivation. By maximizing the probability of offspring success, resource-deprived parental plants may partly offset the reduction in their fitness due to lower offspring number. Although overall patterns of plasticity were common to all parents, even this small sample revealed differences among parental genotypes in their response to environment. This may reflect the degree to which variation in fitness-related offspring traits occurs within parents and hence is unavailable to selection.",119,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,16,10.2307/2265784,Fitness | Maternal effects | Norm of reaction | Offspring quality | Parental investment | Phenotypic plasticity | Polygonum | Resource limitation | Seed number | Seed size,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441261,SCOPUS_ID:0030441261,2-s2.0-0030441261,Proximate causes of sexual size dimorphism in the iguanian lizard Microlophus occipitalis,Watkins G.G.,Ecology,00129658,77,5,1473-1482,1996-01-01,1996,"Among iguanian lizards, males are often larger than females. As a result, much attention has been directed toward understanding the evolution of sexual size dimorphism (SSD) in this group. SSD can result from a number of developmental, physiological, and demographic processes, which may cause sex differences in growth trajectories, timing of maturity, and adult age distributions. Knowledge of these proximate mechanisms can improve our understanding of the evolution of SSD. Only recently, however, have efforts been directed toward understanding proximate mechanisms. I examined the proximate causes of SSD in a population of a South American iguanian lizard, Microlophus occipitalis. The majority of the SSD in this population resulted from continued postmaturity growth in males and reduced postmaturity growth in females. Additionally, adult males tended to live longer than females, which affected adult age and size distributions. The proportion of young individuals in samples had strong effects on temporal fluctuations in SSD in the population. I discuss the importance of studying proximate mechanisms for evolutionary analyses of SSD in organisms that continue to grow after reaching maturity.",65,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,17,10.2307/2265544,Demography | Growth | Iguania | Lizard | Microlophus | Tropidurus,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441120,SCOPUS_ID:0030441120,2-s2.0-0030441120,A simplified forest model to study species composition along climate gradients,Bugmann H.,Ecology,00129658,77,7,2055-2074,1996-01-01,1996,"Forest models based on the gap dynamics hypothesis (""gap models"") have gained an important role in forest ecology and have grown rather complex in the last 20 yr. They have been applied extensively to study the impacts of climatic change on ecosystems although they originally were not built for this purpose. The objectives of this study were (1) to develop a new forest gap model, FORCLIM, that includes only a minimum number of ecological assumptions but robust parameterizations of the effects of climate on plant population dynamics; (2) to test the realism of FORCLIM as compared to its predecessor model, FORECE; and (3) to examine the behavior of FORECE and FORCLIM systematically along climate gradients in Europe. FORCLIM is composed of three modular submodels: FORCLIM-P for plant population dynamics, FORCLIM-S for soil carbon/nitrogen turnover, and FORCLIM-E for providing reliable parameterizations of the abiotic environment. For the core model, FORCLIM-P, it was found that only four factors are sufficient to model tree growth, another four factors are required to model tree establishment, and only two factors are required to model tree mortality. The behavior of FORCLIM was tested at a large number of sites in the European Alps. The model yields tree species compositions that conform to field data and are very similar to those of the predecessor model. Based on this evaluation alone, it would not be possible to favor one of the models over the other. The behavior of both models then was examined systematically in a parameter space spanned by the annual mean temperature and the annual precipitation sum. From this exercise it became evident that both the pattern of aboveground biomass and the realized niches of the dominating tree species are simulated realistically by FORCLIM. Extremely steep gradients are characteristic of FORECE, and many ecotones are simulated to occur in the wrong places in FORECE. Thus, some of the current forest gap models can be simplified without reducing the realism of their behavior, and models other than FORECE should be scrutinized in this respect as well. The present study also suggests that the evaluation of model behavior at scattered sites is insufficient to show their validity for simulating forest dynamics along climate gradients. Further rigorous model comparisons and validation studies are required to increase the reliability of this promising class of models.",237,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,18,10.2307/2265700,Climatic change | Europe | FORCLIM | Forest ecology | Forest gap models | Model comparisons | Model simplification | Modular modeling | Niche theory | Validation,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441119,SCOPUS_ID:0030441119,2-s2.0-0030441119,Mutualism denied? Nectar-robbing bumble bees do not reduce female or male success of bluebells,Morris W.,Ecology,00129658,77,5,1451-1462,1996-01-01,1996,"Although mutualisms are often viewed as fragile constructs, subject to invasion by ""cheaters"" that gain from the mutualism without providing compensating benefits, few studies have explored whether or not apparent cheating behavior by one player actually denies benefits to the other species. Panicled bluebells (Mertensia paniculata) experience high rates of nectar robbery by bumble bees (Bombus mixtus and B. frigidus) in the Wrangell Mountains of southcentral Alaska. Nevertheless, experimental prevention of nectar larceny in two seasons did not enhance components of female reproductive success (nutlet initiation, seed-set, and seed mass) or male success (pollen removal). Observational data show that the absence of a negative impact of nectar robbery is a consequence of bumble bee behaviors; the two bee species that rob mature flowers buzz-pollinate the same flowers at an earlier stage in floral development. The shift in bee behavior is driven by the presentation of different rewards at different times in the flowering period; young flowers contain pollen and older flowers produce nectar. Although flowers typically receive and donate pollen before most nectar is produced, the mature flowers producing a robbed nectar reward may nonetheless contribute to the reproductive success of bluebell plants. Flowers sequestered from pollinators in the early stage were still capable of initiating nutlets, demonstrating that older flowers can enhance female reproduction if pollinators are rare (when many early-stage flowers may go unvisited). Moreover, the removal of mature flowers reduced the visitation rate to early-stage flowers on the same plant. Because individual bumble bees switch frequently between nectar robbing and pollen collection, the nectar reward in mature flowers may act as a key enticement to pollinators, which then enhance plant reproduction by legitimately visiting early-stage flowers. Rather than representing a case of cheating behavior, nectar robbery may be an integral part of this plant-pollinator mutualism.",89,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,19,10.2307/2265542,Bluebells | Bombus spp. | Bumble bees | Cheating behavior | Floral color change | Hermaphroditic plants | Mertensia paniculata | Nectar robbery | Plant-pollinator mutualism | Pollen removal | Reproductive success,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440773,SCOPUS_ID:0030440773,2-s2.0-0030440773,Effects of individual variation in size on growth and development of larval salamanders,Brunkow P.E.,Ecology,00129658,77,5,1483-1492,1996-01-01,1996,"Theoretical population models suggest that variation among individuals can affect population-level properties like stability and equilibrial density. Few studies, however, have tested the importance of individual variation to factors affecting population dynamics (e.g., average individual growth rates, developmental rates, survivorship, etc.) using natural populations. We conducted a field experiment designed to test effects of larval density and individual variability in body size on growth and development of larval tiger salamanders (Ambystoma tigrinum nebulosum). We performed our experiment in a natural sinkhole lake in central Arizona; experimental populations differing in density and initial variability in body size were held in nylon mesh enclosures. Effects of individual variability in size were examined independently of any effects due to mean body size of the population or total population biomass. Density affected growth rates and development to metamorphosis of experimental larvae in a manner consistent with other studies. Initial variability in body size did not affect larval growth rates or diets but did interact with density to affect survivorship and development: experimental larvae held with similarly sized individuals experienced lower survivorship and were metamorphosing earlier than experimental larvae held with variably sized individuals. These effects did not appear to be mediated by size-specific competitive abilities but may have been mediated by individual behavioral responses to size structure. This study underscores the importance of incorporating information about interindividual variability into our understanding of processes affecting population dynamics.",29,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,20,10.2307/2265545,Ambystoma tigrinum | Individual variation | Larval | Metamorphosis | Population structure | Salamander,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440772,SCOPUS_ID:0030440772,2-s2.0-0030440772,Mechanisms of hummingbird-mediated selection for flower width in Ipomopsis aggregata,Campbell D.,Ecology,00129658,77,5,1463-1472,1996-01-01,1996,"The form of angiosperm flowers is thought to have evolved in part via selection that excludes ineffective pollinators and increases the efficiency of pollen transfer by effective ones. In previous studies with the montane plant Ipomopsis aggregata, we documented pollinator-mediated selection on several aspects of floral form, including flower width. This character varies continuously within natural populations of I. aggregata, and individuals with wider flowers export more pollen per flower to surrounding plants. We previously showed that this component of phenotypic selection is due primarily to the pervisit effectiveness of hummingbirds, the most important pollinator in our study populations. Here we investigate mechanisms of differential visit effectiveness in greater detail. First, counts of pollen in unvisited flowers showed that pollen production itself increases with width. In aviary experiments, hummingbirds also removed a greater proportion of available pollen as width increased. We next videotaped visits to flowers that varied in width either naturally, or by experimental treatment, and found that hummingbirds inserted their bills more deeply into wider flowers. Finally, we directly manipulated how deeply birds could insert their bills, and found that more pollen was removed after deep insertion. Thus, several mechanisms appear to underlie selection on corolla width via visit effectiveness in pollen export. One involves a phenotypic correlation with pollen production; this underscores the value of experiments for untangling indirect from direct selection. Another mechanism involves direct selection due to the depth of insertion of a hummingbird's bill; this is rare evidence for one form of selection involving the ""fit"" between pollinator and flower.",143,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,21,10.2307/2265543,Flower shape and size | Hummingbird | Ipomopsis | Morphology | Phenotypic correlation | Pollen export and production | Pollinator effectiveness | Selection,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440237,SCOPUS_ID:0030440237,2-s2.0-0030440237,Parasitic plant-host interactions: Plant performance and indirect effects on parasite-feeding herbivores,Marvier M.,Ecology,00129658,77,5,1398-1409,1996-01-01,1996,"While the role of parasites in shaping population and community dynamics has been increasingly appreciated, researchers have largely ignored the ecology of parasitic plants. Parasitic plants obtain water, sugar, nitrogen compounds, and a variety of secondary metabolites from their host plants. In a greenhouse study, I examined the direct interactions of a parasitic plant, Castilleja wightii (Scrophulariaceae), with three plant hosts and the indirect effects of this parasitism on the performance of a parasite-feeding herbivore. The three host species, Lupinus arboreus, Artemisia pycnocephala, and Eriophyllum staechadifolium, directly and differentially affected C. wightii flower production, although parasite biomass was not affected by host species. Surprisingly, parasite performance was weakest when attacking a leguminous host, although parasite total nitrogen was highest when growing on a legume. Parasites also exerted a strong direct effect on host performance: host dry mass was negatively correlated with parasite mass for all three host species tested. However, this effect differed among hosts: for E. staechadifolium, proportionately larger parasite mass was correlated with smaller overall biomass of the host and parasite combined, while for the other two hosts, overall host-parasite mass was not correlated with parasite mass, indicating that E. staechadifolium was more affected by parasite attack than were the other host species. Finally, host plant chemistry had strong indirect effects on the performance of an aphid, Nearctaphis kachena, that feeds on C. wightii. Aphids feeding on C. wightii that were parasitizing L. arboreus (alkaloid-producing, high nitrogen), A. pycnocephala (alkaloid-free, intermediate nitrogen), and E. staechadifolium (terpenoidproducing, low nitrogen) experienced 68.2, 65.3, and 49.5% survival, respectively. Further, aphids feeding on parasites using L. arboreus and A. pycnocephala produced 2.43 and 1.77 times more offspring on average than those feeding on parasites using E. staechadifolium. My results indicate that interactions between plant parasites and different host species can have strong direct effects on both host and parasite performance, as well as marked effects on the tritrophic interactions among plant hosts, parasitic plants, and their herbivores.",74,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,22,10.2307/2265537,Aphididae | Castilleja wightii | Herbivory | Indirect effects | Nitrogen | Parasitic plant | Parasitism | Plant-insect interaction | Tritrophic interaction,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030439648,SCOPUS_ID:0030439648,2-s2.0-0030439648,Determinants of dispersal in breeding merlins (Falco Columbarius),Wiklund C.,Ecology,00129658,77,6,1920-1927,1996-01-01,1996,"Determinants of adult dispersal were studied in a population of color-banded Merlins (Falco columbarius). In the analysis, I examined the effects of local population density, breeding performance, survival, and characteristics of the mate on movements between breeding seasons. The distance moved between successive breeding seasons varied greatly, both between and within individuals. Fidelity to the breeding areas was higher in males than females, and females dispersed nearly three times as far as males did. Males breeding at high density dispersed shorter distances than other males. Dispersal distances of females were related to aspects of the mate. Females that mated with older males, and with males that survived to the next season, made shorter movements than other females. In both sexes, low reproductive success was associated with long dispersal distances in the next year. Moreover, nest predation in one season resulted in lower return rate by females, but not males. Hence, breeding Merlins responded to their social as well as natural environment by dispersing from areas associated with low survival and poor reproductive performance.",49,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,23,10.2307/2265795,"Breeding performance | Density of breeders | Dispersal, adult | Falco columbarius | Fidelity to breeding areas | Male age | Merlin | Nest predation | Nest-site movement | Sweden",NA,NA,NA
