@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/35648932501,SCOPUS_ID:35648932501,2-s2.0-35648932501,Indicators of forest ecosystem productivity and nutrient status across precipitation and temperature gradients in Hawaii,Idol T.,Journal of Tropical Ecology,02664674,14697831,23,6,693-704,2007-11-01,November 2007,10.1017/S0266467407004439,S0266467407004439,"Precipitation and temperature are known to have important effects on forest productivity, but these effects may be strongly mediated through their influence on soil and leaf nutrients. We measured indicators of forest productivity and soil and leaf nutrients across independent gradients of precipitation and elevation/temperature in lower montane Hawaiian forests dominated by a single overstorey species, Acacia koa, situated on 1500-3000-y-old soils that were mixtures of volcanic ash and basalt. Stand basal area was highest at the wettest site, 2000 mm mean annual precipitation (MAP), and leaf N and P were lowest at the driest site, 1000 mm MAP. Soil N availability and leaf N concentration declined across an 850-m elevation gradient, but this was not correlated with stand basal area or soil organic matter content. Across all stands, basal area was negatively correlated with the exchangeable soil P fraction. As well, the soil C:N ratio was negatively correlated with both soil P availability and the size of the primary mineral P fraction. Soil P availability and weathering appear to be important determinants of soil organic matter quantity and quality. Overall, precipitation is the major driving force for forest productivity, but P weathering and availability play important roles in limiting productivity in wetter sites and in controlling soil organic matter dynamics in these N-fixing forests. Copyright © 2007 Cambridge University Press.",16,Journal,ar,Article,100,3,3,Acacia koa | Carbon | Elevation | Forest | Leaves | Nitrogen | Phosphorus | Precipitation | Productivity | Soils | Temperature,23435,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648929942,SCOPUS_ID:35648929942,2-s2.0-35648929942,Tree-piping termites and growth and survival of host trees in savanna woodland of north Australia,Werner P.A.,Journal of Tropical Ecology,02664674,14697831,23,6,611-622,2007-11-01,November 2007,10.1017/S0266467407004476,S0266467407004476,"Most trees in the eucalypt savannas of Australia have hollow cores, or pipes, caused by termite activity, yet little is known about their effect on tree growth or survival. Five hundred and forty-one trees with known growth and survival histories were cored to determine pipe diameters in wooded savanna of Kakadu National Park, north Australia. Generalized linear modelling and multi-model inference was used to analyse frequency and degree of piping relative to initial tree diameter at breast height (dbh), eco-taxonomic group or species of eucalypt. Growth (dbh increment) and survival (4 y) were analysed relative to initial tree size, pipe ratio (pipe diameter:dbh) and eco-taxonomic group. The frequency of piping was strongly dependent on dbh, increasing with size of tree, and was highest in eucalypts. Growth and survival of eucalypts increased with tree diameter and decreased with pipe ratio. For example, from modelled data, 10-cm-diameter trees without pipes grew 0.14 cm y-1 with 85% survival vs. 10-cm trees with pipe ratios of 0.60 which had near-zero growth and only 46% survival. Comparing 40-cm-diameter trees without pipes to those having pipe ratios of 0.80, growth was 0.22 vs. 0.05 cm y-1, with little difference in survival, 97-99%, respectively. Contrary to the suggestion that tree hollows are an adaptive trait whereby trees benefit by the release of nutrients, in the north Australian eucalypt savannas the net effect of termite piping on individual tree growth and survival was negative. Copyright © 2007 Cambridge University Press.",36,Journal,ar,Article,100,2,2,Australia | Coptotermes acinaciformis | Demography | Eucalyptus | Nutrient cycling | Savanna | Termites | Tree growth | Tree hollows | Tree survival,23435,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348925280,SCOPUS_ID:35348925280,2-s2.0-35348925280,Synergistic impacts of ungulates and falling palm fronds on saplings in the Amazon,Beck H.,Journal of Tropical Ecology,02664674,14697831,23,5,599-602,2007-09-01,September 2007,10.1017/S0266467407004294,S0266467407004294,NA,13,Journal,ar,Article,100,1,1,Animal-plant interaction | Iriartea deltoidea | Litterfall | Manu National Park | Peccaries | Physical damage | Saplings | Tayassuidae | Ungulates,23435,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348923399,SCOPUS_ID:35348923399,2-s2.0-35348923399,"Stability of wooded patches in a South African nutrient-poor grassland: Do nutrients, fire or herbivores limit their expansion?",Mourik A.,Journal of Tropical Ecology,02664674,14697831,23,5,529-537,2007-09-01,September 2007,10.1017/S0266467407004282,S0266467407004282,"Patches of wooded vegetation in nutrient-poor grassland characteristically contain high soil moisture and nutrient availability compared with surrounding grassland. These 'islands of fertility' appear stable in size, suggesting that tree recruitment at the patch boundary is limited. We hypothesize that tree establishment in adjacent grassland is limited by (1) competition for resources, (2) fire or (3) herbivory. In a South African grassland, we measured moisture availability and conducted a bioassay experiment to analyse whether soil nutrient limits tree recruitment at the patch boundary. We thus measured nutrient concentrations of maize plants grown in patch, boundary and grassland soil. To investigate whether browsing or fire affected tree seedlings at the patch boundary, we burned plots including patches, and used fences to exclude browsers. Neither soil moisture nor nutrient availability at the boundary differed from inside the patches, suggesting that tree recruitment at the boundary is not resource limited. Both fire and browsing combined caused a significantly lower tree seedling growth at the patch boundary, suggesting that these two factors can impede tree recruitment. The balance between positive feedback mechanisms facilitating tree recruitment, and the negative impact of fire and browsing can explain the apparent stability of these islands of fertility. Copyright © 2007 Cambridge University Press.",12,Journal,ar,Article,100,5,5,Browsing | Facilitation | Fire | Soil heterogeneity | Soil moisture | Soil nutrients | Tree island | Tree seedling,23435,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348922185,SCOPUS_ID:35348922185,2-s2.0-35348922185,Pollination ecology of Monstera obliqua (Araceae) in French Guiana,Chouteau M.,Journal of Tropical Ecology,02664674,14697831,23,5,607-610,2007-09-01,September 2007,10.1017/S0266467407004427,S0266467407004427,NA,11,Journal,ar,Article,100,3,3,Colopeterus | Floral chamber | Floral cycle | Nitidulid | Pollination | Thermogenesis,23435,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348918096,SCOPUS_ID:35348918096,2-s2.0-35348918096,"Seed dispersal ecology of non-restricted frugivores, capuchin monkeys in three neotropical forests",Wehncke E.V.,Journal of Tropical Ecology,02664674,14697831,23,5,519-528,2007-09-01,September 2007,10.1017/S0266467407004257,S0266467407004257,"Seed dispersal by frugivorous animals has the potential to affect both the demography and the patterns of gene flow of plant populations. In many tropical and subtropical forests a large number of seeds are efficiently dispersed by 'non-restricted frugivores' (NRFs, animals for which fruits do not represent the main bulk of their diet), a group commonly underestimated as seed dispersers. Here, we synthesize data from three different neotropical forests (Argentina, Panama and Costa Rica), evaluating several aspects of seed dispersal by two species of Cebus monkeys. Capuchin monkeys are NRFs broadly distributed throughout Central and South America that are potentially long-distance seed dispersers. In this study we evaluated the influence of the foraging behaviour of Cebus apella and C. capucinus on the patterns of seed dispersal. Even though the distribution of fruit types significantly differed among forests, no evidence of diet selection was found, indicating that the fruits consumed by monkeys represent a random sample of the pool available at each site. Neither seed treatment, nor the evenness with which fruit species were consumed, differed among forests. In contrast, the feeding time per fruiting tree (10-45 min), the diversity of fruits consumed (H = 2-3.3), and seed dispersal distances (100-400 m), differed among the three forests. Thus, capuchin monkeys consume a high diversity of fruits in transit producing a scattered dissemination of seeds in all study forests. This study highlights the ecological and evolutionary significance of seed shadows generated by NRFs, without neglecting the possibility that differences in the distribution of fruit patches, species richness and a range of environmental attributes among the studied forests, exert a strong influence on the outcome of the interaction between NRFs and plants. Copyright © 2007 Cambridge University Press.",19,Journal,ar,Article,100,2,2,Argentina | Cebus apella | Cebus capucinus | Costa Rica | Feeding | Frugivory | Panama | Primates | Seed dispersal | Subtropical forest | Tropical ecology,23435,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348918095,SCOPUS_ID:35348918095,2-s2.0-35348918095,Fragmentation and elevation effects on bird-army ant interactions in neotropical montane forest of Costa Rica,Kumar A.,Journal of Tropical Ecology,02664674,14697831,23,5,581-590,2007-09-01,September 2007,10.1017/S0266467407004270,S0266467407004270,"Army ants (Formicidae: Ecitoninae) are top predators in neotropical forests. Army ant raids support a community of diverse organisms, including birds that attend the raids to collect prey. While elevation and forest fragmentation influence army ant and insectivorous bird communities, their effects on the interaction between army ants and bird species is unknown. We studied the size and species composition of bird flocks attending army ant swarms in forest fragments and continuous forest across an elevational gradient (1100-1680 m asl) in a neotropical montane region (Monteverde, Costa Rica). We observed a total of 41 bird species attending army ant swarms. Neither the number of birds, nor the total body mass of birds, nor the number of bird species in attending bird flocks was related to elevation. However, we found a higher bird species richness, larger flock size and greater total body mass of birds attending army ant swarms in continuous forest. Continuous and fragmented forest shared many attending bird species in common, but there was elevational segregation of attending bird species. Some montane endemic birds, and neotropical migrants, attend swarms regularly and use army ant raids as a food source. Copyright © 2007 Cambridge University Press.",26,Journal,ar,Article,100,2,2,Antbird | Cloud forest | Eciton burchellii | Habitat alteration | Labidus praedator | Monteverde,23435,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348893681,SCOPUS_ID:35348893681,2-s2.0-35348893681,"Catastrophes, disturbances and density-dependence: Population dynamics of the spiny pocket mouse (Heteromys desmarestianus) in a neotropical lowland forest",Klinger R.,Journal of Tropical Ecology,02664674,14697831,23,5,507-518,2007-09-01,September 2007,10.1017/S0266467407004415,S0266467407004415,"Capture-mark-recapture methods were used to study the influence of density-dependent and density-independent factors on population dynamics of the spiny pocket mouse Heteromys desmarestianus in a lowland forest in Belize. Fourteen trapping sessions were conducted in six 0.5-ha grids at irregular intervals from July 2000 to March 2005. Responses by H. desmarestianus to four disturbance events depended on the type and magnitude of the events. Although fluctuations in density were strongly related to fruit availability, the disturbances tended to magnify direct and delayed density-dependent effects on reproduction and juvenile survival. A catastrophic flood in July 2000 eliminated the entire population, but by September 2001 population density had increased from 34.4 individuals ha-1 immediately pre-flood to 42.5 individuals ha-1. Indirect effects from a hurricane in October 2001 had greater and longer lasting influences on demographic rates than direct effects from less severe floods in August 2002 and September 2003. Fruiting ceased for almost 2.5 y after the hurricane, resulting in extremely low juvenile survival and a decline in density from 46.8 individuals ha-1 in January 2002 to 23.0 individuals ha-1 in January 2004. Fruiting began again in January 2004, and after several subsequent pulses of reproduction and generally higher rates of juvenile survival the population reached a maximum of 77.3 individuals ha-1 in March 2005. Inferences from the study, especially on the duration of delayed-density-dependent effects, must be made cautiously because of the irregular trapping intervals resulting from the unplanned disturbances. However, the results indicate that population dynamics of many tropical small-mammal populations will be driven by direct and indirect effects from density-independent events that amplify density-dependent influences on demographic rates. Copyright © 2007 Cambridge University Press.",9,Journal,ar,Article,100,1,1,Density-independence | Floods | Hurricanes | Resource limitation | Rodents | Small mammals | Tropical forests,23435,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348844489,SCOPUS_ID:35348844489,2-s2.0-35348844489,Partitioning of understorey light and dry-season soil moisture gradients among seedlings of four rain-forest tree species in Madagascar,De Gouvenain R.,Journal of Tropical Ecology,02664674,14697831,23,5,569-579,2007-09-01,September 2007,10.1017/S0266467407004385,S0266467407004385,"Resource partitioning has been hypothesized to play a role in the maintenance of tree diversity in tropical forests. We looked for evidence of light and soil moisture partitioning among seedlings of four native Malagasy tree species, the pioneer, gap-adapted species Harungana madagascariensis and the three shade-tolerant species Ocotea cymosa, Stephanostegia capuronii and Uapaca ferruginea. Four hundred and eighty seedlings were transplanted in experimental plots in the Tampolo coastal forest and grown for 2 y. Growth rates increased with increasing light availability for all species, and with increasing dry-season soil moisture for H. madagascariensis. With increasing light availability, survival increased for H. madagascariensis, S. capuronii and U. ferruginea but decreased for O. cymosa. While dry-season soil moisture did not influence the growth or survival of the shade-tolerant species, it interacted with understorey light in its effect on the performance of H. madagascariensis, which performed better in wet soils at high light than in dry soils in shade. Rank reversals in species performance suggested that three of the four tree species partition resource gradients as seedlings, mostly light and secondarily dry-season soil moisture. There was only partial agreement between the performance of transplanted seedlings and the distribution of natural seedlings of the same four species with respect to light and soil moisture, suggesting that the success of tropical tree regeneration can only be partly accounted for by seedling performance across resource gradients. Copyright © 2007 Cambridge University Press.",11,Journal,ar,Article,100,3,3,Drought | Gradient | Growth | Harungana madagascariensis | Ocotea cymosa | Regeneration | RGR | Stephanostegia capuronii | Survival | Tropical forest | Uapaca ferruginea,23435,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348843907,SCOPUS_ID:35348843907,2-s2.0-35348843907,The effects of salinity on the dynamics of a Pterocarpus officinalis forest stand in Puerto Rico,Rivera-Ocasio E.,Journal of Tropical Ecology,02664674,14697831,23,5,559-568,2007-09-01,September 2007,10.1017/S0266467407004361,S0266467407004361,"Coastal wetland plant communities are strongly structured by water depth and salinity. Rising sea level will cause changes in the hydro-period, surface water salinity and salt-water intrusion in coastal areas, which will reduce the distribution of forests in these areas. We studied the dynamics of a Pterocarpus officinalis stand in Puerto Rico over a 9-y period. We observed differences in plant growth, recruitment and mortality across a salinity gradient within a 1-ha plot. In areas of high salinity, recruitment, juvenile density and growth rates of juveniles and adults were lower. The detrimental effect of salinity was also observed in a growth experiment; seedlings in 5‰ and 10‰ salinity treatments had higher mortality, slower growth and less above- and below-ground biomass than control seedlings (0‰). In addition, an increase from 0 to 1‰ in salinity resulted in approximately 50% less nodulation in seedlings. Low recruitment in high salinity areas and lack of recruitment in adjacent grasslands will further reduce the distribution of this forest type. Although some ecosystems can respond to changing conditions by migration to more favourable areas, this is not the case with P. officinalis, and thus, restoration efforts are needed to re-establish this species where it occurred historically. Copyright © 2007 Cambridge University Press.",13,Journal,ar,Article,100,3,3,Climate change | Coastal tropical wetlands | Growth | Mortality | Nodulation | Recruitment | Salinity experiments | Salinity gradient | Sea-level rise | Seedling response,23435,undefined,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348835893,SCOPUS_ID:35348835893,2-s2.0-35348835893,Habitat divergence in sympatric Fagaceae tree species of a tropical montane forest in northern Thailand,Noguchi H.,Journal of Tropical Ecology,02664674,14697831,23,5,549-558,2007-09-01,September 2007,10.1017/S0266467407004403,S0266467407004403,"Spatial distributions of many tropical trees are skewed to specific habitats, i.e. habitat specialization. However, habitats of specialist species must be divergent, i.e. habitat divergence, to coexist in a local community. When a pair of species specialize in the same habitat, i.e. habitat convergence, they could not coexist by way of habitat specialization. Thus, analyses of habitat divergence, in addition to habitat specialization, are necessary to discuss coexistence mechanisms of sympatric species. In this study, the habitat specialization and habitat divergence along topographic gradients of eight sympatric tree species of the Fagaceae were studied in a 15-ha study plot in a tropical lower montane forest in northern Thailand. A statistical test with torus shift randomizations for 9673 trees of Fagaceae revealed significantly biased distributions for all of the species, for at least one of the four topographic variables used: elevation, slope inclination, aspect and convexity. Slope convexity was the most critical topographic variable, along which all but one species had significantly skewed distributions. Out of 112 possible combinations of species pairs and topographic variables, 18 (16%) and two pairs (1.8%) showed significant habitat divergence and habitat convergence, respectively. The observed habitat divergence alone could not completely explain the coexistence of the eight species. There was a gradation in the habitat position of each species, with relatively large overlaps between species distributed in similar habitats, and small overlaps between species associated with contrasting habitats, respectively. The gradual changes in the habitats of the species suggested that dividing the species into a small number of distinct habitat groups, such as ridge and valley specialists, would not be straightforward. Copyright © 2007 Cambridge University Press.",14,Journal,ar,Article,100,12,12,Habitat association | Niche | Spatial analysis | Species coexistence | Topography,23435,undefined,0,FALSE,21,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348824159,SCOPUS_ID:35348824159,2-s2.0-35348824159,Topographic and edaphic effects on the distribution of terrestrially reproducing anurans in Central Amazonia: Mesoscale spatial patterns,Menin M.,Journal of Tropical Ecology,02664674,14697831,23,5,539-547,2007-09-01,September 2007,10.1017/S0266467407004269,S0266467407004269,"Many studies suggest that edaphic variables are major determinants of frog distributions. However, leaf-litter depth and soil characteristics are influenced by distance from streams, so the apparent relationship between edaphic characteristics and species distributions could be an artefact of the dependence of species on free water for reproduction. Therefore, we investigated the effect of edaphic variables on the mesoscale distribution of frog species not dependent on free water for reproduction. We evaluated the effects of soil texture, pH, slope, number of trees and leaf-litter volume on the distribution of nine terrestrially reproducing anuran species in the Reserva Ducke, a 100-km2 terra firme forest preserve in central Amazonia. Diurnal and nocturnal assemblages of anuran species were sampled in 72 plots systematically distributed across the reserve. We sampled the diurnal anuran assemblage by visual encounter in 250 x 1-m plots and the nocturnal assemblage in 250 x 20-m plots using both auditory and visual surveys. The majority of terrestrially breeding anuran species were influenced by topographic and/or edaphic variables, such as slope, soil clay content and pH. However, responses to environmental predictors differed among species. Most species occurred throughout all environmental gradients and relationships with soil characteristics were subtle, indicating that these species occur in the majority of habitats in Reserva Ducke. The results of this study indicate that terrestrially breeding frogs are habitat generalists that show little mesoscale beta diversity associated with habitat variation. Copyright © 2007 Cambridge University Press.",62,Journal,ar,Article,100,4,4,Abundance | Beta diversity | Brazil | Clay | Community structure | Distribution patterns | Frogs | Slope | Soil,23435,undefined,0,FALSE,22,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35348823562,SCOPUS_ID:35348823562,2-s2.0-35348823562,"Pollinators and pollen dispersal of Piper dilatatum (Piperaceae) on Barro Colorado Island, Panama",Kikuchi D.,Journal of Tropical Ecology,02664674,14697831,23,5,603-606,2007-09-01,September 2007,10.1017/S0266467407004397,S0266467407004397,NA,6,Journal,ar,Article,100,4,4,Bees | Clonal growth | Fluorescent dye | Pollination,23435,undefined,0,FALSE,23,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34447104548,SCOPUS_ID:34447104548,2-s2.0-34447104548,Small-mammal diversity and abundance in a French Guianan rain forest: Test of sampling procedures using species rarefaction curves,Mauffrey J.F.,Journal of Tropical Ecology,02664674,14697831,23,4,419-425,2007-07-01,July 2007,10.1017/S0266467407004154,S0266467407004154,"Neotropical species richness is often estimated using accumulation or rarefaction curves and extrapolations based on various methods, but the efficacy of these methods is rarely tested. We used both a time-limited trapping session and previous knowledge of the mammal fauna from a site in French Guiana to validate these different methods. Three currently used extrapolation models were tested on our data. In a 2.5-mo trapping period we caught 75 individuals representing 18 small non-volant mammal species in three different habitats. We found that for comparable trapping efforts, village edges presented a higher abundance and species richness than primary and secondary forests. Species richness extrapolations using current models demonstrated that the exponential dependence model fits the known diversity of the site better, although this model is usually applied to large geographic areas and to relatively poorly documented taxa. Both Clench equation and linear dependence models underestimate small-mammal species richness in our study. We finally emphasize the interest of sampling in such edges surrounded by either primary or secondary forest, to maximize the probability of trapping rare species. Copyright © 2007 Cambridge University Press.",5,Journal,ar,Article,100,3,3,Extrapolation models | Marsupials | Neotropical forests | Rodents | Species richness | Trapping,23435,undefined,0,FALSE,24,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347408059,SCOPUS_ID:34347408059,2-s2.0-34347408059,Effects of tree cover and season on soil nitrogen dynamics and microbial biomass in an African savanna woodland dominated by Colophospermum mopane,Mlambo D.,Journal of Tropical Ecology,02664674,14697831,23,4,437-448,2007-07-01,July 2007,10.1017/S0266467407004233,S0266467407004233,"The objective of this study was to investigate the effects of tree cover and season on soil N dynamics and microbial biomass in a semi-arid southern African savanna in Zimbabwe. We used a randomized complete block design with five blocks of 100 × 100 m, demarcated in a 10-ha pocket of Colophospermum mopane-dominated woodland protected from grazing and fire. In each block, we randomly selected three mopane trees with large canopies (8.3 m crown diameter) and another three with small canopies (2.7 m crown diameter). We determined soil organic carbon and nutrient concentrations, litterfall N and C inputs, microbial biomass and N transformations beneath large and small mopane trees as well as in the intercanopy areas. Soil organic carbon, microbial biomass, N, P and K were more than twice those beneath large trees than in the intercanopy areas. Rainy-season net mineral N accumulation rate in the surface soil (0-10 cm) ranged from 3.71 μg g-1 mo-1 in the intercanopy areas to 8.80 μg g-1 mo-1 beneath large trees; correspondingly, net nitrate accumulation rate ranged from 1.33 to 3.60 μg g-1 mo-1. Dry-season net mineral N and net nitrate accumulation rates were similar across sampling sites and did not exceed 2 and 0.4 μg g-1 mo-1, respectively. Litterfall N inputs were positively and significantly correlated with soil N availability, microbial biomass N and N transformations. At all sampling sites, microbial biomass and mineral N pools in the dry season were maximum when soil moisture (∼5%) and N transformations were minimum. In contrast, when soil moisture (9-13%) and N transformations were maximum in the rainy season, microbial biomass and mineral N pools were minimum. It is concluded that the improved soil conditions beneath isolated trees in semi-arid savannas may enhance herbaceous biomass yield especially of canopy shade-tolerant species. Copyright © 2007 Cambridge University Press.",16,Journal,ar,Article,100,3,3,Colophospermum mopane | Microbial biomass | N accumulation | Nitrate accumulation | Savanna | Semi-arid,23435,undefined,0,FALSE,25,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347404907,SCOPUS_ID:34347404907,2-s2.0-34347404907,Increasing densities of leaf-cutting ants (Atta spp.) with proximity to the edge in a Brazilian Atlantic forest,Wirth R.,Journal of Tropical Ecology,02664674,14697831,23,4,501-505,2007-07-01,July 2007,10.1017/S0266467407004221,S0266467407004221,NA,98,Journal,ar,Article,100,6,6,Atta cephalotes | Atta sexdens | Attini | Bottom-up control | Colony densities | Edge effects | Forest fragmentation | Herbivory,23435,undefined,0,FALSE,26,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347404718,SCOPUS_ID:34347404718,2-s2.0-34347404718,Bird assemblages in secondary forests developing after slash-and-burn agriculture in the Brazilian Amazon,Borges S.,Journal of Tropical Ecology,02664674,14697831,23,4,469-477,2007-07-01,July 2007,10.1017/S0266467407004105,S0266467407004105,"Although indigenous farmers and other traditional peoples have disturbed Amazonian forests for centuries, few studies investigate the effects of these disturbances on biodiversity. This short-term study investigates how bird assemblages are affected by agricultural practices adopted by the residents of a national park in the Brazilian Amazon. Twelve sites in secondary forest (four sites in three age categories) and 12 sites in primary forest were selected for bird sampling. Audio-visual censuses of birds were conducted in small plots (1 ha) of young secondary growth (4-5 y), middle-aged (7-15 y), and old (20-35 y) secondary forests. Each site in secondary forest had a corresponding control site in adjacent primary forest. Young secondary growth had fewer species than old secondary and primary forests. Bird species richness was similar in middle-aged, old secondary and primary forests. Bird communities of young secondary habitat were dominated by species normally found in open habitats, such as agricultural fields and igapó flooded forests. The bird species composition of young secondary growth was more similar to that of middle-aged forest, which in turn was more similar to that of old secondary forests. Bird species composition differed between young secondary growth and old secondary forests and primary forests and between middle-aged secondary and primary forests. Nectarivore/insectivores and frugivore/insectivores of monospecific flocks are significantly associated with secondary forests, especially in initial stages of forest regeneration. In contrast, specialized insectivorous birds that join mixed-flocks show a significant association with primary forest. Copyright © 2007 Cambridge University Press.",41,Journal,ar,Article,100,1,1,Bird guilds | Forest succession | Jaú National Park | Secondary forests | Traditional agriculture,23435,undefined,0,FALSE,27,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347401043,SCOPUS_ID:34347401043,2-s2.0-34347401043,Streblid bat fly assemblage structure on Paraguayan Noctilio leporinus (Chiroptera: Noctilionidae): Nestedness and species co-occurrence,Presley S.J.,Journal of Tropical Ecology,02664674,14697831,23,4,409-417,2007-07-01,July 2007,10.1017/S0266467407004245,S0266467407004245,"Evaluation of proximate mechanisms (e.g. dispersal, immigration, competition, facilitation) that determine patterns of assemblage or community structure is an important step in the development of paradigms in ecology. Host-parasite systems are useful for such studies because host-parasite assemblages are easily defined units of study, each host individual harbours a sample from a community or assemblage, and many host species are common, providing replicate samples. I used ectoparasite assemblages from Noctilio leporinus collected from Paraguay to evaluate effects of host sex and body size on ectoparasite abundance and to determine if these assemblages exhibit a nested pattern of species co-occurrence. A total of 533 ectoparasites representing seven species and four families were collected from 28 hosts. Abundances of Paradyschiria fusca and Noctiliostrebla aitkeni responded positively to host body size. Host sex had no affect on ectoparasite abundances. Streblid bat fly assemblages from Noctilio leporinus were strongly and significantly nested. Abundances of all species of streblid were positively correlated with one another with Pearson product moment correlation coefficients between 0.424 and 0.646. Competition does not appear to affect community structure of streblids from Paraguayan Noctilio leporinus. Independent responses of species of streblid to host characteristics appear to mould assemblage structure in this system. Copyright © 2007 Cambridge University Press.",21,Journal,ar,Article,100,1,1,Community structure | Competition | Ectoparasite | Facilitation | Streblidae,23435,undefined,0,FALSE,28,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347398082,SCOPUS_ID:34347398082,2-s2.0-34347398082,"Pollination ecology of cardamom (Elettaria cardamomum) in the Western Ghats, India",Sinu P.,Journal of Tropical Ecology,02664674,14697831,23,4,493-496,2007-07-01,July 2007,10.1017/S0266467407004191,S0266467407004191,NA,16,Journal,ar,Article,100,2,2,Apis cerena | Pollination efficiency | Stingless bees | Trigona iridipennis | Zingiberaceae,23435,undefined,0,FALSE,29,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347397840,SCOPUS_ID:34347397840,2-s2.0-34347397840,Visual assessment of wilting as a measure of leaf water potential and seedling drought survival,Engelbrecht B.,Journal of Tropical Ecology,02664674,14697831,23,4,497-500,2007-07-01,July 2007,10.1017/S026646740700421X,S026646740700421X,NA,34,Journal,ar,Article,100,3,3,Method | Mortality | Performance | Regeneration | Water relations,23435,undefined,0,FALSE,30,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34347395985,SCOPUS_ID:34347395985,2-s2.0-34347395985,Adaptive function of drip tips: A test of the epiphyll hypothesis in Psychotria marginata and Faramea occidentalis (Rubiaceae),Burd M.,Journal of Tropical Ecology,02664674,14697831,23,4,449-455,2007-07-01,July 2007,10.1017/S0266467407004166,S0266467407004166,"Drip tips are thought to resist the growth of epiphyllous fungi, lichens, bryophytes and algae on leaf surfaces by promoting the drainage of water following rain. This hypothesis was tested by altering the tip of one leaf in each of 50 pairs of opposite leaves on plants of each of two woody species in the understorey of Barro Colorado Island, Panama. After 11 mo in situ, there were no statistical differences between the mean epiphyll cover on leaves with and leaves without drip tips. Epiphyll cover was, however, strongly correlated between the opposite leaves at a node, even though one had a drip tip and the other had the tip removed. This correlation could be due to small-scale heterogeneity of insolation, temperature and humidity in the crowns of plants. A relationship between epiphyll cover and growth of the branch containing the leaves provides qualitative support for this interpretation. It seems clear that drip tips do not have a large, consistent, easily detectable effect on epiphyll cover. However, because of the tiny cost of drip tips, reductions in epiphyll growth that are small and transitory and occur in only a portion of a plant's leaves may provide sufficient advantage to explain the evolution of drip tips. No experiment to date has been capable of detecting such effects. Copyright © 2007 Cambridge University Press.",16,Journal,ar,Article,100,1,1,Adaptation | Central America | Colonization | Epiphyllae | Leaf drainage | Leaf morphology | Tropical rain forest | Understorey,23435,undefined,0,FALSE,31,NA,NA
