@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,prism:eIssn,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/78651353779,SCOPUS_ID:78651353779,2-s2.0-78651353779,Egg strain in the sea urchin Pseudechinus magellanicus (Echinoidea: Temnopleuridae),Marzinelli E.M.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,335-339,2008-12-01,December 2008,"Echinoid eggs with sizes greater than the gonopore experience strain resulting from compression during spawning, which can damage them affecting fertilization. The aim of this study was to describe gamete characteristics and analyse aspects related to egg strain during spawning of Pseudechinus magellanicus from Golfo Nuevo, Patagonia, Argentina. Mean fresh egg diameter observed was 122 μm with an additional jelly coat of 49 μm. The relationship between gonopore sizes and maximum test diameter showed a positive correlation but egg size did not vary with test diameter, as seen in other sea urchins, indicative of egg strain during spawning. Egg strain calculated from the relationship between egg size and gonopore size was 0.47-0. Eggs of small individuals (<15 mm test diameter) were the most affected by this strain. The egg jelly coat observed in P. magellanicus could protect eggs from strain and shear stress during spawning.",2,Journal,ar,Article,100,3,3,Egg strain | Jelly coat | Pseudechinus magellanicus | Sea urchin | Spawning,13567,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651353584,SCOPUS_ID:78651353584,2-s2.0-78651353584,"Feeding ecology of the subantarctic sea star Anasterias minuta within tide pools in Patagonia, Argentina",Gil D.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,311-328,2008-12-01,December 2008,"The feeding ecology of the brooding sea star Anasterias minuta within tide pools was examined in Central and South Patagonia. 8 470 observations of sea stars were made. A. minuta does not feed while brooding. It consumes a wide range of prey, including molluscs and crustaceans, and can be regarded as a generalist or opportunistic predator. The purple mussel Perumytilus purpuratus was the most abundant prey item (57.6%). Other important prey were the gastropod Pareuthria plumbea, the isopod Exosphaeroma lanceolatum and the mussels Aulacomya atra atra and Mytilus edulis platensis. The proportion of sea stars feeding on sessile prey increases with sea-star size. A significant positive correlation was found between the size of the sea star and the size of the most frequent prey. The diet was fairly constant throughout the year, but diet composition differed between sites, shore level and sea-star size. The diversity of prey consumed by A. minuta was highest on the semi-exposed coast of Caleta Cordova Norte during the temperate season on the infralittoral fringe. A. minuta does not eat prey in proportion to its abundance beneath rocks within tide pools at the infralittoral fringe. Generally, the sea star consumed P. purpuratus and the gastropod P. plumbea more than other prey, even when they were not the most abundant prey present. At the midlittoral zone of the semi-exposed coast of Caleta Cordova Norte, the sea star feeds on prey species accordingly to their abundance. Larger P. purpuratus and E. lanceolatum were eaten disproportionately more often. A. minuta may have an opportunistic feeding strategy, taking unattached, wave-washed mussels when available rather that attached mussels. Consequently, it may have a variable impact on the community structure.",22,Journal,ar,Article,100,2,2,Anasterias | Feeding ecology | Intertidal | Patagonia | Perumytilus,13567,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651353417,SCOPUS_ID:78651353417,2-s2.0-78651353417,Infaunal mollusks as main prey for two sand bottoms sea stars off Puerto Quequén (Argentina),Brögger M.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,328-334,2008-12-01,December 2008,"In order to characterize the diet of Astropecten brasiliensis and Luidia ludwigi scotti, the stomach content of both starfish species was analyzed. Starfishes were sampled for two years off Puerto Quequén coast in the Buenos Aires province (Argentina), at a depth between 40 and 60 m. The main prey items were analyzed in relation to the starfish's sizes and identified to the lowest possible taxonomic category. A. brasiliensis showed the most diversified diet, comprising a total of twenty eight different prey species; bivalves and gastropods predominated. In contrast, L. ludwigi scotti only showed eight prey species with bivalves, foraminiferans and ophiuroids as the most frequently found groups. There were differences among the prey groups eaten by each sea star species, and prey in common differed by size. We found different prey species distribution according with L. ludwigi scotti sizes. There may be competition for food resources, and diet differences may allow the coexistence of A. brasiliensis and L. ludwigi scotti in the area.",8,Journal,ar,Article,100,2,2,Argentina | Asteroids food items | Astropecten | Luidia | Sandy bottoms,13567,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651348873,SCOPUS_ID:78651348873,2-s2.0-78651348873,A review of the crinoid columnals (Echinodermata-Crinoidea) from the Carboniferous of Mexico,Sánchez B.E.B.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,1-12,2008-12-01,December 2008,"The fossil crinoids and associated fauna from the Carboniferous (Mississippian-Pennsylvanian) of Mexico (Sonora, Tamaulipas, Hidalgo, Puebla, Guerrero, Oaxaca and Chiapas States) are described. Data are based on a combination of field and published sources, including seven previously studied localities from the central and southern areas, and four new localities from the northwestern part of the country. A total of 28 morphospecies are reported, seven from the Mississippian and 21 from the Pennsylvanian. Eleven are recorded for the first time in Mexico. These crinoid columnal morphospecies have been reported from the United States of America (Iowa, Illinois, Kentucky, Kansas, Oklahoma, Colorado and Texas), and there are doubtful reports from Poland, and several Eurasian provinces (Western Siberia, Southern Kazakhstan, Pribalkhash and the Czech Republic). Taxa distribution falls within the northwestern Mid-Continent Realm Tropical Climate Zone. The faunal assemblage comprises fusulinids, corals, bryozoans, brachiopods, trilobites, ammonites and conodonts. Fusulinids (e.g. Fusullinella, Triticites, and Parafusulina) have a Tethyan distribution, are also typical of the American Mid-Continental region, and are similar to fauna of the Eurasian-Arctic Province. Corals (Lophophyllidium, Neozaphrentis, Caninia, Caninophyllum, and Lithostrotionella) are present in the Cordilleran province of North America, and in various Eurasiatic provinces. Whereas fenestellid bryozoans (Fenestella) and brachiopods (Neospirifer, Avonia, Wellerella, Composita, and Hustedia) have a cosmopolitan distribution, the ammonite Peritrochia is distributed in the USA, Sicily, Crimea-Urals- central Asia-Timor. Trilobites (Griffithides) and conodonts (Idiognathoides and Neognathodus) are common in Europe, Australia, and Asia.",11,Journal,re,Review,100,6,6,Carboniferous | Crinoid columnals | Mexico | Palaeogeographical distribution,13567,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77957886393,SCOPUS_ID:77957886393,2-s2.0-77957886393,"Echinoderms (Echinodermata) from western Archipelago Sabana-Camagüey, Cuba",del Valle García R.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,19-35,2008-12-01,December 2008,"The Sabana-Camagüey Archipelago, central north region of Cuba, has been submitted to a significant tourist development, with the corresponding increase of hotel infrastructure and highways. We sampled 20 stations considering biotope variation in the macrolagoon and the external areas. The samplings were carried out in March - April and October - November, 2001 (20 days per sampling). Towards the external area - where there is a minor human impact, a better development of the marine grasslands and more saline stability, there were more species, moderate population densities and a lower proportion of species that feed on suspended material, while towards the interior of the macrolagoon we found the opposite pattern.",10,Journal,ar,Article,100,6,6,Biodiversity | Demography | Effects of hotel development | Feeding | Human impact,13567,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77957880809,SCOPUS_ID:77957880809,2-s2.0-77957880809,Species of the order clypeasteroida (Echinodermata: Echinoidea) from the Venezuela coasts,Francisco V.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,215-228,2008-12-01,December 2008,"In Venezuela, taxonomic studies of echinoids are scarce, and most of the information is scattered in bibliographic sources or in collections from scientific expeditions deposited in foreign museums. With the aim to compile information about the species diversity of the Order Clypeasteroida (Class Echinoidea), which occur along the Venezuelan coast, we conducted a bibliographic revision, that was complemented with data from echinoderm collections from the Museo de Biología of the Universidad Central de Venezuela, and data bases from the Museo Oceanológico ""Benigno Román"" (Fundación La Salle de Ciencias Naturales, Venezuela), the Smithsonian National Museum of Natural History (Washington D.C.) and the California Academy of Sciences. At present, there are ten species belonging to the Order Clypeasteroida in Venezuela. Six of them belong to the Family Clypeasteridae: Clypeaster cyclopilus, C. euclastus, C. lamprus, C. prostratus, C. rosaceus and C. subdepressus, and four species belong to the Family Mellitidae: Encope emarginata, E. michelini, Leodia sexiesperforata and Mellita quinquiesperforata. We present a diagnosis for each of the ten species based on morphological characteristics with illustrations of the most common species.",7,Journal,ar,Article,100,2,2,Caribbean | Clypeasteroida | Echinodermata | Echinoidea | Sand dollars | Sea urchins | Venezuela,13567,undefined,0,FALSE,16,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77957874469,SCOPUS_ID:77957874469,2-s2.0-77957874469,Brittle-stars (Echinodermata: Ophiuroidea) from the continental shelf and upper slope of the Colombian Caribbean,Borrero-Pérez G.H.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,169-204,2008-12-01,December 2008,"An annotated brittle star list (Echinodermata: Ophiuroidea) collected by bottom trawling between 20 and 520 m depth during the INVEMAR-MACROFAUNA campaigns (1998-2001) along the continental shelf and upper slope of the Colombian Caribbean is presented. A total of 58 species were identified: 41 genera, 13 families and 2 orders, in which 35 species are new records for the Colombian Caribbean (28 are also new for the continental part of the Caribbean Sea). General and detailed figures are provided.",15,Journal,ar,Article,100,4,4,Caribbean Sea | Colombia | Echinodermata | New records | Ophiuroidea,13567,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77349121898,SCOPUS_ID:77349121898,2-s2.0-77349121898,Echinoderms (Echinodermata) from the Mexican Pacific,Honey-Escandón M.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,57-73,2008-12-01,December 2008,"A systematic list of echinoderms of the Mexican Pacific, based on museum specimens of the Colección Nacional de Equinodermos, Instituto de Ciencias del Mar y Limnología, Universidad Nacional Autónoma de México and the National Museum of Natural History, Smithsonian Institution, Washington, D.C., is presented. A total of 196 echinoderm species is recorded, distributed in 112 genera, 56 families and 20 orders. Eight new records for the Mexican Pacific are presented: one for Class Crinoidea: Hyocrinus foelli; six for Class Asteroidea: Echinaster (Echinaster) parvispinus, Henricia nana, Henricia seminudus, Rathbunaster californicus and Leptasterias pusilla, and one for Class Ophiuroidea: Amphiodia tabogae.",36,Journal,ar,Article,100,3,3,Asteroidea | Crinoidea | Echinodermata | Mexican Pacific | Ophiuroidea,13567,undefined,0,FALSE,18,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77349105136,SCOPUS_ID:77349105136,2-s2.0-77349105136,Taxonomic list of the Echinoderms (Echinodermata: Asteroidea and Echinoidea) from the coast of Oaxaca in the south Pacific of Mexico,Benítez-Villalobos F.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,75-81,2008-12-01,December 2008,"We present a systematic list of the echinoderms (Asteroidea, Echinoidea) from the coast of Oaxaca in the Southern Mexican Pacific, based on museum specimens of the Colección Nacional de Equinodermos, Instituto de Ciencias del Mar y Limnología, Universidad Nacional Autónoma de México, National Museum of Natural History, Smithsonian Institution, Washington, D.C., and fieldwork. A total of 27 echinoderm species is recorded: 23 genera, 17 families and 9 orders. We include 11 new records for the state of Oaxaca, Mexico.",12,Journal,ar,Article,100,3,3,Asteroidea | Eastern Pacific | Echinodermata | Echinoidea | México | Oaxaca,13567,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77349097610,SCOPUS_ID:77349097610,2-s2.0-77349097610,Echinoderms (Echinodermata) from Central America Caribbean,Alvarado J.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,37-55,2008-12-01,December 2008,"We present a systematic list of the echinoderms from the Central American Caribbean, including the archipelago of San Andres, based on specimens deposited at the National Museum of Natural History, Smithsonian Institution, Washington D.C., the Invertebrate Zoology and Geology collections of the California Academy of Sciences, San Francisco, the Museo de Zoología, Universidad de Costa Rica, San José, Costa Rica, the literature and internet. A total of 253 echinoderm species are recorded, distributed in 142 genera, 63 families and 27 orders. Ophiuroidea (79 species) and Asteroidea (56 species) are the most diverse classes. Panama (154 species) and Belize (131 species) have the highest reported echinoderm diversities.",31,Journal,ar,Article,100,3,3,Caribbean | Central America | Diversity | Echinodermata | Similarity,13567,undefined,0,FALSE,20,NA,NA,NA,NA
