@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0017154467,SCOPUS_ID:0017154467,2-s2.0-0017154467,Sib mating populations in an unpredictable environment: effects on components of fitness,Wool D.,Evolution,00143820,30,1,119-129,1976-01-01,1976,17,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,12,10.2307/2407679,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017147818,SCOPUS_ID:0017147818,2-s2.0-0017147818,"Consequences of long term artificial selection, inbreeding, and isolation in phlox: I. The evolution of cross incompatibility",Levin D.,Evolution,00143820,30,2,335-344,1976-01-01,1976,10,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,13,10.2307/2407704,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017147817,SCOPUS_ID:0017147817,2-s2.0-0017147817,Partially successful attempt to enhance reproductive isolation between semispecies of Drosophila paulistorum,Dobzhansky T.,Evolution,00143820,30,2,201-212,1976-01-01,1976,15,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,14,10.2307/2407696,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017145678,SCOPUS_ID:0017145678,2-s2.0-0017145678,Sexual selection in Nothobranchius guentheri (Pisces: Cyprinodontidae),Haas R.,Evolution,00143820,30,3,614-622,1976-01-01,1976,70,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,15,10.1111/j.1558-5646.1976.tb00938.x,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017144982,SCOPUS_ID:0017144982,2-s2.0-0017144982,Evolution of the migration response: emigration by Tribolium and the influence of age,Ziegler J.R.,Evolution,00143820,30,3,579-592,1976-01-01,1976,63,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,16,10.1111/j.1558-5646.1976.tb00935.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017144189,SCOPUS_ID:0017144189,2-s2.0-0017144189,Natural selection and random genetic drift in phenotypic evolution,Lande R.,Evolution,00143820,30,2,314-334,1976-01-01,1976,1036,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,17,10.2307/2407703,NA,NA,"The present paper is an attempt to provide a set of models which will be more useful in the analysis of macro evolutionary events than the classical models of population genetics. This is accomplished by placing increased emphasis on phenotypic parameters. While it is not possible to be completely successful in describing evolution in purely phenotypic terms, it seems that in many circumstances appropriate for natural populations this can be done. In the first section, Simpson's concept of adaptive zones is clarified by the construction of an adaptive topography for phenotypes, similar to Wright's adaptive topography for gene frequencies. This shows that for most phenotypic characters under natural selection, the evolution of the average phenotype in a population is always toward an adaptive zone of high mean fitness (W) in the phenotype space. Frequency dependent selection may cause the average phenotype to evolve away from its adaptive zone, decreasing the mean fitness of individuals in the population; different types of frequency dependent selection are classified as to whether or not they lead to such maladaptive evolution. A simple formula for estimating the minimum selective mortality per generation necessary to explain observed rates of phenotypic evolution is derived (assuming that genetic drift was not involved). The minimum mortality rates needed to explain observed rates of evolution in tooth characters of Tertiary mammals are very small, typically about one selective death per million individuals per generation. This leads to consideration of the hypothesis that these changes were caused by random genetic drift. Using statistical tests, it is found that the observed evolution of these mammalian tooth characters could have occurred by random genetic drift in rather large populations, with effective sizes in the tens or hundreds of thousands. Such statistical tests would be most interesting in cases where the adaptive significance of an evolutionary event is uncertain. Other hypotheses are also examined, including the existence of a selective threshold between two adaptive zones which might have been crossed by random genetic drift. The models indicate that if stabilizing selection is weak and an adaptive threshold is not very far away, random genetic drift between adaptive zones may be an important mechanism of evolution in populations of effective size in the hundreds or thousands. These results support the contention that random genetic drift may play a significant role in phenotypic evolution."
true,https://api.elsevier.com/content/abstract/scopus_id/0017143111,SCOPUS_ID:0017143111,2-s2.0-0017143111,"Chromosome evolution in woodrats, genus Neotoma (Rodentia: Cricetidae)",Mascarello J.T.,Evolution,00143820,30,1,152-169,1976-01-01,1976,30,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,18,10.2307/2407682,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017136733,SCOPUS_ID:0017136733,2-s2.0-0017136733,Isozyme variation in natural populations of Drosophila buzzatii,Barker J.,Evolution,00143820,30,2,213-233,1976-01-01,1976,67,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,19,10.2307/2407697,NA,NA,"Drosophila buzzatii is a cactophilic species of the mulleri subgroup. Genetic variation was measured for 29 loci in 50 populations from 35 localities throughout the structured and potentially known distribution in eastern Australia. The average population was polymorphic for 15.3% (5% criterion) and 19.2% (1% criterion) of the loci sampled. The average individual was heterozygous at only 6.5% of the loci sampled. This low level of heterozygosity is considered in terms of founder effect, niche width and environmental grain, and it is suggested that the cactophilic species of the mulleri subgroup may show less genic variation than other Drosophila species. The low level of genetic variation appears not to be due to a founder effect associated with the species' introduction into Australia. For the five variable loci where tests were possible, heterozygote frequencies were generally less than expected, possibly due to the combined or individual effects of Wahlund's principle, extra inbreeding above that due to finite population size because of the mating of close relatives and diversifying selection. At least two of the localities sampled appear to be genetically isolated and it is argued that some form of balancing selection is operating to maintain variation."
true,https://api.elsevier.com/content/abstract/scopus_id/0017130806,SCOPUS_ID:0017130806,2-s2.0-0017130806,Multivariate allometry and australopithecine variation,Corruccini R.S.,Evolution,00143820,30,3,558-563,1976-01-01,1976,8,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,20,10.1111/j.1558-5646.1976.tb00933.x,all,All Open Access,"Using the extant gorilla to provide a statistical model of multivariate allometry, cranial shape differences have been compared between robust and gracile australopithecine fossils. The hypothesis is rejected that the fossil variation results from gorilla like allometric consequences of the greater size of robust specimens. The allometric variation within robust specimens alone, however, more closely resembles that shown in gorillas, increasing the probability that robust australopithecines include both males and females and are taxonomically separate from the graciles."
true,https://api.elsevier.com/content/abstract/scopus_id/0017126170,SCOPUS_ID:0017126170,2-s2.0-0017126170,Influence of environmental factors on frequencies of certain chromosomal inversions in Chironomus tentans Fabricius,Topping M.S.,Evolution,00143820,30,1,170-179,1976-01-01,1976,8,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,21,10.2307/2407683,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017123680,SCOPUS_ID:0017123680,2-s2.0-0017123680,"Genetic divergence and morphological convergence in the prairie dogs, Cynomys gunnisoni and Cynomys leucurus I. Morphological and ecological analyses",Pizzimenti J.,Evolution,00143820,30,2,345-366,1976-01-01,1976,3,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,22,10.2307/2407705,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017123555,SCOPUS_ID:0017123555,2-s2.0-0017123555,Effects of larval biotic residues on chromosomal polymorphism of Drosophila pavani,Brncic D.,Evolution,00143820,30,1,146-151,1976-01-01,1976,0,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,23,10.2307/2407681,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017118263,SCOPUS_ID:0017118263,2-s2.0-0017118263,A comment on the role of environmental variation in maintaining polymorphisms in natural populations,Bryant E.,Evolution,00143820,30,1,188-190,1976-01-01,1976,19,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,24,10.2307/2407687,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017117225,SCOPUS_ID:0017117225,2-s2.0-0017117225,"The interrelation between variability of characters, effectiveness of energy utilisation, and karyotype structure in fishes",Nikolsky G.,Evolution,00143820,30,1,180-185,1976-01-01,1976,10,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,25,10.2307/2407684,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017097866,SCOPUS_ID:0017097866,2-s2.0-0017097866,Chromosomal variation in the plains woodrat: geographical distribution of three chromosomal morphs,Warner J.W.,Evolution,00143820,30,3,593-598,1976-01-01,1976,3,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,26,10.1111/j.1558-5646.1976.tb00936.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017093398,SCOPUS_ID:0017093398,2-s2.0-0017093398,Why male haploid and sex linked genetic systems seem to have unusually sex limited mutational genetic loads,Crozier R.H.,Evolution,00143820,30,3,623-624,1976-01-01,1976,8,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,27,10.1111/j.1558-5646.1976.tb00939.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017093397,SCOPUS_ID:0017093397,2-s2.0-0017093397,Maintenance of males and females in hermaphrodite populations and the evolution of dioecy,Ross M.D.,Evolution,00143820,30,3,425-441,1976-01-01,1976,34,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,28,10.1111/j.1558-5646.1976.tb00922.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017084946,SCOPUS_ID:0017084946,2-s2.0-0017084946,Heterosis overdominance and frequency dependent selection in Drosophila melanogaster at the sepia locus,Anxolabehere D.,Evolution,00143820,30,3,523-534,1976-01-01,1976,14,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,29,10.1111/j.1558-5646.1976.tb00930.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017079487,SCOPUS_ID:0017079487,2-s2.0-0017079487,The adaptive significance of alarm calls given by shorebirds on their winter feeding grounds,Owens N.,Evolution,00143820,30,2,397-398,1976-01-01,1976,16,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,30,10.2307/2407709,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017079484,SCOPUS_ID:0017079484,2-s2.0-0017079484,The evolution of social behavior in primitively social bees: a multivariate analysis,Breed M.,Evolution,00143820,30,2,234-240,1976-01-01,1976,25,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,31,10.2307/2407698,NA,NA,"A principal components analysis is used to elucidate evolutionary trends in sociality in a group of primitively social bees. Eleven characters believed to relate to level of sociality were examined from six species of Dialictus (Halictidae) with varying levels of social behavior. Of these variables five loaded heavily on the first principal component; these were number of bees in the nest, longevity of the queen, number of queens per colony, seasonal size variation among workers, and size difference between queens and workers. The ordination of species on the first axis corresponds to previously understood trends in the evolution of social behavior; the characters loading on this axis are the most important in characterizing trends in social evolution in this group of bees, while the others have less importance in this context."
true,https://api.elsevier.com/content/abstract/scopus_id/0017076113,SCOPUS_ID:0017076113,2-s2.0-0017076113,Evolution of the brain and intelligence: comment on Radinsky's review,Jerison H.J.,Evolution,00143820,30,1,186-187,1976-01-01,1976,1,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,32,10.1111/j.1558-5646.1976.tb00896.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017076107,SCOPUS_ID:0017076107,2-s2.0-0017076107,Genetic differentiation in speciose versus depauperate phylads: evidence from the California minnows,Avise J.C.,Evolution,00143820,30,1,46-58,1976-01-01,1976,63,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,33,10.2307/2407671,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017070337,SCOPUS_ID:0017070337,2-s2.0-0017070337,"Relationships between aggressive behavior and genic heterozygosity in the oldfield mouse, Peromyscus polionotus",Garten C.,Evolution,00143820,30,1,59-72,1976-01-01,1976,37,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,34,10.2307/2407672,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017061342,SCOPUS_ID:0017061342,2-s2.0-0017061342,Presence of the hereditary rhabdovirus sigma and polymorphism for a gene for resistance to this virus in natural populations of Drosophila melanogaster,Fleuriet A.,Evolution,00143820,30,4,735-739,1976-01-01,1976,29,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,35,10.2307/2407813,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017060673,SCOPUS_ID:0017060673,2-s2.0-0017060673,The ecological context of female pattern polymorphism in the lizard Anolis sagrei,Schoener T.,Evolution,00143820,30,4,650-658,1976-01-01,1976,31,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,36,10.2307/2407807,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017058555,SCOPUS_ID:0017058555,2-s2.0-0017058555,Genetic differentiation within the Andean semispecies of Drosophila paulistorum,Richmond R.C.,Evolution,00143820,30,4,746-756,1976-01-01,1976,2,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,37,10.2307/2407815,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017058468,SCOPUS_ID:0017058468,2-s2.0-0017058468,The nature of niche expansion in West Indian Anolis lizards. I. Ecological consequences of reduced competition,Lister B.,Evolution,00143820,30,4,659-676,1976-01-01,1976,120,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,38,10.2307/2407808,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017052792,SCOPUS_ID:0017052792,2-s2.0-0017052792,Parental investment and offspring fitness in the terrestrial isopod Armadillidium vulgare (Latr.) (Crustacea: Oniscoidea),Lawlor L.,Evolution,00143820,30,4,775-785,1976-01-01,1976,50,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,39,10.2307/2407817,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017047606,SCOPUS_ID:0017047606,2-s2.0-0017047606,Functional aspects of the evolution of frog tongues,Regal P.J.,Evolution,00143820,30,4,718-734,1976-01-01,1976,45,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,40,10.2307/2407812,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017047605,SCOPUS_ID:0017047605,2-s2.0-0017047605,The nature of niche expansion in West Indian Anolis lizards. II. Evolutionary components,Lister B.,Evolution,00143820,30,4,677-692,1976-01-01,1976,67,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,41,10.2307/2407809,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017046633,SCOPUS_ID:0017046633,2-s2.0-0017046633,"Social facilitation of male sexual behavior, intrasexual competition, and sexual selection in the guppy, Poecilia reticulata (Pisces: Poeciliidae)",Farr J.,Evolution,00143820,30,4,707-717,1976-01-01,1976,57,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,42,10.2307/2407811,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017046632,SCOPUS_ID:0017046632,2-s2.0-0017046632,Rates of evolution in conifers (Pinaceae),Prager E.,Evolution,00143820,30,4,637-649,1976-01-01,1976,60,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,43,10.2307/2407806,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017046428,SCOPUS_ID:0017046428,2-s2.0-0017046428,Patterns of mating in natural populations of Xiphophorus (Pisces: Poeciliidae). I. X. maculatus from Belize and Mexico,Borowsky R.,Evolution,00143820,30,4,693-706,1976-01-01,1976,42,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,44,10.2307/2407810,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017038648,SCOPUS_ID:0017038648,2-s2.0-0017038648,A possible case of mimicry in larger mammals,Eaton R.,Evolution,00143820,30,4,853-856,1976-01-01,1976,2,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,45,10.2307/2407827,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017037252,SCOPUS_ID:0017037252,2-s2.0-0017037252,Hybridization and speciation in fossorial mole rats,Nevo E.,Evolution,00143820,30,4,831-840,1976-01-01,1976,58,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,46,10.2307/2407822,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017036765,SCOPUS_ID:0017036765,2-s2.0-0017036765,Ethological isolation and phylogeny in the Planitibia subgroup of Hawaiian Drosophila,Kaneshiro K.,Evolution,00143820,30,4,740-745,1976-01-01,1976,160,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,47,10.2307/2407814,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017035844,SCOPUS_ID:0017035844,2-s2.0-0017035844,Genetic and biochemical consequences of polyploidy in Tragopogon,Roose M.,Evolution,00143820,30,4,818-830,1976-01-01,1976,192,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,48,10.2307/2407821,NA,NA,NA
