@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,fund-acr,fund-sponsor,dc:description,authkeywords
true,https://api.elsevier.com/content/abstract/scopus_id/0024228524,SCOPUS_ID:0024228524,2-s2.0-0024228524,"Growth and photosynthesis of aechmea magdalenae, a terrestrial cam plant in a tropical moist forest, panama",Journal of Tropical Ecology,02664674,14697831,4,2,199-207,1988-01-01,May 1988,10.1017/S0266467400002704,22,Journal,ar,Article,100,1,23435,undefined,0,FALSE,11,Smith A.P.,1,NA,Whitehall Foundation,"Aechmea magdalenae is a terrestrial bromeliad that dominates areas of forest understorey on Barro Colorado Island, Panama. Nocturnal CO2uptake via crassulacean acid metabolism was the primary means of carbon gain under well-watered conditions and all light regimes. The ability to maintain a positive carbon balance under conditions of very low light was demonstrated by laboratory measurements of photosynthesis and forest measurements of growth. Low-light-grown juvenile rosettes had the same daily net assimilation whether tested at photon flux densities of 15 or 300 ymol m“2 s-1. Growth rates of rosettes in treefall gaps were similar to those of plants in closed canopy forest. Growth rates of forest plants were increasingly correlated with canopy openness as the wet season progressed due to increased growth by gap plants, suggesting that water availability rather than light may limit growth during the annual dry season. © 1988, Cambridge University Press. All rights reserved.",Aechmea | Barro Colorado Island | Bromeliaceae | CAM | growth | Panama | photosynthesis | shade | tropical forest | understorey
true,https://api.elsevier.com/content/abstract/scopus_id/0024226303,SCOPUS_ID:0024226303,2-s2.0-0024226303,"Studies on acacia mangium in kemasul forest, malaysia. i. biomass and productivity",Journal of Tropical Ecology,02664674,14697831,4,3,293-302,1988-01-01,August 1988,10.1017/S0266467400002856,40,Journal,ar,Article,100,1,23435,undefined,0,FALSE,12,Tsai L.M.,1,NA,NA,"Malaysia is establishing large-scale plantations for reforestation and the production of wood for pulp and paper as well as for light construction. The main species used currently is the exotic legume Acacia mangium. The above-ground biomass, litter production and litter accumulation in a four-year-old stand m Peninsular Malaysia were studied. The mean diameter at breast height (dbh) was 12 cm. The mean annual increment (MAI) m dbh of individual trees ranged from 0.9 to 5.1 cm while MAI in height of sample trees ranged from 2.9 to 5.5 m. The total above-ground biomass of the stand was 90.4 t ha-1 consisting of 57.6 t stem, 14.1 t branch and 5.4 t leaf. Litter production averaged 10.23 t ha-1 yr1with leaf litter making up 87.4% of the totaL Leaf litter accumulation amounted to 6.64 t ha1and the turnover constant of leaf litter was estimated at 1.35. The high productivity is discussed in relation to the high turnover of foliage and the low turnover of litter. © 1988, Cambridge University Press. All rights reserved.",Acacia mangium | biomass | litter accumulation | litter production | Malaysia | plantation | productivity
true,https://api.elsevier.com/content/abstract/scopus_id/0024225735,SCOPUS_ID:0024225735,2-s2.0-0024225735,"Crepuscular biting activity of mosquitoes at peradeniya, sri lanka",Journal of Tropical Ecology,02664674,14697831,4,3,271-280,1988-01-01,August 1988,10.1017/S0266467400002832,2,Journal,ar,Article,100,1,23435,undefined,0,FALSE,13,Amerasinghe F.,1,NA,NA,"Thirty-four spedes of mosquitoes (Diptera: Culicidae) were collected at a senes of human-bait catches designed to study evening crepuscular biting activity using the Nielsen crep unit, at a site at Peradeniya, Sri Lanka. Crepuscular biting profiles of seven spedes (Armigeres subalbatus, Aedes albopictus, Culex pseudovtshnui, Cx. gelidus, Cx. fuscocephala, Cx. tntaeniorhynchus and Mansonia uniformis) were obtained. Modal periods for the onset of biting were analysed in six species: Cx. pseudovishnui, Cx. fuscocephala, Cx. gelidus, Cx. tritaeniorhynchus, Cx. qumquefasciatus and Ma. uniformis. Successions in the biting peaks and in modal onset of biting were seen in these species. Analysis of biting in Ar. subalbatus and Cx. pseudovishnui under high (dear sky) and low (cloud-overcast sky) light intensities showed earlier biting in both species under the latter conditions. The value of the Nielsen crep unit in making latitudinal comparisons is illustrated in Ma. uniformis, for which parallel data are available from Africa. © 1988, Cambridge University Press. All rights reserved.",Aedes | Armigeres | crepuscular biting activity | Culex | Mansonia | mosquitoes | Nielsen crep units | Sri Lanka
true,https://api.elsevier.com/content/abstract/scopus_id/0024221797,SCOPUS_ID:0024221797,2-s2.0-0024221797,The post-nuptial moult of quelea quelea in relation to breeding in kenya,Journal of Tropical Ecology,02664674,14697831,4,4,373-380,1988-01-01,November 1988,10.1017/S0266467400003023,10,Journal,ar,Article,100,1,23435,undefined,0,FALSE,14,Thompson J.,1,NA,NA,"During the unusually extended breeding season of 1984/85 in Tsavo-East National Park, Kenya, Quelea quelea were sampled and moult patterns recorded. Particular attention was paid to individuals with an interrupted moult pattern. These were further classified as either having their moult arrested or suspended. Apparently, post-nuptial moult begins earlier in males than in females. Although the majority of quelea bred and moulted sequentially, these activities overlapped in many individuals and moulting suspended after the replacement of a few feathers. The initiation of post-nuptial moult before the cessation of breeding, followed by moult interruption, is evidence for the physio-ecological drive in quelea to complete their moult as soon as possible to prepare for the next breeding opportunity. © 1988, Cambridge University Press. All rights reserved.",Kenya | moult | Quelea quelea
true,https://api.elsevier.com/content/abstract/scopus_id/0024221758,SCOPUS_ID:0024221758,2-s2.0-0024221758,"The distribution and ecology of the freshwater prawn caridina singhalensis (decapoda, atyidae) endemic to sri lanka",Journal of Tropical Ecology,02664674,14697831,4,4,347-359,1988-01-01,November 1988,10.1017/S0266467400002996,8,Journal,ar,Article,100,1,23435,undefined,0,FALSE,15,Benzie J.A.H.,1,NA,NA,"The distribution and rnicrohabitat preference of the freshwater prawn, Caridina singhalensis, endemic to Sri Lanka, was determined. The species is now restricted to a 10–15 km stretch of the Behihul Oya headwaters, its distribution being determined by physiography and agricultural development. Beds of Isolepis fluitans support some 76% of the adult population, at mean monthly densities of around 210 individuals m-2. Aponogeton jacobsenii beds and roots of marginal vegetation beneath overhanging banks support about 12% each, at mean monthly densities of 41 individuals m-2. The prawn produces young all year round but a peak in the number of ovigerous females occurs from September to January. Only juveniles produced after the rains appear to survive in great numbers. The submerged roots of marginal vegetation form a nursery area for about 45% of the annual output of young. Conservation plans for this endangered species need to take account of the particular importance of L fluitans and root habitats to C. singhalensis. © 1988, Cambridge University Press. All rights reserved.",Atyidae | Caridina | freshwater ecology | prawn ecology | Sri Lanka | tropical rivers
true,https://api.elsevier.com/content/abstract/scopus_id/0024221002,SCOPUS_ID:0024221002,2-s2.0-0024221002,Simulating forest shade to study the developmental ecology of tropical plants: Juvenile growth in three vines in india,Journal of Tropical Ecology,02664674,14697831,4,3,281-292,1988-01-01,August 1988,10.1017/S0266467400002844,46,Journal,ar,Article,100,1,23435,undefined,0,FALSE,16,Lee D.,1,NA,Whitehall Foundation,"Both light quantity and quality affect the development and autoecology of plants under shade conditions, as in the understorey of tropical forests. However, little research has been directed towards the relative contributions of lowered photosynthetic photon flux density (PPFD) versus altered spectral distributions (as indicated by quantum ratios of 660 to 750 nra, or R:FR) of radiation underneath vegetation canopies. A method for constructing shade enclosures to study the contribution of these two variables is described. Three tropical leguminous vine species (Abrus precatonus L., Caesalpinta bondicela Fleming and Mucuna prunens (L.) DC.) were grown in two shade enclosures with 3-4% of solar PPFD with either the R:FR of sunlight (1.10) or foliage shade (0.33), and compared to plants grown in sunlight. Most species treated with low R:FR differed from those treated with high R:FRin (1) percent allocation to dry leaf weight, (2) intemode length, (3) dry stem weight/length, (4) specific leaf weight, (5) leaf size, and (6) chlorophyll a/b ratios. However, these plants did not differ in chlorophyll content per leaf dry weight or area. In most cases the effects of low R:FR and PPFD were additional to those of high R:FR and low PPFD. Growth patterns varied among the three species, but both low PPFD and diminished R:FR were important cues in their developmental responses to light environments. This shadehouse system should be useful in studymg the effects of light on the developmental ecology of other tropical forest plants. © 1988, Cambridge University Press. All rights reserved.",developmental ecology | forest shade | India | photosynthetic photon flux density (PPFD) | red/far red | shadehouse | vine
true,https://api.elsevier.com/content/abstract/scopus_id/0024219697,SCOPUS_ID:0024219697,2-s2.0-0024219697,On the abundance and density of terrestrial arthropods in Central Amazonian dryland forests,Journal of Tropical Ecology,02664674,14697831,4,1,19-24,1988-01-01,February 1988,10.1017/S0266467400002455,30,Journal,ar,Article,100,1,23435,undefined,0,FALSE,17,Adis J.,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024219298,SCOPUS_ID:0024219298,2-s2.0-0024219298,"Frugivory and seed dispersal in cymhopetalum baillonii (annonaceae) at los tuxtlas, mexico",Journal of Tropical Ecology,02664674,14697831,4,2,157-172,1988-01-01,May 1988,10.1017/S0266467400002650,52,Journal,ar,Article,100,2,23435,undefined,0,FALSE,18,Coates-Estrada R.,2,NA,NA,"Fruit production, frugivore foraging activity and seed dispersal was studied at 10 Cymhopetalum baillonii (Annonaceae) trees during an entire fruiting season. Fruits dehisced during the first six months of the year offer to potential dispersal agents a package of 8–24 arillate seeds. Insects and fungi, however, killed up to 14% of the seeds potentially available for dispersal before fruit dehiscence. Visitation by 24 species of birds and one mammal to the trees closely followed the availability of arillate seeds. The foraging activity of Peromyscus and Heteromys rodents accounted for 80% mortality of the seeds deposited under the crown of the parent tree. Among those seedlings that became established under the crown mortality was 90% after 12 months. Seeds dispersed under conspecific fruiting trees experienced intense predation by vertebrates. Field experiments showed that seeds and seedlings planted 30 m away from adult trees survived significantly longer than those planted under the crown and at distances 30 m. An unequivocal advantage to dispersal away from the tree and under allospecific trees was evident from the data. A very narrow range of frugivores (N “8 species) accounted for the quality component of dispersal services to the trees. The tree with the lowest animal visitation and fruit crop was the most efficient in the dispersal of its seeds. © 1988, Cambridge University Press. All rights reserved.",Cymhopetalum baillonii | frugivory | Mexico | seed dispersal | seed predation | tropical rain forest
true,https://api.elsevier.com/content/abstract/scopus_id/0024198958,SCOPUS_ID:0024198958,2-s2.0-0024198958,Phenological studies of shrub and treelet species in tropical cloud forests of costa rica,Journal of Tropical Ecology,02664674,14697831,4,4,323-346,1988-01-01,November 1988,10.1017/S0266467400002984,65,Journal,ar,Article,100,1,23435,DEB 78-11728,0,FALSE,19,Koptur S.,1,NSF,National Science Foundation,"(1) During 1978–1981, marked individuals of 107 species of treelets and shrubs in three forest types between 1300–1650 m elevation at Monteverde, Costa Rica, were monitored at monthly intervals for behaviour of leafing, flowering, and fruiting. (2) Although there was not a pronounced seasonal pattern of leafing activity, more species produced new leaves in the dry season. Species that flush large quantities of new leaves do so more commonly in the drier months. Leaf loss was gradual and unobtrusive in species observed. (3) Flowering activity was greatest in the late dry season and early wet season. Most species exhibited extended flowering; only 15% of the species were massively flowering. Massive flowerers showed less seasonality than extended flowerers. (4) Of the species studied, the majority had relatively unspecialized flowers which were visited by a variety of insects; small bee-pollination was the next most common, followed by hummingbird, beetle, settling moth, sphingid, butterfly, large bee and fly pollination (the pollination system of 18 species was unknown). Hummingbird pollinated species showed little seasonality of flowering when compared with species exhibiting small moth, and beetle pollination syndromes, as well as those with unspecialized flowers. (5) The vast majority of species studied have fleshy fruits (sarcochores). Fruiting activity was less markedly seasonal than flowering. Species with fruit are more numerous in the second half of the year (the wet season and early dry season). The second year of the study saw substantially fewer species in fruit than the first year; this is attributed to the greater than usual rainfall and inclement weather during the peak flowering season. (6) Cloud forest shrub and treelet phenology is compared with patterns of other forests that have been studied. In general, the greater the rainfall, the less seasonality of flowering and fruiting is seen. Although Monteverde is very wet, rainfall is intermediate between that of lowland dry and lowland wet forest in Costa Rica. Seasonality of flowering and fruiting at Monteverde is more pronounced than at La Selva (wet) and less obvious than in Guanacaste (dry). © 1988, Cambridge University Press. All rights reserved.",Costa Rica | flowering | fruiting | leafing | phenology | pollination | shrubs | treelets | tropical
true,https://api.elsevier.com/content/abstract/scopus_id/0024197478,SCOPUS_ID:0024197478,2-s2.0-0024197478,Herpetofauna of a northern australian monsoon rain forest: Seasonal changes and relationships to adjacent habitats,Journal of Tropical Ecology,02664674,14697831,4,3,227-238,1988-01-01,August 1988,10.1017/S0266467400002790,5,Journal,ar,Article,100,2,23435,undefined,0,FALSE,20,Martin K.,2,NA,NA,"The herpetofauna of a floodplain monsoon rain forest in northern Australia is composed primarily of species from non rain forest habitats. The majority of frog species use rain forest as a seasonal refuge, and there is a marked increase m numbers during the dry season. Faunal richness lies within limits expected on the basis of the length of the dry season and species ricluiesses of non-Australian faunas. There are few lizard species and an abundance of frog species (none of which is a rain forest specialist) in comparison to rain forest herpetofaunas in other tropical regions. The impoverished lizard fauna, and the paucity of rain forest specialists may be because (a) seasonal invasion of rain forest by frogs prevents evolution of, or colonization by, specialists or (b) rain forest specialists may not have been able to cross semi-and habitats separating the Northern Territory from eastern Australian rain forests. The her-pc to faunas of monsoon forests in Cape York Peninsula may provide a means of distinguishing between these hypotheses. © 1988, Cambridge University Press. All rights reserved.",Australia | dry season | frogs | herpetofauna | lizards | rain forest | refugia | species nchness
true,https://api.elsevier.com/content/abstract/scopus_id/0024196628,SCOPUS_ID:0024196628,2-s2.0-0024196628,Input of wind-dispersed seeds into light-gaps and forest sites in a neotropical forest,Journal of Tropical Ecology,02664674,14697831,4,3,239-252,1988-01-01,August 1988,10.1017/S0266467400002807,53,Journal,ar,Article,100,1,23435,BSR 8219856,0,FALSE,21,Augspurger C.K.,1,NSF,National Science Foundation,"A total of 52, 467 wind-dispersed seeds from 14 tree and 32 liana species fell into 1720 seed traps in 43 paired light-gap and adjacent forest sites on Barro Colorado Island, Panama. Summed at the community level, many more wind-dispersed seeds were collected from light-gaps (61%) than from forest sites (39%). They accumulated from March through May, 1984 to a density of 328 m~ain gaps and 207 m2 in forest sites. In contrast, only 33% of the total of 2782 non-wind-dispersed seeds were collected m gaps. Due to the extreme heterogeneity of the seed rain, these differences between gap and forest sites were not statistically significant at the community-leveL Gap sites received more wind-dispersed seeds than adjacent forest sites in only 20 of 43 locations and in 13 of 20 species, especially those with individuals of high fecundity near gap sites. Of the estimated 105 million wind-dispersed seeds contributing to the seed rain of the 50 ha study plot, only 4.1% were dispersed to the rare gap sites that enhance the establishment and growth of seedlings for many of these species. © 1988, Cambridge University Press. All rights reserved.",lianas | light-gaps | Neotropics | non-wind-dispersed seeds | Panama | seed density | seed ram | trees | tropical forest | wind-dispersed seeds
true,https://api.elsevier.com/content/abstract/scopus_id/0024195795,SCOPUS_ID:0024195795,2-s2.0-0024195795,A re-assessment of effects of fire on miombo regeneration in the zambian copperbelt,Journal of Tropical Ecology,02664674,14697831,4,4,361-372,1988-01-01,November 1988,10.1017/S0266467400003011,51,Journal,ar,Article,100,1,23435,undefined,0,FALSE,22,Chidumayo E.,1,NA,NA,"In 1933/34 eight coppice plots were established in Brachystegia-Julbernardia (miombo) woodland at Ndola in the Copperbelt area of Zambia by the Forestry Department. These plots have been maintained under fire protection, annual early or late dry season burning since 1934/35. Before establishment stems over 20.3 cm girth at breast height were enumerated. Three of the eight plots (one fire protected and two annually early burnt) were enumerated in 1982, 48–49 years after establishment. In addition, a coppice plot at Chitwi, 16 km southwest of the Ndola plots, cleared in 1972 and left to regenerate naturally was enumerated in May 1982 and August 1986 to assess woody plant growth. The density of stems over 20.0 cm girth in the 13-year-old coppice at Chitwi was 2.5 times that in an adjacent shelterbelt woodland. The stem density in the fire protected plot at Ndola in 1982 was 86% of the pre-felling density while in one of the early burnt plots it was 95% of the pre-felling density. The protected plot had the lowest species diversity after 49 years, largely because of the loss of 11 understorey species that were present before felling. There were no significant differences in stem mean girth at breast height (gbh) of canopy species in the Ndola plots under fire protection and early burning regimes. Mean annual gbh increments of abundant species were estimated at 1.17–2.21 cm yr_1 and 0.59–1.42 cm yr_1 during 0–9 and 0–49 year age-periods, respectively. Estimated mean annual basal area increments for stems over 30 cm gbh were 0.35 m2 ha–1 for the 13-year-old coppice and 0.24–0.27 m2 ha–1 for the 49-year-old coppice. These results indicate a decrease in both gbh and basal area increment with increasing age of miombo coppice. © 1988, Cambridge University Press. All rights reserved.",basal area | burning | girth increment | miombo | species diversity | Zambia
true,https://api.elsevier.com/content/abstract/scopus_id/0024195790,SCOPUS_ID:0024195790,2-s2.0-0024195790,"Litterfall in an Australian population of Mimosa pigra, an invasive tropical shrub",Journal of Tropical Ecology,02664674,14697831,4,4,381-392,1988-01-01,November 1988,10.1017/S0266467400003035,26,Journal,ar,Article,100,1,23435,undefined,0,FALSE,23,Lonsdale W.M.,1,NA,NA,"An investigation of seasonal changes in litterfall in a dense stand of the invasive tropical shrub Mimosa pigra was carried out in northern Australia between October 1984 and December 1986. Total annual litterfall averaged 758 g m-2, close to the value predicted for the latitude and altitude of the site. Leaf litter formed 56.6% of this total, woody material 22.7%, and reproductive material 20.7%. Total litterfall was strongly seasonal, at a maximum in the late wet season or early dry season, and at a minimum late in the dry season. A broadly similar pattern was shown by the various components of the litter, except for woody litterfall, which followed no strong seasonal trend. Variation in the amount of available soil moisture, as calculated from a simple water balance model, accounted for much of the variation in the components of litterfall. The proportion of all initiated flower heads which produce seeds was estimated to be between 2.1 and 4.5%. The mean annual seed fall was 9103 m-2, nearly two orders of magnitude higher than most native shrub populations, and it is argued that this is partly a result of the absence of natural enemies in the introduced range. © 1988, Cambridge University Press. All rights reserved.",alien weed | Australia | flower production | litterfall | Mimosa pigra | reproductive allocation | seed production
true,https://api.elsevier.com/content/abstract/scopus_id/0024195630,SCOPUS_ID:0024195630,2-s2.0-0024195630,The mosaic theory of forest regeneration and the determination of forest composition in Ghana,Journal of Tropical Ecology,02664674,14697831,4,3,253-269,1988-01-01,August 1988,10.1017/S0266467400002819,81,Journal,ar,Article,100,2,23435,undefined,0,FALSE,24,Swaine M.D.,2,NA,Carnegie Trust for the Universities of Scotland,"Early studies comparing adult and juvenile tree populations in West Africa described a contrast in flonstic composition between the two age classes. These studies have been mis-represented in more recent literature, and confusion has arisen over their interpretation. Similar comparisons are reported here for six forest sites in Ghana. At any one site, clear differences in composition were recognized between adult and juvenile samples, but in terms of the variation in flonstic composition over the whole of the forest zone, they are slight and forest types appear to ‘breed true’. At one site, Kade, compositional differences between size classes are fully described for all canopy species on a 0.25 ha plot. There was an abrupt change in composition at about 30 cm gbh. At this site, mortality rates for trees >30 cm gbh were greater amongst species with a high proportion of juveniles in the population. At other sites, changes in composition were sometimes abrupt, occurring at various size classes, or were more gradual. The populations of some species included a large number of juveniles at all sample sites, but the converse, where species always have low densities of juveniles, were not seen. The possible implications of these results for future canopy composition are discussed in relation to temporal equilibrium, or lack of it, in tropical forest composition. © 1988, Cambridge University Press. All rights reserved.",equilibrium | forest composition | forest dynamics | forest types | Ghana | mortality | mosaic theory | regeneration | tropical forest
