@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/0031757103,SCOPUS_ID:0031757103,2-s2.0-0031757103,Delimiting the gap phase in the growth cycle of a panamanian forest,Fraver S.,Journal of Tropical Ecology,02664674,14,5,673-681,1998-09-01,September 1998,10.1017/S0266467498000479,"Despite the importance of treefall gaps in tropical forest dynamics, few studies have followed gap-phase processes for more than 2 y. We monitored, for five years, the growth and survival of many seedlings of Tetragastris panamensis (Engler) O. Kuntze, Protium panamense (Rose) I. M. Johnston, and Desmopsis panamensis (Rob.) Saff. (three common tree species of the Panamanian tropical moist forest) in artificially created treefall gaps and under intact-canopy control plots. On these same plots, we also monitored light levels using hemispherical photographs taken over an 8-y period. Seedling height growth was faster in gaps than under intact canopies during the first 42 mo of regrowth, then declined to rates similar to those under intact canopies. Light levels in gaps similarly rose and fell, returning to pre-gap levels by month 48. Only Tetragastris panamensis showed higher survival in gaps, contrary to the general assumption that seedling survival is enhanced by gap creation. Our results document important transition points that mark the conclusion of the gap phase, suggesting an estimate of 4y for the duration of the gap phase in this tropical forest.",32,Journal,ar,Article,100,3,3,Average daily global radiation | Desmopsis | Gap phase regeneration | Panama | Protium | Tetragastris | Treefall gap | Tropical forest,23435,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031756085,SCOPUS_ID:0031756085,2-s2.0-0031756085,Ecology of two species of echimyid rodents (Hoplomys gymnurus and Proechimys semispinosus) in central Panama,Adler G.,Journal of Tropical Ecology,02664674,14,5,711-717,1998-09-01,September 1998,10.1017/S0266467498000509,NA,15,Journal,ar,Article,100,3,3,NA,23435,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031735893,SCOPUS_ID:0031735893,2-s2.0-0031735893,The composition of Amazonian forests: Patterns at local and regional scales,Terborgh J.,Journal of Tropical Ecology,02664674,14,5,645-664,1998-09-01,September 1998,10.1017/S0266467498000455,"An analysis was conducted of floristic patterns contained in 48 1-ha tree plots distributed at 29 sites in seven neotropical countries, with a primary emphasis on the Amazonian region. Analyses were made with family level data, using detrended correspondence analysis and multidimensional scaling to generate two-dimensional ordinations. Dissimilarity values for all pairs of plots were then used to compare forest composition at both local (flooded vs unflooded forests) and regional scales (e.g., western vs central vs eastern Amazonia). The predominate family of trees in a large majority of Amazonian and Guianan forests (by number of stems) is either Palmae or Leguminosae (sensu latu), followed by Moraceae and Euphorbiaceae. The forests of western Amazonia are particularly rich in palms, Moraceae, and Myristicaceae, whereas those of eastern Amazonia and the Guianas are rich in Lecythidaceae and Chrysobalanaceae. Dissimilarity between sites increases with distance for both flooded and unflooded forests. The tree communities of flooded and unflooded forests within a region tended to resemble one another more closely than forests of either type resembled the homologous forests of the adjoining regions. Within Amazonia the edaphic properties of each region and its geological history are tightly interrelated. It is therefore difficult to distinguish between evolutionary and ecological interpretations of the results.",163,Journal,ar,Article,100,2,2,Amazon | Detrended correspondence analysis | Flooded forests | Forest composition | Multi-dimensional scaling | Terra firme forest | Tropical forests | Varzea,23435,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031726946,SCOPUS_ID:0031726946,2-s2.0-0031726946,"Dung and carrion beetles in tropical rain forest fragments and agricultural habitats at Los Tuxtlas, Mexico",Estrada A.,Journal of Tropical Ecology,02664674,14,5,577-593,1998-09-01,September 1998,10.1017/S0266467498000418,"At Los Tuxtlas, Mexico, presence of dung and carrion beetles, were sampled using baited pitfall traps, at the following habitats: isolated forest fragments, forest edges, plantations (coffee, cacao, mixed, citrus and allspice), live fences and pastures. A total of 14,269 beetles representing 36 species were captured. Onthophagus batesi, Canthon femoralis, Canthidium centrale, Copris laeviceps, O. rhinolophus and Deltochilium pseudoparile accounted for 75% of the captures in the overall sample from 79 sites. Across forest fragments capture rates of species and individuals were associated positively to area and negatively to isolating distance. Rarefaction analysis showed that forest fragments were the most species-rich habitats followed by the mixed and cacao plantations, the forest edge, live fences and coffee, citrus and allspice plantations. Pastures were the least species-rich habitat. Horizontal and vertical diversity of the vegetation at the habitats studied influenced the species richness of dung and carrion beetles and the number of species in common between forest fragments and human-made habitats. A significant relationship existed between the number of non-flying mammals recorded at the study sites and the richness of species and individuals of dung beetles at the habitats investigated. The relevance of this information is discussed in the light of the ecological flexibility of dung and carrion beetle species and of possible conservation scenarios involving landscapes in which isolation of forest fragments is reduced by the presence in open areas of human-made vegetation such as plantations of cacao, coffee, cacao and coffee and live fences.",116,Journal,ar,Article,100,4,4,Conservation | Dung beetles | Forest fragmentation | Los Tuxtlas | Mexico | Scarabacidae | Tropical rain forest,23435,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031724779,SCOPUS_ID:0031724779,2-s2.0-0031724779,Vagile but inbred: Patterns of inbreeding and the genetic structure within populations of the monsoon rain forest tree Syzygium nervosum (Myrtaceae) in northern Australia,Shapcott A.,Journal of Tropical Ecology,02664674,14,5,595-614,1998-09-01,September 1998,10.1017/S026646749800042X,"Patterns of gene flow within 21 northern Australian populations of Syzygium nervosum a dominant, mass-flowering, monsoon rain forest canopy tree were investigated using 10 isozyme loci. S. nervosum was found to have relatively high genetic diversity within populations (He = 0.307, AP = 3.7, P = 65) but also to have significantly lower frequencies of heterozygotes than expected (Ho = 0.126) and high allelic fixation (F=0.512). Heterozygosity and allelic fixation were not correlated with measures of genetic diversity within populations, nor were they correlated with rain forest patch size, plant size or population isolation. Within populations, trees, of the same genotype (at each loci tested) were significantly clumped at short distances (c. 20 m), whereas trees of unlike genotypes were negatively associated. S. nervosum trees however, were not clonal in origin and had unique multilocus genotypes. The results suggest that the high levels of homozygosity recorded are the result of restricted pollination, primarily among flowers within individual trees or among closely related neighbouring trees, rather than restricted seed dispersal. High homozygosity, the large fruit crop produced by trees of this species and the lack of association between heterozygosity and plant size, indicate that, S. nervosum is self-compatible, its fecundity does not appear to be impaired by inbreeding depression.",20,Journal,ar,Article,100,1,1,Fragmentation | Genetic structure | Inbreeding | Myrtaceae | Pollination | Population size | Rain forest | Spatial autocorrelation | Vagility,23435,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031720625,SCOPUS_ID:0031720625,2-s2.0-0031720625,The mound-building termite Macrotermes michaelseni as an ecosystem engineer,Dangerfield J.M.,Journal of Tropical Ecology,02664674,14,4,507-520,1998-07-01,July 1998,10.1017/S0266467498000364,"Many organisms create or alter resource flows that affect the composition and spatial arrangement of current and future organismal diversity. The phenomenon called ecosystem engineering is considered with a case study of the mound building termite Macrotermes michaelseni. It is argued that this species acts as an ecosystem engineer across a range of spatial scales, from alteration of local infiltration rates to the creation of landscape mosaics, and that its impacts accrue because of the initiation of biophysicai processes that often include feedback mechanisms. These changes to resource flows are likely to persist for long periods and constrain the biological structure of the habitat. The value of ecosystem engineering is discussed as a holistic way of understanding the complexity of tropical ecology.",205,Journal,ar,Article,100,3,3,NA,23435,undefined,0,FALSE,16,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031720624,SCOPUS_ID:0031720624,2-s2.0-0031720624,Fuels and fire at savanna-gallery forest boundaries in southeastern Venezuela,Biddulph J.,Journal of Tropical Ecology,02664674,14,4,445-461,1998-07-01,July 1998,10.1017/S0266467498000339,"Factors contributing to the resistance of gallery forests in savannas to the entry of fire were investigated using field observations and manipulation experiments. Mass of savanna fuels did not decrease close to forest boundaries, and in some instances increased, while savanna fuels adjacent to forests were moister than in the savanna beyond for only 1 d after rainfall. A fuel drying experiment conducted in both forest and savanna microclimates indicated that both fuel type and microclimate contributed to the resistance of forests to fire entry, although the former played a larger role. While savanna fuels in a savanna microclimate became ignitable in c. 1 d after rain, forest fuels in a forest microclimate required 4 wk to achieve ignitability. A further experiment juxtaposing forest fuels to burning savanna indicated that fire entry into forests was faciliated by deep root mats and the presence of a superficial litter layer, both of which become attenuated at the forest/savanna contact. It is concluded that fuels in these forests can reach an ignitable state late in the dry season, but that frequent fire entry is probably precluded by the tendency of savanna fires to occur earlier in the dry season and by discontinuities in fuels at the savanna/forest contact.",51,Journal,ar,Article,100,2,2,Fire | Fuel | Gallery forest | Gran Sabana | Root mat | Savanna,23435,undefined,0,FALSE,17,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031713426,SCOPUS_ID:0031713426,2-s2.0-0031713426,Prey use among sympatric lizard species in lowland rain forest of Nicaragua,Vitt L.,Journal of Tropical Ecology,02664674,14,4,537-559,1998-07-01,July 1998,10.1017/S0266467498000388,"The diets of 17 lizard species (seven families) studied simultaneously in a Caribbean lowland forest of Nicaragua were compared. Lizards varied in body size over nearly one order of magnitude. Twelve species for which there were adequate samples separated by prey types and most diet overlaps were low. A pseudocommunity analysis on volumetric diet data revealed significant guild structure in the assemblage. At each nearest neighbour rank in niche space, observed overlaps were higher than expected based on chance alone when all values in the consumer-resource matrix were randomized. There was no difference between observed and pseudocommunity overlaps with zero positions in the consumerresource matrix retained (conserved-zero overlaps) indicating that the zero structure of the community matrix was important in maintaining structure and that lizards were converging on key resources. Individual prey size varied among species and mean prey size was significantly correlated with body size of lizard species. A phylogenetic analysis revealed no relationship between similarity in prey use (dietary overlap) and evolutionary relationships - more closely related species did not eat more similar prey types. Based on this analysis of Nicaraguan lizard diets and comparisons with other New World tropical lizard assemblages, it is suggested that factors contributing to the organization of tropical lizard assemblages are complex including historical differences in morphology (size), prey types and sizes, habitat structure and species interactions.",35,Journal,ar,Article,100,2,2,Central America | Lizard ecology | Neotropics | Nicaragua | Prey size | Pseudocommunity analysis | Resource partitioning,23435,undefined,0,FALSE,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031698164,SCOPUS_ID:0031698164,2-s2.0-0031698164,"Estimating the assimilation of mangrove detritus by fiddler crabs in Laguna Joyuda, Puerto Rico, using dual stable isotopes",France R.,Journal of Tropical Ecology,02664674,14,4,413-425,1998-07-01,July 1998,10.1017/S0266467498000315,"Dual stable isotope analyses (δ13C and δ15N) of fiddler crabs from a forest-fringed, land-locked lagoon in Puerto Rico indicated the differential assimilation of material from ingested sediments. Fiddler crabs preferentially selected for nitrogen-fixing benthic microalgae (cyanobacteria) over vascular plant detritus. These results question the assumption that mangrove detritus is always the principal source of energy to estuarine consumers. Previous research from this lagoon as well as from Amazonia suggests that the magnitude of land-water ecotonal coupling may be low for these particular tropical systems where benthic algal productivity is presumably high.",71,Journal,ar,Article,100,1,1,Benthic microalgae | Differential assimilation | Fiddler crabs | Mangroves | Stable carbon and nitrogen isotopes,23435,undefined,0,FALSE,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031684520,SCOPUS_ID:0031684520,2-s2.0-0031684520,Dispersal of mimetic seeds of three species of Ormosia (Leguminosae),Foster M.,Journal of Tropical Ecology,02664674,14,4,389-411,1998-07-01,July 1998,10.1017/S0266467498000303,"Seeds with 'imitation arils' appear wholly or partially covered by pulp or aril but actually carry no fleshy material. The mimetic seed hypothesis to explain this phenomenon proposes a parasitic relationship in which birds are deceived into dispersing seeds that resemble bird-dispersed fruits, without receiving a nutrient reward. The hard-seed for grit hypothesis proposes a mutualistic relationship in which large, terrestrial birds swallow the exceptionally hard mimetic seeds as grit for grinding the softer seeds on which they feed. They defecate, dispersing the seeds, and abrade the seed surface, enhancing germination. Any fruit mimicry is incidental. Fruiting trees of Ormosia spp. (Leguminosae: Papilionoideae) were observed to ascertain mechanisms of seed dispersal and the role of seemingly mimetic characteristics of the seeds in that dispersal. Seed predation and seed germination were also examined. Ormosia isthamensis and O. macrocalyx (but not O. bopiensis) deceived arboreally-foraging frugivorous birds into taking their mimetic seeds, although rates of seed dispersal were low. These results are consistent with the mimetic seed hypothesis. On the other hand, the rates of disappearance of seeds from the ground under the Ormosia trees, hardness of the seeds, and enhancement of germination with the abrasion of the seed coat are all consistent with the hard-seed for grit hypothesis.",26,Journal,ar,Article,100,2,2,Germination | Hard-seed for grit hypothesis | Imitation aril | Mexico | Mimetic seed hypothesis | Ormosia bopiensis | Ormosia isthamensis | Ormosia macrocalyx | Peru | Seed dispersal | Seed predation,23435,undefined,0,FALSE,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031671741,SCOPUS_ID:0031671741,2-s2.0-0031671741,Spatial heterogeneity of element and litter turnover in a Bornean rain forest,Burghouts T.,Journal of Tropical Ecology,02664674,14,4,477-506,1998-07-01,July 1998,10.1017/S0266467498000352,"The spatial heterogeneity of element fluxes was quantified by measuring litterfall, throughfall and litter decomposition for 1 y in 30 randomly located sampling areas in a lowland dipterocarp rain forest. The idea tested was that turnover of elements is more variable than turnover of dry matter in a forest with extremely high tree species diversity. In spite of the low fertility of the soil (an ultisol), total litter production (leaves, trash, and wood <2 cm in diameter) was high (1105 g m-2 y-1) with inputs to the forest floor of carbon, nitrogen, phosphorus, calcium, magnesium, potassium, manganese and iron of 550, 15.3, 0.47, 6.26, 2.49, 4.75, 0.95 and 0.14 g m-2 y-1 respectively. Throughfall was 81% of the annual rainfall and transferred 22.2, 1.37, 0.14, 1.07, 0.67, 0.39, 7.92, <0.06, and (0.06 g m-2 y-1 of organic carbon, nitrogen (all forms), phosphorus, sulphur, calcium, magnesium, potassium, manganese and iron, respectively. Average turnover rates of nutrients in litter were highest for potassium and decreased in the sequence calcium, magnesium, carbon, nitrogen and phosphorus. Concentrations of phosphorus, nitrogen and potassium in litterfall, litter mass and topsoil were closely correlated with each other. Concentrations of calcium and manganese were positively correlated with each other and with elevation. Variations in leaf chemistry and total litterfall caused the spatial heterogeneity of element input to the forest floor to have a coefficient of variation of 30 - 70%, depending on the element. Due to the strong positive correlation between element fluxes and pools, the spatial variability of turnover rates (CV c. 20%) was lower than that of element input. Turnover rates for K varied by a factor of 4, and for Ca by a factor of 2.8 when the different sites were compared. The results strongly suggest that the most important factor determining spatial heterogeneity of organic matter and element dynamics on the forest floor is the site-specific amount of leaf fall, rather than spatially variable decomposition rates.",82,Journal,ar,Article,100,3,3,Calcium | Decomposition | Litter turnover | Litterfall | Nitrogen | Nutrient cycling | Phosphorus | Rain forest | Spatial heterogeneity | Throughfall,23435,undefined,0,FALSE,21,all,All Open Access,NA
