@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0016662251,SCOPUS_ID:0016662251,2-s2.0-0016662251,Phylogenetic evolution in columbidae as revealed by interrelationships of genetic systems of antigenic characters,Irwin M.,Evolution,00143820,29,1,72-86,1975-01-01,1975,10.2307/2407142,0,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,13,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016653517,SCOPUS_ID:0016653517,2-s2.0-0016653517,Semispecies of Drosophila athabasca distinguishable by male courtship sounds,Miller D.,Evolution,00143820,29,3,531-544,1975-01-01,1975,10.2307/2407265,22,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,14,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016647953,SCOPUS_ID:0016647953,2-s2.0-0016647953,Genetic structure of populations of the brown snail (Helix aspersa). I. Microgeographic variation,Selander R.,Evolution,00143820,29,3,385-401,1975-01-01,1975,10.2307/2407252,85,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,15,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016645798,SCOPUS_ID:0016645798,2-s2.0-0016645798,Hard and soft selection revisited,Wallace B.,Evolution,00143820,29,3,465-473,1975-01-01,1975,10.2307/2407259,145,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,16,"The concepts of hard and soft selection have been reviewed. Juvenile mortality as well as rigid and flexible selection have been shown to be unrelated to the ideas illustrated by the published examples of soft selection. The following definitions are suggested: hard selection is both density and frequency independent; soft selection is both density and frequency dependent. Under this classification, selection that is now referred to as 'density dependent' would be frequency independent while that known as 'frequency dependent' would be density independent. An analysis of an ecological model presented by Clarke reveals that under certain conditions α, k, and w selection all qualify as soft selection. Clarke's α selection is always soft; his k selection may at times be density dependent only."
true,https://api.elsevier.com/content/abstract/scopus_id/0016639827,SCOPUS_ID:0016639827,2-s2.0-0016639827,Genetics of natural populations; XLII. Three decades of genetic change in Drosophila pseudoobscura,Anderson W.,Evolution,00143820,29,1,24-36,1975-01-01,1975,10.2307/2407139,30,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,17,"Between 1970 and 1973 22 populations of D. pseudoobscura were sampled which had been studied at least twice, and usually three times, in the past. The frequencies of third chromosome gene arrangements were determined and compared with the accumulated data of three decades. The most striking trends over the last decade were a reduction in frequency of the PP chromosome on the Pacific coast and a concomitant increase in the frequency of TL. The long term frequency changes of the inversion polymorphs are discussed in terms of two explanatory hypotheses: that alterations in the environment have elicited the genetic changes; and that new, more adaptive gene complexes have arisen and spread."
true,https://api.elsevier.com/content/abstract/scopus_id/0016635324,SCOPUS_ID:0016635324,2-s2.0-0016635324,Reply to comments on 'Chromosomal evolution in Peromyscus',Baker R.J.,Evolution,00143820,29,1,189,1975-01-01,1975,10.2307/2407153,4,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,18,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016629918,SCOPUS_ID:0016629918,2-s2.0-0016629918,The bottleneck effect and genetic variability in populations,Nei M.,Evolution,00143820,29,1,1-10,1975-01-01,1975,10.2307/2407137,2464,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,19,"When a population goes through a small bottleneck, the genetic variability of the population is expected to decline rapidly but, as soon as population size becomes large, it starts to increase owing to new mutations. This problem is studied mathematically, and the results obtained indicate that the amount of reduction in verage heterozygosity per locus depends not only on the 'size of bottleneck' but also on the rate of population growth. If population size increases rapdily after going through a bottleneck the reduction in average heterozygosity is rather small even if bottleneck size is extremely small. On the other hand, the loss in the average number of alleles per locus is profoundly affected by bottleneck size but not so much by the rate of population growth. This difference occurs mainly because random genetic drift eliminates many low frequency alleles. However, the average number of alleles per locus increase faster than the average heterozygosity when population size is restored. Application of the theory developed to the Bogota population of Drosophila pseudoobscura supports Prakash's postulate that this population has grown very rapdily, starting with a few migrants from a Central or North American population."
true,https://api.elsevier.com/content/abstract/scopus_id/0016626681,SCOPUS_ID:0016626681,2-s2.0-0016626681,Selection for mating activity in two chromosomal arrangements of Drosophila pseudoobscura,Sherwin R.,Evolution,00143820,29,3,519-530,1975-01-01,1975,10.2307/2407264,7,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,20,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016626680,SCOPUS_ID:0016626680,2-s2.0-0016626680,High frequency of one element of Segregation Distorter in natural populations of Drosophila melanogaster,Hartl D.L.,Evolution,00143820,29,3,512-518,1975-01-01,1975,10.2307/2407263,6,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,21,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016620027,SCOPUS_ID:0016620027,2-s2.0-0016620027,On the quantification of promiscuity (or 'Promyscus' maniculatus?),Merritt R.,Evolution,00143820,29,3,575-578,1975-01-01,1975,10.2307/2407270,13,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,22,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016609426,SCOPUS_ID:0016609426,2-s2.0-0016609426,DNA DNA hybrdization studies of birds,Shields G.,Evolution,00143820,29,1,159-166,1975-01-01,1975,10.2307/2407149,21,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,23,"Single copy Junco hyemalis h. DNA labeled with methyl H thymidine was hybridized with unlabeled total DNA of various other bird species. Thermal stabilities of hybrid DNA obtained from heterologous reactions of J. hyemalis h. with various other Junco species are indistinguishable from the stabilities obtained from the J. hyemalis homologous reaction. These data indicate that there is no detectable nucleotide sequence divergence among Junco taxa. Thermal stabilities obtained from hybridizations involving J. hyemalis h. and various other species of increasing taxonomic distance from Junco span a considerable range. Thermal stabilities were also obtained from reciprocal hybridizations using single copy, Catharus guttatus DNA as a tracer. The implications of these data are discussed."
true,https://api.elsevier.com/content/abstract/scopus_id/0016607920,SCOPUS_ID:0016607920,2-s2.0-0016607920,Genetic variation in Hawaiian Drosophila I. Chromosome and allozyme polymorphism in D. setosimentum and D. Ochrobasis from the Island of Hawaii,Carson H.,Evolution,00143820,29,1,11-23,1975-01-01,1975,10.2307/2407138,12,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,24,"Populations of two closely related species from the geologically new island of Hawaii have been scrutinized by cytological and electrophoretic techniques. Both species display extraordinary inter and intra population genetic variability. In the mountains of the southwest (Kona) coast, D. setosimentum is presented by a genetically highly distinctive population having a number of fixed or nearly fixed genetic differences relative to the rest of the island. Where this species is sympatric with its high altitude relative, D. ochrobasis, the two appear to have hybridized in the past. Currently they appear to be reproductively isolated. Nevertheless they display extensive genetic variability, part of which is judged to be the result of this hybridization. Where D. setosimentum reaches lower altitudes in the rain forests on the north and east slopes, there is evidence for the differentiation of a low altitude ecotype."
true,https://api.elsevier.com/content/abstract/scopus_id/0016606755,SCOPUS_ID:0016606755,2-s2.0-0016606755,"Group selection, sex, and fossils",Van Valen L.,Evolution,00143820,29,1,87-94,1975-01-01,1975,10.1111/j.1558-5646.1975.tb00816.x,48,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,25,NA
