@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0030498720,SCOPUS_ID:0030498720,2-s2.0-0030498720,Simple genetic basis for important social traits in the fire ant Solenopsis invicta,Ross K.G.,Evolution,00143820,50,6,2387-2399,1996-01-01,December 1996,"Variation in queen phenotype and reproductive role in the fire ant Solenopsis invicta has been shown to have a simple genetic basis in a single introduced population in the United States. The evidence consists of an association between this variation arid queen genotype at Pgm-3, a phosphoglucomutase-encoding gene. In the present study, we surveyed Pgm-3 allele and genotype frequencies in diverse populations from the native and introduced ranges of this ant to learn whether this simple genetic basis for reproductive traits is a general feature of the species or a genetic anomaly in introduced ants stemming from a recent bottleneck or the invasion of novel habitats. No egg-laying queens living in polygyne (multiple-queen) nests possessed the homozygous genotype Pgm-3(a/a) in any of the study populations, yet nonreproductive females from such nests (workers as well as queens that had not yet initiated oogenesis) possessed this genotype at moderate frequencies. Remarkably, Pgm-3(a/a) was the most common genotype among all classes of females, including egg-laying queens, in monogyne (single-queen) nests from all populations studied. Genotype populations at Pgm-3 in polygyne populations typically departed strongly from the proportions expected under Hardy-Weinberg equilibrium, whereas those in monogyne populations did not. These patterns establish that a single mendelian gene influences queen reproductive role in S. invicta and that this gene uniformly is under strong directional selection in the polygyne social form only. Moreover, the perfect association of Pgm-3 genotype and reproductive role in all populations, combined with the known function of phosphoglucomutase in insect metabolism, suggest that this gene may directly influence queen phenotypes rather than merely serving as a marker for a linked gene that causes the effects.",21,Journal,ar,Article,100,3,3,Enzyme polymorphism | fire ants | phosphoglucomutase | physiological genetics | selection | social insects | Solenopsis invicta,22104,undefined,1,TRUE,13,10.1111/j.1558-5646.1996.tb03626.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030498718,SCOPUS_ID:0030498718,2-s2.0-0030498718,Multiple origins of gender-associated mitochondrial DNA lineages in bivalves (Mollusca: Bivalvia),Hoeh W.R.,Evolution,00143820,50,6,2276-2286,1996-01-01,December 1996,"Previous studies have shown that marine mussels (genus Mytilus) and a freshwater mussel (Pyganodon grandis) contain two distinct gender-associated mitotypes, which is a characteristic feature of the phenomenon of doubly uniparental inheritance (DUI) of mitochondrial DNA (mtDNA). Here we present evidence for the presence of distinct male (M) and female (F) mitotypes in three other bivalve species, the mytilid Geukensia demissa, and the unionid species P. fragilis and Fusconaia flava. Nucleotide sequences of a segment of the COI gene from the M and F mitotypes from each of the three mytilid species (M. edulis, M. trossulus, G. demissa) and three unionid species (P. grandis, P. fragilis, F. flava) were used for phylogenetic analysis. The analysis suggests three independent origins of M and F mitotypes for the six species examined; one for the three unionid species, one for the two Mytilus species, and one for Geukensia. The first of these F/M divergence events, while of uncertain age, predates the divergence of the two unionid genera and likely older than either of the two F/M divergence events in the mytilid taxa. The most parsimonious explanation of multiple F/M divergence events is that they represent independent origins of DUI. Another possibility is that, in a given taxon, an F or M mitotype assumes the role of the opposite mitotype (by virtue of a mechanism that remains to be clarified) and subsequently was fixed within its new gender. The fixation of a mtDNA lineage derived from a mitotype of switched function would reset the divergence of the gender-associated lineages to zero, thereby mimicking a de novo split of F and M lineages from a preexisting mtDNA genome that was not gentler specific. Further broad-scale taxonomic studies of the occurrence distinct M and F mitotypes may allow for the evaluation of the latter hypothesis.",135,Journal,ar,Article,100,4,4,Cytochrome c oxidase I | doubly uniparental inheritance | Fusconaia | Geukensia | Mytilus | Pyganodon phylogenetics,22104,undefined,1,TRUE,14,10.1111/j.1558-5646.1996.tb03616.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030498410,SCOPUS_ID:0030498410,2-s2.0-0030498410,Sexual size dimorphism and transition to parasitism in copepods,Poulin R.,Evolution,00143820,50,6,2520-2523,1996-01-01,December 1996,NA,20,Journal,ar,Article,100,1,1,Comparative analysis | copepods | parasitism | phylogeny | sexual size dimorphism,22104,undefined,1,TRUE,15,10.1111/j.1558-5646.1996.tb03639.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030484809,SCOPUS_ID:0030484809,2-s2.0-0030484809,Chloroplast DNA phylogeography of the common beech (Fagus sylvatica L.) in Europe,Demesure B.,Evolution,00143820,50,6,2515-2520,1996-01-01,December 1996,NA,371,Journal,ar,Article,100,3,3,Fagus sylvatica | intraspecific cpDNA diversity | phylogeography | seed transfer | universal primers,22104,undefined,1,TRUE,16,10.1111/j.1558-5646.1996.tb03638.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030484782,SCOPUS_ID:0030484782,2-s2.0-0030484782,Evolution of male parental care in a bird with almost complete cuckoldry,Dunn P.O.,Evolution,00143820,50,6,2542-2548,1996-01-01,December 1996,NA,63,Journal,ar,Article,100,2,2,Cooperative breeding | DNA fingerprinting | extra-pair paternity | fairy-wren | helpers | Malurus cyaneus | superb,22104,undefined,1,TRUE,17,10.1111/j.1558-5646.1996.tb03643.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030484750,SCOPUS_ID:0030484750,2-s2.0-0030484750,Genetic population structure and gradual northward decline of genetic variability in the greenfinch (Carduelis chloris),Merila J.,Evolution,00143820,50,6,2548-2557,1996-01-01,December 1996,NA,52,Journal,ar,Article,100,3,3,Bottleneck | genetic variation | heterozygosity | latitudinal variation,22104,undefined,1,TRUE,18,10.1111/j.1558-5646.1996.tb03644.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030484686,SCOPUS_ID:0030484686,2-s2.0-0030484686,Patterns in phylogenetic tree balance with variable and evolving speciation rates,Heard S.B.,Evolution,00143820,50,6,2141-2148,1996-01-01,December 1996,"Aspects of phylogenetic tree shape, and in particular tree balance, provide clues to the workings of the macroevolutionary process. I use a simulation approach to explore patterns in tree balance for several models of the evolutionary process under which speciation rates vary through the history of diversifying clades. I demonstrate that when speciation rates depend on an evolving trait of individuals, and are therefore 'heritable' along evolutionary lineages, the resulting phylogenies become imbalanced. However, imbalance also results from some (but not all) models of 'nonheritable' speciation rate variation. The degree of imbalance increases with the magnitude of speciation rate variation, and then for gradual evolution (but not punctuated equilibria) reaches an asymptote short of the theoretical maximum. Very high levels of rate variation are required to produce imbalance matching that found in real data (estimated phylogenies from the systematic literature). I discuss implications of the simulation results for our understanding of macroevolution.",68,Journal,ar,Article,100,1,1,Macroevolution | phylogenetic trees | punctuated equilibria | speciation rates | tree balance | tree topology,22104,undefined,1,TRUE,19,10.1111/j.1558-5646.1996.tb03604.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030484501,SCOPUS_ID:0030484501,2-s2.0-0030484501,Apparent directional selection of body size in Drosophila buzzatii: Larval crowding and male mating success,Santos M.,Evolution,00143820,50,6,2530-2535,1996-01-01,December 1996,NA,20,Journal,ar,Article,100,1,1,Body size | Drosophila | genetic and environmental components | heritability | male mating success | phenotypic selection | response,22104,undefined,1,TRUE,20,10.1111/j.1558-5646.1996.tb03641.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030442484,SCOPUS_ID:0030442484,2-s2.0-0030442484,Artificial selection on horn length-body size allometry in the horned beetle Onthophagus acuminatus (Coleoptera: Scarabaeidae),Emlen D.J.,Evolution,00143820,50,3,1219-1230,1996-01-01,June 1996,"Males of the horned beetle Onthophagus acuminatus Har. (Coleoptera: Scarabaeidae) exhibit horn length dimorphism due to a sigmoidal allometric relationship between horn length and body size: the steep slope of the allometry around the inflection of the sigmoid curve separates males into two groups; those larger than this inflection possess long horns, and those smaller than this inflection have short horns or lack horns. I examined the genetic basis of the allometric relationship between horn length and body size by selecting males that produced unusually long horns, and males that produced unusually short horns, for their respective body sizes. After seven generations of selection, lines selected for relatively long horns had significantly longer horn lengths for a given body size than lines selected for relatively short horns, indicating a heritable component to variation in the allometry. The sigmoidal shape of the allometry was not affected by this selection regime. Rather, selected lines differed in the position of the allometry along the body size axis. One consequence of lateral shifts in this allometric relationship was that the body size separating horned from hornless males (the point of inflection of the sigmoid curve) differed between selection lines: lines in which males were selected for relatively long horns began horn production at smaller body sizes than lines selected for relatively short horns. These results suggest that populations can evolve in response to selection on male horn length through modification of the growth relationship between horn length and body size.",205,Journal,ar,Article,100,1,1,Allometry | artificial selection | dimorphism | horned beetle | Onthophagus acuminatus | threshold,22104,undefined,0,FALSE,21,10.1111/j.1558-5646.1996.tb02362.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030441264,SCOPUS_ID:0030441264,2-s2.0-0030441264,"Perspective: Indirect mate choice, competition for mates, and coevolution of the sexes",Wiley R.H.,Evolution,00143820,50,4,1371-1381,1996-01-01,August 1996,"When Darwin first proposed the possibility of sexual selection, he identified two mechanisms, male competition for mates and female choice of mates. Extending this classification, we distinguish two forms of mate choice, direct and indirect. This distinction clarifies the relationship between Darwin's two mechanisms and, furthermore, indicates that the potential scope for sexual selection is much wider than thus far realized. Direct mate choice, the focus of most research on sexual selection in recent decades, requires discrimination between attributes of individuals of the opposite sex. Indirect mate choice includes all other behavior or morphology that restricts an individual's set of potential mates. Possibilities for indirect mate choice include advertisement of fertility or copulation, evasive behavior, aggregation or synchronization with other individuals of the same sex, and preferences for mating in particular locations. In each of these cases, indirect mate choice sets the conditions for competition among individuals of the opposite sex and increases the chances of mating with a successful competitor. Like direct mate choice, indirect mate choice produces assortative mating. As a consequence, the genetic correlation between alleles affecting indirect choice and those affecting success in competition for mates can produce self-accelerating evolution of these complementary features of the sexes. The broad possibilities for indirect mate choice indicate that sexual selection has more pervasive influences on the coevolution of male and female characteristics than previously realized.",248,Journal,re,Review,100,2,2,Darwin | male-male competition | mate choice | mating systems | sexual selection,22104,undefined,1,TRUE,22,10.1111/j.1558-5646.1996.tb03911.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030433932,SCOPUS_ID:0030433932,2-s2.0-0030433932,Phylogenetic analysis of breeding site use and α-amantitn tolerance within the Drosophila quinaria species group,Spicer G.S.,Evolution,00143820,50,6,2328-2337,1996-01-01,December 1996,"The Drosophila quinaria group is unusual within the genus in that it comprises both mycophagous and nonmycophagous species. DNA sequence data from three regions of the mitochondrial genome were used to infer relationships among four mycophagous species and three that breed on decaying water plants. Phylogenetic analysis of these species show that breeding in mushrooms and tolerance of high levels of α-amanitin were the ancestral states within the group. Thus, breeding in decaying water plants and intolerance of α-amamtin are derived conditions. We also found that the D. quinaria species group does not comprise separate mycophagous and nonmycophagous clades, but rather that (1) the shift from mushrooms to decaying plants occurred on at least two occasions; or (2) mycophagy reevolved within a lineage that had previously shifted to breeding on plants. The correlation between mycophagy and α-amanitm tolerance is perfect across the species we have examined, indicating that there is no detectable time lag between an ecological shift to a new breeding site and correlated changes in biochemical adaptation. The genetic distance between the mycophagous D. recens and the nonmycophagous D. quinaria indicates that these species split only about 1 M.Y.B.P. In terms of α-amanitin tolerance, D. recens and D. quinaria are typical of other ecologically similar species within the group. Thus, evolutionary changes in α-amanitin tolerance can evidently occur on the order of about 1 million yr. Our data also indicate that, in comparison to other groups of Drosophila, the quinaria species group may be undergoing an adaptive radiation.",42,Journal,ar,Article,100,2,2,Adaptive radiation | Cytochrome oxidase | Genetic distance | Host shifts | Maximum likelihood analysis | Molecular clock | Mycophagy,22104,undefined,0,FALSE,23,10.1111/j.1558-5646.1996.tb03620.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030417498,SCOPUS_ID:0030417498,2-s2.0-0030417498,The contribution of new mutations to genotype-environment interaction for fitness in Drosophila melanogaster,Fry J.D.,Evolution,00143820,50,6,2316-2327,1996-01-01,December 1996,"Many studies have documented the existence of genotype-environment interaction (GEI) for traits closely related to fitness in natural populations. A type of GEI that is commonly observed is changes in the fitness ranking of genetic groups (families, clones, or inbred lines) in different environments. We refer to such changes in ranking as crossing of reaction norms for fitness. A common interpretation of crossing of reaction norms for fitness is that selection favors different alleles in the different environments (i.e., that 'trade-offs' exist). If this is the case, selection could maintain genetic variation, and even lead to reproductive isolation between subpopulations using different environments. Even if the same alleles are favored in every environment, however, deleterious mutations that vary in the magnitude of their effect depending on environment could cause reaction norms for fitness to cross. If deleterious mutations with environment-dependent effects are responsible for maintaining much of the variation leading to crossing of reaction norms for fitness in natural populations, it should be possible to observe crossing of reaction norms for fitness among otherwise genetically identical lines bearing newly arisen spontaneous mutations. We examined the contribution of new mutations to GEI for fitness in Drosophila melanogaster. Eighteen lines were derived from a common, highly inbred base stock, and maintained at a population size of 10 pairs for over 200 generations, to allow them to accumulate spontaneous mutation. Because of the small population size of the lines, selection against mildly deleterious mutations should have been relatively ineffective. The lines were tested for productivity (number of surviving adult progeny from a standard number of parents) in five different environmental treatments, comprising different food media, temperatures, and levels of competition. The lines showed highly significant GEI for productivity, owing largely to considerable changes in ranking in the different environments. We conclude that mutations that are deleterious on average, but whose quantitative effects depend on environment, could be responsible for maintaining much of the variation leading to crossing of reaction norms for fitness that has been observed in samples of D. melanogaster from the wild.",89,Journal,ar,Article,100,3,3,Antagonistic pleiotropy | environmental heterogeneity | mutation-selection balance | phenotypic plasticity,22104,9317754,1,TRUE,24,10.1111/j.1558-5646.1996.tb03619.x,all,All Open Access,BIO,Directorate for Biological Sciences
true,https://api.elsevier.com/content/abstract/scopus_id/0030302091,SCOPUS_ID:0030302091,2-s2.0-0030302091,Evolutionary genetics of allorecognition in the colonial hydroid Hydractinia symbiolongicarpus,Grosberg R.K.,Evolution,00143820,50,6,2221-2240,1996-01-01,December 1996,"Many sedentary, clonal marine invertebrates compete intensively with conspecifics for habitable space. Allorecognition systems mediate the nature and outcome of these intraspecific competitive interactions, such that the initiation of agonistic behavior and the potential for intergenotypic fusion depend strongly on the relatedness of the contestants. The dependence of these behaviors on relatedness, along with the extraordinary precision with which self can be discriminated from nonself, suggest that allorecognition systems are highly polymorphic genetically. However, allotypic specificity of this sort could be produced by any number of genetic scenarios, ranging from relatively few loci with abundant allelic variation to numerous loci with relatively few alleles per locus. At this point, virtually nothing is known of the formal genetics of allorecognition in marine invertebrates; consequently, the evolutionary dynamics of such systems remain poorly understood. In this paper, we characterize the formal genetics of allorecognition in the marine hydrozoan Hydractinia symbiolongicarpus. Hydractinia symbiolongicarpus colonizes gastropod shells occupied by hermit crabs. When two or more individuals grow into contact, one of three outcomes ensues; fusion (compatibility), transitory fusion (a temporary state of compatibility), and rejection (incompatibility, often accompanied by the production of agonistic structures termed hyperplastic stolons). Observed patterns of compatibility between unrelated, half-sib pairs, and full-sib pairs show that unrelated anti half-sib pairs under laboratory culture have a very low probability of being fusible, whereas full sibs have a roughly 30% rate of fusion in experimental pairings. The genetic simulations indicate that roughly five loci, with 5-7 alleles per locus, confer specificity in this species. In ecological terms, the reproductive ecology of H. symbiolongicarpus should promote the cosettlement of kin, some of which should be full sibs, and some half sibs. Thus, there is potential for kin selection to play a major role in the evolution of the H. symbiolongicarpus allorecognition system. In genetic terms, this system conforms to theoretical predictions for a recognition system selected to distinguish among classes of kin, in addition to self from nonself.",58,Journal,ar,Article,100,3,3,Allorecognition | Hydractinia symbiolongicarpus | transmission genetics,22104,undefined,0,FALSE,25,10.1111/j.1558-5646.1996.tb03612.x,NA,NA,NA,NA
