@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0023519798,SCOPUS_ID:0023519798,2-s2.0-0023519798,Ordination analysis of components of resilience of Quercus coccifera garrigue.,Malanson G.,Ecology,00129658,68,3,463-472,1987-01-01,1987,10.2307/1938451,"Garrigue has a very high initial elasticity, which slows later; it is a function of growth. High elasticity was maintained in all treatments throughout the experiment and was the best indicator of potential resilience. The factors that make a difference among the components of resilience are season of fire first, frequency second. Season of fire was important, because for autumn burns in S France the plants had little time and poor conditions for regrowth before the census the following spring.-from Authors",50,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519218,SCOPUS_ID:0023519218,2-s2.0-0023519218,Development of dead leaf foraging in a tropical migrant warbler.,Greenberg R.,Ecology,00129658,68,1,130-141,1987-01-01,1987,10.2307/1938813,"Worm-eating warbler Helmitheros vermivorus specializes during the nonbreeding season in searching dead curled leaves that hang in the understory of tropical forest. Juveniles apparently enter the world with a rigidly determined preference for dead leaves during the period of unreinforced exploration. This preference is probably relaxed when birds are self-feeding because, with their highly manipulative behavior, they can readily track changes in abundance of dead-leaf and live-leaf arthropods. In this case, a consistent and apparently species-typical foraging preference for dead curled leaves appears to be learned. -from Author",28,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519160,SCOPUS_ID:0023519160,2-s2.0-0023519160,Rotifer threshold food concentrations and the size-efficiency hypothesis.,Stemberger R.,Ecology,00129658,68,1,181-187,1987-01-01,1987,10.2307/1938818,"Develops a physiological explanation for the positive relationship between threshold food concentration (the food concentration at which the population growth rate is zero) and body mass in planktonic rotifers. The exponent describing maximum clearance rate as a function of body mass is similar to the exponent expressing energy intake rates at low food concentrations. The former exponent (0.42) is considerably lower than the exponent for respiration (0.66). Consequently, the difference between energy intake and metabolism should decrease with increasing body size at low food concentrations. Rotifer swimming speeds are rather uniform for a wide range of body sizes and species. Consequently, length-specific swimming speeds (body lengths moved per unit time) and, particularly, mass-specific swimming speeds (distance moved per unit time per unit mass) decrease rapidly with increasing body size. Swimming speed, which is under the energy constraints of ciliary locomotion and which directly determines the rate of food encounters, provides the mechanism for the positive relationship between body size and threshold food concentration.-Authors",82,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519150,SCOPUS_ID:0023519150,2-s2.0-0023519150,"Predator avoidance in seagrass meadows: prey behavior, microhabitat selection, and cryptic coloration.",Main K.,Ecology,00129658,68,1,170-180,1987-01-01,1987,10.2307/1938817,"Predator-preference experiments and analyses of natural diets revealed that the caridean shrimp Tozeuma carolinense is underrepresented in the diet of pinfish Lagodon rhomboides, the dominant predatory fish in marine seagrass meadows in the SE USA. The behavioral response of moving around the grass blade, to which a shrimp was clinging, resulted in a significant increase in shrimp survival, and thus is strongly adaptive. Tozeuma also shifted microhabitats in response to predators; individuals that did not respond were often consumed. For the shrimp, predator-avoidance behaviors were far more important than cryptic coloration in eluding predatory fish.-from Author",172,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518879,SCOPUS_ID:0023518879,2-s2.0-0023518879,Beech range extension and vegetation history: pollen stratigraphy of two Wisconsin lakes.,Webb S.,Ecology,00129658,68,6,1993-2005,1987-01-01,1987,10.2307/1939890,"Traces the Holocene (past 10 000 yr) spread of Fagus grandifolia. A spatially continuous pattern of beech expansion from the N was ruled out. Alternative geographic patterns of spread (from the S or E) were spatially discontinuous, requiring seed dispersal distances of 25-130 km. That beechnuts could be dispersed across such distances suggests: 1) involvement of blue jays Cynnocitta cristata, passage pigeons Ectopistes migratorius or other vertebrates, and 2) a capacity for reaching climatically controlled range limits, given sufficient time, despite such discontinuities in habitat. A lag of 1000-2000 yr between establishment of source population in Michigan and Indiana and the appearance of beech in Wisconsin suggests that low-probability dispersal events were involved and that dispersal constraints limited the range of beech during this time. Pollen data reveal other features of vegetation history in E Wisconsin: an open Picea-Fraxinus woodland prior to 11 000 BP; a sequence of Picea, Abies, Betula, then Pinus forests between 11 000-7500 BP; establishment of a coniferous/deciduous forest ecotone approx 7000 BP in this region; and the presence of Quercus-dominated deciduous forests from 7000 BP until 110 BP (time of Euro-American settlement), a period punctuated by a gradual decrease in Ulmus populations approx 4500 and 5700 BP at the two sites) and by an increase in mesophytic tree abundance at the expense of Quercus after 3500 BP. -from Author",39,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518862,SCOPUS_ID:0023518862,2-s2.0-0023518862,Determinants of competitive success in Clethrionomys rufocanus.,Ims R.,Ecology,00129658,68,6,1812-1818,1987-01-01,1987,10.2307/1939872,The most consistent determinant of competitive success seemed to be the sex ratio of the litters in which females were born. Successful females originated from litters with a strongly female-biased sex ratio.-from Author,18,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,16,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518861,SCOPUS_ID:0023518861,2-s2.0-0023518861,Hatching asynchrony in American goldfinches: an experimental study.,Skagen S.,Ecology,00129658,68,6,1747-1759,1987-01-01,1987,10.2307/1939866,"Nestlings in asynchronous Carduelis tristis broods were more likely to diverge in mass and did so at a faster rate than those in synchronous broods. The lightest nestlings of asynchronous broods grew more slowly than their heavier nestmates and than all nestlings in synchronous broods. Brood reduction occurred more frequently in asynchronous broods. Survival and growth rates decreased throughout the breeding season and during inclement weather. Hatching intervals increased during the season. When brood reduction or differential growth among nestmates occurred in asynchronous broods, suggesting that the energy available for growth was limiting, heavy nestlings in asynchronous broods grew nonsignificantly faster than heavy nestlings in concurrent synchronous broods. This trend implies that when insufficient food is delivered to nestlings, asynchronous hatching may provide a slight advantage for older nestlings. Growth rates of all nestlings, however, were greatest in highly synchronous broods. Explanations other than growth of young must be invoked to explain why extreme synchrony is nor more common in goldfinches.-from Author",35,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518845,SCOPUS_ID:0023518845,2-s2.0-0023518845,Interaction of disturbances in tallgrass prairie: a field experiment.,Collins S.,Ecology,00129658,68,5,1243-1250,1987-01-01,1987,10.2307/1939208,"On an Oklahoma prairie, cover of the matrix-forming species Andropogon gerardii was significantly greater, while cover of the nonmatrix species Bromus tectorum was significantly lower, on burned treatments. Number and cover of annuals were significantly higher on cattle grazed treatments. Species richness increased with increasing disturbance intensity. Diversity, however, was lowest on the ungrazed + burned treatment and highest on the grazed + burned treatment. Burning significantly reduced species diversity on ungrazed treatments, and grazing significantly increased diversity on the burned treatment.-from Author",269,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,18,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518248,SCOPUS_ID:0023518248,2-s2.0-0023518248,Second-order neighborhood analysis of mapped point patterns.,Getis A.,Ecology,00129658,68,3,473-477,1987-01-01,1987,10.2307/1938452,"The method is applied to point location data for a sample of ponderosa pine Pinus ponderosa trees, and shows that heterogeneity within the forest is clearly a function of the scale of analysis.-from Authors",256,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518235,SCOPUS_ID:0023518235,2-s2.0-0023518235,Density-dependent dynamics of Salicornia europaea monocultures.,Ellison A.,Ecology,00129658,68,3,737-741,1987-01-01,1987,10.2307/1938480,"This study was conducted at Rumstick Cove, a protected 2ha salt marsh in Barrington, Bristol County, Rhode Island.-from Author",49,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,20,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023518145,SCOPUS_ID:0023518145,2-s2.0-0023518145,Variation in capsule size of Holopedium gibberum (Zaddach): a response to invertebrate predation.,Stenson J.,Ecology,00129658,68,4,928-934,1987-01-01,1987,10.2307/1938364,"The gelatinous capsule of the cladoceran Holopedium gibberum is variable in size, and seasonal size development shows different courses in different lakes. Differences in density of invertebrate predators rather than abiotic differences were responsible. Adaptive change in capsule size took place without any physical contact between Holopedium and the predator Chaoborus obscuripes, suggesting a chemically triggered mechanism. The reduction of capsule size in response to reduced predator density suggests a cost in maintaining this antipredator armor. A larger capsule leads to a higher cost for food gathering because of an increased drag in the water. The need for better armor may postpone start of reproduction in Holopedium. -from Author",25,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,21,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023516637,SCOPUS_ID:0023516637,2-s2.0-0023516637,Dynamics of nitrogen mineralization and nitrification in hemlock and hardwood treefall gaps.,Mladenoff D.,Ecology,00129658,68,5,1171-1180,1987-01-01,1987,10.2307/1939201,"In an old-growth, northern hardwood-hemlock forest in upper Michigan, net N mineralization rates were measured in small (90-250 m2), recent (0-3 yr) treefall gaps. These gaps were paired with plots in adjacent, undisturbed forest. Nitrogen mineralization rate varied with physical differences that existed between forest plots and gap plots, as well as with canopy species dominance.-from Author",143,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,22,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023516605,SCOPUS_ID:0023516605,2-s2.0-0023516605,"Effects of competition, disturbance, and herbivory on Salicornia europaea.",Ellison A.,Ecology,00129658,68,3,576-586,1987-01-01,1987,10.2307/1938463,"In Rhode Island salt marsh plant communities, S. europaea is restricted to disturbance-generated patches. It was unable to colonize successfully low-marsh habitats that were flooded daily to tides, because seedlings germinating in these areas could not anchor in soft substrate and were easily uprooted. In high-marsh habitats, seeds reliably colonized recently created patches because the seed's hairy coat bound to the plant debris that created the patches. The species was rapidly outcompeted for light by perennials in undisturbed areas and eventually was overgrown by perennials growing into the patches. S. europaea, was attacked by insect herbivores more frequently in patches than beneath the perennial canopy and this herbivore pressure reduced survivorship in patches to approximately the same level as beneath the perennial canopy.-from Author",112,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,23,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023516450,SCOPUS_ID:0023516450,2-s2.0-0023516450,Ecological scale and habitat use.,Morris D.W.,Ecology,00129658,68,2,362-369,1987-01-01,1987,10.2307/1939267,"If habitat selection occurs as a consequence of resource exploitation, the density of fine-grained consumers should reflect microhabitat variation. But if habitat use is controlled by a variety of selective pressures, it is no longer apparent whether density should respond to micro- or macrohabitat. These alternatives can be tested simultaneously by multiple regression models where macrohabitats are represented by dummy variables. When the local densities of 2 Temperate Zone rodents (Microtus, Peromyscus) were analyzed in this way, macrohabitat and temporal effects were consistent significant predictors of rodent density; microhabitat was not.-from Author",358,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,24,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023513420,SCOPUS_ID:0023513420,2-s2.0-0023513420,Life histories of mammals: analyses among and within Spermophilus columbianus life tables.,Zammuto R.,Ecology,00129658,68,5,1351-1363,1987-01-01,1987,10.2307/1939219,"The following statements are supported among age classes among populations, among age classes within populations, and (or) within age classes amongo populations: 1) mortality rates are high after birth, drop to a minimum by age 1 yr, then rise with age; 2) fecundity increases with age and seldom decreases at the last age of reproduction; 3) reproductive value and residual reproductive value rise to a peak, then fall with age; 4) age-specific mortality rates and age-specific mortality covary inversely with reproductive value; 5) residual reproductive value, survival, and survival rates covary inversely with fecundity; 6) residual reproductive value is positively correlated with adult survival; 7) no relationships were found between fecundity and successive survival probabilities in the life table; 8) no relationship was found between age at maturity and life expectancy; 9) no relationship was found between litter size and generation length; 10) future fecundity is positively correlated with present fecundity; and 11) age-specific fecundity varies inversely with modified reproductive value.-from Author",14,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,25,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023513348,SCOPUS_ID:0023513348,2-s2.0-0023513348,Chemical defense against different marine herbivores: are amphipods insect equivalents?,Hay M.E.,Ecology,00129658,68,6,1567-1580,1987-01-01,1987,10.2307/1939849,"The structurally similar diterpenoid alcohols pachydictyol-A and dictyol-E are produced by the brown seaweed Dictyota dichotoma. This seaweed and several related species that also produce these compounds are relatively low preference foods for tropical fishes and urchins. The effect of various concentrations of these compounds were evaluated on feeding by the 3 common types of herbivores that co-occur with Dictyota in coastal North Carolina, fish (Diplodus holbrooki), sea urchins (Arbacia punctulata) and a mixed species group of gammarid amphipods. Dictyol-E significantly reduced consumption by fish and urchins at concentrations of 0.5 and 1.0% of algal dry mass, but had no effect on amphipod grazing. Pachydictyol-A significantly reduced fish grazing at the relatively high concentrations of 1.0 and 1.3% of plant dry mass; at 0.5% it tended to decrease grazing, but the effect was not significant. Pachydictyol-A had no effect on urchin grazing and significantly increased amphipod grazing. When Pachydictyol-A was fed to fish as 1.0% of food dry mass, their growth rate was reduced by a significant 48%. -from Authors",272,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,26,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023512425,SCOPUS_ID:0023512425,2-s2.0-0023512425,Density-dependent growth and fecundity in the paedomorphic salamander Ambystoma talpoideum.,Semlitsch R.,Ecology,00129658,68,4,1003-1008,1987-01-01,1987,10.2307/1938371,"Pond-drying regime, initial density, and the drying regime X food level interaction affected early larval growth. Early larval growth was highly positively correlated with adult body size. Drying regime, food level, and initial density all significantly affected number of ova paedomorphic females contained. Number of ova was positively correlated with body size. Removing the effects of snout-vent length by analysis of covariance revealed that variation in the number of ova was largely (84%) due to the effects of body size. Larvae grew fastest, attained the largest body size, and contained most ova in constant water, high food, and low-density ponds. A direct relationship was thus shown between phenotypic variation generated in the larval stage and adult fitness. The larval environment strongly affects the fecundity of adult salamanders at first reproduction. Behaviors influencing selection of oviposition sites by parents can dramatically affect the ultimate reproductive fitness of the next generation. -from Author",44,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,27,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023512327,SCOPUS_ID:0023512327,2-s2.0-0023512327,A geometric model of vertebrate dispersal: tests and implications.,Buechner M.,Ecology,00129658,68,2,310-318,1987-01-01,1987,10.2307/1939262,"This model of vertebrate natal dispersal is based on assumptions of the divisibility of the habitat into discrete units capable of supporting a resident, and of a constant probability of a disperser stopping as it crosses each of these units. This probability is decomposed into the probability of settling and the probability of dying. Males and females may follow different patterns of dispersal. Mammals and birds show consistent differences in dispersal distributions. Results are relevant to discussions of natal philopatry, inbreeding avoidance, and proximate mechanisms of dispersal.-from Author",53,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,28,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023512306,SCOPUS_ID:0023512306,2-s2.0-0023512306,Palatability of woody plants to browsing ruminants in a South African savanna.,Owen-Smith N.,Ecology,00129658,68,2,319-331,1987-01-01,1987,10.2307/1939263,"Recorded food selection by free-ranging kudus Tragelaphus strepsiceros, impalas Aepyceros melampus and domestic goats Capra hircus in the Nylsvley Nature Reserve in South Africa. The predominant vegetation is a deciduous wooded savanna growing on infertile sandy soils; patches of Acacia savanna occur on the more fertile sites of former human settlements. Woody species are either 1) species favored year-round or 2) species generally rejected, except during certain periods. Among the latter, some species increase in acceptability during the dry season; others are favored temporarily while new leaves predominate. A palatability classification of woody species considers features of leaf retention and spinescence, as well as seasonal variations in acceptability. Estimated annual foliage losses to browsing ungulates were 1-3% for unpalatable deciduous species, compared with 10-30% for most palatable unarmed decidous and evergreen species. Unapalatable deciduous species dominate the woody foliage biomass on the infertile soils, while palatable but spinescent species make up most of the leaf biomass of trees and shrubs on the more fertile sites. Plants known to have chemical defenses against vertebrate herbivory are prominent on nutrient-deficient soils, while those with structural defenses are prominent on fertile soils. -from Authors",144,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,29,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023511216,SCOPUS_ID:0023511216,2-s2.0-0023511216,Uinta ground squirrel demography: is body mass a better categorical variable than age?,Sauer J.,Ecology,00129658,68,3,642-650,1987-01-01,1987,10.2307/1938469,"Compared the relative impact of age and body mass on fecundity and survival in a population of Spermophilus armatus and modeled the population using body mass classes as stage categories in Lefkovitch stage transition matrices. Body mass was a better predictor of survival than age, and was nearly as good a predictor of litter size. Larger and subsequently more fecund young were a consequence of a population reduction.-from Authors",37,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,30,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023511197,SCOPUS_ID:0023511197,2-s2.0-0023511197,Wind dispersal distances in dimorphic achenes of ragwort Senecio jacobaea.,McEvoy P.,Ecology,00129658,68,6,2006-2015,1987-01-01,1987,10.2307/1939891,"The proportion of achenes dispersing a given distance varied significantly with changes in site (inland vs. coastal), surroundings (mown vs. unmown), height of release time of release (early vs. late in the season), direction of dispersal, and achene type (disk vs. ray achenes). Some 31% of achenes travelled only 1 m, 89% travelled = or <5 m, and none were collected >14 m from the source.-from Authors",87,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,31,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023511169,SCOPUS_ID:0023511169,2-s2.0-0023511169,"Floral resource variation, pollinator response, and potential pollen flow in Psiguria warscewiczii.",Murawski D.,Ecology,00129658,68,5,1273-1282,1987-01-01,1987,10.2307/1939212,"The study population consisted of monoecious, perennial vines that flower year round, have a flowering peak during the rainy season, and possess an extreme bias in proportion of flowering plantsin male phase. Number of flowers on individual plants, flower density, and pollen surplus in staminate flowers at the end of the day (an indicator of visitation activity, or average resource availability) were monitored, as were the accumulated number of conspecific pollen grains on stigmas, and presence or absence of tephritid fly larvae (Blepharoneura sp.), which infested 0-15% of the staminate flowers sampled. Local flower density explained approx 50% of the variation in mean dye-dispersal distance. Visitation rate, number of individual visitors, and floral occupation rates of individually marked Heliconius butterflies were negatively correlated with average pollen surplus in staminate flowers. At very low levels of resource availability, many butterflies defended individual flowers for entire mornings against repeated attempts by other butterflies to visit the same flowers; at higher resource levels, butterfly visits were of shorter duration, and more movement among plants was observed.-from Author",36,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,32,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023511157,SCOPUS_ID:0023511157,2-s2.0-0023511157,The effects of herbivorous snails on submerged macrophyte communities in Minnesota lakes.,Sheldon S.,Ecology,00129658,68,6,1920-1931,1987-01-01,1987,10.2307/1939883,"In the laboratory, 14 macrophyte species grown in the absence of herbivores had growth rates of 1-10%/d. When grown with 4 densities of herbivorous snails, species that grew fastest in the absence of herbivores were, in general, most negatively influenced by grazing. Snails typically preferred the plant species that grew fastest in the absence of herbivores. Snail densities were manipulated in the small mesotrophic Christmas Lake. Where high snail densities were maintained, macrophyte species richness decreased; the plants remaining were the species least preferred in choice tests. For the leaves examined of one macrophyte, 6-113% of one total leaf area was lost to herbivores.-from Author",111,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,33,NA,NA,NA,NA
