@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,fund-sponsor,fund-acr,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0022857434,SCOPUS_ID:0022857434,2-s2.0-0022857434,Changes in a secondary forest in southwestern Nigeria following a ground fire,Isichei A.O.,Journal of Tropical Ecology,02664674,14697831,2,3,249-256,1986-01-01,August 1986,10.1017/S0266467400000870,15,Journal,ar,Article,100,3,3,fire | Nigeria | rain forest | tree mortality,23435,undefined,0,FALSE,11,"In January 1983, two 50 m × 50 m rain forest plots in the University of Ife campus in southwestern Nigeria were demarcated for a baseline study of species composition, litterfall and tree girth increments. By accident, a severe ground fire burnt one of the plots on 31 January, barely two weeks after litter traps had been set and species listing and first girth measurements completed. The effect of this fire was assessed in the burnt plot after 14 months, in April 1984. The fire affected small trees especially, and there were indications that some species were more sensitive than others. Manihot glaziovii, which was present in the plot and abundant in its vicinity before the fire showed a big increase in density after the fire because it was able to germinate in the openings created by the fire. These observations were related to succession, and it is concluded that the observation by some workers that the initial composition of a regrowth forest may be partly predicted from a knowledge of the seed bank in the soil may be applicable in the present case. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022857396,SCOPUS_ID:0022857396,2-s2.0-0022857396,An experimental study of seed ingestion and germination in a plant-animal assemblage in Ghana,Lieberman M.,Journal of Tropical Ecology,02664674,14697831,2,2,113-126,1986-01-01,May 1986,10.1017/S0266467400000717,72,Journal,ar,Article,100,2,2,Africa | bats | birds | community ecology | frugivory | Ghana | monkeys | savanna | seed dispersal | seed germination,23435,BSR-8414968,0,FALSE,12,"Fleshy fruits collected from abundant woody plants on the Accra Plains, Ghana, were fed to frugivorous species common in the area. Seeds of each plant species were retrieved from each frugivore species for germination trials, and ingested seeds compared to fresh seeds in germination percentage and rapidity. Altogether 85 plant X animal feeding combinations were attempted. In 73% of trials, ingestion did not affect germination percentage; the remaining trials were about equally divided between significant increases and decreases. Ingested seeds had significantly faster germination in 12%, and significantly slower germination in 8%, of the trials. Germination percentages in all samples of fresh seeds (x̄ = 37%) did not differ significantly from those ingested seeds (x̄ = 31%). There was a significant association between the effect of ingestion on both germination rapidity and percentage (significantly increased, decreased, or neither) and the plant species involved; there was no such association between the effect of ingestion and the animal species. Animals had inconsistent and frequently negligible effects on germination. Two-way analyses of variance (plants X animals) of germination percentage and of germination improvement showed that plant species were a significant source of variation and animal species were not. The fleshy-fruited plants of this assemblage are not generally dependent upon animals for successful germination of their seeds. © 1986, Cambridge University Press. All rights reserved.",National Science Foundation,NSF,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854818,SCOPUS_ID:0022854818,2-s2.0-0022854818,"Soil nutrient availability, root symbioses and tree species composition in tropical Africa: A review",Högberg P.,Journal of Tropical Ecology,02664674,14697831,2,4,359-372,1986-01-01,November 1986,10.1017/S0266467400000997,65,Journal,ar,Article,100,1,1,Africa | mycorrhizas | nitrogen fixation | root nodules | soil nutrient availability | tropical trees,23435,undefined,0,FALSE,13,"Relations between soil nutrient availability, the occurrence of root symbioses and tree species composition in tropical Africa are discussed in the light of new evidence. Transects from humid areas at the equator towards the deserts can be summarized as follows: High availability of nitrogen, low availability of phosphorus, low pH and aluminium toxicity probably restrict the competitiveness of nitrogen-fixing species in the forests on highly weathered and leached soils in humid west and central Africa. Ectomycorrhizal species attain dominance in species-poor forests on the soils poorest in phosphorus, while species with vesicular-arbuscular (VA) mycorrhiza form diverse forests on more fertile soils. Nitrogen-fixing species, which mostly are VA mycorrhizal, are more common in woodlands, where nitrogen is lost in grass fires, than in forests, which have a more closed nitrogen cycle. Low availability of phosphorus, however, limits the growth of nitrogen-fixing species in moist savannas. Ectomycorrhizal species are dominant, possibly because of a competitive advantage conferred by the large storage capacity of the fungal mantles under conditions of discontinuous nutrient supply. Nitrogen-fixing species become more abundant towards drier areas with an increase in soil phosphorus and a decline in soil nitrogen. These conditions culminate at the desert fringe, where nitrogen-fixing species reach their most conspicuous development. It is concluded that soil nutrient availability and root symbioses interact and strongly affect the composition of vegetation communities. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022854815,SCOPUS_ID:0022854815,2-s2.0-0022854815,Phenological changes in a Sumatran rain forest,Van Schaik C.P.,Journal of Tropical Ecology,02664674,14697831,2,4,327-347,1986-01-01,November 1986,10.1017/S0266467400000973,128,Journal,ar,Article,100,1,1,litterfall | mast fruiting | phenology | rain forest | seasonality | Sumatra,23435,undefined,0,FALSE,14,NA,Health Promotion Agency,HPA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022850827,SCOPUS_ID:0022850827,2-s2.0-0022850827,"Habitat differences in cocoa tree flowering, fruit-set, and pollinator availability in Costa Rica",Young A.,Journal of Tropical Ecology,02664674,14697831,2,2,163-186,1986-01-01,May 1986,10.1017/S0266467400000754,11,Journal,ar,Article,100,1,1,cocoa trees | Costa Rica | habitats | pollinated midges | seasonality,23435,undefined,0,FALSE,15,"Phenological patterns of flowering and fruit-set were studied in cocoa trees (Theobroma cacao) (Sterculiaceae) at monthly intervals in two contrasting habitats in Costa Rica for a one-year period. One of these habitats, a well-maintained plantation, had irregular and broken shade cover (Erythrina trees in particular) while in the other habitat, a ‘cocoa forest’, cocoa trees were heavily shaded by Huara crepitans (Euphorbiaceae). ‘Matina’ variety cocoa trees of about the same age (50–60 years) were censused in both habitats. Cocoa-pollinating midge (Diptera: Ceratopogonidae and Cecidomyiidae) availability was estimated by sampling immature stages in experimentally-distributed ground-cover breeding substrates, comparing overall abundances and species numbers between the two habitats over three census dates (dry, mid-rainy, and late-rainy seasons), along with examination of fungal-rotted (diseased) cocoa pods both on trees and the ground. Although total flower production was much greater in the plantation habitat, total production of new pods was similar between habitats. Flowering followed a cyclic temporal pattern in the forest but not in the plantation. Sudden leaf drop of forest shade trees in the dry season probably triggered a cyclic response in which flowering peaked in the first half of the rainy season. There was an inverse relation for frequencies of mature cocoa pods killed by squirrels and pathogenic fungi (Monilia roreri and Phytophthora) between the two habitats: squirrel-killed pods were far more abundant in the plantation than in the forest, and the opposite for fungus-killed pods. Fungus-killed but otherwise intact pods, and not squirrel-killed pods rotting on trees, were a major breeding site for midges, particularly during the late rainy season. Ceratopogonidae were most abundant in the dry season and frequently encountered in cocoa pod husks and banana tree trunk sections in both habitats, and much more so in the forest habitat. The abandoned cocoa plantation (cocoa forest) supported a more diverse assemblage of pollinating midges than the plantation. In the plantation but not in the forest, a negative correlation was discovered between distance from shade trees and the numbers of pods on trees, suggesting greater pollinating activity by midges in cocoa trees beneath shade trees than away from them. The uniform dense shade cover in the adjacent forest probably obliterated such a pattern. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022846851,SCOPUS_ID:0022846851,2-s2.0-0022846851,Nutrient dynamics of a Puerto Rican subtropical dry forest,Lugo A.E.,Journal of Tropical Ecology,02664674,14697831,2,1,55-72,1986-01-01,February 1986,10.1017/S0266467400000602,78,Journal,ar,Article,100,2,2,biosphere reserve | dry forests | nitrogen | nutrient cycling | phosphorus | potassium | Puerto Rico | soil chemistry | subtropical forests,23435,DEB-8110208,0,FALSE,16,"The distribution of the nutrients N, P and K in soil and vegetation and their mobility through litterfall and decomposition in mature and successional stands of a subtropical dry forest were studied in Guanica, Puerto Rico. Soils of the Guanica forest have high total amounts of N (9100 kg/ha), P (1820 kg/ha), and K (7460 kg/ha). However, high extractable Ca (>4000 mg/g) and pH (> 7–8) may explain why only 1.3 and 25% of the total P and K, respectively, were extractable. Total ecosystem storage of N, P and K was 10,300, 1900 and 7700 kg/ha, respectively, of which vegetation stored only 10, 2 and 3%, respectively. Litterfall returned 26, 18 and 180% per year of the N, P and K stored in the ground litter compartment. Trees retranslocated about 30 and 65% of the N and P required to satisfy aboveground net primary production and immobilized P in dead roots. Slow leaf decomposition (7.3 yr for 95% decomposition) released K faster than mass, P as fast as mass, and ash and N slower than mass. The use efficiency of P by litterfall was high compared with other tropical forests, while that of N and K was similar to other tropical and temperate forests. Cutting and regrowth of vegetation resulted in differences in the nutrient concentration in litterfall and nutrient use efficiency of successional vegetation. © 1986, Cambridge University Press. All rights reserved.",National Science Foundation,NSF,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022845167,SCOPUS_ID:0022845167,2-s2.0-0022845167,The phenology and diversity of praying mantids in Ghana,Edmunds M.,Journal of Tropical Ecology,02664674,14697831,2,1,39-50,1986-01-01,February 1986,10.1017/S0266467400000584,5,Journal,ar,Article,100,1,1,diversity | Ghana | phenology | praying mantids,23435,undefined,0,FALSE,17,"Praying mantids (Insecta: Dictyoptera, Mantodea) attracted to light at a savanna site in Ghana (Legon) were studied over 34 months. 1771 insects of 26 species were recorded, most of which were males. There was a gradual decline in numbers during the study, which was probably due to habitat deterioration. Significantly more mantids were attracted to light on new moon nights than when the moon was full. For the second commonest species, Sphodro-mantis lineola, a significant correlation was found between mantid numbers and rainfall per month. Some species appear to have two peaks of abundance per year, others only one, while the commonest species, Miomantis paykullii, shows no clear seasonal pattern, but longer term studies are required to confirm these tentative conclusions. Three measures of diversity are calculated and compared with mantid data from elsewhere in the tropics. Diversity at Legon was found to be very similar to that at Lamto, Côte d'Ivoire, despite different methods of collecting the insects, but the mantid fauna of Panama is less diverse than at the two African sites. Suggestions to account for this result are presented. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022845106,SCOPUS_ID:0022845106,2-s2.0-0022845106,Life cycle and diet of Zygonyx iris insignis (Insecta: Odonata: Anisoptera) in Hong Kong running waters,Dudgeon D.,Journal of Tropical Ecology,02664674,14697831,2,1,73-85,1986-01-01,February 1986,10.1017/S0266467400000614,14,Journal,ar,Article,100,2,2,Anisoptera | diet | Hong Kong | life cycle | Odonata | running water | Zygonyx iris,23435,undefined,0,FALSE,18,"Zygonix iris is widespread in tropical Asia, and larvae are sprawlers/clingers on rock surfaces in fast-flowing streams and rivers. In the Lam Tsuen River, Hong Kong, this species is univoltine; emergence occurs prior to the summer monsoon and larval recruitment during the wet season. Studies on larval dietary composition in four habitats indicated that Z. iris is a generalist predator, consuming epibenthic prey taxa in proportion to their abundance in the environment. Larval Chironomidae (Diptera) and Baetis (Ephemeroptera) were the commonest food items at all sites and there was little consistent evidence of preference for individual taxa. Larger Z. iris larvae tended to consume more prey taxa than did smaller larvae, and Baetis prey size was positively correlated with predator size. No size selection of chironomid larvae was apparent. Despite its unusual larval habit, Z. iris is a generalist feeder resembling lotic and lentic temperate-zone Odonata. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022843131,SCOPUS_ID:0022843131,2-s2.0-0022843131,Temperature regulation and water balance of day-active Zophosis congesta beetles in East Africa,Røskaft E.,Journal of Tropical Ecology,02664674,14697831,2,2,139-146,1986-01-01,May 1986,10.1017/S0266467400000730,10,Journal,ar,Article,100,4,4,behaviour | Coleoptera | Kenya | semidesert | temperature regulation | Tenebrionidae | water balance,23435,undefined,0,FALSE,19,"East African tenebrionid beetles of the species Zophosis congesta are active on sun-exposed surfaces in dry habitats during the hottest part of the day, when most other animals have retreated to protected areas. They remain on the surface at ambient temperatures up to 65°C which is 15°C above their highest tolerated body temperature. The beetles appear to regulate their body temperature behaviourally. They frequently rest and cool in the shade, and after each cooling period they remain on the sun-exposed surface until the heat influx from the environment has caused the body temperature to rise close to the lethal level. They have relatively low rates of transpiratory water loss, and appear unable to depress their body temperature by means of evaporative heat loss. The rate of metabolic production of water amounts to only about 20% of the rate of transpiratory water loss. Thus, the beetles depend strongly on water intake from dietary sources. The advantage of this type of activity pattern is probably avoidance of predators. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022842309,SCOPUS_ID:0022842309,2-s2.0-0022842309,Adaptations of carabid beetles to dry habitats in East Africa,Andersen J.,Journal of Tropical Ecology,02664674,14697831,2,2,127-138,1986-01-01,May 1986,10.1017/S0266467400000729,8,Journal,ar,Article,100,5,5,Carabidae | Coleoptera | humidity preference | Kenya | region | semidesert | temperate | Tenebrionidae | water balance,23435,undefined,0,FALSE,20,"The rates of water loss and humidity preference of carabids from dry tropical habitats have been studied and compared with corresponding data from temperate carabids and tropical tenebrionids. Within each group of beetles the rate of relative water loss decreases with increasing body size. Carabids from dry tropical areas have rates of water loss which are lower than those of temperate species, but considerably higher than the values for tenebrionids from dry tropical habitats. Small temperate carabids can stay in dry air for only a few hours, whereas large tropical tenebrionids may survive for weeks without becoming critically dehydrated. Given the choice between a dry and a humid atmosphere, well hydrated beetles of all groups will initially choose the dry atmosphere. Most temperate carabids will switch to humid atmosphere after a few hours and tropical carabids after 1–3 days, whereas tropical tenebrionids may remain in dry air for almost 3 weeks. The temperate carabids are very sensitive to dehydration and will shift to a humid atmosphere when dehydrated by only 2–5%. Tropical carabids and tenebrionids will shift first when they are dehydrated by 7–20% of their body weight in a hydrated state, implying that these beetles are considerably less sensitive to water loss than temperate carabids. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022838502,SCOPUS_ID:0022838502,2-s2.0-0022838502,Chemical plant-soil relationships in tropical forests,Golley F.,Journal of Tropical Ecology,02664674,14697831,2,3,219-229,1986-01-01,August 1986,10.1017/S0266467400000845,10,Journal,ar,Article,100,1,1,Amazon | biogeochemistry | Colombia | ecosystems | nutrients | Panama | rain forest | soils,23435,undefined,0,FALSE,21,"Plant and soil samples collected from four tropical forest areas were used to examine the correlation between the chemical abundances in soil and vegetation. On fertile soils in Panama and Colombia soil concentrations of copper, manganese, cobalt and zinc were correlated with plant concentrations. Calcium, caesium, iron, lead, magnesium, phosphorus, potassium, sodium and strontium-concentrations were not correlated. Factor analysis of plant chemistry at nine sites showed very little commonality between sites, even of vegetation belonging to the same plant association. A copper, manganese, cobalt, zinc factor was not recognized except in one case. A similar study of plant soil correlation in Colombia supported the conclusions from Panama; for most elements there was little evidence for significant correlation between plant and soil concentrations. Analysis of plant-soil relationships on very infertile latosols with terra firme forest in the Amazon at San Carlos de Rio Negro, Venezuela and Manaus, Brazil revealed a soil effect on the statistical distributions of the elements in the plant biomass. This effect was strongest on the least fertile site at Manaus and was strongest for essential elements. The pattern of chemical distributions appears to be due to the fact that some species are capable of concentrating high levels of elements even under conditions of very low supply in the substrate. © 1986, Cambridge University Press. All rights reserved.",National Science Foundation,NSF,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022837567,SCOPUS_ID:0022837567,2-s2.0-0022837567,Studies of birds in a semi-arid area of Kenya. III—the use of ‘Timed Species-counts’ for studying regional avifaunas,Pomeroy D.,Journal of Tropical Ecology,02664674,14697831,2,3,231-247,1986-01-01,August 1986,10.1017/S0266467400000869,13,Journal,ar,Article,100,2,2,bird counts | habitat comparisons | Kenya | semi-arid | timed species-counts,23435,undefined,0,FALSE,22,"‘Times Species-counts’ are a simple method of comparing the avifaunas of extensive areas by sampling representative habitats. The method has been evaluated in south central Kenya but could be applied to most terrestrial regions of tropical Africa. The essential feature is that the observers move anywhere within a sample site of about 1 km2, recording all of the species seen in a fixed time, e.g. 1 h. Counts are made in all seasons and at various times of day. Reasonable estimates of the total number of species in an area can be derived from a series of 15 counts, but such estimates tend to be low in non-forested habitats because ‘wanderers’ (non-resident species) continue to be recorded almost indefinitely. Open sites have far fewer species than well-wooded areas. The numbers of resident species in non-forested terrestrial habitats is related both to the amount of woody vegetation and to a measure of plant growth. However, total species numbers seem to depend solely on the amount of woody vegetation. Road counts, from a vehicle, were compared to those made on foot. They are less satisfactory, especially for cryptic species. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022836846,SCOPUS_ID:0022836846,2-s2.0-0022836846,"Profiles of CO<inf>2</inf> concentration and δ<sup>13</sup>C values in tropical rain forests of the upper Rio Negro Basin, Venezuela",Medina E.,Journal of Tropical Ecology,02664674,14697831,2,3,207-217,1986-01-01,February 1986,10.1017/S0266467400000821,89,Journal,ar,Article,100,4,4,Amazonian forest | CO 2 | concentration | rain forest | Venezuela | δ C values 13,23435,undefined,0,FALSE,23,"Concentration of CO2 above and below the soil surface and δ13C values of plant tissues, soil litter and organic matter were measured in a caatinga forest of the upper Rio Negro basin in southern Venezuela. CO2 concentrations near the forest floor were consistently higher than in the atmosphere. CO2 gradient in the soil was very steep probably because of the poor aeration in this flood-prone forest. δ13C values of plant tissues showed a clear pattern with lower values in the ground herbaceous plants and under-canopy trees. Tree seedlings showed δ13C values similar to the upper-canopy trees indicating their dependence on reserves carried in the seed from the mother tree. Decomposing litter and soil organic matter also showed δ13C values similar to the upper-canopy trees. It is suggested that lower δ13C values of the shade flora result primarily from the assimilation of CO2 depleted in δ13C originating from soil respiration. Probable effects of low light intensity and physiological factors are discussed. © 1986, Cambridge University Press. All rights reserved.",Instituto Venezolano de Investigaciones Científicas,IVIC,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022834815,SCOPUS_ID:0022834815,2-s2.0-0022834815,The murundus of the cerrado region of Central Brazil,de Araujo Neto M.D.,Journal of Tropical Ecology,02664674,14697831,2,1,17-35,1986-01-01,February 1986,10.1017/S0266467400000559,42,Journal,ar,Article,100,4,4,Brazil | cerrado | earthmounds | murundus | savanna,23435,81.951,0,FALSE,24,"Campos de murundus (earthmound fields) are common throughout the cerrado (savanna) in Brazil. They have a clearly defined distribution particularly where they are associated with ground water. There is a distinctive woody vegetation on the discrete mounds contrasting with surrounding grass-covered depressions. After a reconnaissance ground and air-photograph survey of the nature and distribution of mounds within the Federal District, four one-hectare plots were chosen for detailed study within the ecological reserve of the University of Brasilia. Measurements were made of the size, shape and frequency of mounds. Numbers varied from 26 to 61 ha−1 with a uniform distribution occupying 10–50% of the plots. Heights ranged from 0.05 to over 2 m. The generally semi-elliptical shape in ground plan had an average size of 7 by 5.5 m with no evidence of preferred orientation although water scouring from runoff partly influences the morphology. Volumes varied from 0.01 m3 to 141.5 m3. The soils of the murundus differed from those of surrounding depressions by being better drained, with bright colours and strong cohesive structures; they were more argillic with lower base saturation and pH values. Such sites favour colonization both by cerrado plants and by termites. A classification of the murundus is postulated. Although this paper does not consider the origins of murundus, they appear to relate more closely to drainage and differential erosion than to termite activity. © 1986, Cambridge University Press. All rights reserved.",Financiadora de Estudos e Projetos,FINEP,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022831265,SCOPUS_ID:0022831265,2-s2.0-0022831265,"Mosaic patterns in dipterocarp rain forest in Indonesia, and their implications for practical forestry",Torquebiau E.,Journal of Tropical Ecology,02664674,14697831,2,4,301-325,1986-01-01,November 1986,10.1017/S026646740000095X,38,Journal,ar,Article,100,1,1,Dipterocarpaceae | forest mosaic | Indonesia | patch dynamics | tree architecture | tropical rain forest management,23435,undefined,0,FALSE,25,"Tropical rain forest is described as a mosaic of ecologically uniform patches. A method is proposed to recognize and inventory the patches and to draw mosaic maps, based on the size and architecture of canopy trees. Mosaic maps from three different forest localities in Indonesia are compared in terms of the relative area occupied by each kind of patch, and the surface range and number of constituent patches. The comparison shows that the mosaic patterns are specific to the sites and can be used for the characterization of patch dynamics in different forest types. Possible implications for forest management are discussed in the light of the mosaic maps. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
