@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/23844518058,SCOPUS_ID:23844518058,2-s2.0-23844518058,"Use and management of Mimosa species in the Tehuacán- Cuicatlán Valley, a tropical semi-arid region in Mexico (Fabaceae-Mimosoideae)",Camargo-Ricalde S.,Revista de Biologia Tropical,00347744,52,4,845-851,2004-12-01,December 2004,"We report on the use of 15 Mimosa species within the Tehucán- Cuicatlán Valley, south-central Mexico. Seven of these species are endemic to Mexico, and four species and one variety are endemic to the Valley. We reviewed historical, ethnobotanical and floristic manuscripts, and conducted field studies. Several herbaria were consulted, as well as the BADEPLAM data base. Field work in the Valley has been done from 1994 to date. Most of the Mimosa species occur in the arid tropical scrub and the tropical deciduous forest, which are considered the most endangered vegetation types of the Valley. Our findings show that Mimosa species are used as fodder (45%), fuel (31%), living fences (14%) and construction material (7%). Only one species is used as medicine. Mimosa species are ""multipurpose"" shrubs/trees of the agrosilvopastoral system of this region.",3,17354393,Journal,ar,Article,100,2,2,Agrosilvopastoral systems | Biosphere reserve | Conservation | Mexico | Natural resources | Semiarid region,13567,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844514107,SCOPUS_ID:23844514107,2-s2.0-23844514107,"Association of the ""IUCN vulnerable"" spiny rat Clyomys bishopi (Rodentia: Echimyidae) with palm trees and armadillo burrows in southeastern Brazil",Bueno A.A.,Revista de Biologia Tropical,00347744,52,4,1009-1011,2004-12-01,December 2004,"The globally vulnerable Clyomys bishopi, a semi-fossorial and colonial rodent, is apparently limited to cerrado (savannah-like vegetation) physiognomies in São Paulo State, Brazil. The aim of the study was to verify whether the presence of C. bishopi is associated to the occurrence of palm trees (Attalea gearensis, Syagrus loefgrenii) and armadillo burrows. Thirty six quadrats were placed in different physiognomies of cerrado vegetation at Itirapina Ecological Station, southeastern Brazil to survey the number of C. bishopi burrows of individuals of palm trees and burrows of armadillos. There was a strong dependence and association between the number of C. bishopi burrows and all measured variables (Contingency tables and Spearman rank correlations). It is suggested that this rodent can be found in great numbers where palm trees are abundant. The use of armadillo burrows possibly makes the movement of the rodents easier inside their own galleries.",11,17354413,Journal,ar,Article,100,4,4,Brazil | Burrows | Clyomys bishopi | Palmae | Savannah | Semi-fossorial habit,13567,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844507502,SCOPUS_ID:23844507502,2-s2.0-23844507502,Defecation index and reproductive success of Triatoma maculata (Hemiptera: Reduviidae) under laboratory conditions,Aldana E.,Revista de Biologia Tropical,00347744,52,4,927-930,2004-12-01,December 2004,"The reproductive and defecating behavior of Triatoma maculata (Erichson 1848) was studied on animals from an university culture in Venezuela. This species does not reach the importance of Rhodnius prolixus Stal 1859 as Chagas disease vector in Venezuela. This study addressed the role of defecating frequency, an index of how dangerous the animals are for the human population, and its relationship with why T. maculata is a less important vector than R. prolixus. Human blood was fed to the insects through an artificial feeding device. The 2nd and 3rd instar nymphs defecated more frequently (Id= 0.6, n=40), and our Vth instar nymphs did not complete sexual differentiation. Fertility was 55% (n=865) and fecundity 8 eggs/female/week (n=26). Egg incubation lasted 22 days (n=477). Female longevity was 51 days (n=26). Intermould time grew progressively from 35 days for 1 st to 40 days for 4th instar nymphs (n=40). Mould percentage varied from 0% for Vth to 63% for 3rd instar nymphs. Mortality varied from 8% for 3rd to 100% for Vth instar nymphs. These results support evidences explaining the lesser vectorial capacity and low density of T. maculata in human domiciles, including reduced reproduction and defecation when the animal feeds on human blood.",6,17354403,Journal,ar,Article,100,2,2,Reproductive success | Triatoma maculata | Triatominae | Vectorial potential,13567,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844506158,SCOPUS_ID:23844506158,2-s2.0-23844506158,Factors associated with the catastrophic decline of a cloudforest frog fauna in Guatemala,Mendelson J.R.,Revista de Biologia Tropical,00347744,52,4,991-1000,2004-12-01,December 2004,"Comparison of recent and historical surveys of frog populations in cloudforest habitat in Sierra de las Minas, Guatemala, indicated population declines and local extirpation of several species. Pathological exams of diseased tadpoles indicated infection by amphibian chytridiomycosis. The local habitat has been severely altered by recent establishment of large-scale leatherleaf fern production. Analysis of water chemistry at our study site suggested increased nitrogenation associated with the leatherleaf industry.",27,17354411,Journal,ar,Article,100,7,7,Amphibian decline | Anura | Chytridiomycosis | Guatemala | Leatherleaf fern | Plectrohyla | Ptychohyla,13567,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844495831,SCOPUS_ID:23844495831,2-s2.0-23844495831,"Composition of the zooplankton community, with emphasis in copepods, in Punta Morales, Golfo de Nicoya, Costa Rica",Brugnoli-Olivera E.,Revista de Biologia Tropical,00347744,52,4,897-902,2004-12-01,December 2004,"The composition of the mesozooplanktonic community was studied in the Punta Morales estuary, Gulf of Nicoya, Pacific coast of Costa Rica, during 1997. Oblique plankton hauls were performed during high and low tide using a 280 μm mesh screen net equipped with a flowmeter. The community was characterized by holoplanktonic and meroplanktonic organisms. For the holoplanktonic community, the main groups were copepods (80%) and chaetognaths (16%). The most abundant species were the copepods Acartia lilljeborgii and Paracalanus parvus. A. lilljeborgii is a typical estuarine species that maintains high populations in estuarine systems. Meroplankton was represented mainly by crustacean larvae (66%), and icthyoplankton (18%). The dominance of crustacean larvae and icthyoplankton is an evidence of the ecological importance of the Punta Morales zone.",14,17354398,Journal,ar,Article,100,5,5,Abundance | Copepods | Holoplankton | Meroplankton | Tropical estuary,13567,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844495103,SCOPUS_ID:23844495103,2-s2.0-23844495103,"Fertility, fecundity and gonadosomatic index of Poecilia reticulata (Pisces: Poeciliidae) in Heredia, Costa Rica",Hernández M.,Revista de Biologia Tropical,00347744,52,4,945-950,2004-12-01,December 2004,"Between September and November of 1998, 1 432 females of Poecilia reticulata were collected in a pond in Santo Domingo, Heredia, Costa Rica. The average total length of females was 34.43 ± 7.26 mm (range 17.80 and 51.50 mm) and the average total weight of 0.69 ± 0.48 g (range 0.06 and 2.32 g). This species is a viviparous matrotrofic and the specimens were sexually mature. The total length-fertility relationship was F = 0.527e 0.1171Lt (r2 = 0.9404). The average fertility was 56.1 ± 43.6 (eggs + embryos) (range 8.0 and 197.6). The total length-fecundity relationship was Fo = 0.695e 0.1076 Lt (r2 = 0.9376). The average fecundity was of 49.0 ± 36.0 (oocytes + ova) (range 7.0 and 179.0). The total length-gonadosomatic index relationship was IGS = 0.0014 e0.134 Lt (r2 = 0.8581). The average gonadosomatic index was 0.25 ± 0.27% (range 0.02 and 1.31%).",15,17354406,Journal,ar,Article,100,3,3,Costa Rica | Fecundity | Fertility | Gonadosomatic index | Poeciilidae | Poecilia reticulata,13567,undefined,0,FALSE,16,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844475106,SCOPUS_ID:23844475106,2-s2.0-23844475106,Photochemical efficiency of adult and young leaves of the neotropical understory shrub Psychotria limonensis (Rubiaceae) in response to changes in the light environment,Avalos G.,Revista de Biologia Tropical,00347744,52,4,839-844,2004-12-01,December 2004,"We explored the short-term adjustment in photochemical efficiency (F v/Fm) in adult and young leaves of the understory neotropical shrub Psychotria limonensis Krause (Rubiaceae) in response to rapid changes in the light environment. Leaves were collected from 20 individual plants growing under sun and shade conditions on Gigante Peninsula, Barro Colorado Natural Monument (Republic of Panama), during the wet season of 1996. Leaves were distributed in four sequences of light treatments (AB leaves were expanded under sun and were transferred to shade, BA leaves experienced the opposite transfer, and the controls AA and BB leaves that were expanded and maintained under sun or shade conditions). Adult and young leaves did not differ in overall photochemical efficiency. Instead, differences were found among light environments, for which leaves transferred from shade to sun showed the lowest Fv/Fm ratios. There was no relationship between photochemical efficiency and leaf temperature. In P. limonensis, understory plants are susceptible of photoinhibition independently of the leaf ontogenetic stage. The approach utilized in this experiment allowed the rapid exploration of this capacity, and could be applied to poorly studied understory species.",2,17354392,Journal,ar,Article,100,2,2,Chlorophyll fluorescence | Panama | Photoinhibition | Photosynthesis | Psychotria limonensis | Tropical forest,13567,undefined,0,FALSE,17,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844474447,SCOPUS_ID:23844474447,2-s2.0-23844474447,Abundance of the sea urchin Centrostephanus coronatus (Echinoidea: Diadematidae) in the Costa Rican Pacific,Alvarado J.,Revista de Biologia Tropical,00347744,52,4,911-913,2004-12-01,December 2004,"Centrostephanus coronatus reaches a density of 0.06 individuals/m 2 in shallow reef waters in Parque Nacional Marino Ballena, Pacific of Costa Rica, in the same habitat occupied by the urchin Diadema mexicanum. It is the fourth species of diadematoid urchins reported for Costa Rican and a first new report for Central America.",2,17354400,Journal,ar,Article,100,1,1,Centrostephanus coronatus | Costa Rica | Density | Echinodermata | Pacific,13567,undefined,0,FALSE,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844471278,SCOPUS_ID:23844471278,2-s2.0-23844471278,Effect of the probiotic Bacillus subtilis on the growth and food utilization of tilapia (Oreochromis niloticus) and prawn (Macrobrachium rosenbergii) under laboratory conditions,Günther J.,Revista de Biologia Tropical,00347744,52,4,937-943,2004-12-01,December 2004,"Three experiments were conducted to analyze the effect of the probiotic Bacillus subtilis on the growth of juvenile tilapia (Oreochromis niloticus) and freshwater prawn (Macrobrachium rosenbergii). The experiments were conducted under laboratory conditions, minimizing the indirect effects of the probiotic on the water quality and leaving only the possible bactericidal and digestion-support effects. A model of stress was also designed in tilapia to compare the effect with tilapia under normal conditions. The dose in the food was 0.1 % of the probiotic (5×108 CFU/g and 99.9 % maltrine) in the dry diet. Every 14 days the animals were weighed in group (tilapias ± 0.1 g, prawns ± 0.001 g) to estimate average body weight. In the first experiment (tilapia) the specific growth rate (SGR) and the feed conversion ratio (FCR) were bad in relation with the factor probiotic, but the differences were not significant. In the second experiment (tilapia) both the SGR and the FCR deteriorated with the addition of B. subtilis to the diet; the difference was significant to 94%. The stress factor, on the contrary, caused a notable worsening of both the growth and the food utilization. In the experiment with prawns the addition of B. subtilis caused a light deterioration of the growth and of the food utilization, with a statistical probability of mistake of 10% in case of the growth. During the experiment the direct effects over the digestive system should have prevailed, either by the contribution of macro- and micro-nutrients, or by the enzymes that contribute to the digestion. The negative effect due to the addition of the probiotic to the food was small (about 10% in both the SGR and the FCR) being difficult to detect statistically. The reports on the positive action of probiotics on the growth in aquatic animals have been conducted mainly in ponds, and our information does not contradict directly a possible positive action of B. subtilis in this type of systems. Since the effect on the digestive system seems to be relatively small, in those environments the effect might be compensated by other positive effects on water quality, and by bactericidal effects on pathogenic bacteria.",27,17354405,Journal,ar,Article,100,2,2,Aquaculture | Bacillus subtilis | Laboratory conditions | Macrobrachium ronsenbergii | Oreochromis niloticus | Probiotics,13567,undefined,0,FALSE,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844460857,SCOPUS_ID:23844460857,2-s2.0-23844460857,"Sexual reproduction of the reef-building coral Diploria labyrinthiformis (Scleractinia: Faviidae), in the Colombian Caribbean",Alvarado Ch. E.,Revista de Biologia Tropical,00347744,52,4,859-868,2004-12-01,December 2004,"Sexual reproduction of the coral Diploria labyrinthiformis was studied for the first time. Monthly histological analyses at the Corales del Rosario National Park (Colombian Caribbean) from May 1997 to April 1998 show that D. labyrinthiformis is a hermaphroditic broadcasting species. It presents an annual gametogenic cycle with a 10-11 month period for gonad investment, in which oogenesis begins in August and ends in May-June. Spermiogenesis is short because sperm cysts were only observed in May tissue samples. In histological collected in May, an average of four mature eggs and six spermatic cysts per fertile mesentery were found. The mean diameter of mature eggs was 297 μm (± 97 SD) and 90 μm (± 33) for spermatic cysts. Rapid maturation of eggs from stage II to stage III coincides with increases in air temperature, high number of solar hours per month, decreases in wind velocity and absence of rainfall. Reproductive effort for D. labyrinthiformis (14.07 mm 3/cm2/year) was similar to other Faviidae species. Although gamete release was not observed in the field, the absence of gonads in histological samples in June suggests spawning between May 25 (five days after full moon) and June 24. This event coincides with high air temperature, low number of solar hours per month, low wind velocity, and initiation of the rainy season. The earlier spawning time of this species differs from other species of the same family known for the Caribbean region.",9,17354395,Journal,ar,Article,100,3,3,Caribbean coral reefs | Colombia | Coral reproduction | Diploria labyrinthiformis | Gametogenesis,13567,undefined,0,FALSE,20,NA,NA,NA
