@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,pubmed-id,authkeywords,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/78751622498,SCOPUS_ID:78751622498,2-s2.0-78751622498,"Nesting biology of four species of Trypoxylon (Trypargilum) (Hymenoptera: Crabronidae) in Chaco Serrano Woodland, Central Argentina",Musicante M.L.,Revista de Biologia Tropical,00347744,58,4,1177-1188,2010-12-01,December 2010,9,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,11,"Trypoxylon (Trypargilum) (Crabronidae) wasps are solitary spider predators that can build their nests in artificial trap-nests, which enables study of their nesting architecture and biology. Twenty traps (each containing 15-30 internodes of cane) were placed in each of nine sites of Chaco Serrano Woodland in Central Argentina (Córdoba) in October 2005, and were recovered in June 2006. We obtained 91 nests of four species of Trypoxylon (Trypargilum). In the laboratory, each Trypoxylon nest was sectioned longitudinally to study its architecture. The number of brood cells was counted, and the occurrence and length of vestibular and intercalary cells and the pre-closing plug space were recorded. We measured the diameter of the cane entrance, total length of the nest, length of each brood cell, maximum thickness of mud partitions and closing plug thickness. We also recorded the cell contents: the wasps, their natural enemies and the prey spiders. Mortality was assessed and the sex ratio calculated for each species. Finally, the nests were examined to help clarify the function of the vestibular cell. The nest architecture was similar in the four species, with linear brood cells located one after the other separated by mud partitions, as in other species of the subgenus Trypargilum. Forty-eight percent of the nests had vestibular cells, but only two had intercalary cells. The thickness of the mud partitions and the length of the brood cells differed among species and were related to the size of the emerged wasp. The diameter of the nest entrance was directly related to the average length of the fore-tibia. Sex ratios of all species did not deviate from 0.5. Mortality due to parasitoids (Eulophidae; Melittobia sp.) was similar among species, while the mortality due to cuckoo wasps (Chrysididae) in T. lactitarse was higher than in the other species. The presence of vestibular cells was not related either to the mortality due to natural enemies or to the orientation of the trap in the field. Spiders in the family Araneidae were the most frequently collected prey.",21246987,Chrysididae | Eulophidae | Natural enemies | Nest architecture | Prey spider | Sex ratio | Trap-nests | Vestibular cell,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78751614482,SCOPUS_ID:78751614482,2-s2.0-78751614482,"Apparent digestion coefficients for dry matter, protein and essential amino acids in terrestrial ingredients for Pacific shrimp Litopenaeus vannamei (Decapoda: Penaeidae)",Terrazas M.,Revista de Biologia Tropical,00347744,58,4,1561-1576,2010-12-01,December 2010,12,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,12,"Protein quality mainly depends on the essential amino acid (EAA) profile, but also on its bioavailability, because EAA digestibility is generally lower than the analyzed amounts. This information is needed in the aquaculture industry for aquafeed formulation. For this purpose, the apparent digestibility coefficients of dry matter, protein, and essential amino acids of eight feedstuffs of terrestrial origin were determined for the juvenile whiteleg shrimp Litopenaeus vannamei (15-19g), using 1% chromic oxide as an inert marker. A reference diet was formulated and produced in the laboratory. Eight experimental diets were prepared each with 30% of one of the experimental ingredients added to the reference diet: casein, porcine byproduct meal poultry byproduct meal, corn meal, wheat gluten meal, soybean paste, sorghum meal, and wheat meal. The experiment consisted of a single-factor, completely randomized design with three replicates per treatment. Samples of ingredients, diets and feces were analyzed for nitrogen and amino acids. For amino acid assay, we used reverse-phase high performance liquid chromatography. To avoid partial loss of methionine and cystine, samples of ingredients, diets, and feces were oxidized with performic acid to methionine sulfone and cysteic acid prior to acid hydrolysis. The apparent dry matter and protein digestive utilization coefficients varied from 68% to 109% and from 70% to 103%, respectively. Apparent digestibility of protein for casein, soy paste, wheat meal and wheat gluten were very high (over 90%), corn gluten and poultry byproducts meal showed high protein digestibility (over 80%), but porcine byproducts meal and sorghum meal had low digestibility (76% and 70%, respectively). There was a reasonable, but not total, correspondence between apparent protein digestibility and average essential amino acid digestibility coefficients, except for arginine in corn gluten, phenylalanine and leucine in sorghum meal, phenylalanine in soy paste and lysine in wheat meal and poultry by-product meal. The most digestible feed ingredients for whiteleg shrimp were: wheat gluten, wheat meal and soy paste; poultry byproduct meal and corn gluten were less digestible and the lowest digestibility occurred in porcine byproduct meal and sorghum meal. Feedstuffs exhibited great variability in dry matter, protein and amino acid digestive utilization coefficients, which should be considered when formulating shrimp feeds.",21250486,Amino acids | Digestibility | Dry matter | Feedstuffs | Protein | Shrimp,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650717259,SCOPUS_ID:78650717259,2-s2.0-78650717259,Repellent activity of essential oils against biting migonei Lutzomyia (Diptera: Psychodidae),Nieves E.,Revista de Biologia Tropical,00347744,58,4,1549-1560,2010-12-01,December 2010,9,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,13,"Repellent activity of plant essential oils against bites of Lutzomyia migonei (Diptera: Psychodidae). Natural repellents from plant extracts have demonstrated good efficacy against bites of some insect species. The present study evaluated the repellent effect of essential oils extracted from 8 plants species against bites of Lutzomyia migonei, the Leishmania vector. The essential oils were extracted by steam destillation in Clevenger chamber, from the following plants: Hyptis suaveolens, Pimenta racemosa, Piper marginatum, Monticalia imbricatifolia, Pseudognaphalium caeruleocanum, Espeletia shultzii, Plecthranthus amboinicus and Cinnamomun zeylanicum. Repellency tests were performed under laboratory conditions by the human hand method in cage assays, using female colonies of L. migonei. The more effective oils were tested at variable concentrations on different volunteers. The protection percentage and time were calculated. The results showed what oils of P. caeruleocanum and C. zeylanicum were the most effective. Although P. amboinicus oil also had repellent effect showed an irritant effect. The oils P. marginatum, H. suaveolens and P. racemosa showed no repellent effect, while the rest of oil extracts showed significant repellency in variable degrees. P. caeruleocanum and C. zeylanicum oils provided the 95% protection against bites of L. migonei for 3h. The P. caeruleocanum oil showed the greatest protection time, with a mean over 4h and 3h at concentrations of 50% and 10% respectively. The results suggest that the P. caeruleocanum oil could represent a potential natural repellent against Leishmania vectors.",21250485,Essential oils | Leishmaniasis | Lutzomyia migonei | Repellent | Sand flies,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650716709,SCOPUS_ID:78650716709,2-s2.0-78650716709,"Aquatic macrophytes in the large, sub-tropical Itaipu Reservoir, Brazil",Mormul R.,Revista de Biologia Tropical,00347744,58,4,1437-1452,2010-12-01,December 2010,24,Journal,ar,Article,100,6,6,13567,undefined,0,FALSE,14,"In the last three decades, rapid assessment surveys have become an important approach for measuring aquatic ecosystem biodiversity. These methods can be used to detect anthropogenic impacts and recognize local or global species extinctions. We present a floristic survey of the aquatic macrophytes along the Brazilian margin of the Itaipu Reservoir conducted in 2008 and compare this with a floristic survey conducted ten years earlier. We used ordination analysis to determine whether assemblage composition differed among reservoir arms. Macrophyte species were sampled in each of the 235 sampling stations using a boat, which was positioned inside three places of each macrophyte stand to record species and search for small plants. We also collected submerged plants using a rake with the boat moving at constant velocity for ten minutes. We assigned individual macrophyte species to life form and identified representative species for each life form. A total of 87 macrophyte taxa were identified. The ""emergent"" life forms contained the highest number of species, followed by ""rooted submerged"" life forms. The extensive survey of macrophytes undertaken in September 2008 recorded more species than a survey conducted between 1995 and 1998. This could be due to changes in water physico-chemistry, disturbances due to water drawdown and the long period between surveys, which may have allowed natural colonization by other species. Additionally, differences in the classification systems and taxonomic resolution used in the surveys may account for differences in the number of species recorded. Assemblage composition varied among the arms and was affected by underwater radiation (as measured using a Secchi disk) and fetch. Five non-native species were found. Two of these non-native species (Urochloa subquadripara and Hydrilla verticillata) are of special concern because they have a high frequency of occurrence and occupy large marginal areas of the reservoir. Future surveys should be conducted to determine the habitat most frequently colonized by these species. This would allow management strategies to be developed to protect native aquatic biota and prevent interference with the recreational and commercial uses of the Itaipu Reservoir.",21246998,Aquatic plants | Brazil | Floristic survey | Life forms,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650715581,SCOPUS_ID:78650715581,2-s2.0-78650715581,Mangrove dynamics in the Cispata lagoon system (Colombian Caribbean) during last 900 years,Castaño A.,Revista de Biologia Tropical,00347744,58,4,1347-1366,2010-12-01,December 2010,16,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,15,"Mangrove dynamics in the Cispata lagoon system (Colombian Caribbean) during last 900 years. The lagoon complex of Cispatá (old Sinú river delta) located at the Northwestern coast of the Colombian Caribbean, encloses one of the biggest mangrove areas in this region. This area has changed during the last 330 years because of several environmental and climatic causes, mainly changes in the position of the delta (Sinú River), which is the main freshwater source in this area, and sea level rise. We hypothesized that the climatic and geomorphologic dynamics has caused changes in the extension and composition of mangrove vegetation, especially during last 150 years. The dynamics of mangroves during the last 900 years was reconstructed based on the changes in the stratigraphy, pollen record, calcite concentrations (CaCO3) and C/N ratio, along two sediment cores from La Flotante and Navio lagoons, located in Cispatá complex. The age model was built based on lineal interpolation of 210Pb ages and changes in granulometry. Establishment and expansion of mangrove forests during the last 900 years were related to fluviomarine dynamics in the area and the lagoon formation. During the period encompassed between 1064 and 1762 A.D., the Mestizos spit was formed when marine conditions predominated in the surroundings of La Flotante Lagoon. At the site of Navío, a river dominated lagoon, terrigenous conditions dominated since 1830. Although the colonization of herbaceous pioneer vegetation started between 1142 and 1331 A.D., mangrove colonization only took place since 1717 A.D. Mangrove colonization was a result of the delta progradation. In 1849 A.D. the Sinú river delta migrated to the Cispatá bay. The eustatic sea level rise, the increase in river discharges and sedimentation rates produced the establishment of mangrove forests dominated by Rhizophora since 1849. Since 1900 a marine intrusion was recorded in both lagoons. In 1938, the migration of the delta toward its actual location in Tinajones gave place to the formation of the present lagoon system and to the expansion of mangrove forests, which reflects the balance between the high alluvial sediment input and the current sea level rise as has been recorded in similar ecosystems.",21250481,Cispatá | Coastal lagoon | Colombian Caribbean | Mangroves | Palinology,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650713010,SCOPUS_ID:78650713010,2-s2.0-78650713010,"Bats (Mammalia: Chiroptera) in native and reforested areas in Rancho Alegre, Paraná, Brazil",Gallo P.,Revista de Biologia Tropical,00347744,58,4,1311-1322,2010-12-01,December 2010,7,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,16,"Generally, natural environments have been transformed into small forest remnants, with the consequent habitat loss and species extinction. The North Paraná State is not an exception, since only 2 to 4% of the original ecosystem occurs in small fragments of Stational Semidecidual Forest. We studied the species richness and abundance of bats in two forest fragments from the Fazenda Congonhas, in Rancho Alegre city, Paraná State, Brazil. Four samplings were undertaken in a legally protected native area (107.8ha) and in a reforested area (11.8ha) between April 2007 and March 2008. Samplings began at nightfall and lasted six hours, during two consecutive nights in each location. The individuals were captured using eight mist nets, with the same capture effort in both environments. A total of 397 individuals, 14 species and 10 genera were captured in the native area; while in the reforested area, 105 individuals, six species and four genera. Artibeus lituratus was the most common species in both fragments (n=328, 65.3%), followed by Artibeus fimbriatus (n=44, 8.8%) and Artibeus jamaicensis (n=30, 6.0%). Other species including Platyrrhinus lineatus, Carollia perspicillata, Sturnira lilium, Chrotopterus auritus, Desmodus rotundus, Michronycteris megalotis, Phyllostomus hastatus, Phyllostomus discolor, Myoti levis, Myotis nigricans and Lasiurus blossevillii, accounted for 19.9% of the captures. The native area presented higher values of species richness (S=14) and diversity (H'=1.4802) in comparison to the reforested area (S=6, H'=0.57015). The t-test evidenced a significant difference between diversity among the sites (t=7.1075). Chao 1 index indicated that the sampling effort recorded approximately 78% from the total species richness for the native area and 75% for the reforested area. Therefore, the preservation of the forest fragment is essential since it provides habitat for a diverse community of bats. Forest management and reforestation actions may prevent drastic changes in the microclimate of neighboring areas within the forest fragment, and could allow the occupation of available niches in the area, by opportunistic and generalist species.",21246993,Atlantic forest | Chiropterans | Conservation | Diversity | Forest fragments,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650712788,SCOPUS_ID:78650712788,2-s2.0-78650712788,Inferring possible population divergence in Espeletia pycnophylla (Asteraceae) through morphometric and paleogeographic approaches,Benavides F.,Revista de Biologia Tropical,00347744,58,4,1261-1270,2010-12-01,December 2010,1,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,17,"The phenotypic structure within and between plant populations is generally influenced by their distribution patterns in space and time; therefore, the study of their divergence is a central issue for the understanding of their microevolutive processes. We boarded the hypothesis that three populations of Espeletia pycnophylla show phenotypic divergence as one of the possible implications of their geographic isolation in the Southern Colombian Andes. We used the Elliptic Fourier Descriptors (leaf shape) and traditional leaf morphometry (leaf size) of 347 leaves to measure inter and intra-population variation and a comparison between a paleogeographic reconstruction with an actual estimate of the distribution areas of E. pycnophylla in order to identify their main changes during the last 14 000 years. The three populations showed significant differences in leaf morphometry and a positive correlation between the matrices of morphometric and geographic dissimilarities, indicating that the inter-population divergence increases between further populations, so that the morphometric structure reflects their spatial distribution. The geographical and paleogeographical estimates evidenced a conspicuous process of reduction and fragmentation of the distribution area of E. pycnophylla since the Late-Glacial until the Holocene. We suggest that these results support possible scenarios of vicariance events, which allow us to approach the divergence of these populations in terms of their historic biogeographic relations. However, genetic analyses are still needed to support these results.",21246990,Elliptic fourier descriptors | Espeletia pycnophylla | Leaf morphometry | Paramos | Population divergence | Vicariance,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650712787,SCOPUS_ID:78650712787,2-s2.0-78650712787,Population status of insects of Plecoptera order in Sierra Nevada National Park in Venezuela and its implications for conservation planning,Gamboa M.,Revista de Biologia Tropical,00347744,58,4,1299-1310,2010-12-01,December 2010,2,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,18,"Population status of insects of Plecoptera order in Sierra Nevada National Park in Venezuela and its implications for conservation planning. Longitudinal distribution of Plecoptera species were examined along the Sierra Nevada National Park in the Andean region of Merida State, Venezuela. PNSN is one of the largest protected areas and consists of two major sub-basins. Quantitative samples were collected in 7 river tributaries along the PNSN from February to May of 2009, and a total of 135 individuals and 4 species of the genus Anacroneuria were collected. Only three rivers (Nuestra Señora, La Picón y Corcovada) found the presence of stoneflies, the principal component analysis show that the characterization of habitat, current velocity, dissolved oxygen and the absence of human disturbance sources of influence in a suitable habitat for populations. Stoneflies are endangered or have become extinct throughout much of its range due to human activities. Conservation plans must be implemented urgently, in order to avoid recreational areas and/or economic in vicinity thereof.",21250479,Anacroneuria | Andean rivers | Environmental relationships | Human activities | Longitudinal gradient,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650709537,SCOPUS_ID:78650709537,2-s2.0-78650709537,"Presence and spatio-temporal habitat characterization of Dermatemys mawii (Testudines: Dermatemydidae) in the Grijalva-Usumacinta watershed, Tabasco, Mexico",Ruiz C.E.Z.,Revista de Biologia Tropical,00347744,58,4,1247-1260,2010-12-01,December 2010,8,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,19,"The Central American River Turtle (Dermatemys mawii) is an endangered species that has been poorly studied. There are no reports on their population status, habitat condition, and the species distribution area is still unknown. This study analyzes the seasonal and spatial variations of their habitat and the presence/absence of D. mawii in three rivers within the Pantanos de Centla Biosphere Reserve (Tabasco, Mexico). For habitat characterization, natural segmentation of rivers was used and three sites per segment were identified, 9 in each rivers (Grijalva and Usumacinta) and 6 in Tabasquillo. Additionally, the evaluation of 11 environmental variables such as water hydrological, physicochemical characteristics and riparian and hydrophytic vegetation were carried out during two different seasons (dry and rainy). The presence/absence of species was assessed with eight fike nets that were set per segment, with a capture effort of 384 hours per trap. The capture per unit effort (CPUE) was used as an indicator of relative abundance. The results indicated spatio-temporal variations in habitat characteristics and the presence of environmental gradients. The principal components analysis (PCA) applied allowed us to determine that the first three components explained 67.8% of the environmental variability. The species presence was confirmed in all rivers, however significant differences exists in their relative abundance: the highest was registered in the Tabasquillo River where the species was present in both seasons and in all segments. Of the 11 environmental variables analyzed, the gradient, shelter and depth were the most indicative of species presence. The obtained results evidenced the importance of riparian vegetation as habitat for Dermatemys. This represents the first approach towards an action plan for a species and its habitat protection within the Pantanos de Centla Biosphere Reserve.",21250478,Lotic habitat | Pantanos de Centla | Relative abundance | Turtle conservation,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650705218,SCOPUS_ID:78650705218,2-s2.0-78650705218,"Growth, mortality and reproduction of the blue tilapia Oreochromis aureus (Perciformes: Cichlidae) in the Aguamilpa Reservoir, Mexico",Peña Messina E.,Revista de Biologia Tropical,00347744,58,4,1577-1586,2010-12-01,1 December 2010,8,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,20,"Tilapia production has increased in Aguamilpa Reservoir, in Nayarit, Mexico, in the last few years and represents a good economic activity for rural communities and the country. We determined growth parameters, mortality and reproductive aspects for 2 413 specimens of blue tilapia Oreochromis aureus in this reservoir. Samples were taken monthly from July 2000 through June 2001, of which 1 371 were males and 1 042 were females. Standard length (SL) and total weight (TW) were measured in each organism. The SL/TW relationships through power models for sexes were determined. The growth parameters L ∞, k, and t0 of the von Bertalanffy equation were estimated using frequency distribution of length through ELEFAN-I computer program. Finally the reproductive cycle and size of first maturity were established using morph chromatic maturity scale. The results suggested that the males and females had negative allometric growth (b<3). Significant differences were found between SL/TW model for the sexes, suggesting separate models for males and females. Results indicate that there are no differences in growth rates between sexes; the proposed parameters were L∞=43.33cm standard length, k=0.36/year and t0=-0.43years. Natural and fishing mortality coefficients were 0.83/year and 1.10/year, respectively. The estimated exploitation rate (0.57/year) suggested that during the study period the fishery showed signs of overfishing. Blue tilapia reproduces year-round; the highest activity occurs from January through May and size of first maturity was 23cm SL. We conclude that it is necessary to establish a minimum catch size in this reservoir based on the reproductive behavior of this species.",NA,Aguamilpa Reservoir | ELEFAN | Exploitation rate | Growth | Oreochromis aureus | Reproduction,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78650704080,SCOPUS_ID:78650704080,2-s2.0-78650704080,Centrocestus formosanus (Opisthorchiida: Heterophyidae) as a cause of death in gray tilapia fry Oreochromis niloticus (Perciforme: Cichlidae) in the dry Pacific of Costa Rica,Cortés D.A.,Revista de Biologia Tropical,00347744,58,4,1453-1465,2010-12-01,December 2010,13,Journal,ar,Article,100,5,5,13567,undefined,0,FALSE,21,"Centrocestus formosanus is a zoonotic trematode from Asia and has been mainly associated as cause of death of cultured fish. To identify pathogen trematode species in tilapia fry (Oreochromis niloticus) and to determine mollusks hosting these parasites, freshwater mollusks were collected from tilapia cultured ponds and experimental infections were carried out with tilapia fries and different mollusk species. A total of 907 freshwater mollusks were obtained from tilapia ponds and were identified to species level, four gastropods and one bivalve were determined: Melania tuberculata, Melanoides turricula, Pomacea flagellata, Haitia cubensis and Anodontiles luteola. For the first time, the presence of M. turricula and H. cubensis are reported in Costa Rica. Seven morphotypes of cercariae (Xifiodiocercaria, Equinostoma, Oftalmocercaria, Parapleurolofocercus, Cistocerca, Furcocercaria and Leptocercaria) parasitizing all five species of mollusks were found, all of distome type. Experimental exposure of tilapia fry to M. tuberculata demonstrated that the parapleurolofocercus morphotype found in the mollusk is in accordance with the finding of C. formosanus in tilapia fry. An abundance and mean intensity of 1018-1027 digeneans per gill in each exposed fish was determined. Centrocestus formosanus is reported for the first time in Costa Rica, for which the primary and secondary intermediate hosts were also determined.",21250483,Centrocestus formosanus | Costa Rica | Freshwater mollusk | Oreochromis niloticus | Tilapia fry,NA,NA,NA,NA,NA
