@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0025693040,SCOPUS_ID:0025693040,2-s2.0-0025693040,The mating system genetically affects offspring performance in Woodhouse's toad (Bufo woodhousei),Mitchell S.L.,Evolution,00143820,NA,44,3,502-519,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05935.x,"The relationship between sire phenotype (body size) and offspring performance means that nonrandom mating based on male body size could have a directional effect on offspring performance. Because larger males mate disproportionately often in this population, the mating system may exert a directional effect on metamorphic body size. -from Author",24,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,11,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025692851,SCOPUS_ID:0025692851,2-s2.0-0025692851,"Genotype-environment interaction for climate and competition in a natural population of flour beetles, Tribolium castaneum",Wade M.J.,Evolution,00143820,NA,44,8,2004-2011,1990-01-01,1990,10.1111/j.1558-5646.1990.tb04306.x,Examined genotype-environment interaction in the rate of population increase for lineages randomly derived from a wild population of T. castaneum across a series of ecologically important environments. Genotype-environment interaction accounted for 40.5% of the total among-lineage variance in rate of population increase signifying that the performance of a lineage in one environment is not necessarily a good predictor of its performance in another. Changing the genetic identity of the competitor changed the rate of increase of some lineages as much or more than changing the climatic conditions of temperature and humidity. -from Author,33,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,12,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025692832,SCOPUS_ID:0025692832,2-s2.0-0025692832,The effect of distance from the parental site on offspring performance and inbreeding depression in Impatiens capensis: a test of the local adaptation hypothesis,Schmitt J.,Evolution,00143820,NA,44,8,2022-2030,1990-01-01,1990,10.1111/j.1558-5646.1990.tb04308.x,"If microgeographic variation in selection within a natural plant population has resulted in local adaptation, then offspring fitness should decline with distance from the parental site. If outcrossed progeny are less well-adapted to the parental environment than inbred progeny, but perform better in environments different from that of the parent, then the fitness of inbred progeny relative to outcrossed progeny should decrease with dispersal distance from the parent. The fitness of inbred I. capensis offspring declined significantly and the magnitude of observed inbreeding depression increased with distance from the parental site, supporting the local adaptation hypothesis. -from Authors",135,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025685882,SCOPUS_ID:0025685882,2-s2.0-0025685882,Experimental studies of community evolution. I: the response to selection at the community level,Goodnight C.J.,Evolution,00143820,NA,44,6,1614-1624,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03850.x,"Uses 2 species communities of Tribolium castaneum and T. confusum in an investigation of selection acting at the community level. Community selection, defined as the differential survival and or reproduction of communities, can result in significant changes in the phenotype of a community. Two types of correlated responses to selection were observed. 1) Within-species correlated responses to selection are changes in a trait measured in one species as a result of community selection acting on another trait measured in the same species. 2) Between-species correlated responses to selection, are changes in a trait measured in one species as a result of community selection acting on a trait measured in another species. -from Author",63,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,14,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025685880,SCOPUS_ID:0025685880,2-s2.0-0025685880,Predicting host range evolution: colonization of Coronilla varia by Colias philodice (Lepidoptera: Pieridae),Karowe D.N.,Evolution,00143820,NA,44,6,1637-1647,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03852.x,"Extensive sympatry is currently arising between the common sulfur butterfly Colias philodice and a potential leguminous host plant, Coronilla varia. In laboratory trials, larval survivorship and growth were higher on the primary host, Medicago sativa than on the nonhost C. varia, but because females reared from C. varia were on average more fecund than females reared from M. sativa, fitness on C. varia (approximately as survivorship times fecundity) was commensurate with fitness on M. sativa. Thus, it is predicted that selection would favor oviposition on C. varia. Significant among-family variation exists for several measures of larval performance on both C. varia and M. sativa, indicating that C. philodice can potentially respond to selection for increased performance on each species. Larval performance was significantly positively correlated across these species, suggesting that selection for increased performance on each species will facilitate, not constrain, evolution of increased performance on the other. -from Author",85,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,15,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025685878,SCOPUS_ID:0025685878,2-s2.0-0025685878,Genetic correlations among traits determining migratory tendency in the sand cricket Gryllus firmus,Fairbairn D.J.,Evolution,00143820,NA,44,7,1787-1795,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05249.x,"Considerable variation has also been reported in the flight propensity of fully-winged individuals with functional flight musculature. The hypothesis that these components of migratory tendency are genetically correlated in the wing-dimorphic Gryllus firmus was tested. Results indicate both phenotypic and genetic correlations among behavioral, physiological and morphological traits determining migratory tendency. These correlations may result from the multifunctional role of juvenile hormone. -from Authors",53,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,16,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025685858,SCOPUS_ID:0025685858,2-s2.0-0025685858,Paedomorphosis in Ambystoma talpoideum: maintenance of population variation and alternative life-history pathways,Semlitsch R.D.,Evolution,00143820,NA,44,6,1604-1613,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03849.x,"Experiment supported the hypothesis of genetic differentiation in the propensity to metamorphose among the populations, but gave mixed evidence that pond-drying regime is the selective force directing evolution of this trait. Some populations appear to have evolved phenotypic plasticity whereas others may have a genetic polymorphism in their propensity to metamorphose as ponds dry. -from Authors",112,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,1,TRUE,17,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025684007,SCOPUS_ID:0025684007,2-s2.0-0025684007,Pollen loads and progeny vigor in Cucurbita pepo: the next generation,Schlichting C.D.,Evolution,00143820,NA,44,5,1358-1372,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05238.x,"Pollen competition appears to play a real but minor role in the production of differences in vigor between progeny arising from low versus high pollen loads. In Black Beauty bush cv. of zucchini, maternal effects, pollen-pistil interactions, or nonrandom patterns of seed abortion must play important roles as well. -from Authors",63,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,1,TRUE,18,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025682946,SCOPUS_ID:0025682946,2-s2.0-0025682946,Mutation load and the survival of small populations,Lynch M.,Evolution,00143820,NA,44,7,1725-1737,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05244.x,"Previous attempts to model the joint action of selection and mutation in finite populations have treated population size as being independent of the mutation load. However, the accumulation of deleterious mutations is expected to cause a gradual reduction in population size. Consequently, in small populations random genetic drift will progressively overpower selection making it easier to fix future mutations. This synergistic interaction ultimately leads to population extinction. The model also predicts that clonal lineages are unlikely to survive more than 104 to 105 generations, which is consistent with existing data on parthenogenetic animals. -from Authors",349,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,19,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025680691,SCOPUS_ID:0025680691,2-s2.0-0025680691,Gametic incompatibility between species of the sea urchin Echinometra on the two sides of the Isthmus of Panama,Lessios H.A.,Evolution,00143820,NA,44,4,933-941,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03815.x,"The genus Echinometra has E. vanbrunti in the E Pacific, and E. lucunter and E. viridis in the Caribbean. E. viridis is morphologically distinct from the other two species, leading to the conclusion that E. lucunter and E. vanbrunti constitute a geminate pair. Allozyme data, on the other hand, place the speciation event of the 2 currently sympatric species after the Pliocene rise of the Isthmus. Crosses between E. viridis and E. vanbrunti produce rates of fertilization almost equal to those manifested in homogamic crosses. Sperm of E. lucunter can fertilize eggs of the other two species, but few of its eggs permit fertilization by heterospecific sperm. Contrary to the predictions of the ""speciation by reinforcement' hypothesis, degree of incompatibility between the allopatric E. lucunter and E. vanbrunti is higher than between the sympatric E. lucunter and E. viridis. Despite the incomplete and unidirectional nature of their gametic isolation, E. lucunter and E. viridis maintain their genetic integrities. Incompatibility of E. lucunter eggs with heterospecific sperm has evolved in the last 3.5 Myr, after the rise of the Isthmus. -from Authors",87,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025680310,SCOPUS_ID:0025680310,2-s2.0-0025680310,Dispersal in the wood frog (Rana sylvatica): implications for genetic population structure,Berven K.A.,Evolution,00143820,NA,44,8,2047-2056,1990-01-01,1990,10.1111/j.1558-5646.1990.tb04310.x,"Recapture of wood frogs in 5 Appalachian Mountain (Shenandoah Mts) ponds showed adults to be 100% faithful to the ponds in which they first bred, but 18% of the juveniles dispersed to breed in ponds other than the one of origin. Effective population sizes were generally smaller than the population censuses and genetic neighborhoods had an average radius of 1126 m. Ponds within about a 1000 m radius should show little genetic differentiation; ponds separated by a distance >1000 m should experience little gene flow and show higher genetic differentiation. -from Authors",328,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,21,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025675217,SCOPUS_ID:0025675217,2-s2.0-0025675217,"The evolution of female body size in red-winged blackbirds: the effects of timing of breeding, social competition, and reproductive energetics",Langston N.E.,Evolution,00143820,NA,44,7,1764-1779,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05247.x,"Early-nesting female Agelaius phoeniceus had much higher nesting success, but larger females bred earlier. If large females had an advantage in social competition, and if competition influences breeding date and reproductive success, then larger females might breed earlier. Primary females, the first females to arrive and nest on a territory, were more aggressive than lower ranked females; more aggressive females settled on better territories and laid earlier than less aggressive females; and larger females were more aggressive. Social competition between females may therefore favor large females. Large females had less fat than small females during breeding, and levels of fat that females of a given size carried affected breeding date and egg size. Therefore, social competition may favor large females, but reproductive energetics favoring smaller females may constrain selection for large female body size. -from Authors",34,Journal,ar,Article,100,4,4,22104,NA,undefined,NA,1,TRUE,22,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025675205,SCOPUS_ID:0025675205,2-s2.0-0025675205,"Paternity analysis in a natural population of Asclepias exaltata: multiple paternity, functional gender, and the ""pollen-donation hypothesis'",Broyles S.B.,Evolution,00143820,NA,44,6,1454-1468,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03838.x,"Floral features, such as inflorescence size, that lead to increased insect visitation without a concomitant increase in seed production are viewed as adaptations to enhance the probability of fathering seeds on other plants. In tests of this ""pollen donation hypothesis,' male reproductive success has usually been measured indirectly by flower production, pollinator visitation, or pollen removal. The pollen donation hypothesis was tested directly by quantifying the number of seeds sired by individual genotypes in a natural population of poke milkweed in SW Virginia. Multiple paternity was low within fruits, a fact which allowed the authors to use genotypes of progeny arrays to identify a unique pollen parent for 85% of the fruits produced in the population. Seeds sired (male success) and seeds produced (female success) were significantly correlated with flower number per plant. While the number of pollinaria removed, the usual estimator of male success in milkweeds, was highly correlated with numbers of seeds sired, it was even more highly correlated with numbers of seeds produced. Plants with many flowers did not behave primarily as males; individuals with the highest total reproductive success contributed equally as males and females. -from Authors",154,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,23,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025674969,SCOPUS_ID:0025674969,2-s2.0-0025674969,Variation in oviposition preference of Heliothis virescens in relation to macroevolutionary patterns of heliothine host range,Waldvogel M.,Evolution,00143820,NA,44,5,1326-1337,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05235.x,"When cotton, geranium, petunia, tobacco, tomato, and velvetleaf were presented simultaneously to strains of Heliothis virescens from Arizona, Mississippi, and North Carolina, oviposition choices were similar, while a strain from the Virgin Islands was significantly different from both the AZ and MS strains. The relevance of findings to seemingly rapid fluxes in host range among members of the Heliothinae is discussed. -from Authors",24,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,24,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025673015,SCOPUS_ID:0025673015,2-s2.0-0025673015,Insect phenology mediated by host-plant water relations,Wood T.K.,Evolution,00143820,NA,44,3,629-636,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05943.x,"Water relations of host plants modify the treehopper Enchenopa binotata (Homoptera: Membracidae) life histories by mediating the termination of egg dormancy, thereby promoting synchronization of egg hatch. Dormant eggs must undergo dehydration and subsequent hydration to begin development. Dehydration of eggs is brought about by declining water levels in branches during the fall and by prolonged cold. Hydration of eggs occurs when sap begins to rise in early spring. Since the ascent to sap occurs at different times in the 6 species of Enchenopa host plants, the phenology of egg hatch and adult maturation are allochronic. Shifts to novel host plants differing in phenology promote asynchrony of Enchenopa life histories among host-plant species. Thus, the host plant acts as an extrinsic disruptive factor that may promote genetic divergence and temporal reproductive isolation in Enchenopa. -Authors",47,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,0,FALSE,25,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025670894,SCOPUS_ID:0025670894,2-s2.0-0025670894,Altered mating behavior in a Carsonian population of Drosophila sechellia,Cobb M.,Evolution,00143820,NA,44,8,2057-2068,1990-01-01,1990,10.1111/j.1558-5646.1990.tb04311.x,"A significant tendency towards mating asymmetry was found, with ancestral females mating significantly less frequently with derived males than derived females with ancestral males. -from Authors",6,Journal,ar,Article,100,4,4,22104,NA,undefined,NA,0,FALSE,26,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025664951,SCOPUS_ID:0025664951,2-s2.0-0025664951,Experimental studies of community evolution. II: the ecological basis of the response to community selection,Goodnight C.J.,Evolution,00143820,NA,44,6,1625-1636,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03851.x,"Community selection, defined as the differential proliferation and/or extinction of communities, can bring about a response that may be qualitatively different from the response to selection acting at lower levels, because community selection can result in genetic changes in all of the species within the community by acting on the interaction among species. A series of one generation assays were performed on the coevolved communities of 2 species of flour beetles, Tribolium castaneum and T. confusum. The first community assay involved measuring the selected traits on the original coevolved communities that had been subjected to community selection. All of the selection treatments resulted in a significant response to selection in the original coevolved communities. None of the single-species populations exhibited a significant response to selection; thus the responses to community selection observed in the first community assay are expressed only in a community context. The second community assay again involved separating the coevolved communities into their constituent single-species populations; however, in this assay a competitor of the opposite species that had never been exposed to community selection was added to each population to form a ""reconstructed' community. For emigration rate in both T. castaneum and T. confusum, the genetic identity of the competing species did not affect the response to selection. For 2 other traits, population size in both T. castaneum and T. confusum, there was no detectable response to selection in the reconstructed communities. For these traits the response to selection cannot be attributed to a genetic change in either species independently of the other species in the community. Rather it resides in the interaction between the species. -from Author",55,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,27,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025664705,SCOPUS_ID:0025664705,2-s2.0-0025664705,Allopatric origin of sympatric populations of lake whitefish (Coregonus clupeaformis) as revealed by mitochondrial-DNA restriction analysis,Bernatchez L.,Evolution,00143820,NA,44,5,1263-1271,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05230.x,"Restriction-fragment length polymorphisms in mtDNA were studied to test the hypothesis that sympatric populations of lake whitefish in the Allegash Basin, N Maine, basin have recently diverged through sympatric speciation. -from Authors",153,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,28,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025664531,SCOPUS_ID:0025664531,2-s2.0-0025664531,Individual sex ratio adjustment in response to the operational sex ratio in the southern green stinkbug,McLain D.K.,Evolution,00143820,NA,44,4,1018-1025,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03822.x,"Female Nezara viridula (Hemiptera: Pentatomidae) initiating copulation in a female-biased environment produced relatively more sons than females initiating copulation in a male-biased environment. Although families suffering greater mortality yielded more sons, the difference in offspring sex ratio between treatments was not due to differential mortality by sex since the distribution of family size did not vary between treatments. Female condition, indexed by female size and size of the first egg mass laid, did not vary between treatments. Thus, it appears that the stinkbug is capable of facultative sex ratio adjustment in response to the operational sex ratio. -from Authors",20,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,29,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025664203,SCOPUS_ID:0025664203,2-s2.0-0025664203,Historical biogeography in North American arid regions: an approach using mitochondrial-DNA phylogeny in grasshopper mice (genus Onychomys),Riddle B.R.,Evolution,00143820,NA,44,1,1-15,1990-01-01,1990,10.1111/j.1558-5646.1990.tb04275.x,Restriction-endonuclease-site variation of mitochondrial DNA (mtDNA) was used to investigate patterns of geographic and phylogenetic divergence within the rodent genus Onychomys. A phylogenetic analysis of the total mtDNA restriction-site variation throughout the range of Onychomys suggests that the distribution of this genus has been affected by the same Quaternary pluvial-interpluvial climatic fluctuations that have resulted in the periodic fragmentation of arid habitats in western North America. The mtDNA-haplotype phylogeny can be used to infer a hypothesis of historical relationships among the five areas of endemism as follows: ([{(Wyoming Basin + Interior Plains + Colorado Plateaus) + (Columbia Basin + Great Basin)} + Gulf Coastal Plain] + Chihuahuan) + Western Deserts. -from Authors,56,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,0,FALSE,30,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025662583,SCOPUS_ID:0025662583,2-s2.0-0025662583,The evolution of form and function: morphology and locomotor performance in West Indian Anolis lizards,Losos J.B.,Evolution,00143820,NA,44,5,1189-1203,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05225.x,"Tested biomechanical predictions that morphological proportions (snout-vent length, forelimb length, hindlimb length, tail length, and mass) and maximal sprinting and jumping ability have evolved concordantly among 15 species of Anolis from Jamaica and Puerto Rico. Based on a phylogenetic hypothesis for these species, the ancestor reconstruction and contrast approaches were used to test hypotheses that variables coevolved. Evolutionary change in all morphological and performance variables scales positively with evolution of body size; size evolution accounts for >50% of the variance in sprinting and jumping evolution. With the effect of the evolution of body size removed, increases in hindlimb length are associated with increases in sprinting and jumping capability. When further variables are removed, evolution in forelimb and tail length exhibits a negative relationship with evolution of both performance measures. -from Author",371,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,31,all,All Open Access
