@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/23744449838,SCOPUS_ID:23744449838,2-s2.0-23744449838,"Chriolepis atrimelum (Gobiidae) a new species of gobiid fish from Isla del Coco, Costa Rica",Bussing W.,Revista de Biologia Tropical,00347744,45,4,1547-1552,1997-12-01,December 1997,"A new species of seven-spined goby is described from the Pacific in deep water off Isla del Coco. The species displays characteristics intermediate between amphiamerican species of the genus Chriolepis and species of the Atlantic genus Varicus, both of which also lack head pores. The holotype and only known specimen of Chriolepis atrimelum is distinguished from its congeners by the completely scaled body, including chest and belly; the greatly extended first three dorsal-fin spines of the male; the long dorsal and anal fins; and the large black opercular blotch.",7,Journal,ar,Article,100,1,1,Chriolepis | Costa Rica | Gobiidae | Isla del Coco | New species | Pisces | Varicus,13567,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744449393,SCOPUS_ID:23744449393,2-s2.0-23744449393,Morfometría de tres poblaciones de Caracolus sagemon (Gastropoda: Camaenidae) en Cuba,Pérez A.,Revista de Biologia Tropical,00347744,45,4,1563-1577,1997-12-01,December 1997,"Three populations of Caracolus sagemon arangiana Poey, 1852, a Cuban endemic subspecies, were compared morphometrically for 13 conchological characters. Previous to calculations, the conspecific status of all population samples was assessed by dissecting five adult specimens from each population. One of the samples was collected in Manzanillo, Granma province, Cuba, the original range. The other two were from Diezmero and Luyanó, Havana City, where they were introduced about the middle of last century. A sample of 93 specimens from the three populations was measured. A Principal Components Analysis shows a marked scatter among the individuals. There is a trend towards the segregation of Manzanillo's individuals from the other two populations. Differences were confirmed with a Classificaction Analysis and a Discriminant Analysis. Characters produced 12 ratios, that behave similarly in the three populations. The differences mainly reflect size factors, not shape and appear to lack taxonomic value.",1,Journal,ar,Article,100,2,2,Caracolus sagemon arangiana Poey | Morphometric | Populations | Snails | Variation,13567,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744442368,SCOPUS_ID:23744442368,2-s2.0-23744442368,"Reproducción de la toboba de árbol, Bothriechis nigroviridis (Serpentes: Viperidae), en Costa Rica",Solórzano A.,Revista de Biologia Tropical,00347744,45,4,1675-1677,1997-12-01,December 1997,"The arboreal montane pitviper Bothriechis nigroviridis is distributed in the Central and Southeastern highlands of Costa Rica and Panama. Eighty-six specimens were used mainly for morphometric analysis, reproductive cycle and distributional data. Its activity pattern seems to be mainly nocturnal. Adult females are significantly longer than adult males. This species has a seasonal reproductive cycle, with timing of births closely related to the rainy season in Costa Rica (August-December). Neonates show identical color pattern to the adults. Courtship pattern is similar to that described for other pitvipers.",1,Journal,ar,Article,100,1,1,Bothriechis nigroviridis | Distribution | Pitvipers | Reproduction | Reptilia | Serpentes,13567,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642311854,SCOPUS_ID:1642311854,2-s2.0-1642311854,Tolerancia térmica del pez tropical Cyprinodon dearborni (Atheriniformes: Cyprinodontidae) a diversas tasas de calentamiento y salinidades,Chung K.,Revista de Biologia Tropical,00347744,45,4,1541-1545,1997-12-01,December 1997,"Tropical salt marsh fish, Cyprinodon dearborni, collected from Laguna Los Patos were acclimated for four weeks at three salinities (10. 15 and 20 ‰) and a temperature of 25°C. Fish (average standard length 25.5±3.6 mm) were then exposed to three heating rates (0.2, 0.5, and 0.8°C min-1) to determine critical thermal maximum (CTM) and death points (DP), as criteria of thermal tolerance. The CTM ranged from 40.9-41.3°C at 10 ‰, 40.4-41.6°C at 15 ‰, and 42.3-42.9°C at 20 ‰. Average CTM (DP) values at heating rates of 0.2, 0.5, and 0.8°C min-1 were 41.5 (42.8), 40.8 (42.4), and 40.9°C (42.5°C), respectively. Heating rate affected significantly the thermal tolerance of C. dearborni, while salinity had little influence. Slow heating rate (0.2°C min-1) yielded the highest determined CTM value, indicating that the species can acclimate at this slow thermal increasing rate.",4,Journal,ar,Article,100,1,1,Heating rate | Temperature tolerance | Thermal acclimation | Tropical fish,13567,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542582973,SCOPUS_ID:1542582973,2-s2.0-1542582973,"Ants (Hymenoptera:Formicidae) from Atlantic rainforest at Santa Catarina Island, Brazil: Two years of sampling",Da Silva R.,Revista de Biologia Tropical,00347744,45,4,1641-1648,1997-12-01,December 1997,NA,3,Journal,ar,Article,100,2,2,Atlantic rainforest | Brazil | Santa Catalina Island | Soil ants | Vegetation ants,13567,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542527368,SCOPUS_ID:1542527368,2-s2.0-1542527368,"Basidiomicetos resupinados de Costa Rica. Litschauerella, Subulicystidium y Tubulicium (Corticiaceae s.l.)",Kisimova-Horovitz L.,Revista de Biologia Tropical,00347744,45,4,1311-1324,1997-12-01,December 1997,"Eleven species of resupinate basidiomycetes: Litschauerella abietis; Subulicystidium brachysporum, cochleum, longisporum, meridense, naviculatum, perlongisporum; Tubulicium dussii, vermicularis, vermiferum, rhaphidosporum (Boid. & Gilles) Oberw., Kisimova & Gómez, comb.nov., ramonense Oberw., Kisimova & Gómez nov. sp. (Corticiaceae s.l.) are reported from Costa Rica. All the species are briefly described and illustrated. The term ""podoradix"" is coined to describe the rootlike processes that anchor the cystidia to the substrate. It is expected that future, intensive fieldwork on these fungi will reveal the existence of many more species in Costa Rica, particularly in elevations above 1 500 m.",8,Journal,ar,Article,100,3,3,Basidiomycetes | Corticiaceae | Costa Rica | Floristics | Litschauerella | Resupinate fungi | Subulicystidium | Taxonomy | Tubulicium,13567,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347016408,SCOPUS_ID:0347016408,2-s2.0-0347016408,"Basidiomicetos de Costa Rica. Exobasidiales, Cryptobasidiales. Notas históricas, taxonómicas y fitogeográficas",Gómez L.D.,Revista de Biologia Tropical,00347744,45,4,1293-1310,1997-12-01,December 1997,"The Exobasidiales, Exobasidiaceae, are represented in Costa Rica by two genera: Exobasidium which induces hypertrophies in leaves and flowers of Ericaceae: Exobasidium vaccinii on species of Vaccinium and Pernettya and E. gaylussaciae on Macleania and Satyria; Exobasidium flos-cavendishiae sp.nov., which causes hypertrophy on the floral bracts of Cavendishia capitulata; Exobasidium talamancense sp. nov. which causes leaf galls in Vaccinium consanguineum which resemble large, pendent ""inflorescences"" and E. rhododendri which infests cultivated ericads, e.g. Azalea, Rhododendron. A new host record for neotropical Exobasidiales is here described as Exobasidium escalloniae, a shoot parasite of Escallonia myrtilloides in the Saxifragaceae. The species of Kordyana, parasitic on monocots, is represented by K. tradescantiae, on Commelinaceae. The general distribution of Exobasidiaceae is discussed and an artificial key to the genera of Exobasidiaceae and to the Costa Rican species of Exobasidium is presented. Some notes on another phytopathogenic group of fungi, the heterobasidial Cryptobasidiales, of which only Clinoconidium bullatum Sydow is known from Costa Rica, are included for their rarity and peculiar geographical distribution. The distribution and host selectivity of these obligate, parasitic fungi bear great importance for understanding the distribution and evolution of the fungi, as well as that of their conspecific host plants. The present distribution of these fungi favours continental drift over long range dispersal of the angiosperm families they parasitize, and even suggest that our infrafamilial arrangement of some of these higher plants, e.g. Ericaceae, may be in need of revision. E. escaltoniae is very close to E. warmingii and to E. schinzianum, both parasites of Saxifragaceae of neo and paleartic distribution and its occurrence on this neotropical plant genus points to the affinity of Escallonia to a saxifragaccous ancestral stock.",9,Journal,ar,Article,100,2,2,Ciyptobasidiales | Clinoconidium bullatum | E. emeritense | E. escalloniae | E. gaylussaciae | E. rhododendri | E. talamancense | Ericaceae | Exobasidiales | Exobasidium vaccinii | Gaultheria | Kordyana tradescantiae | Macleania | Nectandra | Ocotea | Phoebe | Satyria | Vaccinium,13567,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0346389478,SCOPUS_ID:0346389478,2-s2.0-0346389478,Plant composition of a pasture as a predictor of soil salinity,Tóth T.,Revista de Biologia Tropical,00347744,45,4,1385-1393,1997-12-01,December 1997,"The present vegetation of a 1100x2000m saline pasture in Oriente, Cuba, has been formed mostly under human influence. There are few native grasses surviving in the area and most of these are halotolerant species that live on marginal areas where the introduced fodder species cannot tolerate the high salinity. Authors found a close correlation between the electrical conductivity of the soil saturation extract and the plant composition of 252 sampling quadrats. Among the commonest grass species, the order of halotolerance from the least to the most halotolerant species was Bothriochloa pertusa, Dicanthium caricosum, C. plectostachyon and C. nlemfuensis, Cynodon dactylon and Sporobolus pyramidatus. As a result of the limited number of plant species occurring, the strong abiotic stress caused by salinity, and the occasional waterlogging, the vegetation predicts the soil salinity status with acceptable precision. Both in discriminant analysis and through the use of arbitrary vegetation categories, the salinity category (<4, 4-8 or >8 mS/cm) of the soil was predicted with a precision of about 75%. The lowest salinity category (<4 mS/cm) coincided with the dominance of Bothriochloa pertusa, Dicanthium caricosum, Cynodon nlemfuensis and C. plectostachyon. The high cover of halotolerant species such as Sporobolus pyramidatus, Sesuvium portulacastrum and other halophytes coincided mostly with the highest salinity category (>8 mS/cm). Because of the ease of distinguishing the vegetation categories and the straightforwardness of the technique, which does not require any specific statistical preconditions, authors suggest the use of the occurrence of halotolerant plant species to judge the salinity status of the pasture.",5,Journal,ar,Article,100,7,7,Discriminant analysis | Electrical conductivity | Halotolerance | Plant indication | Soil salinity,13567,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0043179417,SCOPUS_ID:0043179417,2-s2.0-0043179417,Velocidad de forrajeo y área foliar transportada por la hormiga Acromyrmex subterraneus (Hymenoptera: Formicidae),Gomides C.,Revista de Biologia Tropical,00347744,45,4,1663-1667,1997-12-01,December 1997,"Although leaf-cutting ants are considered to be an important pest in agriculture and forestry in South America, several aspects of their ecology are still unknown. Foraging speed of Acromyrmex subterraneus subterraneus and relationship between size of forager and load were studied in Viçosa, Brazil. Time spent by workers (leaving the nest or returning to it, loaded or unloaded), to cross a 40 cm space from nest entrance was measured. This speed was determined twice each month, every hour from beginning of foraging to its end, during 12 consecutive months. Twenty workers and their loads were secured at five occasions for measurement. Mean speed varied from 0.5 to 1.2 m/min; lower values were found during winter time. Workers leaving the nest were faster (0.93m/min) than loaded workers (0.78 m/min). No relationship could be found between worker sizes and load size.",6,Journal,ar,Article,100,4,4,Acromyrmex subterraneus subterraneus | Ant foragers | Foraging speed | Leaf-cutting ants | Load size,13567,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042150896,SCOPUS_ID:0042150896,2-s2.0-0042150896,Biodiversidad marina de Costa Rica: Orden stomatopoda (Crustacea: Hoplocarida),Vargas R.,Revista de Biologia Tropical,00347744,45,4,1531-1539,1997-12-01,December 1997,"Thirty five species of stomatopod crustaceans are reported for Costa Rica including the following information: specimens present at the Museo de Zoología, Universidad de Costa Rica, habitat, previous reports for Costa Rica, and distribution. Five species from the Caribbean coast, thirty from the Pacific coast; of these, five are new records for the Caribbean coast (Neogonodactylus oerstedii (Hansen, 1895); Pseudosquilla ciliata (Fabricius, 1787) Pseudosquilla oculata (Brullé, 1836-44); Lysiosquilla glabriuscula (Lamarck, 1818) and Squilla empusa Say, 1818), one for Isla del Coco (Coronida schmitti Manning, 1976) and one for the mainland Pacific coast of Costa Rica (Pseudosquilla adiastalta Manning, 1964).",13,Journal,ar,Article,100,2,2,Biodiversity | Costa Rica | Crustacea | Stomatopoda,13567,undefined,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031311314,SCOPUS_ID:0031311314,2-s2.0-0031311314,"Depuración microbiológica artesanal de la piangua, Anadara tuberculosa (Mollusca: Arcidae)",Wong E.,Revista de Biologia Tropical,00347744,45,4,1445-1452,1997-12-01,December 1997,"In Costa Rica the mollusk Anadara tuberculosa represents a risk for human health due to the contamination of the growing waters and the fact that it is consumed raw. The families depending on the income obtained through commercialization of these animals have a low education and economic status. Therefore, it is of great importance to develop and evaluate simple methods of depuration that could be easily used by these families to make these mollusks safe for consumption. Bottles containing 11 of saline solution (25g/l) were prepared in duplicates to test the bactericidal effect of acetic acid. The solution in each bottle was adjusted to ph 4.5, 5.0 or 5.5 or held at ph of 7.0 or 8.0 for the controls. The solution in each bottle was then inoculated with approximately 1 X 104 cfu/ml of coliforms. Counts of coliforms were determined for each bottle 0, 1, 2, 4 and 8 hours after inoculation. For the depuration studies, specimens with diameters ranging fron 4.0 to 4.5 cm were collected form a harvester at the estuary of Puntarenas, Gulf of Nicoya. Fifty specimens each were depurated in separate tanks containing 25 1 of oxigenated saline solution adjusted with acetic acid to an initial ph of 4.5 (treatment) or non adjusted ph of 8.0 (control). Counts of Enterobacteriaceae were determined, in duplicates, every 12 hr for 48 hr. An additional fifty animals were depurated using the defined method and tested to determine if they met international standards of microbiological quality for aerobic plate count, Enterobacteriaceae count, Escherichia coli count and presence of Salmonella. A sensory evaluation using a triangle test was performed to compare a typical dish prepared with depurated or non-depurated animals. A significant coliform reduction was determined in a saline solution (25 g/l) at a pH range of 4.5 to 5.5 . This reduction, during 8 hr, was higher in the acid treatments compared to the controls. During depuration, the elimination of Enterobacteriaceae bacteria was faster when acetic acid was used (initial ph=4.5) than when it was not. This elimination was more important the first 24 hr, time defined as adequate for the application of the method. The method has the advantage of transforming the bivalve in a product that is safe for human consumption, since it guaranties that the international standards of microbiological quality, for raw and depurated mullusks, are reached. On the other hand, the sensory qualitites of a typical dish prepared with depurated animals are not affected by the method, which can by easily implemented and applied by the people that work in the extraction of this mollusk..",5,Journal,ar,Article,100,4,4,Acetic acid | Anadara | Coliforms | Depuration | Enterobacteriaceae,13567,undefined,0,FALSE,21,9698943,NA
