@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,authkeywords,fund-acr,fund-sponsor,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0025680501,SCOPUS_ID:0025680501,2-s2.0-0025680501,"Habitat-Dependent Fruiting Behaviour of an Understorey Tree, Miconia Centrodesma, and Tropical Treefall Gaps as Keystone Habitats for Frugivores in Costa Rica",Journal of Tropical Ecology,02664674,14697831,6,4,409-420,1990-01-01,November 1990,10.1017/S026646740000479X,51,Journal,ar,Article,100,1,23435,undefined,0,FALSE,11,Levey D.J.,1,Costa Rica | frugivores | fruit | fruiting | keystone species | Miconia centrodesma | phenology | seed dispersal | treefall gaps | treelet,NA,NA,"Fruit production by an understorey tree, Miconia centrodesma, was monitored in treefall gaps and under intact canopy in a Costa Rican lowland rain forest. Trees in gaps displayed much less seasonality in fruit production than trees of intact forest sites. For example, ripe fruits were common on gap trees for a six month period (January-June) when few or no trees under intact canopy were in fruit. The frequent and aseasonal fruiting of gap trees demonstrates that they are not constrained by phenological cueing mechanisms; the influence of such cues is overridden by habitat. Trees in gaps also produced larger crops, had more extended fruiting episodes, and fruited more frequently than shaded conspecifics. This level of intra-specific variation in fruiting behaviour suggests that treefall gaps play an important role in determining the reproductive success of M. centrodesma. A substantial proportion of an individual's lifetime seed output may be produced during the brief period it occupies a gap. In addition, the large and continuous supply of fruits produced in gaps by M. centrodesma and other understorey plants, may mean that gaps function as ‘keystone habitats’ by providing resident frugi-vores with fruit during periods of general fruit scarcity. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025673486,SCOPUS_ID:0025673486,2-s2.0-0025673486,Reproduction in the toad Colostethus trinitatus (Anura: Dendrobatidae) in a northern Venezuela seasonal environment,Journal of Tropical Ecology,02664674,14697831,6,3,333-341,1990-01-01,August 1990,10.1017/S0266467400004600,14,Journal,ar,Article,100,2,23435,undefined,0,FALSE,12,Praderio M.,2,Anura | Colostethus trinitatus | Dendrobatidae | ents | environm | reproduction | seasonal tropical | toad,NA,NA,"Various aspects of the reproductive biology of a montane population of Colos-tethus trinitatus were quantified during the transition from a prolonged dry season to a wet season with abnormally low rainfall. One-third to three-quarters of the females collected in the dry period (March to June) had mature ovarian follicles. The proportion of ovigerous females did not increase in July or August when the number of rainy days was greater. However, breeding and egg laying were only observed in the latter season. The principal environmental change that stimulated oviposition was frequent daily rain which increased humidity in the terrestrial nest sites. Pair formation, nests, and males carrying larvae are reliable criteria that indicate the breeding period of Colostethus trinitatus. The average number of mature ovules (> 2 mm) was greater in the wet season (x=13.1) than during the dry months (x = 11.3). Female standard length and the number of yolked follicles was positively correlated. Five nests contained an average of 13.6 eggs, and males carried only slightly fewer larvae (x = 11.5). One female and one individual of unknown sex were found with eggs at two different nests. Five nests were unattended. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025673449,SCOPUS_ID:0025673449,2-s2.0-0025673449,"Root Proliferation in Recent and Weathered Sandy Soils from Veracruz, México",Journal of Tropical Ecology,02664674,14697831,6,3,355-370,1990-01-01,August 1990,10.1017/S0266467400004648,16,Journal,ar,Article,100,1,23435,undefined,0,FALSE,13,Kellman M.,1,Cedrela odorata | leaching | México | plant nutrients | roots | sandy soils | soil adsorp- | tion | tropical forest,NSERC,Natural Sciences and Engineering Research Council of Canada,"Field observations and laboratory experiments on unweathered and weathered dune sand beneath a tropical deciduous forest in Veracruz, México were used to test the hypothesis that temporary nutrient adsorption by more weathered soil facilitates more effective nutrient recycling through the stimulation of a superficial fine root system. An analysis of soil solution composition in the field indicated that K, P and NO3--N were being more effectively retained in weathered sand topsoil than in recent sand but, in a leaching experiment, only NO3--N was more effectively adsorbed by this soil. Fine roots in weathered sand were more concentrated superficially than in recent sand, and a bioassay with seedlings of Cedrela odorata showed more fine root proliferation in this medium than in recent sand. In combination, these data suggest that weathering of sand in this area promotes an increased nitrate adsorption capacity which may stimulate greater root proliferation in topsoils and lead to the entrainment of other nutrients in a more concentrated topsoil-vegetation cycle. If these results can be applied to the larger domain of tropical soils generally, they suggest that nitrate adsorption may play an important role in stimulating effective nutrient recycling by forests occupying weathered soils. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025672995,SCOPUS_ID:0025672995,2-s2.0-0025672995,Mineral Nutrient Flow from an Inselberg in South-Western Nigeria,Journal of Tropical Ecology,02664674,14697831,6,4,479-492,1990-01-01,November 1990,10.1017/S0266467400004892,11,Journal,ar,Article,100,3,23435,undefined,0,FALSE,14,ISichei A.O.,3,enrichment | flow simulation | inselberg | nutrients | runoff | south-western Nigeria,NA,NA,"In a study carried out to find out if inselbergs enrich their surroundings with nutrients via drainage, amounts of total nitrogen, nitrate-nitrogen and potassium in rainfall, drainage from bare rock patches and vegetation mats on an inselberg in south-western Nigeria were measured over one year. 43.3 kg ha-1 total nitrogen, 4.8 kg ha-1 nitrate-nitrogen and 10.7 kg ha-1 potassium were recorded in rainfall for the year of study. The amount of total nitrogen in drainage from bare rock was 79% of that in rainfall whilst that in drainage from vegetation mats was 29% of the rainfall amount. The respective values for nitrate-nitrogen were 57% and 13%; for potassium they were 90% and 38%. It was assumed that the loss of nutrients as water drains through vegetation mats and over bare patches was due to absorption by plants and soil in the mats and lichens in the bare patches. It was therefore concluded that there was no net enrichment of rainwater with nutr-rients as it flows over inselberg slopes. There is, however, a funelling of water along with contained nutrients from the inselberg to the surrounding areas. This funnelling is additional to the nutrients and rainfall incident on these surrounding areas and may account for the vegetation around inselbergs being more lush than vegetation in the same area but further away from the inselbergs. A simple modelling approach was used to assess potential nutrient outflow from inselbergs. The model shows that discharge of nutrients from the edges of inselbergs increases linearly with inselberg diameter. The model further shows that if nutrient funnelling only affects an area near to the edge of the inselberg then nutrient addition is several times higher than would be expected from rainfall deposition alone. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025672346,SCOPUS_ID:0025672346,2-s2.0-0025672346,Soil carbon/nitrogen ratio as a site quality index for some South-east Asian forests,Journal of Tropical Ecology,02664674,14697831,6,3,371-377,1990-01-01,August 1990,10.1017/S0266467400004661,25,Journal,ar,Article,100,2,23435,undefined,0,FALSE,15,Yamakura T.,2,carbon/nitrogen ratio | site quality | soil | tree height,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025664869,SCOPUS_ID:0025664869,2-s2.0-0025664869,"The Influence of Primary Production on a Raptor Community in Hwange National Park, Zimbabwe",Journal of Tropical Ecology,02664674,14697831,6,3,343-354,1990-01-01,August 1990,10.1017/S0266467400004624,20,Journal,ar,Article,100,2,23435,undefined,0,FALSE,16,Hustler K.,2,NA,NA,Foundation for National Parks and Wildlife,"We studied the breeding success and distribution of three species of eagles, four species of vultures and one species of eagle owl on two areas of differing primary productivity from 1973 to 1984. Densities of all species were lower in areas with lower productivity. Breeding success on both biomes was similar, the lower densities of birds on the least productive biome apparently compensating for the lower productivity. Eagles produced more one-egg clutches, laid later and reared fewer young in the period of poor rainfall, probably as a result of reduced productivity. Vulture data were difficult to interpret because abundant food at breeding time was created by ungulate population management throughout the entire study period. Concentrations of all species on the more productive biome, and solitary breeding on the least productive biome by a normally colonially breeding species, suggests that primary production also influences vulture densities and perhaps breeding success. KEY WORDS: Afrotropics, breeding success, eagle owl, eagles, nesting densities, primary production, rainfall, vultures. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025644988,SCOPUS_ID:0025644988,2-s2.0-0025644988,The biosystematics and evolution of the Polyalthia hypoleuca species complex (Annonaceae) of Malesia. II. Comparative distributional ecology,Journal of Tropical Ecology,02664674,14697831,6,4,387-408,1990-01-01,November 1990,10.1017/S0266467400004776,22,Journal,ar,Article,100,1,23435,8700214,0,FALSE,17,Rogstad S.,1,Annonaceae | competitive exclusion | germination ecology Malesia | monophyletic groups Polyalthia | species packing | tropical rain forest ecology | water relations,NSF,National Science Foundation,"One component of the high organismal diversity of tropical lowland rain forests is the existence of series of closely related, sympatric species. For example, the six distinct tree species of the monophyletic Polyalthia hypoleuca complex regularly grow sympatrically in various combinations throughout the rain forests of Malesia. Theoretical and empirical evidence has been presented indicating that the members of such series either (1) are well differentiated with respect to at least one major niche component; or (2) may lack differentiated niches. In this study, certain sympatric members of the complex are shown to have clearly diverged in autecological characteristics that affect their distribution including: (1) P. glauca, P. hypoleuca, and P. sumatrana differ in growth characteristics, height at maturity, seedling germination requirements, and are found on soils with differing degrees of hydration; (2) P. discolor grows to a different height and on different substrate types than does P. multinervis; and (3) P. glauca and P. hypoleuca seedlings differ in transpiration characteristics and response to flooding and drought. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025639660,SCOPUS_ID:0025639660,2-s2.0-0025639660,"Termites, Soil Fertility and Carbon Cycling in Dry Tropical Africa: A Hypothesis",Journal of Tropical Ecology,02664674,14697831,6,3,291-305,1990-01-01,August 1990,10.1017/S0266467400004533,98,Journal,ar,Article,100,1,23435,undefined,0,FALSE,18,Jones J.A.,1,Africa | atmospheric CO and CH emissions 2 4 | dry woodlands | litter decomposi- | Macrotermitinae | soil formation | termite mounds | Termitomyces spp,UCSB,"University of California, Santa Barbara","Termites, particularly the mound building, fungus growing Macrotermitinae, reach densities of up to 400 termites m-2in soils of dry tropical Africa. The influence of Macrotermitinae in increasing certain soil nutrients in mounds compared to adjacent soils has been documented, but the links between litter harvesting by termites, soil fertility, and global C cycling have not been explored. This study reviews the evidence from soil science, ecology and atmospheric chemistry and generates hypotheses to explain the role of termites in dry tropical ecosystems. It is suggested that termite activity exhaustively partitions litterfall among adjacent competing colonies, where it is so thoroughly decomposed that little or no organic C is incorporated into the soils. Associated N, P, and cations build up in the mounds, but C apparently is emitted as CO, and CH4from the mounds. While not adequate to calculate nutrient fluxes through termites, the data available support the argument that termites contribute significantly to atmospheric fluxes of CO, and CH4. Moreover, they suggest a coupling of regional soil forming processes and the global C budget. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025631479,SCOPUS_ID:0025631479,2-s2.0-0025631479,Nitrogenase activity in soil and litter of a tropical lowland rain forest and an adjacent fernland in Sri Lanka,Journal of Tropical Ecology,02664674,14697831,6,3,281-289,1990-01-01,August 1990,10.1017/S026646740000451X,14,Journal,ar,Article,100,2,23435,MAB/79/1,0,FALSE,19,Maheswaran J.,2,acetylene reduction | biological nitrogen fixation | fernland | Lanka | nitrogenase | Sri | tropical rain forest,IFS,International Foundation for Science,"Nitrogenase activity in the surface soil and litter layers from a tropical lowland rain forest and an adjacent fernland in Sri Lanka was measured by the acetylene reduction method. The total amount of acetylene reduced, a measure of biological nitrogen fixation, was greater in the fernland (38.4 μmol m-2h-1) than in the forest (15.3-29.2 mol μm-2h-l). In both ecosystems the nitrogenase activity was greater (59-85%) in the soil than in the litter layer. The rates of acetylene reduction in soil and litter showed an inverse relationship with the decay constants of mixed litter and a positive relationship was found between the rate of acetylene reduction and the C:extractable nitrogen ratio of the soil. The relatively greater rate of nitrogenase activity coupled with the slower rate of litter decomposition in the fernland indicates that accumulation of nitrogen may result in the soil and litter layers of the deforested areas during their aggrading phases. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025626875,SCOPUS_ID:0025626875,2-s2.0-0025626875,Distribution and effects on tree growth of lianas and woody hemiepiphytes in a costa rican tropical wet forest,Journal of Tropical Ecology,02664674,14697831,6,3,321-331,1990-01-01,August 1990,10.1017/S0266467400004570,166,Journal,ar,Article,100,2,23435,NSF/BSR-8516371,0,FALSE,20,Clark D.B.,2,canopy trees Cecropia Costa Rica emergents | hemiepiphytes lianas pioneers tree growth tropical wet forest,NA,NA,". We evaluated occurrence and abundance of lianas and woody hemiepiphytes on canopy and emergent tree species in primary tropical wet forest at the La Selva Biological Station, Costa Rica. Two pioneers, Cecropia obtusifolia and C. insignis, lacked both lianas and hemiepiphytes. The seven non-pioneer species differed significantly in their loads of lianas and hemiepiphytes. For all non-pioneer species, two measures of liana and hemiepiphyte loads (the percentage of the crown occupied and the combined basal area of descending hemiepiphyte and liana roots and stems) increased significantly with tree diameter. In all non-pioneer species, most trees >70 cm diameter (50–97%) were colonized. Lianas occupied more trees and had a smaller mean host diameter than did hemiepiphytes; however, basal area of descending roots or stems was equivalent for the two life forms in occupied trees. We used partial correlations controlling for tree diameter to evaluate the relationship between annual tree diameter growth and loads of hemiepiphytes and lianas for six non-pioneer species. Five of the six species showed a significant negative correlation between loads and diameter growth. Existing published data show that the high incidence of lianas and hemiepiphytes at La Selva is paralleled in most other Neotropical wet forests. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025622323,SCOPUS_ID:0025622323,2-s2.0-0025622323,Trophic structure of bat communities in the understorey of lowland dipterocarp rain forest in malaysia,Journal of Tropical Ecology,02664674,14697831,6,4,421-431,1990-01-01,November 1990,10.1017/S0266467400004818,52,Journal,ar,Article,100,1,23435,undefined,0,FALSE,21,Francis C.,1,bats | Chiroptera | community ecology | dipterocarp forest | Malaysia | rain forest | trophic structure,NSERC,Natural Sciences and Engineering Research Council of Canada,"Bat communities in the understorey of primary lowland dipterocarp forest in peninsular Malaysia and Sabah were sampled with mist nets and harp traps to estimate their trophic structure. Overall, 4 of 26 species (15%) at one site, and 6 of 33 species (18%) at the other site were frugivores, while the remainder were insectivores. In terms of individuals, 7–12% of all captures were frugivores. However, the true proportion of frugivores at both sites was probably closer to 1%, because the sampling procedures were strongly biased towards frugivores. In contrast, previously published studies indicate that frugivores comprise 34–48% of species, and up to 80% of individuals in bat communities in the understorey of Neotropical forest. These results support the hypothesis, developed from studies of bird communities, that the understorey of Malaysian dipterocarp forest supports relatively few obligate frugivores, at least in non-masting years. However, further data are required on bats in the canopy, and on the foraging ranges of bats to compare the absolute densities of bats in Malaysian and Neotropical forests. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025591591,SCOPUS_ID:0025591591,2-s2.0-0025591591,Fruit Production by Acacia Albida Trees in Zambezi Riverine Woodlands,Journal of Tropical Ecology,02664674,14697831,6,4,445-457,1990-01-01,November 1990,10.1017/S0266467400004843,15,Journal,ar,Article,100,1,23435,undefined,0,FALSE,22,Dunham K.,1,Acacia albida | fruits | production | Zambezi,NA,NA,"Fruit production by Acacia albida (Leguminosae: Mimosoideae) trees in Mana Pools National Park, Zimbabwe, was monitored over eight years. Timing of ripe fruit-fall varied between years, as did fruit production: production of ripe fruits by the same tree varied from 5.4 kg in 1983 to 290.1 kg in 1988. Baboons reduced fruit production by feeding on unripe fruits and the mass eaten each year was negatively correlated with rainfall. Potential fruit production (i.e. production in the absence of baboons) was high when the late wet season was wet or cool and when fruit production in the previous year was low. Late wet season rainfall and temperature probably determined the degree of defoliation by caterpillars: in 1983 and 1987, when the late wet season was hot and dry, the trees were almost completely defoliated. During the late dry season, A. albida fruits were an important component of the diets of waterbuck, eland, elephant, buffalo and kudu; they were seldom eaten by hippopotamus and were ignored by zebra and warthog. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025590621,SCOPUS_ID:0025590621,2-s2.0-0025590621,The seedling survivorship and growth of three shorea species in a malaysian tropical rain forest,Journal of Tropical Ecology,02664674,14697831,6,4,469-478,1990-01-01,November 1990,10.1017/S0266467400004879,67,Journal,ar,Article,100,1,23435,undefined,0,FALSE,23,Turner I.M.,1,dipterocarp | gaps | germination | seed survival | seedling demography | Shorea curtisii | Shorea multiflora | Shorea pauciflora | tropical rain forest dynamics,NERC,Natural Environment Research Council,". There was fruiting of the dipterocarps of Pantai Aceh Forest Reserve, Penang, Peninsular Malaysia in September 1986. The opportunity was taken to investigate the establishment and seedling survival of Shorea curtisii, Shorea multiflora and Shorea pauciflora over the subsequent year. The germination and seedling survival of Shorea curtisii was compared between canopy gaps and forest understorey sites. Under the shaded conditions none of the species grew beyond the two leaf stage over their first year. Shorea multiflora seedlings suffered a 72% mortality, significantly lower than that of Shorea pauciflora (89%) and Shorea curtisii (93%). The major cause of mortality appeared to be drought, though Shorea curtisii was also prone to predation by small mammals. In a gap, Shorea curtisii seeds probably germinated less well but seedling survival (28% versus 7%) and growth was better than canopy-shaded conspecifics. Seedlings in gaps escaped small mammal predation. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025590615,SCOPUS_ID:0025590615,2-s2.0-0025590615,Litterfall Patterns in a Tropical Deciduous Forest in Mexico Over a Five-Year Period,Journal of Tropical Ecology,02664674,14697831,6,4,433-444,1990-01-01,November 1990,10.1017/S0266467400004831,95,Journal,ar,Article,100,2,23435,undefined,0,FALSE,24,Martínez-Yrízar A.,2,leaf-litter | litterfall | México | seasonally | tropical deciduous forest,NA,NA,"Continuous litterfall measurements were made from 1977 to 1982, at two sites with contrasting topography in a mature tropical deciduous forest in Chamela, Jalisco, on the Pacific Coast of Mexico (19° 30’ N, 105° 03’ W). The climate is strongly seasonal with the annual rainfall (x = 748 mm) concentrated in six months (June to November) and a mean annual temperature of 24.9° C. Results of the five-year study show that at the Valley Site (slope <5°) the mean annual litterfall was 6.58 ±0.15 (SE) Mg ha-1 y-1 composed of 73.3% leaves, 17.1% woody material, 5.6% reproductive remains and 4.0% finely fragmented debris. At the Hill Site (slope 20°-40°) mean annual litterfall was 3.95 ± 0.16 Mg ha-1 y-1, consisting of 68.8% leaves, 17.0% woody material, 9.4% reproductive remains and 4.7% fragmented debris. At the Valley Site the year-to-year variation in total litterfall was not significant. In contrast, at the Hill Site it fluctuated markedly from year to year. Litter production exhibited a pronounced seasonality: at the Hill Site total litterfall peaked near the onset of the dry season; at the Valley Site it occurred two months later, apparently as a result of differences in soil moisture availability between the study sites. © 1990, Cambridge University Press. All rights reserved."
