@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0019758756,SCOPUS_ID:0019758756,2-s2.0-0019758756,"Patchiness, density, and aggregative behavior in sympatric allochronic populations of 17-year cicadas.",Simon C.,Ecology,00129658,62,6,1525-1535,1981-01-01,1981,10.2307/1941509,"Densities of two allochronic, geographically overlapping populations of periodical cicadas were censused in the eggnest stage in order to test the hypothesis that larger populations can be supported when the root-feeding nymphs are of different ages. In a frequently burned chest-high stand of scrub oak Quercus ilicifolia on Long Island, Magicicada septendecim emerged in 1974 (Brood XIV) , then again in 1978 (Brood I) from under the same individual plants over an area of about 1.2 x 3.5 km. Adjacent to this, in the same vegetation, periodical cicadas emerged in 1974 but not in 1978. Cicadas exhibited patchiness on a small scale (metres) which was not reflected in patchiness on a larger scale (tens of metres). Microspatial distributions were patchy in both Brood I and Brood XIV, yet dense patches of one brood were usually not correlated with dense patches of the other. The primary cause of the patchy oviposition pattern is either mutual attraction among ovipositing females or lack of dispersal from the chorusing and mating centers. The most patchy distributions were invariably those with lowest density, but several plots with low density were not very patchy. Mutual attraction among females is apparently weakened at high densities.-from Authors",29,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019757004,SCOPUS_ID:0019757004,2-s2.0-0019757004,"Responses in growth, mortality, and reproduction to variable food levels by the rotifer, Asplanchna girodi.",Robertson J.R.,Ecology,00129658,62,6,1585-1596,1981-01-01,1981,10.2307/1941514,"Fecundity, growth rates and size of the rotifer at the time of birth of the first offspring varied directly with food level. Longevity and age at the birth of the first young varied inversely with food level. Size of offspring remained constant regardless of parental food intake. The per capita death rate was insensitive to food level, but the birth rate varied directly with food level. Young individuals were better able to resist starvation than adults. Responses are interpreted as being adaptive in environments with temporally varying food resources. When food levels are high, many young are produced and act to buffer the population against a decline in numbers when the food levels are reduced. Restoration of higher food levels causes the starved individuals to respond with high fecundities, which act to restore population densities to previous levels. -from Authors",48,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019753970,SCOPUS_ID:0019753970,2-s2.0-0019753970,Effect of foraging distance on water content of substrates harvested by Atta columbica (Guerin).,Bowers M.,Ecology,00129658,62,1,273-275,1981-01-01,1981,10.2307/1936686,"Atta columbica individuals, studied on Barro Colorado Island, Panama Canal Zone, select plant substrates, at least in part, to maximise water content. Distance-dependent palatability may also be seen by exploitation of some plant species near to the colony nest that are ignored at greater foraging distances, ie. diet is more generalist close to the nest. -P.J.Jarvis",39,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019751062,SCOPUS_ID:0019751062,2-s2.0-0019751062,A morphological analysis of the structure of communities of lizards in desert habitats.,Ricklefs R.,Ecology,00129658,62,6,1474-1483,1981-01-01,1981,10.2307/1941504,"Using 9 measurements of the head, body and appendages, characterizes the morphological relationships among lizards in deserts of western Australia, southern Africa, and western North America. Each species was placed in a morphological space whose dimensions were the logarithms of the original measurements. In the combined sample of 83 species, the first 3 principal components accounted for 86, 8, and 3%, respectively, of the total variance in the dispersion of species in morphological space. Pairwise discriminant analysis revealed significant differences between the morphological distributions of the lizards in the 3 regions. When analyzed separately, the 54 Australian lizards occupied the largest volume, followed by the 11 North American species, and, lastly, the 18 southern African species. Using the average distance to the nearest neighbor (NND) as a measure of species packing, NND's in Australian localities (18-36 species) and in North American localities (4-10 species) were considerably greater than those in southern African localities (10-15 species). When assemblages were adjusted for number of species, the Australian lizards were more widely spaced morphologically than those in either the North American or African localities. The present analysis provides little indication of interaction between species according to morphological attributes.-from Authors",60,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019748745,SCOPUS_ID:0019748745,2-s2.0-0019748745,"An exceptional event of predation on desert snails by migratory thrushes in the Negev Desert, Israel.",Shachak M.,Ecology,00129658,62,6,1441-1449,1981-01-01,1981,10.2307/1941500,"Migratory thrushes (mostly Turdus philomelos) preyed heavily upon desert land snails, Sphincterochila zonata and Trochoidea seetzenii in Sede Boqer, Israel, in late winter, 1972. The event lasted approx 55 d and occurred only once in 8 yr. Yet due to its low potential for population increase, S. zonata did not recover from the loss of c.65% of its population within the 7 subsequent yr. T. seetzenii, on the other hand, recovered rapidly from its loss of 10% of the population. The 2 snail species differed in the type and density of appropriate anvils on which they could be cracked, and in their density, availability, energy content, and ease of finding and cracking. These differences, associated with the gradual reduction in prey density due to depletion, acquisition of experience by the birds in locating anvils and prey and in handling them, were responsible for variation in predation rates and diet composition.-from Authors",18,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019747965,SCOPUS_ID:0019747965,2-s2.0-0019747965,"Parasitoids, patches, and phenology: their possible role in the local extinction of a cynipid gall wasp population.",Washburn J.O.,Ecology,00129658,62,6,1597-1607,1981-01-01,1981,10.2307/1941515,"The cynipid gall wasp Xanthoteras politum and its associated chalcid and inquiline parasitoid community were studied at a postfire site near Lake Oswego, New Jersey Pine Barrens. X. politum and 2 other cynipid species selectively attacked new sucker shoots growing from larger fire-damaged trees. Chalcid and inquiline parasitoid attack was the major mortality factor in the population. Inquiline cynipids were minor parasitoid elements the 1st yr of the gall outbreak, but dominated the parasitoid guild in subsequent seasons: they attack galls earlier than other parasitoids, and those galls attacked remained at a smaller size and were not chosen for oviposition by later arriving chalcids; also inquilines did not emerge in spring and infest other gall species as did the chalcid parasitoids. These inquilines remained in the leaf litter and reinfested the next asexual generation of X. politum which appeared on trees in mid-July. -from Authors",85,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,16,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019746819,SCOPUS_ID:0019746819,2-s2.0-0019746819,Sexual dimorphism and the annual flowering pattern in Jacaratia dolichaula (D. Smith) Woodson ( Caricaceae) in a Costa Rican rain forest.,Bullock S.,Ecology,00129658,62,6,1494-1504,1981-01-01,1981,10.2307/1941506,"The sex ratio was 1.08 males:1 female, though the 'operational sex ratio' ranged from 10.0:1 to 1.4:1 during the blooming period. Male trees tended to mature earlier than females, but there were no differences in growth rates between sexes over a 1-yr period. The flowers were strongly dimorphic. Pollination was presumed to be effected by intersexual mimicry to nonhomologous flower parts. The population flowered once per year from October-June, but with a distinct peak in February. Female trees tended to begin flowering later in the season than males, and had individual flowering periods less than half as long as males. Females produced fewer flowers per year than males by a factor of c.20. Female trees flowered less frequently than males, and there were marked fluctuations in fruit production between years. Differences in the reproductive features of males and female plants are discussed in the context of sexual selection, dynamics of the pollination system and energetics.-from Authors",115,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737901,SCOPUS_ID:0019737901,2-s2.0-0019737901,"Foraging pattern, colony distribution, and foraging range of the Florida harvester ant, Pogonomyrmex badius.",Harrison J.,Ecology,00129658,62,6,1467-1473,1981-01-01,1981,10.2307/1941503,"Pogonomyrmex badius forages from short trails which extend into a surrounding foraging range. Direction of foraging trails is influenced by the location of a colony's near neighbors. Seasonal nest relocations always occur along a foraging trail, usually the main trail. Foraging ranges are not actively defended, but are used almost exclusively by foragers from a single colony. Colony distribution has remained essentially the same for several years, despite seasonal nest relocations and addition of new colonies. Establishment of trails and exclusive foraging ranges by each colony minimizes encounters with neighboring foragers and guarantees access to available resources; this pattern also promotes maintenance of the existing colony distribution and partitioning of resources.- from Authors",56,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,18,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737764,SCOPUS_ID:0019737764,2-s2.0-0019737764,Postfire succession of the herbaceous flora in southern California chaparral.,Keeley S.,Ecology,00129658,62,6,1608-1621,1981-01-01,1981,10.2307/1941516,"Four categories of species make up the temporary cover. 1) 'Generalized herbaceous perennials' are present before and after fire. Populations of these are sparse under the shrub canopy. They resprout after fire from bulbs or other underground parts and postfire populations are sparse, 2) 'Generalized annuals' are present in openings before fire but produce their peak population size in the first few years after fire. 3) Specialized 'fire-annuals' are more or less restricted to the 1st postfire yr. 4) Specialized 'fire-perennials' (subshrubs) are uncommon before fire, establish from seed in the 1st postfire yr and reach maximum cover in the 3rd and 4th yr. Community-level changes in cover and diversity are interpreted in light of differences in population dynamics of the 4 groups. Species richness was highest in the 1st yr after fire because this was the only time all 4 groups were present together. The number of annual species fluctuated greatly through succession at all sites, but the number of herbaceous perennials did not. Herb cover fluctuated markedly from year to year and was positively related to amount of annual precipitation and negatively related to subshrub or 'fire-perennial' cover.-from Authors",109,Journal,ar,Article,100,4,4,NA,20308,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737753,SCOPUS_ID:0019737753,2-s2.0-0019737753,Experiments on competition and predation among shrimps of seagrass meadows.,Coen L.,Ecology,00129658,62,6,1484-1493,1981-01-01,1981,10.2307/1941505,"Experiments using Palaemonetes vulgaris and Palaemon floridanus in Apalachee Bay, Florida, included microhabitat association and behavioral interactions. Predator-prey relationships, as they apply to habitat complexity and interspecific interactions, were also examined using the pinfish Lagodon rhomboides, a natural predator. Pt. vulgaris individuals were excluded from experimental habitats by P. floridanus over a range of densities. Their nonoverlapping microgeographical distribution is probably primarily a consequence of interspecific competition rather than just microhabitat selection. Predation success on single species was inversely related to the physical complexity of the experimental habitat. When placed together, a significantly greater proportion of Pt. vulgaris is consumed than P. floridanus. Displacement of Pt. vulgaris from cover by P. floridanus significantly increases the former's risk of detection and capture. -from Authors",171,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,20,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737520,SCOPUS_ID:0019737520,2-s2.0-0019737520,"Exceptions to the AET model: deserts and clear-cut forest ( litter, decomposition).",Whitford W.G.,Ecology,00129658,62,1,275-277,1981-01-01,1981,10.2307/1936687,"Discusses exceptions to an actual evapotranspiration model which, with lignin content, has been used in a model for litter decomposition. -P.J.Jarvis",117,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,21,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737338,SCOPUS_ID:0019737338,2-s2.0-0019737338,Nesting frequency and success: implications for the demography of painted turtles ( Chrysemys picta).,Tinkle D.,Ecology,00129658,62,6,1426-1432,1981-01-01,1981,10.2307/1941498,"Average clutch size of Chrysemys picta in SE Michigan was 7.55, with body size accounting for only 9-13% of the variance. From 30-50% of the females possibly do not reproduce every year, but c.6% reproduce twice in a given year. Predation within 48 h of egg- laying is responsible for the failure of 20% of the nests. An additional 12% nest failure is due to other causes.-from Authors",81,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,22,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019737333,SCOPUS_ID:0019737333,2-s2.0-0019737333,"Mature mesophytic hardwood forest: community transitions, by layer, from east-central Minnesota to southeastern Michigan.",Rogers R.S.,Ecology,00129658,62,6,1634-1647,1981-01-01,1981,10.2307/1941518,"Fragments of old-growth forest in which sugar maple Acer saccharum is a principal dominant were sampled. Regional differences in composition of mature trees tended to support findings that 'climax' forests on mesic sites west of the beech border are characterized by the prevalence of basswood Tilia americana as a codominant, but as soon as the beech border is crossed, beech Fagus grandifolia is the principal codominant. Regional differences in composition were not readily apparent when inferior layers (vascular plants) were sampled quantitatively, excluding rare species and species with restricted floristic distributions. When understories so defined were clustered according to several measures of species importance, broad overlap of stand groups resulted in each case.-from Author",23,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,23,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019736344,SCOPUS_ID:0019736344,2-s2.0-0019736344,Diversity: a two-level approach.,Cuba T.R.,Ecology,00129658,62,1,278-279,1981-01-01,1981,10.2307/1936688,"Proposes an index based on the premise that a change in species composition constitutes a greater intra-assemblage variation than does a change in the distribution of individuals among the species. Therefore, an assemblage with more species is always more diverse than one with fewer species.-from Author",5,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,24,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019736307,SCOPUS_ID:0019736307,2-s2.0-0019736307,Bumblebee response to variation in nectar availability.,Pleasants J.,Ecology,00129658,62,6,1648-1661,1981-01-01,1981,10.2307/1941519,"Spatial variation involved differences in reward value among plant species and differences in nectar availability among patches of flowers of a single species. Temporal variation involved changes in nectar availability over a season and between years. Response of bees to different plant species was determined by the density of foraging bees on the flowers of each species at a given time. If bees are optimal foragers, preference should reflect the per- flower reward value of species, characterized by nectar production rates (NPR's). The bees' preference for species was very similar to the relative magnitudes of their NPR's. In general, seasonal floral production and utilization were closely matched, indicating no major change in nectar resource limitation. -from Author",112,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,25,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019736176,SCOPUS_ID:0019736176,2-s2.0-0019736176,An empirical test of community stability: resistance of a fouling community to a biological patch-forming disturbance.,Smedes G.,Ecology,00129658,62,6,1561-1572,1981-01-01,1981,10.2307/1941512,"Stability (resistance to external perturbation) was evaluated for two developmental stages of an estuarine subtidal fouling community subjected to a biological patch-forming disturbance. Three stability criteria: 1) magnitude of response, 2) rate of response, and 3) recovery, were assessed on the basis of differences between control and perturbed panel communities with respect to physical structure, species richness, evenness, interaction diversity and community similarity, over time. Evolutionary pressures, and resulting ecological strategies, are more important in determining community resistance stability than statistical properties such as species diversity. -from Authors",27,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,26,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019735588,SCOPUS_ID:0019735588,2-s2.0-0019735588,"Ecological segregation, color matching, and speciation in lizards of the Amphibolurus decresii species complex ( Lacertilia: Agamidae).",Gibbons J.R.H.,Ecology,00129658,62,6,1573-1584,1981-01-01,1981,10.2307/1941513,"The Amphibolurus decresii complex comprises 3 species, A. decresii, A. fionni, and A. vadnappa, having restricted distribution in South Australia and extreme western New South Wales, Australia. Adults of all 3 species are similar in appearance, apart from color and pattern differences. Amphibolurus decresii and A. vadnappa are partially sympatric, but is found on rocks which are predominantly pinkish yellow, whereas A. vadnappa is found on rocks which are dark reddish brown. Each species appears camouflaged on its respective mineral type. Amphibolorus fionni is allopatric from the other species and exhibits variable coloration in its 'substrate races'. It has a distinctive color pattern of its own, but resembles one or the other species in areas where rocky habitats are correspondingly similar. Studies of reflectivity of lizard skin demonstrate that the dorsal coloration on the back, tail, and legs is relatively labile. Lability is correlated with latitude, southern populations being darker and possessing less lability than northern populations. Both dorsal and dorsolateral coloration are believed to have camouflage functions, but the latter appears more important. Species comprising the A. decresii complex probably evolved from a common ancestor in South Australia.-from Authors",40,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,27,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019735327,SCOPUS_ID:0019735327,2-s2.0-0019735327,Seasonal niche relationships of rain forest anoles.,Lister B.,Ecology,00129658,62,6,1548-1560,1981-01-01,1981,10.2307/1941511,"Resource partitioning among Anolis lizards in the Luquillo rain forest in eastern Puerto Rico was investigated. Seasonal changes in the niche relationships of Anolis gundlachi, A. evermanni and A. stratulus included a winter season decrease in spatial overlap and spatial niche widths and an expansion of the prey size and prey taxa components of the food niche during the winter. However, compared to anoles in more seasonal environments at Maricao and Guanica in SW Puerto Rico, anoles in the relatively aseasonal Luquillo forest exhibited greater niche stability between seasons and greater niche overlap during both seasons. At Maricao and Guanica, spatial niche widths and spatial overlap also decreased during the winter dry season but to a much greater extent than at Luquillo. Data on seasonal changes in food abundance, food consumption and reproductive condition suggest that food competition is more intense during the prolonged dry seasons at Maricao and Guanica. Thus within Anolis communities, spatial overlap and spatial niche widths may be an inverse function of food competition, and the degree of seasonal change in niche relationships may be directly correlated with the magnitude of seasonal fluctuations in food supply. Loss rates of anoles from Luquillo suggested high rates of predation. Greater predation pressure may explain the generally higher levels of niche overlap among anoles in stable environments compared to more variable environments.-from Author",40,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,28,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019735314,SCOPUS_ID:0019735314,2-s2.0-0019735314,Influence of biotic factors in an upper intertidal community: Dipteran larvae grazing on algae.,Robles C.,Ecology,00129658,62,6,1536-1547,1981-01-01,1981,10.2307/1941510,The larvae of marine Diptera form dense populations during seasonal blooms of ephemeral algae in certain higher areas of rocky shores in central California. Larval removals caused increases in algal abundance. Larvae changed the species composition of algal blooms when grazing hastened species replacements during algal succession. -from Authors,64,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,29,NA,NA,NA,NA
