@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:pageRange,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33845243894,SCOPUS_ID:33845243894,2-s2.0-33845243894,Rate of lineage origin explains the diversity anomaly in the world's mangrove vegetation,Ricklefs R.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508711,"The contribution of nonecological factors to global patterns in diversity is evident when species richness differs between regions with similar habitats and geographic area. Mangrove environments in the Eastern Hemisphere harbor six times as many species of trees and shrubs as similar environments in the New World. Genetic divergence of mangrove lineages from terrestrial relatives, in combination with fossil evidence, suggests that mangrove diversity is limited by evolutionary transition into the stressful marine environment, the number of mangrove lineages has increased steadily over the Tertiary with little global extinction, and the diversity anomaly in mangrove vegetation reflects regional differences in the rate of origin of new mangrove lineages. © 2006 by The University of Chicago. All rights reserved.",57,17109322,Journal,ar,Article,100,3,3,Adaptive shift | Diversity anomaly | Historical biogeography | Mangrove | Species diversity,12604,undefined,0,FALSE,11,805-810,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845241011,SCOPUS_ID:33845241011,2-s2.0-33845241011,A tale of two diversifications: Reciprocal habitat shifts to fill ecological space along the pond permanence gradient,Stoks R.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509045,"The Enallagma and Lestes damselflies have both diversified and adapted over the past 10-15 million years to the various ecological milieus found along the pond permanence gradient among North American ponds and lakes. Previous articles have explored this diversification process for Enallagma. In this article, we present a phylogenetic hypothesis for the North American Lestes, use this hypothesis to reconstruct Lestes diversification, and compare the diversification processes inferred for Lestes and Enallagma. The results of this study suggest that Lestes began in temporary ponds where large dragonflies are the top predators, while Enallagma began in permanent lakes where fish are the top predators. Starting from these different ancestral habitats, both genera have invaded and adapted to habitats already occupied by the other genus. Moreover, these adaptive habitat shifts involved substantial convergence on the behaviors used to deal with fish and dragonfly predation in both genera and a major life-history shift from diapausing to directly developing eggs in Lestes. However, in Lestes lineages invading fish lakes, swimming speed and morphology did not change to match those of Enallagma species, illustrating that reciprocal shifts between alternative selection regimes are not necessarily evolutionary opposites. Also, the greater sizes and growth rates of Lestes species compared to Enallagma species, which should impart substantial ecological advantages in competition between the genera, were shown to result from phylogenetic inheritance and not from adaptive diversification. This historical analysis of diversification raises new questions about the relationship between the macroevolutionary mechanisms driving lineage diversification and the ecological mechanisms structuring local food webs and regional species assemblages. © 2006 by The University of Chicago. All rights reserved.",82,17109329,Journal,cp,Conference Paper,100,2,2,Adaptation | Antipredator behavior | Community structure | Ecomorphology | Enallagma | Lestes | Odonata | Speciation,12604,undefined,0,FALSE,12,NA,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845238239,SCOPUS_ID:33845238239,2-s2.0-33845238239,Pupal remodeling and the development and evolution of sexual dimorphism in horned beetles,Moczek A.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/509051,"Horns or hornlike structures in beetles have become an increasingly popular study system for exploring the evolution and development of secondary sexual trait diversity and sexual dimorphisms. The horns of adult beetles originate during a rapid growth phase during the prepupal stage of larval development, and differential activation of growth during this time is either implicitly or explicitly assumed to be the sole mechanism underlying intra- and interspecific differences in adult horn expression. Here I show that this assumption is not based on developmental reality. Instead, after their initial prepupal growth phase, beetle horns are extensively remodeled during the subsequent pupal stage via sex- and size-dependent resorption of horn tissue. I show that adult sexual dimorphism in four Onthophagus species is shaped partly or entirely by such pupal remodeling rather than by differential growth. Specifically, I show that after a sexually monomorphic growth phase, differential pupal horn resorption can generate both regular and reversed sexual dimorphism. Furthermore, I show that in cases in which initial growth is already dimorphic, pupal horn resorption can both magnify and reverse initial dimorphism resulting from differential growth. Finally, I show that complete resorption of pupal horns in both sexes can remove any trace of horn expression from all resulting adults. In such species, examination of adults only would result in the false conclusion that this species lacks the ability to develop a horn. Instead, such species appear to differ from those with sexually dimorphic adults merely in that they activate pupal horn resorption in both sexes rather than in just one. Combined, these results suggest that pupal remodeling of secondary trait expression is taxonomically widespread, at least among Onthophagus species, and is developmentally extensive and remarkably evolutionarily labile. These results have immediate implications for reconstructing the evolutionary history of horned beetles and the role of developmental processes in guiding evolutionary trajectories. I use these results to revise current understanding of the evolutionary developmental biology of secondary sexual traits in horned beetles in particular and holometabolous insects in general. The results presented here seriously call into question whether descriptions of adult diversity patterns alone suffice for meaningful inferences toward understanding the developmental and evolutionary origin of these patterns. These results illustrate that a lasting integration of development into an evolutionary framework must integrate development as a process rather than define it solely by some of its products. © 2006 by The University of Chicago. All rights reserved.",57,17109315,Journal,ar,Article,100,1,1,Allometry | Evolvability | Lability | Onthophagus | Programmed cell death | Pupal remodeling,12604,undefined,0,FALSE,13,711-729,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845235827,SCOPUS_ID:33845235827,2-s2.0-33845235827,Integration without unification: An argument for pluralism in the biological sciences,Mitchell S.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509050,"In this article, we consider the tension between unification and pluralism in biological theory. We begin with a consideration of historical efforts to establish a unified understanding of evolution in the neo-Darwinian synthesis. The fragmentation of the evolutionary synthesis by molecular evolution suggests the limitations of the general unificationist ideal for biology but not necessarily for integrating explanations. In the second half of this article, we defend a specific variety of pluralism that allows for the integration required for explanations of complex phenomena without unification on a large scale. © 2006 by The University of Chicago. All rights reserved.",40,17109330,Journal,cp,Conference Paper,100,2,2,Evolutionary synthesis | Integration | Molecular evolution | Pluralism | Unification,12604,undefined,0,FALSE,14,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750945794,SCOPUS_ID:33750945794,2-s2.0-33750945794,Evidence for a time-integrated species-area effect on the latitudinal gradient in tree diversity,Fine P.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508635,"The greater area of tropical forest biomes has been proposed as a factor that drives the latitudinal gradient in species diversity by modulating speciation and extinction rates. But speciation and extinction are processes that operate over millions of years, so an adequate test of area's contribution to diversity patterns must take into consideration that biome areas have changed through time in response to climate. Here we correlate estimates of current tree species diversity with a composite parameter integrating area over geological time for each continent's tropical, temperate, and boreal biomes. We find significant positive correlations between current tree diversity and area-time for periods since the Eocene, Oligocene, and Miocene, which we take as evidence for a time-integrated species-area effect on current patterns of species richness across biomes. These results contribute to explanations for why most lineages have tropical origins and why tropical forests are more diverse than extratropical forests. © 2006 by The University of Chicago. All rights reserved.",183,17109321,Journal,ar,Article,100,2,2,Age | Geographic area | Tropical conservatism hypothesis | Tropical rain forest,12604,undefined,0,FALSE,15,796-804,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750858689,SCOPUS_ID:33750858689,2-s2.0-33750858689,Deciphering the effects of climate on animal populations: Diagnostic analysis provides new interpretation of soay sheep dynamics,Berryman A.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508670,"Soay sheep on the island of Hirta exhibit periodic population collapses that have been proposed to result from nonlinear interactions between weather, population density, and age structure. Here we employ a diagnostic approach to reanalyze the data from 1985 to 2004 and find that climate mainly affects the equilibrium population size, thus acting as a lateral perturbation. From this, we derive a simple energetic model for a population interacting with its food supply in the presence of variable winter weather. This model explains the strong nonlinearity in the Soay sheep population regulation function and provides a framework for evaluating climatic perturbations. We examined two integrative climatic indexes, one representing effects on forage production and the other representing the severity of winter weather. Results suggest that the latter has the main effect on Soay sheep population dynamics. Models incorporating this variable provided fairly accurate predictions of Soay sheep population fluctuations. The diagnostic approach offers an objective way to develop simple, nonstructured population models that are useful for understanding the causes of population fluctuations and predicting population changes, provided they are based on a careful consideration of the underlying biological and/or ecological mechanisms. © 2006 by The University of Chicago. All rights reserved.",55,17109320,Journal,ar,Article,100,2,2,Climate | Competition | Diagnosis | Population | Time series,12604,undefined,0,FALSE,16,784-795,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750964247,SCOPUS_ID:33750964247,2-s2.0-33750964247,Pleistocene rewilding: An optimistic agenda for twenty-first century conservation,Donlan C.J.,American Naturalist,00030147,168,5,2006-11-01,November 2006,10.1086/508027,"Large vertebrates are strong interactors in food webs, yet they were lost from most ecosystems after the dispersal of modern humans from Africa and Eurasia. We call for restoration of missing ecological functions and evolutionary potential of lost North American megafauna using extant conspecifics and related taxa. We refer to this restoration as Pleistocene rewilding; it is conceived as carefully managed ecosystem manipulations whereby costs and benefits are objectively addressed on a case-by-case and locality-by-locality basis. Pleistocene rewilding would deliberately promote large, long-lived species over pest and weed assemblages, facilitate the persistence and ecological effectiveness of megafauna on a global scale, and broaden the underlying premise of conservation from managing extinction to encompass restoring ecological and evolutionary processes. Pleistocene rewilding can begin immediately with species such as Bolson tortoises and feral horses and continue through the coming decades with elephants and Holarctic lions. Our exemplar taxa would contribute biological, economic, and cultural benefits to North America. Owners of large tracts of private land in the central and western United States could be the first to implement this restoration. Risks of Pleistocene rewilding include the possibility of altered disease ecology and associated human health implications, as well as unexpected ecological and sociopolitical consequences of reintroductions. Establishment of programs to monitor suites of species interactions and their consequences for biodiversity and ecosystem health will be a significant challenge. Secure fencing would be a major economic cost, and social challenges will include acceptance of predation as an over-riding natural process and the incorporation of pre-Columbian ecological frameworks into conservation strategies.",254,17080364,Journal,re,Review,100,12,12,Carnivores | Ecological history | Megafauna | Predation | Reintroduction | Taxon substitutions,12604,undefined,0,FALSE,17,660-681,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750963518,SCOPUS_ID:33750963518,2-s2.0-33750963518,Testing the beneficial acclimation hypothesis and its alternatives for locomotor performance,Deere J.A.,American Naturalist,00030147,168,5,2006-11-01,November 2006,10.1086/508026,"The beneficial acclimation hypothesis (BAH) is controversial. While physiological work all but assumes that the BAH is true, recent studies have shown that support for the BAH is typically wanting. The latter have been criticized for assessing the benefits of developmental plasticity rather than acclimation. Here we examine the BAH within a strong inference framework for five congeneric species of ameronothroid oribatid mites that occupy marine to terrestrial habitats. We do so by assessing responses of maximum speed, optimum temperature, and performance breadth, measured from -10°C to 35°C, to four treatment temperatures (0°, 5°, 10°, and 15°C). We show that the BAH and its alternatives often make similar empirical predictions. Weak beneficial acclimation is characteristic of one of the more marine species. In the other two upper-shore and marine species, evidence exists for deleterious acclimation and the colder-is-better hypothesis. In the two fully terrestrial species, there is no plasticity. Lack of plasticity is beneficial when cue reliability is low or costs of plasticity are high, and the former seems plausible in terrestrial habitats. However, weak plasticity in the upper-shore/marine species and the absence of plasticity in the terrestrial species might also be a consequence of phylogenetic constraint. © 2006 by The University of Chicago.",109,17080362,Journal,ar,Article,100,2,2,Maximum speed | Optimal temperature | Performance breadth | Phenotypic plasticity | Temperature compensation,12604,undefined,0,FALSE,18,630-644,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750955677,SCOPUS_ID:33750955677,2-s2.0-33750955677,On testing the competition-colonization trade-off in a multispecies assemblage,Cadotte M.W.,American Naturalist,00030147,168,5,2006-11-01,November 2006,10.1086/508296,"The competition-colonization trade-off has long been considered an important mechanism explaining species coexistence in spatially structured environments, yet data supporting it remain ambiguous. Most competition- colonization research examines plants and the dispersal-linked traits of their seeds. However, colonization is more than just dispersal because rapid population growth is also an important component of colonization. We tested for the presence of competition-colonization trade-offs with a commonly used artificial assemblage consisting of protozoan and rotifer species, where colonization was the ability of a species to establish populations in patches. By ranking species according to their colonization abilities and their pairwise competitive interactions, we show that these species exhibit competition-colonization trade-offs. These results reveal that the competition-colonization trade-off exists within nonplant assemblages and that even in a laboratory setting, species are constrained to be either good competitors or colonizers but not both. © 2006 by The University of Chicago.",109,17080367,Journal,ar,Article,100,6,6,Coexistence | Competitive exclusion | Dispersal | Diversity | Metacommunity | Microcosm,12604,undefined,0,FALSE,19,704-709,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750954032,SCOPUS_ID:33750954032,2-s2.0-33750954032,Plant reproductive allocation predicts herbivore dynamics across spatial and temporal scales,Miller T.E.X.,American Naturalist,00030147,168,5,2006-11-01,November 2006,10.1086/509610,"Life-history theory suggests that iteroparous plants should be flexible in their allocation of resources toward growth and reproduction. Such plasticity could have consequences for herbivores that prefer or specialize on vegetative versus reproductive structures. To test this prediction, we studied the response of the cactus bug (Narnia pallidicornis) to meristem allocation by tree cholla cactus (Opuntia imbricata). We evaluated the explanatory power of demographic models that incorporated variation in cactus relative reproductive effort (RRE; the proportion of meristems allocated toward reproduction). Field data provided strong support for a single model that denned herbivore fecundity as a time-varying, increasing function of host RRE. High-RRE plants were predicted to support larger insect populations, and this effect was strongest late in the season. Independent field data provided strong support for these qualitative predictions and suggested that plant allocation effects extend across temporal and spatial scales. Specifically, late-season insect abundance was positively associated with interannual changes in cactus RRE over 3 years. Spatial variation in insect abundance was correlated with variation in RRE among five cactus populations across New Mexico. We conclude that plant allocation can be a critical component of resource quality for insect herbivores and, thus, an important mechanism underlying variation in herbivore abundance across time and space. © 2006 by The University of Chicago.",29,17080360,Journal,ar,Article,100,3,3,Demographic model | Herbivory | Insect-plant interactions | Opuntia | Population dynamics | Resource allocation,12604,undefined,0,FALSE,20,608-616,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750951235,SCOPUS_ID:33750951235,2-s2.0-33750951235,Functional significance of shade-induced leaf senescence in dense canopies: An experimental test using transgenic tobacco,Boonman A.,American Naturalist,00030147,168,5,2006-11-01,November 2006,10.1086/508633,"Canopy photosynthesis models have predicted an optimal leaf area index (LAI; leaf area per unit surface area) and leaf nitrogen distribution at which whole-plant carbon gain per unit N is maximized. In this study we experimentally tested these models, using transgenic PSAG12-IPT tobacco (SAG; Nicotiana tabacum L.) plants with delayed leaf senescence and therefore a greater LAI and more uniform N distribution than the wild type (WT). In a competition experiment, the increased density of surrounding WT plants caused a greater reduction in dry mass of mature SAG target plants than in that of WT target plants, indicating negative effects of delayed leaf senescence on performance at high canopy density. Vegetative SAG plants achieved a lower calculated daily carbon gain than competing WT plants because the former retained leaves with a negative carbon gain in the shaded, lower part of the canopy. Sensitivity analyses showed that the carbon gain of SAG plants would increase if these lower leaves were shed and the N reallocated from these leaves were used to form additional leaf area at the canopy top. This strategy, which is adopted by the WT, is most advantageous because it results in the shading of competing neighbors. © 2006 by The University of Chicago.",49,17080359,Journal,ar,Article,100,7,7,Canopy light gradient | Carbon gain | Competition | Senescence | Transgenic plants,12604,undefined,0,FALSE,21,597-607,all,All Open Access,NA,NA
