@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0015193954,SCOPUS_ID:0015193954,2-s2.0-0015193954,A new approach to measuring genetic similarity,Hedrick P.,Evolution,00143820,25,2,276-280,1971-12-01,1971,107,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193942,SCOPUS_ID:0015193942,2-s2.0-0015193942,A developmental basis for differential tooth reduction during hominid evolution,Sofaer J.,Evolution,00143820,25,3,509-517,1971-12-01,1971,70,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193935,SCOPUS_ID:0015193935,2-s2.0-0015193935,The operation of selection in situations of interspecific competition,Levin B.R.,Evolution,00143820,25,2,249-264,1971-12-01,1971,16,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193805,SCOPUS_ID:0015193805,2-s2.0-0015193805,Dinosaur physiology and the origin of mammals,Bakker R.,Evolution,00143820,25,4,636-658,1971-12-01,1971,125,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193747,SCOPUS_ID:0015193747,2-s2.0-0015193747,The effects of crowding on chromosomal polymorphism of Drosophila pavani,Budnik M.,Evolution,00143820,25,2,410-419,1971-12-01,1971,9,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193716,SCOPUS_ID:0015193716,2-s2.0-0015193716,Phyletic divergence dates of hominoid primates: A comparison of fossil and molecular data,Uzzell T.,Evolution,00143820,25,4,615-635,1971-12-01,1971,26,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,16,"The best estimates of dates of divergence of major, present day primate groups based on paleontological and anatomical evidence differ from explicit or implied dates based on biochemical data. In this paper the paleontological evidence for dating the hominoid lineages leading to the Hylobatidae (gibbons and siamangs) and to Gorilla and Homo is presented. The dates of divergence based on paleontological data differ from those based on biochemical data by at most a factor of five. The discrepancy between the sets of dates can therefore be resolved by variation by a factor of at most five in the rate of protein evolution. The biochemical technique used to estimate dates of divergence of taxonomic groups measures the similarity of molecules. it is phenetic rather than phyletic. As time since divergence increases, phenetic comparisons increasingly underestimate the total amount of evolution that has occurred since divergence. Phenetic approaches to sequence data do not detect parallel fixations, fixations of back mutations, or alternative routes of fixing amino acid substitutions. The frequency distribution of fixations per codon, when these are phenetically inferred, can be well described by means of a Poisson distribution if the zero fixation category is adjusted to an optimal value. This suggests that molecular evolutionary events are equally likely to occur, and that protein evolution should occur at a constant rate. The frequency distribution of phyletically inferred fixations per codon, however, cannot be well described by a single Poisson distribution, even when the zero fixation category is adjusted. This suggests, as does a considerable body of other data, that molecular evolutionary events are not equally likely, and that rates of evolution of proteins may be expected to vary. Estimated dates of divergence older than dates used to calibrate phenetically based estimates tend to be too young, while dates younger than calibration dates tend to be too old. Dates of divergence of primate groups based on phenetic comparisons, if corrected for this effect, conflict with the best documented part of the primate fossil record, the later Hominidae, not with the less well established parts. It therefore seems prudent to accept the best paleontological dates for divergence of major primate taxa rather than to question them on the basis of the biochemical data. Branching sequences determined on the basis of biochemical data appear to be relatively reliable, but even these must be considered with caution.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193625,SCOPUS_ID:0015193625,2-s2.0-0015193625,A comparative study of the cause and significance of morphological variation in adults and pupae of Culicoides: a factor analysis and multiple regression study,Atchley W.,Evolution,00143820,25,3,563-583,1971-12-01,1971,10,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193609,SCOPUS_ID:0015193609,2-s2.0-0015193609,Mating propensity of gene arrangement carriers from a redwoods population of Drosophila persimilis,Spiess E.,Evolution,00143820,25,3,461-470,1971-12-01,1971,5,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,18,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015191071,SCOPUS_ID:0015191071,2-s2.0-0015191071,Lethal alleles near locus T in house mouse populations on the Jutland peninsula Denmark,Dunn L.,Evolution,00143820,25,3,451-453,1971-12-01,1971,11,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015191042,SCOPUS_ID:0015191042,2-s2.0-0015191042,The reproductive system of Jepsonia heterandra,Ornduff R.,Evolution,00143820,25,2,300-311,1971-12-01,1971,36,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,20,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015191023,SCOPUS_ID:0015191023,2-s2.0-0015191023,Reversible tetraploidy as an evolutionary mechanism,De Wet J.,Evolution,00143820,25,3,545-548,1971-12-01,1971,18,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,21,"Haploidy forms part of the total concept of polyploid evolution. Polyploidy stabilizes selected hybrid genotypes, and haploidy exposes masked gene combinations to selection. These newly available gene combinations can confer on the haploids a selective advantage over their tetraploid parents as well as the original basic diploids. Haploidy provides the added benefit of creating diploids anew even after the basic diploids became extinct. New bursts of evolutionary activity becomes possible at the diploid level, and gene exchange between ploidy levels increases variability also at the tetraploid level.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193702,SCOPUS_ID:0015193702,2-s2.0-0015193702,Group selection and the evolution of dispersal,Van Valen L.,Evolution,00143820,25,4,591-598,1971-01-01,1971,136,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,22,NA,10.1111/j.1558-5646.1971.tb01919.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0015191103,SCOPUS_ID:0015191103,2-s2.0-0015191103,Adaptive zones and the orders of mammals,Van Valen L.,Evolution,00143820,25,2,420-428,1971-01-01,1971,114,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,23,NA,10.1111/j.1558-5646.1971.tb01898.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0015191020,SCOPUS_ID:0015191020,2-s2.0-0015191020,The components of sexual selection,Faugeres A.,Evolution,00143820,25,2,265-275,1971-01-01,1971,20,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,24,NA,10.1111/j.1558-5646.1971.tb01879.x,all,All Open Access
