@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,dc:description,author-count.$,authkeywords,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84971871462,SCOPUS_ID:84971871462,2-s2.0-84971871462,A phoretic association between a bryozoan and an insect in a nigerian lake,Journal of Tropical Ecology,02664674,14697831,9,1,125-126,1993-01-01,February 1993,10.1017/S0266467400007082,3,Journal,ar,Article,100,1,23435,undefined,0,FALSE,11,Ogbogu S.S.,NA,1,Bryozoa | Caenis | Ephemeroptera | insecta | Nigeria | phoresis | Plumatella,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027884136,SCOPUS_ID:0027884136,2-s2.0-0027884136,"A model of litterfall, litter layer losses and mass transfer in a humid tropical forest at Pernambuco, Brazil",Journal of Tropical Ecology,02664674,14697831,9,3,291-301,1993-01-01,August 1993,10.1017/S026646740000732X,26,Journal,ar,Article,100,5,23435,undefined,0,FALSE,12,De Sa Barretto Sampaio E.V.,"Data on litterfall, litter layers accumulated on top of the mineral soil and layer mineralization collected for three years in a tropical rain forest at Pernambuco, Brazil, were implemented on a simulation model. Litterfall was collected biweekly using 11 collectors 1 X 1 m. Every three months, 20 litter mat samples, 0.5 X 0.5 m, were collected, divided into the L, F and H layers and the C02evolution from each litter layer was determined in the laboratory. Litterfall, in the three years, averaged 7.8, 8.3 and 8.2 Mg ha-1 y-1, most of it leaves. Litter mat masses varied widely from place to place (15—90 Mg ha-1) and the overall averages were 5.6, 7.6 and 26.1 Mg ha 1for the L, F and H layers, with C02evolution averages of 2.27, 0.507 and 0.123 mgC g litter C-1 day’. According to the model, the L layer had a high turnover rate, losing 4.7 Mg ha’1 y“1through mineralization and 3.4 Mg ha-1 y-’ transferred to the F layer. Values for the F and H layers were 1.4 and 1.2 mineralized and 2.0 and 0.8 Mg ha-’ y“’ transferred. Thus, it would take 2.1, 6.7 and 39 years for newly fallen leaves to be mostly fragments, to be transformed to humus and to be incorporated to the soil organic matter, respectively. Variations of litterfall throughout the three years would have little effect on the system which was not very sensitive to litterfall changes, except for the top layer. © 1993, Cambridge University Press. All rights reserved.",5,Brazil litterfall | litter layers | mass transfer | mineralization,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027882671,SCOPUS_ID:0027882671,2-s2.0-0027882671,"Food habits of sympatric termite species (Isoptera, Macrotermitinae) as determined by stable carbon isotope analysis in a Guinean savanna (Lamto, Côte d'Ivoire)",Journal of Tropical Ecology,02664674,14697831,9,3,303-311,1993-01-01,August 1993,10.1017/S0266467400007343,61,Journal,ar,Article,100,3,23435,undefined,0,FALSE,13,Lepage M.,"The food habits of four hypogeous Macrotermitinae species were studied using stable carbon isotope analysis in several biotopes of a humid savanna of West Africa (Lamto, Côte d'Ivoire). The proportion of woody and herbaceous material in the diet of the different species was determined by measuring the l3C natural abundance in the fungus comb. The diet varied with season and biotope, especially tree density. The results confirm the flexibility of the food habits of the fungus-growing termites as a consequence of their exosymbiosis with the fungus Termitomyces sp. © 1993, Cambridge University Press. All rights reserved.",3,carbon Côte d'Ivoire | food habits | fungus growing termites | Isoptera | nitrogen | savanna | termites | Termitomyces | δ C 13,CNRS,Centre National de la Recherche Scientifique,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027882652,SCOPUS_ID:0027882652,2-s2.0-0027882652,Use of hemispherical photographs in forest ecology: Measurement of gap size and radiation totals in a Bornean tropical rain forest,Journal of Tropical Ecology,02664674,14697831,9,2,131-151,1993-01-01,May 1993,10.1017/S0266467400007112,139,Journal,ar,Article,100,6,23435,GR3/6246,0,FALSE,14,Whitmore T.,"Study of forest dynamics commonly requires measurement of canopy gap size. Hemispherical photographs can be analysed to provide various measures whereby gaps can be ranked in order of size. For ten artificial gaps in a Bornean tropical rain forest these measures were better correlated with gap microclimate than gap area measured physically on the ground. All these measures are however relative. For detailed (e.g. ecophysiological) studies the greater detail provided by absolute measures of photosynthetically active radiation (PAR) are required. Long term PAR values can be computed from hemiphots so long as measurements in the open nearby are available. Correction for cloudy weather is essential. Computed and measured PAR are compared for the test gaps. Both have inherent limits which means that below c. 15% canopy openness, differences in PAR between gaps cannot be assessed accurately. © 1993, Cambridge University Press. All rights reserved.",6,Borneo | forest canopy gaps | forest light climate | hemispherical photographs | photosynthetically active radiation,NERC,Natural Environment Research Council,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027880932,SCOPUS_ID:0027880932,2-s2.0-0027880932,Responses to shading of seedlings of savanna grasses (with different C4 photosynthetic pathways) in Botswana,Journal of Tropical Ecology,02664674,14697831,9,2,213-229,1993-01-01,May 1993,10.1017/S0266467400007197,25,Journal,ar,Article,100,3,23435,undefined,0,FALSE,15,Veenendaal E.M.,"Different C4 photosynthesis pathways may influence plant response to shade and/or moisture stress. In the savanna of south-eastern Botswana, seedlings of PCK C4 type grass species were frequently observed to emerge in shaded habitats. The species Digitaria eriantha subsp. pentzii, which shows the NADP-ME pathway, was also found to be associated with the tree canopy. Species emerging in habitats exposed to full sun often showed the NAD-ME C4 pathway. Seedlings of Aristida, congesta Eragrostis rigidior and Tragus berteronianus which normally emerge in full light, showed higher relative growth rates and/or unit leaf rates compared with seedlings of Panicum maximum and Urochloa panicoides which are associated with shaded habitats. Seedlings of the latter species, however, survived low light conditions. Relative growth rate of the seedlings appeared to be negatively related to caryopsis weight. Light response analysis of leaves of Digitaria eriantha subsp. pentzii, grown under low light intensities, showed similar trends in light saturation to those reported for the PCK type in Panicum maximum. Mesophyll rather than stomatal limitations appeared to induce light saturation at higher light intensities in leaves grown under shade conditions. © 1993, Cambridge University Press. All rights reserved.",3,Botswana | C4 photosynthesis | relative growth rate | savanna grasses | shade adaptation | tree—grass interactions,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027877233,SCOPUS_ID:0027877233,2-s2.0-0027877233,"Ecology of the Asian Elephant in lowland dry zone habitats of the Mahaweli River Basin, Sri Lanka",Journal of Tropical Ecology,02664674,14697831,9,2,169-182,1993-01-01,May 1993,10.1017/S0266467400007148,23,Journal,ar,Article,100,1,23435,undefined,0,FALSE,16,Ishwaran N.,"The ecology of the Sri Lankan elephant in the Wasgomuwa Strict Nature Reserve and its environs is reported for the first time. Seasonal changes in the availability of grazing sites influenced changes in the home range of elephants. Availability of such sites in the wet season was limited by agricultural activities. Paddylands, after the harvest of the rice crop in the late wet season, became important dry season grazing sites. In the Reserve and areas outside its southern boundary on the left bank of the Mahaweli River, (a) female herds were seen more often than solitaries (b) female herds were larger and had a higher than expected number of juveniles in the dry than in the wet season (c) about 45% of the individuals were juveniles and (d) 7.4% of adult and sub-adult females had calves. Conflict between elephants and farmers will be most intense along the southern and eastern boundaries of the Wasgomuwa National Park, established in 1984 by the addition of new areas predominantly to the northern part of the Wasgomuwa Strict Nature Reserve. © 1993, Cambridge University Press. All rights reserved.",1,Elephas | herd composition | herd size grasslands | management | seasonal ranges Sri Lanka,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027873785,SCOPUS_ID:0027873785,2-s2.0-0027873785,Spatial and temporal components of species diversity in Auchenorrhyncha (insecta: Hemiptera) communities of indochinese montane rain forest,Journal of Tropical Ecology,02664674,14697831,9,1,93-100,1993-01-01,February 1993,10.1017/S026646740000701X,27,Journal,ar,Article,100,1,23435,undefined,0,FALSE,17,Novotný V.,"The Auchenorrhyncha community within the understorey of a montane monsoon rain forest in Vietnam is described. It was highly diverse, with 328 morphospecies in a sample of 1611 specimens. The community was variable in species composition with respect to space (between sites 1–5 km distant) and time (between early and late wet seasons). Differences in species composition attributable to spatial heterogeneity and to seasonal variation were of a comparable magnitude when examined by the CCA ordination. Auchenorrhyncha density, estimated by sweeping, was generally low, at 1 to 2 individuals m-3of vegetation. There was a negative correlation between the species’ population size in the early and the late wet seasons. © 1993, Cambridge University Press. All rights reserved.",1,Auchenorrhyncha | community | ordination | rain forest | seasonality | species diversity | Vietnam,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027871769,SCOPUS_ID:0027871769,2-s2.0-0027871769,"Effect of the red land crab (Gecarcinus lateralis) on leaf litter in a tropical dry forest in Veracruz, Mexico",Journal of Tropical Ecology,02664674,14697831,9,1,55-65,1993-01-01,February 1993,10.1017/S0266467400006957,18,Journal,ar,Article,100,2,23435,undefined,0,FALSE,18,Kellman M.,"The effect of the red land crab (Gecarcinus lateralis) on leaf litter biomass and nutrient transformation was investigated in a semi-deciduous tropical forest on coastal dunes using access and exclusion plots observed for six months. Crabs were in burrows during drought, but began foraging immediately after rainfall. Crabs accelerated litter disappearance significantly during the wet season at one site located beneath Brosimum alicastrum, but had no effect beneath a nearby Enterolobium cyclocarpum. The difference is tentatively attributed to small leaflet size in the latter species which crabs were unable to handle and consume. At both sites, litter in exclosures had approximately doubled by the end of the ensuing dry season. At the Brosimum site it is attributed to sporadic crab detritivory occurring after dry seasonal rains. At the Enterolobium site it is attributed to preferential retention of litter in the exclosures during strong dry season winds. The nutrient content of litter exposed to, or protected from, crabs was not significantly different at either site and differences in litter nutrient pools reflected differences in litter biomass. Accelerated nutrient mineralization due to crab detritivory was concentrated early in the wet season before leaching began from the soils, and it is suggested that this altered seasonal pattern of mineralization may reduce the loss of nutrients from the site in percolating water. © 1993, Cambridge University Press. All rights reserved.",2,crabs | decomposition | detritivory | forest | litter | Mexico | nutrient cycling | seasonal tropical,NSERC,Natural Sciences and Engineering Research Council of Canada,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027866411,SCOPUS_ID:0027866411,2-s2.0-0027866411,"Growth of tree seedlings in tropical rain forests of North Queensland, Australia",Journal of Tropical Ecology,02664674,14697831,9,1,1-18,1993-01-01,February 1993,10.1017/S0266467400006891,45,Journal,ar,Article,100,4,23435,undefined,0,FALSE,19,Osunkoya O.,"The effects of forest habitat, canopy light condition, vertebrate herbivory and species mean seed size on growth of tree seedlings were evaluated for six widely different species of North Queensland tropical rain forests. Two forest localities differing in size and rainfall intensity were used for the trial. In each forest, seedlings were transplanted three weeks after germination into small to medium-sized canopy gaps and into the forest interiors, with half protected by cages and the other half unprotected. Growth measurements were made over a period of 16 months. All growth parameters examined differed significantly between the six species. At the end of the.study period, for most species, forest site and protection from vertebrates did not affect seedling biomass. For all species, growth was higher in gaps than in forest interior, but most biomass allocation patterns did not differ between the two habitats. This was attributed to the small difference in photosynthetically active radiation (PAR) levels between the two habitats (interior, 0.48-2.53% PAR; gap, 3.58-7.09% PAR). Between species, seedling growth in the forest interior and sensitivity to increasing light were significantly correlated with initial mean seed size. The growth ability of the six species in and out of canopy gaps is discussed in terms of regeneration status of forest tree species. © 1993, Cambridge University Press. All rights reserved.",4,Australia | biomass ratios | canopy gaps | climax | light | pioneer | seed size | seedling | tropical rain forest,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027849123,SCOPUS_ID:0027849123,2-s2.0-0027849123,Radio-tracking observations on ranging and foraging patterns by kinkajous (Potos flavus) in French Guiana,Journal of Tropical Ecology,02664674,14697831,9,1,19-32,1993-01-01,February 1993,10.1017/S0266467400006908,29,Journal,ar,Article,100,1,23435,URA 1183,0,FALSE,20,Julien-Laferriere D.,"Two kinkajous (Potos flavus) were equipped with radio-transmitters and tracked during a 14- and a 7-day period in a primary forest of French Guiana. Both individuals were strictly nocturnal. They moved between food patches (flowering or fruiting trees) during c. 65% of the night, visited food trees during c. 20%, while the remaining time was devoted to rest. Rest time tended to peak in the middle of the night, whereas distances travelled peaked at the beginning and the end of the night. Minimum and maximum home range areas, estimated from minimum area and minimum convex polygon methods respectively, reached 15.7 and 17.6 ha in the female, 26.6 and 39.5 ha in the male. Mean daily activity area amounted to 5.5 ha in the female, 11.3 ha in the male. Distances travelled in a night averaged 1495 m for the female, 2540 m for the male. In contrast to the female, the male used the periphery more intensively than the centre of its home range. Both individuals occupied several roosts located in the canopy, but one far more frequently than the others. The male's roosts were all situated in the periphery of the home range. Kinkajous were observed feeding on flowers or fruits of 15 plant species. Among the 10 species exploited for fruits, at least seven were dispersed. Dispersal distances averaged 200 ± 75 m (13 seed dispersal occurrences for 16 defecations), while seed transit time varied from 45 min to 3 h 35 min. P. flavus appears to be nocturnal, solitary, a generalist fruit and flower-eater and an important seed dispersal agent. © 1993, Cambridge University Press. All rights reserved.",1,activity rhythm | flavus | foraging | French Guiana | frugivory | home range | kinkajou | Neotropical forest | Potos | Procyonidae,CNRS,Centre National de la Recherche Scientifique,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027849091,SCOPUS_ID:0027849091,2-s2.0-0027849091,Reproductive biology of two species of Kielmeyera (Guttiferae) in the cerrados of Central Brazil,Journal of Tropical Ecology,02664674,14697831,9,1,67-79,1993-01-01,February 1993,10.1017/S0266467400006970,51,Journal,ar,Article,100,2,23435,undefined,0,FALSE,21,Oliveira P.E.,"The reproductive process of two species of Kielmeyera, K. coriacea and K. speciosa, sympatric in savanna areas in central Brazil, has been studied. The trees have similar pollination systems and dispersal mechanisms but distinct phenological behaviours. Fast germination after the beginning of the wet season, early root swelling forming a xylopodium which enables survival during the dry season, and recurrent sprouting from the swollen root system during the first years of development were features of an establishment syndrome common to both species. The seedling survival after establishment was high; after five years 64% of the seedling cohort of K. coriacea was still alive. These seedlings, in natural conditions, remain poorly developed and resprout recurrently from the soil during some years. The recruitment of adult plants seems to occur from this ‘seedling bank’. The reproductive process was higher in K. coriacea during most stages of the reproductive process which may explain the smaller population size and distribution range of K. speciosa. For both species, the reproductive process as a whole was mainly affected by biotic factors in the wet season and not by seasonal drought or periodic fire. © 1993, Cambridge University Press. All rights reserved.",2,Brazil | cerrado | demography | dispersal | establishment | Guttiferae | Kielmeyera | savannas | seedling survival,CNPq,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027843992,SCOPUS_ID:0027843992,2-s2.0-0027843992,"Ecosystem dynamics of disturbed and undisturbed sites in north Queensland wet tropical rain forest. I. Floristic composition, climate and soil chemistry",Journal of Tropical Ecology,02664674,14697831,9,3,349-363,1993-01-01,August 1993,10.1017/S0266467400007409,41,Journal,ar,Article,100,2,23435,undefined,0,FALSE,22,Congdon R.,"This paper introduces studies of nutrient cycling in disturbed and undisturbed rain forest plots in the upper catchment of Birthday Creek, near Paluma, North Queensland. The catchment is underlain by granite and has soils of comparatively low fertility. Differences between unlogged plots and plots disturbed 25 years previously by selective logging are still apparent. Disturbed plots have soils with higher bulk densities and pH, lower CEC, kjeldahl nitrogen and available phosphorus concentrations, and changed species composition. The data suggest that recovery from selective logging is dependent on soil fertility and intensity of disturbance. This paper introduces studies of nutrient cycling in disturbed and undisturbed rain. © 1993, Cambridge University Press. All rights reserved.",2,Australia | climate | disturbance | floristics | north Queensland | selective logging | soil compaction | soil nutrients | tropical rain forest,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027838809,SCOPUS_ID:0027838809,2-s2.0-0027838809,Soil seed banks in four lower montane forests of Mexico,Journal of Tropical Ecology,02664674,14697831,9,3,321-337,1993-01-01,August 1993,10.1017/S0266467400007379,19,Journal,ar,Article,100,1,23435,undefined,0,FALSE,23,Williams-Linera G.,"Soil seed banks from four Mexican lower montane forests were studied. These forests are in the transition zone between neartic and Neotropical floristic regions. Soil seed bank characteristics were biased toward the dominant-temperate or tropical-phytogeographical affinity. The northern site (El Cielo Biosphere Reserve, Tamaulipas) had the lowest seed density, 720 seeds m-2 The eastern (Rancho La Mesa, Veracruz), western (Sierra de Manantlán Biosphere Reserve, Jalisco) and southern (El Triunfo Biosphere Reserve, Chiapas) sites all had much higher seed densities (2291, 2901, and 2341 seeds m-2 respectively). Germinated tropical species seeds were more abundant than temperate species seeds at all four sites, and were higher for southern and intermediate sites when compared with the northern site. On the basis of family, El Cielo appears to be different. The tropical family Melastomataceae was absent from this northern site, whereas it represented >30% of total germinated seeds at the other three sites. Trees were the most abundant life form at the southern site but were particularly poorly represented in the eastern and northern sites. Herbs were very abundant in the eastern, western and northern sites but were poorly represented in the seed bank of the southern site. The four seed banks differ between themselves and resemble seed banks of neither temperate deciduous nor tropical forests. In some ways they are unique, at least with respect to floristic composition, seed density, and life form representation. Soil seed banks from four Mexican lower montane forests were studied. These forests. © 1993, Cambridge University Press. All rights reserved.",1,Biosphere Reserve | cloud forest | El Cielo Biosphere Reserve | El Triunfo Biosphere Reserve | lower montane forest | Mexico soil seed bank | Sierra de Manantlán,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027835694,SCOPUS_ID:0027835694,2-s2.0-0027835694,"Dung beetles attracted to mammalian herbivore (Alouatta palliata) and omnivore (Nasua narica) dung in the tropical rain forest of Los Tuxtlas, Mexico",Journal of Tropical Ecology,02664674,14697831,9,1,45-54,1993-01-01,February 1993,10.1017/S0266467400006933,92,Journal,ar,Article,100,4,23435,undefined,0,FALSE,24,Estrada A.,"Dung beetles attracted to howler monkey (Alouatta palliata) and coati (Nasua narica) dung were studied for an annual cycle in the tropical rain forest of Los Tuxtlas, Mexico. Pitfall traps set for 24 h month-1 captured 1567 dung beetles of 21 species. The species Canthidium martinezi, Deltochilum pseudoparile and Canthon femoralis accounted for 62% of all individuals captured. While species overlap was high (> 80%) between diurnal and nocturnal samples and between howler monkey and coati dung baits, coati dung attracted species such as C. martinezi, D. pseudoparile and Onthophagus rhinolophus while species such as C. femoralis and Copris laeviceps were numerically dominant at howler monkey dung. Thirteen non-ball rolling dung beetle species and eight ball-rolling species accounted for 43% and for 57% of all beetles captured respectively. Dung beetles were present and active in all months of the year, but occurred in higher numbers between the months of March and October, when temperatures were higher. Relative abundance of howler monkey and coati dung in the rain forest of Los Tuxtlas was estimated at 11.2g(fresh weight) ha-1 day-1and at 13.0 g ha-1 day-1 respectively, a seemingly low amount for the large number of scarabs attracted to the dung. © 1993, Cambridge University Press. All rights reserved.",4,Alouatta Palliata | dung beetles | forest | Mexico | Nasua narica | Scarabaeidae | tropical rain,UNAM,Universidad Nacional Autónoma de México,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027833722,SCOPUS_ID:0027833722,2-s2.0-0027833722,A comparative study of cerrado (sensu stricto) vegetation in Central Brazil,Journal of Tropical Ecology,02664674,14697831,9,3,277-289,1993-01-01,August 1993,10.1017/S0266467400007306,98,Journal,ar,Article,100,2,23435,undefined,0,FALSE,25,Felfili J.M.,"Floristic and structural comparisons and a numerical classification were performed to identify the priority areas for conservation of genetic resources in central Brazil. The main type of woody vegetation, cerrado sensu stricto (savanna woodland with 10-60% tree cover), was sampled under a uniform methodology in six selected sites (total sample of 6 ha) scattered in a physiographic unit called the Pratinha Plateau located between 15-20° S and 46-49° W. A total of 6971 trees belonging to 139 species and 42 families was measured. Each site had a combination of 50–80 species and approximately 30 families but only 22 species from 14 families were common to all sites. Similarity decreased with distance, indicating the existence of geographical gradients as the physical characteristics were relatively uniform and the soils were dystrophic at all sites. The most dissimilar sites, in the localities of Patrocmio-MG and Paracatu-MG were recommended for the establishment of conservation units. The already existent conservation units are all clumped in the Federal District and are not enough to protect the genetic heritage of the plateau. Floristics and phytosociological surveys based on land system zoning were recommended as useful tools in planning conservation areas at a regional level to preserve the maximum biodiversity. © 1993, Cambridge University Press. All rights reserved.",2,Brazil | cerrado | diversity | floristics | Neotropics | phytogeography | phytosociology | savanna | TWINSPAN classification,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027833229,SCOPUS_ID:0027833229,2-s2.0-0027833229,Structure and spatial organization of an Amazonian terra firme forest primate community,Journal of Tropical Ecology,02664674,14697831,9,3,259-276,1993-01-01,August 1993,10.1017/S026646740000729X,75,Journal,ar,Article,100,1,23435,6169,0,FALSE,26,Peres C.,"A high-diversity primate community consisting of 13 species was examined at an entirely undisturbed and remote terra firme forest near the headwaters of the Urucu River, Amazonas, Brazil. Twelve of these species used a 900-ha study plot, located 4 km or more inland from the river, and comprised a total group density of 16 groups km-2 an overall density of 146 individuals km-2 a crude community biomass of 381 kg km’2 and a metabolic biomass of 278 kg075 km-2 These species were occasionally found together within small (≥1 km2) areas of forest, so long as they included the full complement of available forest types. More frequently, however, only half the species co-occurred In a single habitat type at any one time, reflecting a relatively consistent pattern of subcommunity spatial organization. Habitat generalist species making extensive, year-round use of the predominant habitat type (high forest), were common, whereas habitat specialists were uncommon to very rare, and confined to minor habitats. Those species coexisting throughout the year in high forest were found to segregate vertically from one another. These and other modal patterns of community structure were disrupted seasonally by long-distance, inland movements by two ‘igapó’ forest species living in large groups-squirrel monkeys and white-face capuchins-to high forest areas, which apparently resulted from a food bottleneck in their habitat. Another species found in large groups — woolly monkeys-also exercised seasonally vagrant movements within the high forest matrix, which coincided with periods of greatest scarcity of mature fleshy fruits. © 1993, Cambridge University Press. All rights reserved.",1,Amazon | Brazil | habitat partitioning | igapó forest | monkeys | primate biomass | primate community | seasonal movements | terra firme forest | use of space,WWF,World Wildlife Fund,NA,NA
