@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0021059464,SCOPUS_ID:0021059464,2-s2.0-0021059464,"Host range evolution. The shift from native legume hosts to alfalfa by the butterfly, Colias philodice eriphyle ( Medicago sativa).",Tabashnik B.E.,Evolution,00143820,37,1,150-162,1983-01-01,1983,"Colias philodice eriphyle has pest populations which feed in the field on alfalfa Medicago sativa and non-pest populations which feed on several legumes, but not on alfalfa. Non-pest females laid a substantial fraction of their eggs on alfalfa in preference tests and non-pest larvae were able to grow on alfalfa without a severe disadvantage relative to their growth on native hosts. Genetic changes in host use characters would thus not be required for a shift to alfalfa. Oviposition choice tests showed no differences between pest and non-pest females. On alfalfa, pest larvae grew better than non-pest larvae; but on native hosts, non-pest larvae grew better than pest larvae. Results suggest that pest C. p. eriphyle have improved their ability to grow on alfalfa, while losing some of their ability to grow on native hosts. Shifts to closely related plant species are not likely to lead to rapid divergence. -from Author",101,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,10.1111/j.1558-5646.1983.tb05523.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0021058867,SCOPUS_ID:0021058867,2-s2.0-0021058867,"Extensive genetic variation in mitochondrial DNA's among geographic populations of the deer mouse, Peromyscus maniculatus.",Lansman R.A.,Evolution,00143820,37,1,1-16,1983-01-01,1983,"Data support the hypothesis that mammalian mtDNA evolves primarily by the accumulation of single base substitutions which occur in most of the coding regions of the genome. The data clearly distinguish five major genetic assemblages within P. maniculatus, as well as extensive clonal diversity within each of those assemblages. -from Authors",82,Journal,ar,Article,100,5,5,22104,undefined,1,TRUE,12,10.1111/j.1558-5646.1983.tb05509.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021057171,SCOPUS_ID:0021057171,2-s2.0-0021057171,Determinants of multiple host use by a phytophagous insect population.,Singer M.C.,Evolution,00143820,37,2,389-403,1983-01-01,1983,"The following question was asked of an oligophagous butterfly population: how does the use of several hosts arise from the behavior of individual insects? There are at least 3 mechanisms: 1) Some individuals behave as generalists themselves, and have almost equal likelihoods of depositing their eggs on different host species. 2) The population contains insects with different distinct preferences. This variation in preference affects variation in host use. 3) One of the most highly preferred hosts is sufficiently rare and localized that most insects which do prefer it search without finding it until other, less preferred hosts become acceptable. They then oviposit on these secondarily preferred species. The degree of host specialization (specificity) is a continuous variable in this population. While some butterflies show 'neutral' preference and fail to discriminate between potential host species, others are just as host-specific as individuals in strictly monophagous populations (of the same species). In such monophagous populations there is no variation of preference rank order and no undiscriminating insects (with 'neutral' preference) have been found. In consequence, the distribution and abundance of potential hosts does not usually affect breadth of host use by the population. -from Author",133,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,13,10.1111/j.1558-5646.1983.tb05547.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021054956,SCOPUS_ID:0021054956,2-s2.0-0021054956,Macrogeographic variation in litter size in Antechinus ( Marsupialia: Dasyuridae).,Cockburn A.,Evolution,00143820,37,1,86-95,1983-01-01,1983,"Litter size in the dasyurid marsupial genus Antechinus is highly correlated with nipple number, which shows macrogeographic variation between populations of the 3 species with extensive ranges in eastern Australia. Males die after their first attempt at reproduction, and females produce 1-2 litters in their lifetime. Nipple number is highest at high elevations in SE Australia, and lowest at low latitudes and on the exposed capes and promontories in SE Australia. The relationship between litter size and adult survival is equivocal, and predation pressure is unlikely to vary consistently across gradients of litter size. There appears to be a relationship between seasonality and litter size. Antechinus may produce broods which correspond to the number of young they can nourish. -from Authors",65,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,14,10.1111/j.1558-5646.1983.tb05517.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021038303,SCOPUS_ID:0021038303,2-s2.0-0021038303,Testing the female mimicry hypothesis of delayed plumage maturation: a comment on Procter-Gray and Holmes.,Rohwer S.,Evolution,00143820,37,2,421-423,1983-01-01,1983,"Discusses tests which could refute the hypothesis that female mimicry facilitates the establishment of female-worthy territories by young males, and evaluates the conclusions of Procter-Gray and Holmes (Evolution, 35, 1981, pp 742-751) in light of these tests and other issues. -from Author",15,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,15,10.1111/j.1558-5646.1983.tb05553.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0021034815,SCOPUS_ID:0021034815,2-s2.0-0021034815,Genetic variability within and among populations of the black- tailed prairie dog ( Cynomys ludovicianus New Mexico).,Chesser R.K.,Evolution,00143820,37,2,320-331,1983-01-01,1983,"In eastern New Mexico, significant genetic differentiation was found for Cynomys ludovicianus from populations in close proximity (5-15 km) as well as for those from distant parts of their range. The degree of local differentiation was greater than that among regions separated by major geographical barriers. Significant heterogeneity of allele frequencies was found for prairie dogs from different wards (portions of a population separated by unsuitable habitat) within a population, as well as for those from different coteries (harem groups) within the wards. The social behavior of prairie dogs has resulted in genetic differentiation over very small distances and rapid inbreeding and genetic drift within the social groups. -from Author",103,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,16,10.1111/j.1558-5646.1983.tb05542.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021032993,SCOPUS_ID:0021032993,2-s2.0-0021032993,Competition between high and low mutating strains of Escherichia coli.,Chao L.,Evolution,00143820,37,1,125-134,1983-01-01,1983,"Previous studies have shown that strains of E. coli with high mutation rates have a marked advantage in competition with wild- type strains. Those studies, however, failed to discriminate between the hypotheses that the mutator bacteria acquired an advantage by evolving faster, on the one hand, or that they had an intrinsic competitive advantage, on the other. The present investigation supports the first hypothesis.-from Authors",192,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,17,10.1111/j.1558-5646.1983.tb05521.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021032966,SCOPUS_ID:0021032966,2-s2.0-0021032966,Resource partitioning among genotypes of Drosophila pseudoobscura.,Taylor C.E.,Evolution,00143820,37,1,135-149,1983-01-01,1983,"The model laboratory test consisted of D. pseudoobscura larvae in small petri dishes containing one type of medium on one side and another type of medium on the other. There were genotype X environment interactions for all component of fitness studied; 2) survivorship was density-independent; 3) there was habitat choice, in that strains tended to prefer the media on which they developed faster; and 4) when individuals or different strains were placed together there was a small tendency for them to occupy the different microhabits for resource partitioning among genotypes. There was an increase in overall fitness when environmental heterogeneity is introduced.-from Authors",13,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,18,10.1111/j.1558-5646.1983.tb05522.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021032199,SCOPUS_ID:0021032199,2-s2.0-0021032199,"Gene diversity and genetic structure in a narrow endemic, Torrey pine ( Pinus torreyana Parry ex Carr) ( San Diego, Santa Rosa Island, California).",Ledig F.T.,Evolution,00143820,37,1,79-85,1983-01-01,1983,"This California endemic occurs in only 2 populations, one on the coast at San Diego and one 280km NW on Santa Rosa Island. Populations number only c.7000 and 2000 individuals, respectively. Each population is composed of identical homozygous genotypes at 59 isozyme loci. The island population is fixed for alternate alleles to those in the coastal population at two of the 59 loci. Results agree with other lines of evidence that suggest Torrey pine is characterized by minor differences between relatively uniform populations. Drift is the most likely explanation for lack of variability in Torrey pine. The founder effect may have operated during colonization of Santa Rosa Island c.18 000 BP.-from Authors",141,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,19,10.1111/j.1558-5646.1983.tb05515.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0021028795,SCOPUS_ID:0021028795,2-s2.0-0021028795,The Kluge-Kerfoot phenomenon - a statistical artifact.,Rohlf F.J.,Evolution,00143820,37,1,180-202,1983-01-01,1983,"Since the 1973 paper by Kluge and Kerfoot, many studies have reported a statistically significant positive correlation between indices of the average amount of variability found within a local population for a character and the amount of differentiation among population means for that character. The statistics used have been based on coefficients of variation in order to correct for the effects of differences in scale in different characters and in different populations. Evolutionary theory has been called upon in a number of these papers to help explain this positive association (the 'Kluge-Kerfoot phenomenon'). Data sets which had been used previously were reanalyzed. There was an inverse (and usually hyperbolic) relationship between the mean of a character and both its within- and its among-population coefficients of variation. One thus expects these latter 2 variables to be correlated since they are both correlated with the same variable. The inverse relationships found in the various data sets can be explained on the basis of one or more of the following: the effect due to having a mixture of different kinds of variables in a single study, the effect of grouping data into relatively coarse classes, the effect of measurement error, or the effect of using variables that have a discrete distribution. While there may actually be a correlation between the levels within- and among-population variability, previous studies do not provide adequate data to allow an investigation of such a relationship.-from Authors",34,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,20,10.1111/j.1558-5646.1983.tb05526.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020947249,SCOPUS_ID:0020947249,2-s2.0-0020947249,Genetic and environmental components of clutch size variance in a wild population of lesser snow geese ( Anser caerulescens caerulescens).,Findlay C.S.,Evolution,00143820,37,4,724-734,1983-01-01,1983,"Proximate environmental influences include female age, timing of laying and nutrient reserve status. Analysis of the heritability of clutch size indicates that a significant proportion of clutch size variance arises from additive gene effects. Quantitative assessment of the variance contribution from additive effects is, however, confounded by the effects of potential genotype-environment correlations, genotype-environment interactions, and assortative mating by correlated characters. Laboratory results may not adequately represent the genetic architecture of large outbred populations in their natural environments.-from Authors",16,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,21,10.1111/j.1558-5646.1983.tb05594.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020947240,SCOPUS_ID:0020947240,2-s2.0-0020947240,Male fertility and anisoplethic population structure in tristylous Pontedera cordata ( Pontederiaceae).,Barrett S.C.H.,Evolution,00143820,37,4,745-759,1983-01-01,1983,"Average frequencies of the long-, mid- and short-styled morphs in a survey of 74 populations are 0.255, 0.346 and 0.399, respectively. Populations are heterogeneous for morph frequency and 76.8% of the 69 trimorphic populations displayed significant anisoplethy. Populations most frequently exhibit a predominance of the short-styled morph and a deficiency of the long-styled morph, irrespective of locality, habitat type or population size. The pattern is also evident at a spatial scale of 20 m2 in two linear roadside ditch populations in North Carolina. A computer simulation model suggests that known differences in pollen production at mid-level anthers of the long- and short-styled morphs could account for the observed anisoplethic population structure in P. cordata as a result of mating asymmetries among the morphs. Variation in pollen production between the mid-level anthers of the long- and short-styled morphs possibly arises because of differences in floral development between the forms and may have no direct adaptive value.-from Authors",25,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,22,10.1111/j.1558-5646.1983.tb05597.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020925937,SCOPUS_ID:0020925937,2-s2.0-0020925937,Gene flow distances in natural populations of Tetraopes tetraophthalmus.,McCauley D.E.,Evolution,00143820,37,6,1239-1246,1983-01-01,1983,Movement patterns of reproducing adults and information on survivorship and fertility patterns during the reproductive/dispersal period of the milkweed beetle are combined to provide estimates of the gene flow distance in 2 populations with contrasting habitat structure. Implications of results for micro-evolutionary processes are discussed. -from Author,20,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,23,10.1111/j.1558-5646.1983.tb00240.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020925142,SCOPUS_ID:0020925142,2-s2.0-0020925142,Molecular variation in insular endemic Drosophila species of the Macaronesian Archipelagos.,Gonzalez A.M.,Evolution,00143820,37,6,1128-1140,1983-01-01,1983,"Drosophila guanche and D. madeirensis, have levels of molecular variation similar to those of species with much wider distribution ranges. Both species may be considered actual relicts of a primitive ancestor of the melanogaster and obscura groups.-from Authors",8,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,24,10.1111/j.1558-5646.1983.tb00227.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020923625,SCOPUS_ID:0020923625,2-s2.0-0020923625,Distribution of sexual and apomictic populations of Antennaria parlinii.,Bayer R.J.,Evolution,00143820,37,3,555-561,1983-01-01,1983,"Populations of the dioecious composite Antennaria parlinii along a transect from West Virginia to NW Ohio are mostly sexual in the unglaciated SE region. In the glaciated region in NW Ohio, populations consist entirely or chiefly of pistillate clones. Near the terminal moraine of the Wisconsin glaciation, 2 populations contain a mixture of sexual, fully apomictic and facultatively apomictic clones. In general, where populations are closely spaced in varied habitats, sexual clones are most successful. Widely spaced populations are primarily or entirely apomictic, perhaps because of the colonizing ability of the apomicts. The presence of facultative apomicts suggests gradual evolution of obligate anomixis.-Authors",33,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,25,10.1111/j.1558-5646.1983.tb05572.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020917075,SCOPUS_ID:0020917075,2-s2.0-0020917075,Interspecific variation in the size of the nutrient investment made by male butterflies during copulation.,Rutowski R.L.,Evolution,00143820,37,4,708-713,1983-01-01,1983,Interspecific comparisons of lepidopteran mating behavior reveal that there is surprisingly little variation in the overall structure of mating behavior from species to species. This apparent lack of strong interspecific differences in behavior suggests minor differences between species in the intensity of sexual selection and therefore that the nutritional investments made by males during copulation are similar from species to species. This paper represents a preliminary effort to test this prediction by comparing the quantities of material passed by males on a per unit body weight basis for 10 species of butterflies that are common in the southern USA.-from Authors,42,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,26,10.1111/j.1558-5646.1983.tb05592.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020903529,SCOPUS_ID:0020903529,2-s2.0-0020903529,"Intraspecific genetic variation and haplodiploidy, eusociality, and polygyny in the Hymenoptera.",Berkelhamer R.C.,Evolution,00143820,37,3,540-545,1983-01-01,1983,"Mean heterozygosity values for 101 insect species were analyzed to test a series of hypotheses concerning the patterning of genetic variability within the Hymenoptera. The following conclusions are drawn. 1) 50 hymenopteran species have significantly lower H values than do 51 diplodiploid non-hymenopterans. 2) Among Hymenoptera, primitively eusocial species are less genetically variable than either solitary or advanced eusocial species. The latter 2 groups do not differ. 3) Among ants studied, polygynous and monogynous species have similar levels of genetic variability.-from Author",42,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,27,10.1111/j.1558-5646.1983.tb05570.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020903524,SCOPUS_ID:0020903524,2-s2.0-0020903524,A cost of reproduction in a terrestrial isopod.,Brody M.S.,Evolution,00143820,37,3,653-655,1983-01-01,1983,"The hypothesis that small body size can decrease the probability of surviving was tested on a terrestrial isopod. Females were subjected to regimes of desiccation and lethal low temperatures (important, naturally occuring physical environmental stresses). Larger females usually survived these stresses when smaller females did not. During periods of reduced food availability females reproduced rather than grow, therefore remaining smaller and reducing their probability of survival, and therefore also reducing their probability of future reproduction. This constitutes a measurable cost of reproduction.-from Authors English",21,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,28,10.1111/j.1558-5646.1983.tb05586.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020901623,SCOPUS_ID:0020901623,2-s2.0-0020901623,Clonal diversity and evolutionary dynamics in a diploid breeding complex of unisexual fishes ( Poecilia).,Turner B.J.,Evolution,00143820,37,4,798-809,1983-01-01,1983,"A unisexual-bisexual 'breeding complex' of viviparous poeciliid fishes exists in the Rio Soto la Marina Basin in NE Mexico. The complex consists of an indigenous bisexual 'host' species, Poecilia 'mexicana' (possibly distinct on the specific or subspecific level from nominally conspecific populations elsewhere in Mexico), a diploid all-female gynogen, P. formosa (ultimately of exogenous origin), and triploid all-female gynogens that result from fertilization of diploid P. formosa ova by host sperm. As assessed by allozyme technique, the host population has average levels of heterozygosity, but is highly differentiated geographically. The level of differentiation, even among samples collected along a single tributary, is much higher than is encountered in shortfin mollies in other drainages, and is at the upper limit of the known variation of conspecific fish populations in a single drainage. Allozyme variability is low in the diploid unisexual. In contrast, variability among the triploids was rather high.-from Authors Poecilia formosa Poecilia mexicana Rio Soto la Marina Basin Mexico. English",33,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,29,10.1111/j.1558-5646.1983.tb05601.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020901319,SCOPUS_ID:0020901319,2-s2.0-0020901319,Genetic and environmental determinants of wing polymorphism in the waterstrider Limnoporus canaliculatus.,Zera A.J.,Evolution,00143820,37,3,513-522,1983-01-01,1983,"There was a strong genetic component to morph determination, but results were inconsistent with a single-locus, two-allele mode of inheritance. Photoperiod strongly influenced morph determination, with a higher proportion of long-winged morphs being produced in the short-decreasing photoperiod treatment. A photoperiod-dependent morph X sex association was also observed.-from Authors",37,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,30,10.1111/j.1558-5646.1983.tb05568.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020901318,SCOPUS_ID:0020901318,2-s2.0-0020901318,Contrasting gene flow patterns and genetic subdivision in adjacent populations of Cucumis sativus ( Cucurbitaceae).,Handel S.N.,Evolution,00143820,37,4,760-771,1983-01-01,1983,"A test of the similarity of gene migration patterns between adjacent field populations of cucumber was conducted by interplanting a block of plants with the dominant bitter gene in the center of each of two large plots of plants with the recessive allele for this marker. After natural pollination, mature fruits were mapped and then collected throughout both fields, and the seedling progeny scored for the presence of the bitter gene. The pattern of gene flow in both plots was very restricted, with most of the bitter pollen deposited within 2-3 m from the central bitter block. These and other results show that adjacent plant populations, even in homogeneous environments, can have different pollen flow dynamics, and that there can be a directional migration of alleles in a plant population without the influence of a selection pressure acting on one part of the population.-from Author",38,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,31,10.1111/j.1558-5646.1983.tb05598.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0020901317,SCOPUS_ID:0020901317,2-s2.0-0020901317,Breeding system and habitat effects on fitness components in three neotropical Costus ( Zingiberaceae).,Schemske D.W.,Evolution,00143820,37,3,523-539,1983-01-01,1983,"All species are self-compatible, and require a treefall gap for germination and establishment. Self-pollination resulted in lower seed output in all species; this difference was significant for Costus allenii and C. laevis. Seedling growth of selfed, outcrossed and naturally-pollinated Costus allenii, C. laevis and C. guanaiensis in sun and shade habitats in the greenhouse was unaffected by breeding system, but significantly affected by habitat, with reduced growth in shade. Selfed progeny had the lowest biomass in all treatments, with inbreeding depression for growth ranging from 8-25% compared to out-crossed performance. Reduced growth and greater variation in growth for selfed, as compared to out-crossed, progeny are consistent with the hypothesis that inbreeding depression in these species results from homozygosity of rare, deleterious alleles which are not expressed in the heterozygous state. Relative biomass production varied more between sun and shade habitats for selfed, than outcrossed or naturally-pollinated progeny, suggesting that increased homozygosity following inbreeding reduces genotypic versatility.-from Author",111,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,32,10.1111/j.1558-5646.1983.tb05569.x,all,All Open Access
