@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0028572851,SCOPUS_ID:0028572851,2-s2.0-0028572851,"A speciational history of ""living fossils': molecular evolutionary patterns in horseshoe crabs",Avise J.C.,Evolution,00143820,48,6,1986-2001,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02228.x,"Horseshoe crabs' exceptional morphological conservatism over the past 150 My has led to their reputation as ""living fossils,' but also has served to obscure phylogenetic relationships within the complex. Nucleotide sequences from two mitochondrial genes are employed to assess molecular evolutionary rates and patterns among all extant horseshoe crab species. The American species Limulus polyphemus proved to be the sister taxon to a clade composed of the Asiatic species Tachypleus gigas, T. tridentatus, and Carcinoscorpius rotundicauda, whose relationships inter se were not resolved definitively. Both absolute and relative rate tests suggest a moderate slowdown in sequence evolution in horseshoe crabs. Nonetheless, dates of the lineage separations remain uncertain. -from Authors",75,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028561478,SCOPUS_ID:0028561478,2-s2.0-0028561478,Phylogenies without fossils,Harvey P.H.,Evolution,00143820,48,3,523-529,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01341.x,"Phylogenies that are reconstructed without fossil material often contain approximate dates for lineage splitting. For example, particular nodes on molecular phylogenies may be dated by known geographic events that caused lineages to split, thereby calibrating a molecular clock that is used to date other nodes. But such phylogenies contain no information about lineages that have become extinct. They do provide a potentially useful testing ground for ideas about evolutionary process. The authors ask what such reconstructed phylogenies should be expected to look like under a birth-death process in which the birth and death parameters of lineages remain constant through time. It is possible to estimate both the birth and death rates of lineages from the reconstructed phylogenies, even though they contain no explicit information about extinct lineages. Such phylogenies can reveal mass extinctions and their characteristic footprint can be distinguished from similar ones produced by density-dependent cladogenesis. -Authors",180,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028327980,SCOPUS_ID:0028327980,2-s2.0-0028327980,Genetic structure and diversity within local populations of Bacillus mycoides,Bell J.A.,Evolution,00143820,48,5,1698-1714,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02206.x,NA,13,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028327979,SCOPUS_ID:0028327979,2-s2.0-0028327979,The evolution of carbon allocation to plant secondary metabolites: A genetic analysis of cost in Diplacus aurantiacus,Han Kaiping ,Evolution,00143820,48,5,1550-1563,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02195.x,NA,55,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028322703,SCOPUS_ID:0028322703,2-s2.0-0028322703,The effect of environmental variability on the heritabilities of traits of a field cricket,Simons A.M.,Evolution,00143820,48,5,1637-1649,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02201.x,NA,90,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028322594,SCOPUS_ID:0028322594,2-s2.0-0028322594,The evolution of distyly: Pollen transfer in artificial flowers,Stone J.L.,Evolution,00143820,48,5,1595-1606,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02198.x,NA,64,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,16,Herkogamy | Heterostyly,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028321275,SCOPUS_ID:0028321275,2-s2.0-0028321275,Evolutionary and historical analysis of protein variation in the blotched forms of salamanders of the Ensatina complex (Amphibia: Plethodontidae),Jackman T.R.,Evolution,00143820,48,3,876-897,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01369.x,NA,67,Journal,ar,Article,100,2,2,22104,9019810,1,TRUE,all,All Open Access,17,NA,BIO,Directorate for Biological Sciences
true,https://api.elsevier.com/content/abstract/scopus_id/0028321274,SCOPUS_ID:0028321274,2-s2.0-0028321274,The relationship between inbreeding depression and prior inbreeding among populations of four Mimulus taxa,Latta R.,Evolution,00143820,48,3,806-817,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01363.x,NA,79,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028321075,SCOPUS_ID:0028321075,2-s2.0-0028321075,Gene genealogy and differentiation among arboreal spiny rats (Rodentia: Echimyidae) of the Amazon Basin: A test of the riverine barrier hypothesis,Patton J.L.,Evolution,00143820,48,4,1314-1323,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05315.x,NA,150,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028321074,SCOPUS_ID:0028321074,2-s2.0-0028321074,Food provisioning in relation to reproductive strategy in altricial birds: A comparison of two hypotheses,Saether B.E.,Evolution,00143820,48,4,1397-1406,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05324.x,NA,25,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028317551,SCOPUS_ID:0028317551,2-s2.0-0028317551,How to compensate for costly sexually selected tails: The origin of sexually dimorphic wings in long-tailed birds,Balmford A.,Evolution,00143820,48,4,1062-1070,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05293.x,NA,60,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,21,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028317298,SCOPUS_ID:0028317298,2-s2.0-0028317298,Evolution and development of body size and cell size in Drosophila melanogaster in response to temperature,Partridge L.,Evolution,00143820,48,4,1269-1276,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05311.x,NA,329,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,NA,NA,22,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312362,SCOPUS_ID:0028312362,2-s2.0-0028312362,Evolution of vegetative incompatibility in filamentous ascomycetes. I.Deterministic models,Nauta M.J.,Evolution,00143820,48,4,979-995,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05287.x,NA,37,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,23,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312352,SCOPUS_ID:0028312352,2-s2.0-0028312352,The effects of kinship on growth and development in tadpoles of Rana cascadae,Hokit D.G.,Evolution,00143820,48,4,1383-1388,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05322.x,NA,26,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,24,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312234,SCOPUS_ID:0028312234,2-s2.0-0028312234,Morphological versus genetic markers in classifying hybrid plants,Floate K.D.,Evolution,00143820,48,3,929-930,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01375.x,NA,15,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,25,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312233,SCOPUS_ID:0028312233,2-s2.0-0028312233,"Speciation by polyploidy in treefrogs: Multiple origins of the tetraploid, Hyla versicolor",Ptacek M.B.,Evolution,00143820,48,3,898-908,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01370.x,NA,132,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,26,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312232,SCOPUS_ID:0028312232,2-s2.0-0028312232,"Chromosomal versus mitochondrial DNA evolution: Tracking the evolutionary history of the southwestern European populations of the Sorex araneus group (Mammalia, Insectivora)",Taberlet P.,Evolution,00143820,48,3,623-636,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01349.x,NA,113,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,27,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312231,SCOPUS_ID:0028312231,2-s2.0-0028312231,Population structure and levels of gene flow in the Mediterranean land snail Albinaria corrugata (Pulmonata: Clausiliidae),Schilthuizen M.,Evolution,00143820,48,3,577-586,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01345.x,NA,100,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,28,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312003,SCOPUS_ID:0028312003,2-s2.0-0028312003,"Symmetry, locomotion, and the evolution of an anterior end: A lesson from sea urchins",Grabowsky G.L.,Evolution,00143820,48,4,1130-1146,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05300.x,NA,18,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,29,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312002,SCOPUS_ID:0028312002,2-s2.0-0028312002,Inverse relationship between functional maturity and exponential growth rate of avian skeletal muscle: A constraint on evolutionary response,Ricklefs R.E.,Evolution,00143820,48,4,1080-1088,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05295.x,NA,88,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,30,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028311778,SCOPUS_ID:0028311778,2-s2.0-0028311778,Evolutionary adaptation to temperature. III.Adaptation of Escherichia coli to a temporally varying environment,Leroi A.M.,Evolution,00143820,48,4,1222-1229,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05307.x,NA,51,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,31,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028311774,SCOPUS_ID:0028311774,2-s2.0-0028311774,Postdipersal sibling competition and the evolution of single-seededness in Cryptantha flava,Casper B.B.,Evolution,00143820,48,4,1377-1382,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05321.x,NA,13,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,32,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028310020,SCOPUS_ID:0028310020,2-s2.0-0028310020,The evolution of unpalatability and warning coloration in soft-bodied marine invertebrates,Tullrot A.,Evolution,00143820,48,3,925-928,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01374.x,NA,18,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,33,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028310019,SCOPUS_ID:0028310019,2-s2.0-0028310019,The dual role of selection and evolutionary history as reflected in genetic correlations,Jernigan R.W.,Evolution,00143820,48,3,587-596,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01346.x,NA,34,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,34,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028259160,SCOPUS_ID:0028259160,2-s2.0-0028259160,"Developmental noise, phenotypic plasticity, and allozyme heterozygosity in Daphnia",Yampolsky L.Y.,Evolution,00143820,48,5,1715-1722,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02207.x,NA,37,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,35,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028255709,SCOPUS_ID:0028255709,2-s2.0-0028255709,The distribution and origin of genes for race-specific resistance to Melampsora lini in Linum marginale,Burdon J.J.,Evolution,00143820,48,5,1564-1575,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02196.x,NA,53,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,36,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028254265,SCOPUS_ID:0028254265,2-s2.0-0028254265,Some evolutionary possibilities for a microbe that causes incompatibility in its host,Prout T.,Evolution,00143820,48,3,909-911,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01371.x,NA,55,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,37,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028254203,SCOPUS_ID:0028254203,2-s2.0-0028254203,Provincialism in plankton: Endemism and allopatric speciation in Australian Daphnia,Hebert P.D.,Evolution,00143820,48,4,1333-1349,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05317.x,NA,72,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,38,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028254202,SCOPUS_ID:0028254202,2-s2.0-0028254202,Evidence for restricted gene flow in the viviparous coral Seriatopora hystrix on Australia's Great Barrier Reef,Ayre D.J.,Evolution,00143820,48,4,1183-1201,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05304.x,NA,127,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,39,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253960,SCOPUS_ID:0028253960,2-s2.0-0028253960,Is decreased frequency of mating among conspecifics a cost of sympatry in salamanders?,Verrell P.A.,Evolution,00143820,48,3,921-925,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01373.x,NA,17,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,40,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253959,SCOPUS_ID:0028253959,2-s2.0-0028253959,Temporal variation in populations of the marine isopod Excirolana: How stable are gene frequencies and morphology?,Lessios H.A.,Evolution,00143820,48,3,549-563,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01343.x,NA,61,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,41,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253911,SCOPUS_ID:0028253911,2-s2.0-0028253911,Encapsulation of eggs by marine gastropods: Effect of variation in capsule form on the vulnerability of embryos to predation,Rawlings T.A.,Evolution,00143820,48,4,1301-1313,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05314.x,NA,52,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,42,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253685,SCOPUS_ID:0028253685,2-s2.0-0028253685,Pollen discounting and the spread of a selfing variant in tristylous Eichhornia paniculata: Evidence from experimental populations,Kohn J.R.,Evolution,00143820,48,5,1576-1594,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02197.x,NA,45,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,43,Self-fertilization,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253679,SCOPUS_ID:0028253679,2-s2.0-0028253679,A quantitative-genetic model for selection on developmental noise,Gavrilets S.,Evolution,00143820,48,5,1478-1486,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02190.x,NA,109,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,44,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028253489,SCOPUS_ID:0028253489,2-s2.0-0028253489,The evolutionary genetics and developmental basis of wing pattern variation in the butterfly Bicyclus anynana,Monteiro A.F.,Evolution,00143820,48,4,1147-1157,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05301.x,NA,86,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,all,All Open Access,45,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028252104,SCOPUS_ID:0028252104,2-s2.0-0028252104,"Geographic distribution of mitochondrial DNA variants and the historical biogeography of the spotted salamander, Ambystoma maculatum",Phillips C.A.,Evolution,00143820,48,3,597-607,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01347.x,NA,46,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,46,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251850,SCOPUS_ID:0028251850,2-s2.0-0028251850,Hierarchical genetic structure and gene flow in macrogeographic populations of the eastern tent caterpillar (Malacosoma americanum),Costa J.T.,Evolution,00143820,48,4,1158-1167,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05302.x,NA,22,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,47,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251252,SCOPUS_ID:0028251252,2-s2.0-0028251252,Genetic consequences of seed dispersal in three sympatric forest herbs. I.lHierarchical population-genetic structure,Williams C.F.,Evolution,00143820,48,3,791-805,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01362.x,NA,42,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,48,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251251,SCOPUS_ID:0028251251,2-s2.0-0028251251,Global survey of mitochondrial DNA sequences in the threespine stickleback: Evidence for recent migrations,Orti G.,Evolution,00143820,48,3,608-622,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01348.x,NA,194,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,all,All Open Access,49,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251052,SCOPUS_ID:0028251052,2-s2.0-0028251052,Effects of serial inbreeding on fitness components in Impatiens capensis,McCall C.,Evolution,00143820,48,3,818-827,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01364.x,NA,39,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,50,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251003,SCOPUS_ID:0028251003,2-s2.0-0028251003,The genetics of viability in Drosophila melanogaster: Effects of inbreeding and artificial selection,Garcia N.,Evolution,00143820,48,4,1277-1285,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05312.x,NA,72,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,51,NA,NA,NA
