@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/1642309111,SCOPUS_ID:1642309111,2-s2.0-1642309111,"Preliminary check-list of the marine, shelled gastropods (Mollusca) of Golfo Dulce, on the Pacific coast of Costa Rica",Høisæter T.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,263-270,1998-12-01,December 1998,"Based on partly worked up material from three brief collecting excursions to the peninsular shore of Golfo Dulce, 252 species of shelled gastropods, mostly prosobranchs and pyramidellids, have been identified. This being the first report on intertidal and shallow water gastropods from the gulf, the list may be taken as a preliminary check list of this fauna element from Golfo Dulce. Only partly sorted material from two additional trips to the gulf contains at least 100 additional species not yet identified.",4,Journal,ar,Article,100,1,1,Chek list | Golfo Dulce | Mollusks | Shelled gastropods,13567,undefined,0,FALSE,11,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944281926,SCOPUS_ID:13944281926,2-s2.0-13944281926,"Patrones de comportamiento diurnos y estacionales de Tursiops truncatus y Stenella attenuata (Mammalia: Delphinidae) en el Golfo Dulce, Costa Rica",Cubero Pardo P.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,103-110,1998-12-01,December 1998,"From July 1996 to June 1997, 123 sightings of bottlenose dolphins and 17 sightings of spotted dolphins were made in Golfo Dulce, south Pacific of Costa Rica. Behavioral patterns of both bottlenose and spotted dolphins were analyzed, classifying behavior in five categories such as travelling, feeding, passive socializing, active socializing and milling. Instantaneous data recording was used, and only sightings equal or longer than 15 minutes were considered. Correspondence Analysis revealed differences in diurnal patterns between the two species while seasonal patterns showed important similarities. Diurnal differences were explained in terms of external aspects (i.e. prey) instead of internal requirements due to time proportions for each activity were similar. Coincidence of time proportion spent on feeding activities during dry season (January-April) as well as coincidence of time proportion invested on active social activities during late wet season (September-December) in the two species were explained on a survival basis.",12,Journal,ar,Article,100,1,1,Behavioral patterns | Cetacea | Costa Rica | Dolphin | Golfo Dulce,13567,undefined,0,FALSE,12,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944281578,SCOPUS_ID:13944281578,2-s2.0-13944281578,Dinámica de las aguas en la parte interna del Golfo de Nicoya ante altas descargas del Río Tempisque,Lizano O.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,11-20,1998-12-01,December 1998,"The water dynamics of the upper part of the Gulf of Nicoya were studied under high discharges of the Tempisque river. The salinity values close to freshwater found north of Chira island are the lowest reported for this zone, and have importance in mariculture planing. A salinity gradient is developed during low tide, indicating a strong stratification in the inner Gulf. High freshwater river discharge is coupled with an upstream bottom flow (salt wedge) that reaches the head of the estuary. Under high river discharges, surface and bottom salinity values are correlated with depth, where vertical shear and tidal pumping must explain the high salinity values found in the bottom inward flow. A fish distribution pattern is proposed based on the observed salinity distribution and some field data. Salinity gradients appear to influence the concentration of fish in several relatively deep areas in the inner Gulf of Nicoya.",10,Journal,ar,Article,100,1,1,Costa Rica | Estuarine dynamics | Fish resources | Nicoya Gulf | Salinity distribution | Tempisque river discharge,13567,undefined,0,FALSE,13,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944279033,SCOPUS_ID:13944279033,2-s2.0-13944279033,"Comparación de algunos aspectos físico-químicos y calidad sanitaria del Estero de Puntarenas, Costa Rica",Acuña J.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,1-10,1998-12-01,December 1998,"Nutrients, temperature, Secchi disk depth and dissolved oxygen spatial distributions were determined along the Puntarenas Estuary. Eleven sampling cruises took place in 1982 and twelve more were carried out during 1990-1992, collecting water samples on a surface and bottom basis along the salinity gradient at six and nine stations, respectively. Salinity profiles indicated a partially mixed estuary during most of the cruises, although the strong tidal current ocasionally modified the pattern. During the second part of the study, the global concentration ranses for nitrate and phosphate were broader than those in the first part. Total and fecal coliforms (TC, FC) were determined as most probable number (MPN/100 ml) during six cruises of the second period in nine stations; results showed a typical situation of a very polluted estuary, with values in the range of less than 2 to 1.6 × 107 MPN/100 ml for TC and less than 2 to 9.2 × 106 MPN/100 ml for FC.",4,Journal,re,Review,100,3,3,Coliforms | Costa Rica | Estuary | Nutrients | Pacific,13567,undefined,0,FALSE,14,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944271213,SCOPUS_ID:13944271213,2-s2.0-13944271213,"Organochlorinated pesticide contaminants in Golfo Dulce, Costa Rica",Spongberg A.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,111-124,1998-12-01,December 1998,"The organic contaminant load within the sediments of Golfo Dulce has so far gone unstudied. Concentrations of persistent pesticides were ascertained for comparison with future contaminant loads and for evaluation of response of biota to these compounds. Forty seven sediment cores were collected from the shores of Golfo Dulce, Costa Rica for quantification of persistent pesticide contamination, particle size distribution, and organic matter content. The gulf has to date had only minimal accumulations of pesticides. The deep anoxic fine-grained organic sediments in the northern portion of the gulf have had minimal impact from humans. However, evidence of pesticide metabolites, and aromatic hydrocarbons may indicate an accumulation of some contaminants and degradation of others in this zone. The Esquinas River sediments were found to contain numerous persistent pesticides, such as α,β,γ, and δ-BHC. The Coto-Colorado River sediments are coarser in texture, with low organic contents and may not retain pesticides efficiently. The pesticide load from this river may be transported great distances within the gulf. The Golfito area had little pesticide contamination, however, aromatic and diesel hydrocarbons were in great abundance in these sediments.",17,Journal,ar,Article,100,2,2,Costa Rica | Golfo Dulce | Organochlorinated pesticides | Tropical estuary,13567,undefined,0,FALSE,15,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944269727,SCOPUS_ID:13944269727,2-s2.0-13944269727,"Macroinfauna of a tropical fjord-like embayment: Golfo Dulce, Costa Rica",Léon-Morales R.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,81-90,1998-12-01,December 1998,"A total of 136 sediment subsamples was analyzed (500 μm mesh screen) for benthic invertebrates from 26 box corer samples collected by the RV Victor Hensen (Dec. 7, 8, 9, 1993), at nine stations ranging in depth from 43 to 200 m in the Golfo Dulce embayment, Pacific coast of Costa Rica. A total of 1690 individuals and 69 species was found; polychaetes dominated the fauna in terms of number of individuals (1506) and species (47). Eight species of polychaetes accounted for 73% of the total number of individuals: Prionospio (Minuspio) sp. A (19.53%) Aricidea (Acesta) catherinae (13.31%), Levinsenia gracilis (11.00%), Aphelochaeta longisetosa (10.18%), Paraprionospio pinnata (6.63%) Cossura brunnea (5.27%), Mediomastus californiensis (3.61%), and Scoletoma platylobata (3.43%). No organisms were collected at the two deepest stations (200 m) located inside Golfo Dulce; however, a diverse fauna was found at similar depths at the embayment mouth and in waters shallower than 100 m inside Golfo Dulce. The station located at the sill (75 m) was the most diverse (37 species). The species composition of the fauna found during this study has little resemblance to that reported for Golfo Dulce in 1976. Diversity (H') and Evenness (J'), however, were similar in both surveys. The results of cluster analyses performed on the 1976 and 1993 data sets yielded two main groups of stations. One group was made of the stations located at the mouth and shelf, while another group included those located inside Golfo Dulce. The fauna of the sill sediments may represent a transition zone between the environments characteristic of the entrance to Golfo Dulce and those inside the embayment. The fluctuating bottom conditions of hypoxia-anoxia characteristic of most of Golfo Dulce, in addition to the likely impact of strong El Niño in the marine ecosystems, might be the causes for drastic shifts in species composition and abundance. Golfo Dulce is still a relatively unpolluted embayment, but an Integrated Area Management Plan is urgently needed. This paper, in addition to those already published resulting from the RV Victor Hensen Expedition, are a step towards this goal.",18,Journal,ar,Article,100,2,2,Anoxic basin | Benthos | Box corer | Costa Rica | Golfo Dulce | Infauna | Polychaetes,13567,undefined,0,FALSE,16,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944267723,SCOPUS_ID:13944267723,2-s2.0-13944267723,"Primary productivity in the water column of Estero Morales, a mangrove system in the Gulf of Nicoya, Costa Rica",Muñoz R.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,257-262,1998-12-01,December 1998,"Primary productivity was measured in the estuary Estero Morales during 15 months (1990-1991). Water column primary productivity was determined using the dissolved oxygen method at two different depths (1=50% and 1=10%) at each research site and during two consecutive days of sampling . Rosettes were incubated for five hours with three clear bottles and two dark bottles. The Winkler method was used to determine dissolved oxygen. Primary productivity was also measured with lower sampling frequency at the Cortezas Islands to obtain a point of comparison. These sites are all located in the Gulf of Nicoya, Costa Rica (10° N, 85° W). Water column net primary productivity in Estero Morales presented average values from 1.20 ± 0.70 g C/m2 d (around 450g C/m2 year). Values obtained from Islas Cortezas were around 1.69 gC / m2 d. There was a significant difference between the dry and rainy seasons with respect to net primary productivity (z=2.196, p<0.03). Another significant difference was determined between the depths I=50% and I=10% in terms of net primary productivity (z=2.51, p<0.006). The values obtained for primary productivity establish Nicoya Gulf as one of the most productive estuaries in the world. A follow-up study is recommended for this area, consisting of simultaneous sampling at different points of the Gulf of Nicoya. These samples should be taken at a minimum of five different incubation depths for each sample in order to obtain more detailed information in calculating productivity by layers in water column. It is also recommended that frequency of sampling be increased for greater assurance that results are not produced by the distribution of patches of phytoplankton.",12,Journal,ar,Article,100,1,1,Dissolved oxygen | Primary productivity | Tropical estuary | Water column,13567,undefined,0,FALSE,17,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944253851,SCOPUS_ID:13944253851,2-s2.0-13944253851,"Type, distribution, and origin of sediments of the Gandoca-Manzanillo National Wildlife Refuge, Limón, Costa Rica",Cortés J.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,251-256,1998-12-01,December 1998,"Sediments and the marine current system at the Gandoca-Manzanillo National Wildlife Refuge, Caribbean coast of Costa Rica, define two sedimentary environments. One between Punta Uva and Manzanillo, where sediments were derived from the coral reefs and local geological formations. The other lies between Punta Mona and Río Sixaola, where sediments arrive primarily from outside the area. Fine-grained sediments were collected off rivers and creeks mouths, and adjacent beaches. The highest percentage of carbonates (60 to 80%) was found off Punta Uva, and consisted mainly of mollusk, algal and coral fragments, and Foraminifera. Magnetite found in large quantities off Manzanillo, and also observed on the beach, was derived locally from the Río Banano Formation. Clay and silt were found in high concentrations from Punta Mona to Río Sixaola. Other minerals, pyroxene and hydrobiotite, probably originated from the erosion of intrusive rocks cropping out in the central section of the Talamanca Range. The sediment plume of Río Sixaola extends several kilometers off shore, flowing northwest and affecting coral reefs off Punta Mona. Other areas of the Refuge are not exposed to high concentrations of terrigenous sediments. However, as a result of deforestation, new constructions and removal of riparian and coastal forests, more coral reefs of the Refuge will be affected by sediments.",6,Journal,ar,Article,100,4,4,Costa Rica | Gandoca-Manzanillo | Reef sediments | Wildlife Refuge,13567,undefined,0,FALSE,18,NA
true,https://api.elsevier.com/content/abstract/scopus_id/13944253096,SCOPUS_ID:13944253096,2-s2.0-13944253096,Characterization of some Golfo Dulce drainage basin rivers (Costa Rica),Umaña V. G.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,125-135,1998-12-01,December 1998,"Basic physico-chemical parameters and benthic invertebrate diversity were measured from several streams that drain into the Golfo Dulce (southern Pacific coast of Costa Rica) during 1996-1997. A total of 15 sites were visited in the Osa Peninsula, and the Esquinas and Coto-Colorado river basins, all under 100 m in altitude. Dissolved oxygen and suspended solids differed among sites, even though dissolved oxygen always showed values within a narrow range above 75% saturation , meaning that no site had oxygen deficit at the time of sampling. Suspended solids varied greatly: rivers with high values also had low values during low discharge. A cluster analysis based on the physico-chemical data yielded two groups separated mainly by the variability and maximum value of suspended solids. The benthic fauna is poor in species and is composed of insect larvae (48 species), crustaceans (seven species, of which three are freshwater species) and other three invertebrate species. The most abundant groups were Ephemeroptera and Decapoda. Total diversity was also quite variable (range 1-22 species depending on site). Diversity is best explained by substrate type and suspended solids load.",8,Journal,ar,Article,100,1,1,Benthos | Diversity | Golfo Dulce | Temporal variability | Tropical rivers | Water quality,13567,undefined,0,FALSE,19,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347662583,SCOPUS_ID:0347662583,2-s2.0-0347662583,"Food of the grouper Caprodon longimanus from Alejandro Selkirk Island, Chile (Perciformes: Serranidae)",Rojas M J.R.,Revista de Biologia Tropical,00347744,46,4,937-942,1998-12-01,December 1998,"Diet and food preference of Caprodon longimanus were studied at Alejandro Selkirk Island, Chile. The fishes (N=55) were collected in November and December 1996 using long line and the sizes ranged from 176-286 mm in SL. This grouper is a pelagic opportunistic zooplanktivorous predator. Thalia sp. (Tunicata: Salpida) was the most frequent and abundant prey accounting for 93.3% occurrence based on 1655 individuals. A total of 17 genera of crustaceans as well as pteropods, chaetognaths and polychaete worms were found in the stomach contents. A total of 14.3% of all stomachs were empty.",3,Journal,ar,Article,100,3,3,Alejandro Selkirk Island | Caprodon longimanus | Chile | Eastern South Pacific | Serranidae | Stomach content analysis,13567,undefined,0,FALSE,20,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347662563,SCOPUS_ID:0347662563,2-s2.0-0347662563,Reproductive activity of birds in a mangrove swamp in Northeast Costa Rica,Barrantes G.,Revista de Biologia Tropical,00347744,46,4,1163-1166,1998-12-01,December 1998,NA,5,Journal,ar,Article,100,1,1,NA,13567,undefined,0,FALSE,21,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347031744,SCOPUS_ID:0347031744,2-s2.0-0347031744,Age and growth of Oreochromis niloticus (Perciformes: Cichlidae) in Mexico,Gómez-Márquez J.L.,Revista de Biologia Tropical,00347744,46,4,929-936,1998-12-01,December 1998,"Age and growth of Oreochromis niloticus from Lagoon of Coatetelco, Morelos State, Mexico were studied from January through December, 1993. Scales of 318 specimens were collected. Modal length at capture was 10.5-11.5 cm standard length. Scales rings were formed during December. Back-calculated lengths-at-age showed no significant differences by sex. Four check marks were recorded. According to the growth curve parameters for population, the fish grow at a low rate (k=0.07) until they achieve a size (L∞) of 29.19 cm. Length-frequency analysis (Bhattacharya's Gaussian component determination procedure) do not differ significantly (t-student, p<0.05), from the scale reading.",12,Journal,ar,Article,100,1,1,Age | Growth | Length-frequency | Mexico | Oreochromis niloticus | Scales,13567,undefined,0,FALSE,22,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347031742,SCOPUS_ID:0347031742,2-s2.0-0347031742,"Orchid florula of Parque Nacional Manuel Antonio, Quepos, Costa Rica",Pupulin F.,Revista de Biologia Tropical,00347744,46,4,961-1031,1998-12-01,December 1998,"An orchid florula of Parque Nacional Manuel Antonio, Costa Rica, is provided on the basis of collections made in 91 plots within the park and field observations carried out in the neighbouring areas; 39 species belonging to 25 genera are recorded. Orchid species are described and a key to the species for field identification, based on vegetative features, is provided. Analytical drawings are provided for 35 of the taxa considered. Ecological notes and estimate of frequency for each species within the Park are given. A new orchid species, Lockhartia pandurata, is described and illustrated.",15,Journal,ar,Article,100,1,1,Costa Rica | Frequency | Orchidaceae | Parque Nacional Manuel Antonio | Taxonomy | Tropical wet forest,13567,undefined,0,FALSE,23,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347031740,SCOPUS_ID:0347031740,2-s2.0-0347031740,Lectins of Erythrina poeppigiana and Erythrina steyermarkii (Leguminosae): Characterization and mitogenic effect,Quesada S.,Revista de Biologia Tropical,00347744,46,4,1039-1046,1998-12-01,December 1998,"Erythrina species are widely distributed in Costa Rica and known popularly as ""poró"". In this study, two species were selected, Erythrina poeppigiana and Erythrina steyermarkii. Seed extracts were prepared in phosphate-buffered saline. The presence of lectins in the extracts was verified by hemagglutinating effect over suspensions of human erythrocytes. A selective hemagglutinating effect on erythrocytes of several mammal species, goat, horse and rabbit red cells was tested; only the latter were agglutinated by E. steyermarkii. The hemagglutinating effect of both lectins was inhibited with the following carbohydrates: D-galactose, N-acetyl galactosamine, D-lactose and D-raffinose. The lectin from E. steyermarkii was also inhibited with L-rhamnose. Both lectins were isolated with gel filtration and affinity chromatography using lactose as ligand. Fractions that proved positive were tested with the sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE). Gel filtration and SDS-PAGE showed that these lectins have an apparent molecular mass of 50kDa, and are formed by two subunits of approximately 25 kDa. E. poeppigiana had no mitogenic effect, but the extract of E. steyermarkii had a mitogenic effect on human mononuclear cells isolated from peripheral blood. The stability of the lectins was tested at different temperature and pH ranges (4 to 100°C) and at pH 2 to 12. Both were stable at a pH range from 2 to 10, and at temperatures from 40 to 70°C.",1,Journal,ar,Article,100,3,3,Erythrina | Lectins | Leguminosae | Mitogen | Poró,13567,undefined,0,FALSE,24,NA
