@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,authkeywords,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0027870940,SCOPUS_ID:0027870940,2-s2.0-0027870940,Response of a predator to variation in prey density at three hierarchical scales: Lady beetles feeding on aphids,Ecology,00129658,74,7,1929-1938,1993-01-01,1993,10.2307/1940836,"We investigated the response of two species of lady beetle, Coccinella 7 -punctata and Hippodamia variegata, to spatial variation in the density of aphids on fireweed, Epilobium angustifolium. Our approach involved experimental manipulations of aphid densities and field observations of lady beetle foraging at three different scales: (1) individual lady beetles on individual fireweed stems, (2) populations of lady beetles on individual fireweed stems, and (3) populations of lady beetles in populations of fireweed stems. At the finest scale, we found that individual lady beetles remained on single fireweed stems longer in the presence of large aphid colonies. However, this behavioral response to aphid density was weak, explaining only 11 and 4% of the total variance in the length of time C. 7 -punctata and H. variegata remained on the stems. To examine directly the population-level effects of this individual lady beetle behavior, we conducted a second series of experiments that focused on the response of populations of lady beetles; we released large numbers of lady beetles into field plots in which we had manipulated the number and size of aphid colonies. By sampling the distribution of lady beetles, we showed that the number of lady beetles found on fireweed stems depended significantly on the presence and size of aphid colonies. The average number of both C. 7 -punctata and H. variegate found on a stem was l 0-20 times greater when the stem contained a large aphid colony than when the stem contained no aphids. Finally, we examined the consequences of these patterns at the scale of populations of lady beetles and populations of fireweed in 25-m2 field plots. We found that the number and size of aphid colonies within the plots explained 50 and 90% of the variation among plots in the average length of time that C. 7-punctata and H. variegata remained. Taken together, these results demonstrate that although individual lady beetle response to aphid density is extremely weak, the cumulative effect of many individuals can produce strong population-level aggregation of lady beetles in areas of high aphid density.",170,Journal,ar,Article,100,3,20308,undefined,0,FALSE,11,Ives A.,3,Aggregation | Aphids | Coccinella 7-punctata | Fireweed | Hippodamia variegata | Lady beetles | Predator behavior | Predator-prey interaction,NSF,National Science Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027870850,SCOPUS_ID:0027870850,2-s2.0-0027870850,On measuring fitness gain curves in plants,Ecology,00129658,74,6,1750-1756,1993-01-01,1993,10.2307/1939933,"The great variety of sexual systems possessed by flowering plants can be understood in terms of sex allocation theory, which assumes that individuals allocate resources to male vs. female reproductive structures so as to maximize total fitness. The relative shapes of the fitness gain curves for each sex can be used to predict and explain such allocation patterns. Recent studies have attempted to measure the shapes of these gain curves by regressing estimates of male or female fitness against flower number for a set of plants of different size. This method is inappropriate, and can lead to incorrect conclusions about the true shapes of the gain curves if some third, causal factor, such as genotype, size, or environmental conditions, affects both allocation and the fitness returns from that allocation. Experimental manipulation of flower number is likely to be the most useful and easily interpretable technique for estimating the shapes of gain curves in plants. -from Author",7,Journal,ar,Article,100,1,20308,undefined,0,FALSE,12,Emms S.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027870243,SCOPUS_ID:0027870243,2-s2.0-0027870243,Body size-prey size relationships in insectivorous marsupials: tests of three hypotheses,Ecology,00129658,74,6,1871-1883,1993-01-01,1993,10.2307/1939944,"There is a strong positive correlation between body size of dasyurid marsupials and the mean sizes of their invertebrate prey. This study tests three hypotheses proposed to explain this replationship, using 21 species of dasyurids (body mass range: 5-200 g): 1) the maximum prey size that can be physically handled increases with dasyurid size due to the restricted gapes or forces of biting of smaller dasyurids; 2) the prey size that maximizes rate of energy intake varies with dasyurid size, with animals preferentially consuming the most profitable prey; and 3) prey sizes encountered during foraging vary with dasyurid size. The first hypothesis was rejected. The second and third hypotheses were supported. Individuals of the smaller species maximized rates of energy gain in captivity by feeding preferentially on small prey, and their foraging trails in the field traversed microhabitats where mean potential prey size encountered was small (2-4 mm long). Larger dasyurids preferred large prey, obtained a greater rate of energy gain from them, and foraged in microhabitats where prey lengths averaged ≥6 mm. That larger dasyurids tended to include progressively larger prey in their diets than were available, on average, along their foraging trails, may reflect increasing selectivity for larger prey, but it may also reflect a reduced susceptibility to predation or increased competitive ability for large dasyurids in productive microhabitats, and hence reflect a size-based advantage in encountering large prey. -from Authors",67,Journal,ar,Article,100,2,20308,undefined,0,FALSE,13,Fisher D.,2,NA,NA,NA,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0027870220,SCOPUS_ID:0027870220,2-s2.0-0027870220,A comparison of index-based and pixel-based neighborhood simulations of forest growth,Ecology,00129658,74,6,1707-1712,1993-01-01,1993,10.2307/1939929,"Two reasonable implementations of a neighborhood model of plant growth produce predictions that differ quantitatively in several important respects. For modelling forest canopies, pixel-based implementations should prove superior to implementations that are based on indices of neighborhood crowding. -from Author",8,Journal,ar,Article,100,1,20308,undefined,0,FALSE,14,Armstrong R.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027869421,SCOPUS_ID:0027869421,2-s2.0-0027869421,Interactions between greater snow geese and their rearing habitat,Ecology,00129658,74,7,2045-2055,1993-01-01,1993,10.2307/1940850,"For herbivores, food quality is a major component of habitat quality. However, food quality is complex to assess because it must integrate not only the availability of nutrients but also their digestibility and the requirements of the animal. To evaluate the quality of food and to determine the feeding constraints faced by young herbivores, we compared two brood-rearing habitats used by the Greater Snow Goose (Chen caerulescens atlantica) in the High Arctic using three levels of investigation. The first was based on a quantitative and qualitative analysis of the plants; the second was behavioral, and compared the feeding effort of human-imprinted goslings; and the third was physiological and compared food selection and plant nutrient metabolizability by the goslings. The two habitats grazed by goslings were a sedge meadow (dominated by Carex aquatilis and Dupontia fisheri) and a grass meadow (dominated by Dupontia fisheri and Eriophorum spp.). Plant biomass was higher in the sedge than in the grass meadow. Plant quality declined during the summer but Eriophorum spp. had a significantly higher nitrogen and lower fiber content than the other two species at all times. However, when combining data on quality and relative abundance, the overall plant quality was similar in both meadows. Goslings spent more time feeding and had a higher pecking rate in the grass than in the sedge meadow. Comparison of diet quality to overall plant quality indicated a higher nitrogen and lower fiber content of the diet in the grass meadow but not in the sedge meadow, probably because goslings fed selectively on Eriophorum in the former habitat. Apparent metabolizability of organic matter and nitrogen, and nitrogen assimilation efficiency by goslings, were lower in the sedge than in the grass meadow at some periods. However, goslings did not compensate by an increased rate of food intake when their nitrogen intake was low which suggests that they had reached their gastrointestinal capacity. Under some circumstances, food quality is therefore more important than food abundance for herbivores. We show that integration of our three levels of investigation (plant food, animal behavior, and physiology) is essential to fully evaluate habitat quality for an herbivore.",59,Journal,ar,Article,100,2,20308,KA313-8-5545-08-A,0,FALSE,15,Manseau M.,2,"Bylot Island, Northwest Territories, Canada | Chen caerulescens atlantica | Digestive constraint | Eriophorum | Feeding constraint | Field experiment | Food compensation | Food quality | Habitat quality | High Arctic | Nitrogen assimilation | Nutrient metabolizability | Snow geese",FCAR,Fonds pour la Formation de Chercheurs et l'Aide à la Recherche,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027869324,SCOPUS_ID:0027869324,2-s2.0-0027869324,"Web-site tenure in the long-jawed spider: is it risk-sensitive foraging, or conspecific interactions?",Ecology,00129658,74,6,1826-1835,1993-01-01,1993,10.2307/1939940,"Tetragnatha elongata in prey-rich habitats move to new web sites almost every night, while those in poor habitats rebuild their webs on precisely the same spot for many nights in a row. Caraco and Gillespie (1986) built a risk-sensitive foraging model to explain this paradox: it may be advantageous to relocate more often when experiencing high prey capture rates (under certain regimes of spatiotemporal heterogeneity). Food addition experiments in the field with spiders in the poor habitat, however, do not support the model. The Caraco-Gillespie model implicitly assumes unlikely larger scale patterns in prey availability. Since conspecific density is higher in rich habitats, the author proposes that more intense conspecific interactions in rich habitats cause these spiders to move to new web sites more often. Results support the conspecific density hypothesis. -from Author",46,Journal,ar,Article,100,1,20308,undefined,0,FALSE,16,Smallwood P.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027866161,SCOPUS_ID:0027866161,2-s2.0-0027866161,Sex and the single mustard: Population density and Pollina tor behavior effects on seed-set,Ecology,00129658,74,7,2145-2160,1993-01-01,1993,10.2307/1940859,"The local density of a plant population can influence both the number of pollinators attracted and the behavior (and thus pollination efficiency) of those that are. I present the results of a field experiment performed on Brassica kaber, a self-incompatible annual crucifer, designed to test for the existence of density effects in pollination and to separate the two major component effects: reductions in the quantity and in the quality of pollinator services. B. kaber plants were grown in fan-shaped density arrays in six floral backgrounds chosen to manipulate pollinator foraging behavior. Pollinators visiting focal plants behaved as generalists in backgrounds of the similar-flowered Brassica hirta, behaved as floral specialists where no alternative floral resources were provided (three treatments), and displayed a mixture of behaviors in two background plantings where dissimilar flowers were available. Pollinator visitation rates to focal B. kaber plants declined sharply at low density in all backgrounds except the similar flower (B. hirta) treatment. Widely spaced plants displayed significantly reduced seed-set in all backgrounds studied. The most dramatic density effects occurred where pollinators were induced to behave as generalists, suggesting that density-related declines in pollinator quality are more important than parallel declines in the quantity of visits.",372,Journal,ar,Article,100,1,20308,undefined,0,FALSE,17,Kunin W.,1,Background plants | Brassica kaber | Density arrays | Density dependence | Field experiments | Floral constancy | Plant spacing | Pollination | Pollinator quality | Visitation rate,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027866102,SCOPUS_ID:0027866102,2-s2.0-0027866102,Efficiency-maximizing flight speeds in parent black terns,Ecology,00129658,74,6,1893-1901,1993-01-01,1993,10.2307/1939946,"Used flight speeds of Chlidonias nigra feeding their young to test predictions from optimal foraging models that maximize 1) the net energy gained per unit of energy expended (efficiency; EFF), 2) the net rate of energy intake (NREI), and 3) the daily delivery rate (DR). Manipulating the distance an adult had to fly between a feeding enclosure and its nest enabled discrimination between the three currencies. Predicted speeds of the EFF model best matched observed flight speeds. Maximizing efficiency resulted in the lowest delivery rate to the nest, but it was also the only currency that predicted adult daily energy expenditures within the theoretical limit (DEEmax) estimated for black terns (206 kJ/d). The feeding enclosure, as an unusually profitable food source for the terns, may have resulted in artificially high predictions for flight speed. The authors therefore made another set of predictions using estimates of foraging success from parents who had never foraged from the feeding enclosure, and compared these predictions with the measured airspeeds. The EFF model was again the best predictor of flight speeds even though none of the three models predicted energy expenditures in excesss of DEEmax. Though the DR model resulted in the highest total daily energy delivered to the nest, this represented only a small gain relative to the NREI and EFF models. Black tern parents may maximize EFF because this currency is least likely to result in daily energy expenditures that exceed their metabolic limit. -from Authors",23,Journal,ar,Article,100,2,20308,undefined,0,FALSE,18,Welham C.,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027846646,SCOPUS_ID:0027846646,2-s2.0-0027846646,Pattern of leaf damage affects fitness of the annual plant raphanus sativus (Brassicaceae),Ecology,00129658,74,7,2066-2071,1993-01-01,1993,10.2307/1940852,"We investigated how the pattern of leaf damage influences reproduction, growth, and allocation in the wild radish, Raphanus sativus (Brassicaceae). We removed an equivalent leaf area from plants with four leaves in five treatments ranging from concentrated to dispersed damage: one entire mature leaf removed, one entire new leaf removed, 50% of two mature leaves removed, 50% of two new leaves removed, and 25% of all four leaves removed. Plants in a control group were undamaged. Reproduction, growth, and allocation were not affected by the age of the damaged leaf. However, the pattern of leaf damage significantly affected our three measures of plant fitness: the number of flowers produced, the reproductive biomass, and the total biomass. Plants in the treatment in which the damage was most dispersed had significantly higher flower number, reproductive biomass, and total biomass than an intermediate damage treatment and significantly more reproductive biomass than the concentrated damage treatment. There were no significant differences between the concentrated and intermediate damage treatments and no differences between the dispersed damage treatment and the undamaged control. Our data indicate that more dispersed damage is less detrimental to the plant than more concentrated damage. Therefore, the pattern of leaf damage must be considered in determining the impact of herbivores on plant performance.",95,Journal,ar,Article,100,3,20308,BBS 8712624,0,FALSE,19,Mauricio R.,3,Allocation | Concentrated herbivory | Dispersed herbivory | Effects of leaf damage | Herbivory | Leaf age | Pattern of leaf damage | Plant fitness | Raphanus sativus | Simulated herbivory,NSF,National Science Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027846557,SCOPUS_ID:0027846557,2-s2.0-0027846557,Structure of a tropical stream fish community: a role for biotic interactions,Ecology,00129658,74,6,1856-1870,1993-01-01,1993,10.2307/1939943,"Examined the fish community of a tropical watershed in the Northern Range Mountains of Trinidad. One member of the fauna, a killifish, Rivulus hartii, was widely distributed in the drainage, occurring alone in each headwater but also encountering other fish species below barrier waterfalls. Rivulus was used to test four predictions derived from the species inteaction hypothesis: 1) Rivulus density would be depressed at sites with other fish species present, compared to the density expected from physical characteristics of each site as if Rivulus were alone; 2) Rivulus density would decline at points of contact with the piscivorous fish Hoplias malabaricus; 3) local populations of Rivulus found in pools occupied by the predator would show a smaller maximal size than in pools without the predator; and 4) the growth rate of Rivulus would be lowered in the event of a local invasion by the guppy, Poecilia reticulata, another abundant and sometime co-occurring species. Data supported prediction 1: overall, actual Rivulus densities at points of contact with other species were about 1/3 of the density expected if the other species were absent. The distribution of Rivulus was essentially complementary to that of the piscivorous fish, although only one site provided an unambiguous test of Prediction 2, since Hoplias did not ascend the tributaries in this watershed. The size distribution of Rivulus in populations occurring in pools with predators was dominated by small individuals, with none larger than the median size of Rivulus in predator-free populations, supporting Prediction 3. Competition experiments revealed that adult Poecilia depressed the growth rate of young Rivulus. -from Authors",155,Journal,ar,Article,100,3,20308,undefined,0,FALSE,20,Gilliam J.,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027845961,SCOPUS_ID:0027845961,2-s2.0-0027845961,"Effects of plant age, genotype, and herbivory on Plantago performance and chemistry",Ecology,00129658,74,6,1778-1791,1993-01-01,1993,10.2307/1939936,"Plantago lanceolata was used to examine variation in nutritional quality (nitrogen) and defensive chemistry (the iridoid glycosides aucubin and catalpol) as a consequence of plant age, plant genotype, and leaf age class. Older plants harvested in August (control-end plants) had concentrations of aucubin, catalpol, total iridoid glycosides, and N approximately half that of plants harvested 6 wk earlier. Leaf age affected all of these variables, and plant geotypes influenced the iridoid glycoside variables but not N concentration. Overall, leaf age explained twice as much of the variation as did plant genotype. The authors also compared the effects of herbivory, genotype, and leaf age on plant performance (leaf bioamass, scape [flower stalk] biomass, and total biomass) and chemistry (N, protein, and iridoid glycoside concentration). Herbivory had little effect on plant performance, and there was no difference due to herbivory by the specialist Junonia coenia (Nymphalidae) compared to the generalist Spilosoma congrua (Arctiidae). However herbivory by both caterpillar species induced iridoid glycosides and resulted in an increased concentration of catalpol in plants exposed to herbivores. Plants exposed to specialist caterpillars had higher concentrations of catapol and a higher proportion of total iridoids that was catalpol than those exposed to generalist caterpillars. Leaf age explained three times as much of the variation in iridoid glycosides as did plant genotype and herbivory. -from Authors",178,Journal,ar,Article,100,2,20308,undefined,0,FALSE,21,Bowers M.,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027844397,SCOPUS_ID:0027844397,2-s2.0-0027844397,Sublethal consequences of stream-dwelling predatory stoneflies on mayfly growth and fecundity,Ecology,00129658,74,6,1836-1846,1993-01-01,1993,10.2307/1939941,"Feeding (algal grazing) rates, growth rates, and fecundities of Baetis bicaudatus (Baetidae) larvae were measured on fitness correlates of the presence of predatory stoneflies (Perlodidae). Predator avoidance significantly reduced levels of Baetis gut fullness, over the short term, to levels intermediate between the high and low resource treatments. Longer term residence with predatory stoneflies caused larvae of both male and female Baetis to mature at significantly smaller sizes than in the treatment with ambient food but no predators. May flies with predators matured at sizes similar to those held with low food levels over the long term. Neither starved larvae nor those avoiding predators during the experimental period in contrast to about 50% growth rate of larvae experiencing ambient food levels, but no predators. Similarly, egg biomass per mature female larva was significantly reduced in both starved and predator treatments. Females avoiding predators accrued less total mass, but allocated a similar proportion to eggs as did well-fed Baetis. Data demonstrate that predator avoidance can have dramatic consequences on mayfly fitness. The mechanism explaining those fitness consquences is probably a disruptive drift-swim response by Baetis to encounters with stoneflies, which reduced Baetis' feeding rates. -from Authors",210,Journal,ar,Article,100,4,20308,undefined,0,FALSE,22,Peckarsky B.,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027842313,SCOPUS_ID:0027842313,2-s2.0-0027842313,The effects of complex trophic interactions on a marine microbenthic community,Ecology,00129658,74,5,1475-1489,1993-01-01,1993,10.2307/1940076,"An intertidal Australian seagrass bed was examined during experiments in January, March, April, and June 1989. Effects of meiofauna and protist density manipulations on bacterial numbers and division rates and microalgal biomass were determined over 6 d each month. Results indicate that the combined effects of meiofauna can alter microbial densities and growth rates and significantly affect microbenthic community structure. Spatial and temporal variability in the nature of trophic interactions will determine the cumulative effects of meiofauna on microbial communities. -from Authors",22,Journal,ar,Article,100,2,20308,undefined,0,FALSE,23,Walters K.,2,NA,NA,NA,NA,NA
