@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0030829011,SCOPUS_ID:0030829011,2-s2.0-0030829011,Seed dispersal and predation in two populations of Cabralea canjerana (Meliaceae) in the Atlantic Forest of southeastern Brazil,Pizo M.A.,Journal of Tropical Ecology,02664674,13,4,559-578,1997-01-01,July 1997,10.1017/s0266467400010713,"The seed dispersal system of a neotropical tree, Cabralea canjerana (Meliaceae), was studied in two forested areas in southeastern Brazil. The first study site, Parque Estadual Intervales (PEI), is a 49,000-ha reserve composed mostly of old-growth Atlantic rain forest. The second site, Mata de Santa Genebra (MSG), is a 250-ha fragment of old-secondary semideciduous forest whose present bird fauna differs markedly from the original, in part as a consequence of forest fragmentation. At PEI 35 bird species ate the diaspores of C. canjerana. Black-tailed tityra (Tityra cayana, Tyrannidae) was the main seed disperser, but several other species were also important seed dispersers. In contrast, at MSG C. canjerana diaspores were eaten by 14 bird species. At this area, the red-eyed vireo (Vireo olivaceus, Vireonidae) was the most important seed disperser, but it was also a 'waster' which dropped seeds beneath parent plants, or carried them to sites unsuitable for germination. At PEI, exposed seeds on the forest floor were heavily preyed upon by rodents and insects. Insects destroyed mainly seeds deposited near to parent plants. Insect predation was less intense at MSG than at PEI. The rodent density at MSG was unusually small, and part of the post-dispersal seed predation may be done by terrestrial birds, such as doves and tinamous, which are especially common at MSG. Some of the differences recorded between the seed dispersal systems of C. canjerana at PEI and MSG may have been the result of the fragmentation and isolation of the latter area.",89,Journal,ar,Article,100,1,1,Atlantic forest | Brazil | Cabralea | Forest fragmentation | Meliaceae | Ornithochory | Seed dispersal | Seed predation,23435,NA,undefined,NA,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030827349,SCOPUS_ID:0030827349,2-s2.0-0030827349,Vesicular-arbuscular mycorrhizae in two tropical monodominant trees,Torti S.,Journal of Tropical Ecology,02664674,13,4,623-629,1997-01-01,July 1997,10.1017/S0266467400010762,NA,29,Journal,ar,Article,100,3,3,Ectomycorrhizae | Flooding | Monodominance | Neotropics | Vesicular-arbuscular mycorrhizae,23435,NSF,BSR 9119619,National Science Foundation,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030817533,SCOPUS_ID:0030817533,2-s2.0-0030817533,Annual foraging of the leaf-cutting ant Atta colombica in a semideciduous rain forest in Panama,Wirth R.,Journal of Tropical Ecology,02664674,13,5,741-757,1997-01-01,September 1997,10.1017/S0266467400010907,"In a 1-y study of vegetation harvested by the leaf-cutting ants, Atta colombica Guerin, daily harvesting activity of two nests was observed for 24 h at c. 1-wk intervals (colony I: June 1993-June 1994; colony II: February-June 1994) on Burro Colorado Island. The average daily quantity of green leaves harvested by colony I was higher during the wet season (11.4 m2 d-1) than during the dry season (9.0 m2d-1), but was highly variable between survey days. Total annual herbivory of green leaves was estimated to be 3,855 m2 foliage area for colony I and 1,707 m2 for colony II. Total dry weight of biomass harvested was higher in the dry season because most material collected during the wet season consisted of green leaves, while during the dry season, more than 50% of the total collected biomass was non-green plant material (stipules of Ficus sp., fruits, seeds, and flower parts of a variety of other species) which represented c. one third (111 kg y-1) of the total annual intake (370 kg y-1) of plant material. Total daily biomass intake was negatively correlated with daytime rainfall. The peak of daily foraging was affected by timing and duration of rainfall events. Highest input rates normally occurred between 15:00 and 16:00 h (colony I). Dry weight and surface area of harvested leaf fragments differed between plant species, with thicker leaves generally being cut into smaller pieces. Significant linear correlations were found between total daily harvest of fragments and the respective harvesting rate at the maximum of daily activity. High correspondence was found between estimates using this relationship and the measured daily leaf harvest of four other Atta colonies and of two colonies reported in published literature. The use of this relationship as a research tool is discussed.",58,Journal,ar,Article,100,4,4,Atta colombica | Foraging patterns | Herbivory | Leaf-cutting ants | Tropical rain forest,23435,DFG,SFB 251,Deutsche Forschungsgemeinschaft,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030817532,SCOPUS_ID:0030817532,2-s2.0-0030817532,Fire resistance and bark properties of trees in a seasonally dry forest in eastern Bolivia,Pinard M.A.,Journal of Tropical Ecology,02664674,13,5,727-740,1997-01-01,September 1997,10.1017/S0266467400010890,"As forest fragmentation and intentional burning of grasslands increase, the frequency of fires penetrating the dry and subhumid tropical forests of Bolivia is also likely to increase. To expand our understanding of the role of fire in tropical dry forest, the physical and thermal properties of barks of tree species were studied to determine their relative resistances to cambial damage by fire. For 16 tree species found in the dry forest of the Lomerio region of eastern Bolivia, bark thickness, moisture content, and specific gravity were measured. Insulating capabilities of bark were measured by obtaining cambial and surface temperatures during experimental wick fires. Bark thickness on trees 5-100 cm dbh (diameter at 1.4 m) ranged from 2-51 mm and both thick- and thin-barked species were represented. For all species, bark thickness increased as stem diameter increased. Bark thickness explained more (63%) of the variation in peak cambial temperatures during fires than did bark moisture content (4%) or specific gravity (1%). A threshold bark thickness of 18 mm was associated with the ability to withstand lethal cambial temperatures during the experimental, low intensity fires. For 13 of the 16 species included in this study, trees ≤20 cm dbh have bark thickness below the threshold 18 mm and, therefore, are likely to experience cambial injury from low intensity fires. Our results suggest that the forest presently characteristic of the Lomerio region did not develop with frequent fires and that species composition is likely to be substantially affected by an increase in fire frequency.",127,Journal,ar,Article,100,2,2,Bark | Bolivia | Disturbance | Dry forest | Fire | Tree regeneration,23435,USAID,undefined,United States Agency for International Development,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030814949,SCOPUS_ID:0030814949,2-s2.0-0030814949,Courtship behaviour of manakins and seed bank composition in a French Guianan rain forest,Krijger C.L.,Journal of Tropical Ecology,02664674,13,4,631-636,1997-01-01,July 1997,10.1017/S0266467400010774,NA,33,Journal,ar,Article,100,4,4,Leks | Manakins | Melastomataceae | Seed dispersal,23435,NA,undefined,NA,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030814947,SCOPUS_ID:0030814947,2-s2.0-0030814947,"Erratum: Red crabs in rain forest on Christmas Island, Indian Ocean: Activity patterns, density and biomass (Journal of Tropical Ecology (1997) 13:1 (17:38))",Green P.T.,Journal of Tropical Ecology,02664674,13,4,578,1997-01-01,1997,10.1017/s0266467400010725,NA,0,Journal,er,Erratum,100,1,1,NA,23435,NA,undefined,NA,1,TRUE,21,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0030807256,SCOPUS_ID:0030807256,2-s2.0-0030807256,Production of metabolic gases by nests of the termite Macrotermes jeanneli in Kenya,Darlington J.P.E.C.,Journal of Tropical Ecology,02664674,13,4,491-510,1997-01-01,July 1997,10.1017/S0266467400010671,"Nests of a fungus-growing termite Macrotermes jeanneli discharge all their metabolic gases through a single outlet to the atmosphere. This made it possible to measure the production of metabolic gases, and the rates of water loss, for intact nests in the field. Rates of production of carbon dioxide and methane from isolated nest components (different termite castes and intact fungus combs) were measured. Using previously published nest population data and fungus comb weights in relation to nest size, the expected gas production rates for intact nests were calculated. These estimates were compared with direct observations of the gaseous outflow from intact nests. The rates were in reasonable agreement, but some nests emitted excess carbon dioxide, probably produced by respiration of tree roots and non-termite soil organisms. Large nests may have a total gas outflow of 100,000 to 400,0001 d-1 including 800 to 15001 d-1 of CO2 and 0.5 to 1.3 l d-1 of CH4. Nests lose water at the rate of up to 13 l d-1 gross, but allowing for ambient humidity the net water loss was up to about 5 l d-1. Some of this is metabolic water, but the larger proportion comes from the soil. Area-based estimates of gas production were made for this and two other species of Macrotermes, but they are not accurate because the field distribution and mound density are not adequately known.",40,Journal,ar,Article,100,5,5,Carbon dioxide | Diurnal cycles | Fungus-growing termites | Heat | Methane | Nests | Ventilation | Water,23435,NSF,undefined,National Science Foundation,0,FALSE,22,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030804253,SCOPUS_ID:0030804253,2-s2.0-0030804253,Leaf litter effects on seed and seedling predation of the palm Astrocaryum murumuru and the legume tree Dipteryx micrantha in Amazonian forest,Cintra R.,Journal of Tropical Ecology,02664674,13,5,709-725,1997-01-01,September 1997,10.1017/S0266467400010889,The amount of leaf litter fall produced by different tree species in tropical forests varies in space and time. Falling litter may cover seeds and thereby enhance their survival by making their detection by seed predators more difficult. Tests were made to determine whether Astrocaryum murumuru and Dipteryx micrantha seeds survive better in microsites covered by leaf litter. Seed numbers and litter cover on the forest floor were experimentally manipulated. How natural variation in leaf litter cover and thickness affects seed and seedling survival of these two plant species was also examined. Seed survivorship was significantly higher for both plant species in microsites with leaf litter than in those with bare soil. Results from an experiment in which the litter was not disturbed showed that Astrocaryum seed survival was positively correlated with litter thickness (defined as the number of overlying dead leaves). Astrocaryum seedling survival was also significantly affected by leaf litter; more seedlings survived in shallow litter. Leaf litter had no effect on Dipteryx seedling survival. The results of the study suggest that early recruitment of both Astrocaryum and Dipteryx is influenced by the spatial distribution and amount of forest leaf litter.,76,Journal,ar,Article,100,1,1,Amazon forest | Astrocaryum | Leaf litter effects | Legume Dipteryx | Seed predation | Seedling predation | Seedling survival,23435,CNPq,undefined,Conselho Nacional de Desenvolvimento Científico e Tecnológico,0,FALSE,23,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030767622,SCOPUS_ID:0030767622,2-s2.0-0030767622,A dung beetle that feeds on fig: Implications for the measurement of species rarity,Davis A.J.,Journal of Tropical Ecology,02664674,13,5,759-766,1997-01-01,September 1997,10.1017/S0266467400010919,NA,26,Journal,ar,Article,100,2,2,Danum Valley | Dung beetle | Feeding specialization | Ficus | Fig | Rain forest | Rarity,23435,NERC,A/129,Natural Environment Research Council,0,FALSE,24,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030758876,SCOPUS_ID:0030758876,2-s2.0-0030758876,The distribution of organic carbon in major components of forests located in five life zones of Venezuela,Delaney M.,Journal of Tropical Ecology,02664674,13,5,697-708,1997-01-01,September 1997,10.1017/S0266467400010877,"One of the major uncertainties concerning the role of tropical forests in the global carbon cycle is the lack of adequate data on the carbon content of all their components. The goal of this study was to contribute to filling this data gap by estimating the quantity of carbon in the biomass, soil and necromass for 23 long-term permanent forest plots in five life zones of Venezuela to determine how C was partitioned among these components across a range of environments. Aboveground biomass C ranged from 70 to 179 Mg ha-1 and soil C from 125 to 257 Mg ha-1, and they represented the two largest C components in all plots. The C in fine litter (2.4 to 5.2 Mg ha-1), dead wood (2.4 to 21.2 Mg ha-1) and roots (23.6 to 38.0 Mg ha-1) accounted for less than 13 % of the total C. The total amount of C among life zones ranged from 302 to 488 Mg ha-1, and showed no clear trend with life zone. In three of the five life zones, more C was found in the dead (soil, litter, dead wood) than in the live (biomass) components (dead to live ratios of 1.3 to 2.3); the lowland moist and moist transition to dry life zones had dead to live ratios of less than one. Results from this research suggest that for most life zones, an amount equivalent to between 20 and 58% of the aboveground biomass is located in necromass and roots. These percentages coupled with reliable estimates of aboveground biomass from forest inventories enable a more complete estimation of the C content of tropical forests to be made.",64,Journal,ar,Article,100,5,5,Biomass | Carbon budget | Dead wood | Global carbon cycle | Litter | Soil carbon | Tropical forests | Venezuela | Woody debris,23435,EPA,undefined,U.S. Environmental Protection Agency,0,FALSE,25,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030757625,SCOPUS_ID:0030757625,2-s2.0-0030757625,"Soil seed bank community dynamics in seasonally moist lowland tropical forest, Panama",Dalling J.,Journal of Tropical Ecology,02664674,13,5,659-680,1997-01-01,September 1997,10.1017/S0266467400010853,"Seasonal changes in the densities of dormant seeds in the soil around eight pioneer trees in the 50-ha Forest Dynamics Plot, on Barro Colorado Island, Panama were studied, and how seed dispersal and seed dormancy influenced patterns of seed abundance and distribution were examined. Twenty-four, 3-cm-deep soil samples were collected on 30 m transects radiating out from each of the trees in each of four time-intervals through the year, and four 21-cm-deep samples were collected beneath the focal tree crowns. In the surface 0-3 cm of soil, germinable seed densities of all species combined declined from a peak of 1090 seeds m-2 in the mid-wet season in August, to 330 seeds m-2 by the end of the wet season in November. In contrast, at soil depths >3 cm, there was little variation in soil seed bank density through the year. Some variation in soil seed bank density for individual species could be accounted for by distance to reproductive conspecifics. Among species, abundance in the soil was negatively correlated with seed size. Seed persistence varied greatly among species at this site; after 1 y of burial in mesh bags, seed germinability of four species was near zero, while four other species showed no consistent decline in seed germinability after >2 y of burial. For at least one species, Trema micrantha, prolonged seed dormancy was also possible under natural conditions. Twenty-five percent of Trema seeds extracted from the soil at a site occupied by an isolated Trema tree that died between 1982 and 1985 were still germinable in 1994.",106,Journal,ar,Article,100,3,3,Barro Colorado Island | Pioneer | Seed burial | Seed dispersal | Seed dormancy | Soil seed bank,23435,STRI,undefined,John D. and Catherine T. MacArthur Foundation,0,FALSE,26,NA,NA
