@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:creator,author-count.$,authkeywords,dc:description,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0024928779,SCOPUS_ID:0024928779,2-s2.0-0024928779,"Dung beetles of the Kibale Forest, Uganda; comparison between virgin and managed forests",Journal of Tropical Ecology,02664674,14697831,5,3,349-352,1989-01-01,August 1989,10.1017/S0266467400003758,70,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,11,Nummelin M.,2,Africa | Coleoptera | dung beetle | Kibale Forest | mammal | ment | tropical forest manage- | Uganda,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024924117,SCOPUS_ID:0024924117,2-s2.0-0024924117,Pollen Harvest By Eusocial Bees In A Non-Natural Community In Brazil,Journal of Tropical Ecology,02664674,14697831,5,2,239-242,1989-01-01,May 1989,10.1017/S0266467400003539,42,Journal,ar,Article,100,3,23435,undefined,0,FALSE,NA,NA,12,Imperatriz-Fonseca V.L.,3,Apis mellifera | Brazil | flower visiting | pollen harvest | stingless bees,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024923863,SCOPUS_ID:0024923863,2-s2.0-0024923863,The breeding season and diet of arvicanthis in northern nigeria,Journal of Tropical Ecology,02664674,14697831,5,4,375-386,1989-01-01,November 1989,10.1017/S0266467400003837,12,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,13,Rabiu S.,2,Arvicanthis | breeding season | diet | feeding ecology | Muridae | Nigeria | Nile rat | reproductive ecology | Rodentia | savanna,"The breeding season and diet of the rat Arvicanthis was monitored from December 1983 to November 1985 in the semi-arid Sudan savanna at Kano, Nigeria, West Africa. Breeding began 1–2 months before the start of the rainy season and ceased at the beginning of the dry season. The diet of Arvicanthis was omnivorous, but with seasonal differences. Monocotyledons and dicotyledons predominated in the diet in the dry season, with seeds and insects increasing in the diet in the rainy season. The major differences between the ecology of Arvicanthis at Kano and on the East African savanna were that in East Africa the breeding season is longer and begins after the start of the rainy season. These and other dissimilarities between the biology of Arvicanthis in the two areas could be due to the effect of climatic differences on food supply and to the possible existence of different taxonomic groupings of Arvicanthis in the two regions. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024923840,SCOPUS_ID:0024923840,2-s2.0-0024923840,"Fire, growth and survivorship in a Neotropical savanna grass Andropogon semiberbis in Venezuela",Journal of Tropical Ecology,02664674,14697831,5,4,387-400,1989-01-01,November 1989,10.1017/S0266467400003849,26,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,14,Silva J.,2,density | fire | grasses | Neotropics | plant demography | savanna | size | Venezuela,"This study was conducted in a woodland savanna in western Venezuela exclosed from grazing and burnt once a year towards the end of the dry season. Mean annual rainfall is 1500 mm, with a strong seasonality. Two cohorts of seedlings of Andropogon semiberbis were tagged and monitored for up to three years. Several variables such as survivorship, plant size, seedling density, fire damage and distance to the nearest adult were measured or estimated. Two burning experiments to measure survivorship before and after fire, and two seedling-growth experiments to assess competitive interference from adult plants of three grass species were performed. The highest mortality takes place during the dry season and is due to fire. This decreases as the plants get bigger due to increasing structural complexity of the clump by growth which gives added protection to the meristems. Other mortality factors such as desiccation, uprooting and shading seem to be important during the wet season, when mortality rate is relatively constant. Survivorship during the first year and after three years is strongly correlated to the size attained by the end of the first growing season. Seedling densities are rather low and do not seem to play any role in survivorship in this population. Adult interference with seedling growth decreases with distance and seems to be due to root competition, although there is a tendency toward increased foliage interference related to the canopy structure of adult plants. © 1989, Cambridge University Press. All rights reserved.",CONICIT,Consejo Nacional para Investigaciones Científicas y Tecnológicas
true,https://api.elsevier.com/content/abstract/scopus_id/0024915143,SCOPUS_ID:0024915143,2-s2.0-0024915143,"Litterfall, nutrient-fall and production in an Acacia albida woodland in Zimbabwe",Journal of Tropical Ecology,02664674,14697831,5,2,227-238,1989-01-01,May 1989,10.1017/S0266467400003515,18,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,15,Dunham K.,1,Acacia albida | litterfall | nutrient cycling | production | Zambezi | Zimbabwe,"Litterfall was recorded for one year in Acacia albida woodland in Mana Pools National Park, Zimbabwe. Leaves fell throughout the year, but leaf-fall rate peaked in the wet season. Litterfall was 1.5 t ha-1 year-1, comprising 50% leaves, 20% fruits, 17% ‘fine’ material (mainly frass), 4% flowers and 9% wood and bark. Net above ground production by A. albida trees was 1.7 t ha-1 year-1, including leaf production of 1.0 t ha-1 year-1, twig production of 0.3 t ha-1 year-1 and fruit production of 0.3 t ha-1 year-1. Insects consumed about 26% of leaf production. Net above ground herbaceous production was estimated from rainfall data using regression equations: It was 6.8 t ha-1 year-1 for annual grasses and 2.8 t ha-1 year-1 for forbs. Net above ground primary production in A. albida woodland was 11.3 t ha-1 year-1. The seasonal variations in the nitrogen, phosphorus, potassium, magnesium and calcium concentrations of different A. albida litter components were recorded. The estimated falls of N, P, K, Ca and Mg were 31.1, 2.1, 9.8, 15.0 and 3.4 kg ha-1 year-1 respectively. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024907791,SCOPUS_ID:0024907791,2-s2.0-0024907791,Establishment Of Clethra Occidentalis On Stems Of The Tree-Fern Cyathea Pubescens In A Jamaican Montane Rain Forest,Journal of Tropical Ecology,02664674,14697831,5,4,441-445,1989-01-01,November 1989,10.1017/S0266467400003916,27,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,16,Newton A.C.,2,Clethra | disturbance | Jamaica | regeneration | seedling bank | seedling establishment | tree-fern | tropical rain forest,NA,CPS,Cambridge Philosophical Society
true,https://api.elsevier.com/content/abstract/scopus_id/0024901892,SCOPUS_ID:0024901892,2-s2.0-0024901892,"A study of the ecological history, vegetation and conservation management of ile aux aigrettes, mauritius",Journal of Tropical Ecology,02664674,14697831,5,4,355-374,1989-01-01,November 1989,10.1017/S0266467400003825,12,Journal,ar,Article,100,4,23435,undefined,0,FALSE,NA,NA,17,Parnell J.,4,conservation | description | lowland tropical forest | Mauritius | tropical ecology | vegetation,"Much of the unique native vegeration of Mauritius has been destroyed. Coastal ebony (Diospyros egrettarum I.B.K. Richardson) forest forms an extreme type of Mauritian lowland forest which no longer exists on mainland Mauritius and only survives on one offshore islet, He aux Aigrettes. Undisturbed D. egrettarum forest is resistant to invasion by exotic plants, which have now invaded most relict patches of native lowland vegetation in Mauritius. Human disturbance however, has allowed many exotics (particularly Flacourtia indica (Burm. fiL) Merrill) to invade and form new vegetation types. Much of the disturbance was caused by illegal woodcutting up to 1985, prompted by an acute fuelwood shortage in Mauritius. On the basis of 132 4 X 4 m quadrats, we recognize 10 types of natural, semi-natural and exotic vegetation. The conservation of the remaining natural ebony woodland vegetation requires the total cessation of woodcutting and the eradication of Tabebuia pallida (Lindl.) Miers (potentially the most damaging exotic species). © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024899916,SCOPUS_ID:0024899916,2-s2.0-0024899916,Fine root biomass under a tropical forest light gap opening in Costa Rica,Journal of Tropical Ecology,02664674,14697831,5,2,251-256,1989-01-01,May 1989,10.1017/S0266467400003576,44,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,18,Sanford R.L.,1,Costa Rica | fine root biomass | light gap | tropical forest,NA,UCB,University of California Berkeley
true,https://api.elsevier.com/content/abstract/scopus_id/0024898791,SCOPUS_ID:0024898791,2-s2.0-0024898791,"Nutrient content of bulk precipitation in south-central Java, Indonesia",Journal of Tropical Ecology,02664674,14697831,5,2,187-202,1989-01-01,May 1989,10.1017/S0266467400003461,22,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,19,Bruijnzeel L.,1,Indonesia | nutrient cycling | tropical tree plantations,"The chemical composition of bulk precipitation was studied for a period totalling 18 months between 1975 and 1978 at a high rainfall site in central Java. The following elements were determined: Calcium, magnesium, sodium, potassium, nitrate-nitrogen, chlorine, phosphate-phosphorus, silicon, aluminium, iron, manganese and pH. Ammoniacal nitrogen, total nitrogen and sulphate-sulphur were determined during four weeks in May 1983. Concentrations of all elements rose dramatically during the exceptionally severe dry season of 1977 which may have caused accession rates for some nutrients to be overestimated (i.e. compared to a year with ‘normal’ rainfall) by about 10%. Results are explained in terms of prevailing wind directions and proximity to, or absence of, particular solute sources, such as the ocean, volcanoes or eroding lands. Most elements exhibited intermediate concentrations when compared with data for other humid tropical locations; sodium and perhaps nitrogen were on the low side and pH on the high side of the spectrum. Annual accession rates at the study site were considerable by pan-tropical standards, mainly as a result of high rainfall totals. Comparing accession rates with 25-year-average nutrient immobilization rates in stemwood of local plantations of Pinus merkusii Jungh. et de Vr. and Agathis dammara Warb. showed atmospheric inputs of magnesium and potassium to be high enough (theoretically) to account for losses of these elements in stemwood removal. Corresponding figures for nitrogen were 90% (Pinus) and 50% (Agathis), and for calcium and phosphorus 60 and 40% respectively (both species). © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024897947,SCOPUS_ID:0024897947,2-s2.0-0024897947,Antlion Life Cycles In Nigeria,Journal of Tropical Ecology,02664674,14697831,5,2,247-250,1989-01-01,May 1989,10.1017/S0266467400003552,5,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,20,Fisher M.,1,antlions | Cueta pallens | Cueta species | life cycles | Morter obscurus | Neuroptera | Nigeria,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024896981,SCOPUS_ID:0024896981,2-s2.0-0024896981,Environmental factors affecting physiognomic and floristic variation in an area of cerrado in central brazil,Journal of Tropical Ecology,02664674,14697831,5,4,413-431,1989-01-01,November 1989,10.1017/S0266467400003862,93,Journal,ar,Article,100,4,23435,undefined,0,FALSE,NA,NA,21,De Oliveira-Filho A.T.,4,Brazil | cerrado vegetation | ground water | Neotropics | savanna | soil | topography,"Cerrado is a species-rich savanna-like vegetation that covers a large area in central Brazil. Soil, and particularly soil fertility, is considered to be the major factor determining the wide and diverse physiognomic-floristic gradients encountered within cerrado vegetation. To describe the vegetational variations within a cerrado in southern Mato Grosso state (15° 21' S, 55° 49' W), a 1 ha transect was located to pass through an interfluvial cerrado and climb a steep talus slope. The vegetational and environmental variations are described by means of field classification, direct gradient analysis and reciprocal averaging ordination. The effects of differences in ground water regime in the interfluvial cerrado and differences in inclination with associated rockiness in the talus cerrado are related to the vegetational variations. As the soils are very similar in texture and in the majority of chemical properties, the role of the above environmental factors was more easily distinguished. In the interfluvial cerrado, the vegetation variations are probably related to the seasonal fluctuation in water table level. © 1989, Cambridge University Press. All rights reserved.",CAPES,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
true,https://api.elsevier.com/content/abstract/scopus_id/0024889295,SCOPUS_ID:0024889295,2-s2.0-0024889295,Patterns of seed rain at the edge of a tropical Queensland rain forest,Journal of Tropical Ecology,02664674,14697831,5,3,301-308,1989-01-01,August 1989,10.1017/S0266467400003680,99,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,22,Willson M.,2,Australia | habitat structure | Queensland rain forest | seed dispersal | seed rain | vertebrate-dispersed seeds | wind-dispersed seeds,"Both vertebrate- and wind-dispersed seeds moved farther from rain forest into old field than from old field into forest. Vertebrate-dispersed seeds from the rain forest moved farther into the field than wind-dispersed seeds, but seeds of both types moved similar distances from field into forest. Habitat structure affected seed deposition patterns in the field, where shrubs provided perches for flying vertebrates. Vertebrate-dispersed seed deposition was significantly greater, and deposition of plumed, wind-dispersed seeds was significantly less, under shrubs than in the open. Deposition of vertebrate-dispersed seeds under fruiting shrubs was significantly less than under non-fruiting shrubs. © 1989, Entomological Society of Canada. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024884968,SCOPUS_ID:0024884968,2-s2.0-0024884968,"Avian attendance and foraging at army-ant swarms in the tropical rain forest of Los Tuxtlas, Veracruz, Mexico",Journal of Tropical Ecology,02664674,14697831,5,3,281-292,1989-01-01,August 1989,10.1017/S0266467400003655,22,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,23,Coates-Estrada R.,2,army-ants | birds | foraging | Mexico | tropical rain forest,"Foraging and attendance of birds at army-ant swarm raids were studied in the tropical rain forest of Los Tuxtlas, Mexico. Sixty-eight raiding swarms were intercepted over a four-year period of which 57% were Eciton burchelli and 43% Labidus praedator. A total of 461 birds (37 species/12 families) were recorded at swarms of E. burchelli and 208 birds (34 species/10 families) were recorded at L praedator swarms. The mean number of bird species detected per swarm was 7.2 at E. burchelli raids and 5.6 at L. praedator raids. Red-throated ant-tanagers (Habia fuscicauda) were most frequently seen at the swarms of both army-ant species. Other important species were the golden-crowned warbler (Basileuterus culicivorus), the white-breasted wood wren (Henicorhina leucosticta) and the Kentucky warbler (Oporornis formosus). Swarms of both army-ant species were active year-round. Birds weighing between 20 and 40 g dominated perches closest to the ground and the central zone of the swarms, richest in animal prey. Birds weighing less than 20 g occupied higher perches and tended to forage in more peripheral zones. At Los Tuxtlas raiding swarms of army ants are important in the foraging ecology of 44 bird species, including 12 North American migrants. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024884932,SCOPUS_ID:0024884932,2-s2.0-0024884932,"Red crabs in rain forest, christmas island: Removal and relocation of leaf-fall",Journal of Tropical Ecology,02664674,14697831,5,3,337-348,1989-01-01,August 1989,10.1017/S0266467400003746,38,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,24,O'Dowd D.J.,2,Christmas Island | Gecarcoidea natalis | Indian Ocean | island | land crabs | leaf-fall | litter | nutrients | rain forest,"Field experiments comparing leaf-fall in the presence and absence of the red land crab, Gecarcoidea natalis, in rain forest on Christmas Island, Indian Ocean showed that, by eating and returning leaves to their burrows, they significantly reduced accumulation of leaf-fail on the forest floor. Red crabs removed 30-50% of the leaf-fall at the experimental sites during the study. Differences in leaf-fall mass between crab-access and exclusion quadrats were positively correlated with the density of foraging red crabs. Red crabs also generated spatial heterogeneity in the distribution of litter on the forest floor by returning litter to their burrows. Leaves lined chambers of 64% of excavated burrows and litter biomass around the entrances was significantly greater than that on off-burrow locations. This was reflected in the significantly higher concentrations of organic matter and nutrients (N, P, K, Ca, Na, and Mg) associated with soils near burrow entrances. These results suggest that a single species, G. natalis, is the major processor of leaf-fall in rain forest on Christmas Island and may affect (1) the temporal and spatial patterns of nutrient availability and (2) the diversity and biomass of the litter fauna. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024883059,SCOPUS_ID:0024883059,2-s2.0-0024883059,Elevational zonation of mammals in the central philippines,Journal of Tropical Ecology,02664674,14697831,5,3,259-280,1989-01-01,August 1989,10.1017/S0266467400003643,69,Journal,ar,Article,100,5,23435,BSR-8514223,0,FALSE,NA,NA,25,Heaney L.R.,5,conservation | ecology | endemism | island biogeography | mammals | Muridae | Philippines | Pteropodidae | Soricidae,"Trapping and netting of small mammals on a land-bridge island (Leyte) and on an oceanic island (Negros) revealed similar patterns of elevational change in abundance and species richness. Fruit bats (Pteropodidae) reached their greatest local densities in agricultural areas, and were least abundant in montane mossy forest. The fruit bats found to be common in agricultural areas are widespread in Southeast Asia: In contrast, species that were most common in forested areas are Philippine endemics. Fruit bat abundance was greater on the oceanic island than on the land-bridge island. Trappable small mammals (families Soricidae and Muridae) showed no change in species richness with increasing elevation, but did show a gradual increase in overall abundance. Even though the oceanic island was depauperate of non-volant mammal species, it had the higher abundance of non-volant mammal individuals; however, this may have been due primarily to differences associated with the elevation of sampling sites. Murid rodents at the higher elevations on Leyte tend to be those that are members of the old endemic group of Philippine murids, and those at lower elevations tend to be members of more recently arrived groups. Most non-volant small mammals at all elevations on the oceanic Negros, and in agricultural areas on Leyte, are non-native species. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024879228,SCOPUS_ID:0024879228,2-s2.0-0024879228,"Short term nitrogen dynamics in a small brazilian wetland (lago infernao, sao paulo)",Journal of Tropical Ecology,02664674,14697831,5,3,323-335,1989-01-01,August 1989,10.1017/S0266467400003710,9,Journal,ar,Article,100,4,23435,undefined,0,FALSE,NA,NA,26,Howard-Williams C.,4,aquatic macrophyte. Brazil | denitrification | fixation | littoral zone | nitrification | nitrogen | wetland,"We have studied a number of related processes of the nitrogen cycle in a Brazilian floodplain lake to identify the major pools and pathways over a short time period. The study was centred on the littoral zone dominated by the floating plant Eichhornia azurea, which has a large epiphyte algal community of which heterocystous cyanobacteria were the major components. The water column was continuously undersaturated with oxygen although some elevated values (to 60% saturation) were recorded in the macrophyte beds in the afternoon. Marked diel temperature changes were documented. NH4-N dominated the dissolved N component in the water with maximal values (60 mg m-8) at lowest O2 concentrations early in the morning. Nitrogen fixation (acetylene reduction) of the epiphyte community showed marked diel changes with daily values of 5 mg N fixed m-2 day-1(based on 3:1 C2 H4:N2 ratio). Macrophyte NH4-N uptake rates (in situ incubations) were 93 mg N m-2 day-1. The activities of nitrifying bacteria could not be detected with the nitrapyrin block on dark CO2 fixation but denitrification (acetylene block technique) was recorded in the sediments when enhanced with NO3-. The major pathways of aquatic nitrogen involved macrophyte uptake and sediment release of NH4-N. © 1989, Cambridge University Press. All rights reserved.",DSIR,"Department of Scientific and Industrial Research, Ministry of Science and Technology, India"
