@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,authkeywords,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0028982569,SCOPUS_ID:0028982569,2-s2.0-0028982569,Rapid soil development after windthrow disturbance in pristine forests,Bormann B.,Journal of Ecology,00220477,83,5,747-757,1995-01-01,1995,10.2307/2261411,136,Journal,ar,Article,100,6,6,29602,undefined,0,FALSE,28,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982568,SCOPUS_ID:0028982568,2-s2.0-0028982568,Post-fire changes in community structure of tall tussock grasslands: A test of alternative models of succession,Gitay H.,Journal of Ecology,00220477,83,5,775-782,1995-01-01,1995,10.2307/2261414,19,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,29,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982567,SCOPUS_ID:0028982567,2-s2.0-0028982567,An unexpected change in spatial pattern across 10 years in an aspen-white-pine forest,Peterson C.,Journal of Ecology,00220477,83,5,847-855,1995-01-01,1995,10.2307/2261421,93,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,30,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982563,SCOPUS_ID:0028982563,2-s2.0-0028982563,Recent white spruce dynamics at the subarctic alpine treeline of north-western Canada,Szeicz J.,Journal of Ecology,00220477,83,5,873-885,1995-01-01,1995,10.2307/2261424,176,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,31,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982562,SCOPUS_ID:0028982562,2-s2.0-0028982562,Community structure in sand dune annuals: Is seed weight a key quantity?,Rees M.,Journal of Ecology,00220477,83,5,857-863,1995-01-01,1995,10.2307/2261422,147,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,32,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982547,SCOPUS_ID:0028982547,2-s2.0-0028982547,Assembly rules demonstrated in a saltmarsh community,Wilson J.,Journal of Ecology,00220477,83,5,801-807,1995-01-01,1995,10.2307/2261417,68,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,33,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028981227,SCOPUS_ID:0028981227,2-s2.0-0028981227,Phosphorus inputs of terrestrial ecosystems,Newman E.,Journal of Ecology,00220477,83,4,713-726,1995-01-01,1995,10.2307/2261638,211,Journal,re,Review,100,1,1,29602,undefined,0,FALSE,34,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977649,SCOPUS_ID:0028977649,2-s2.0-0028977649,Changed patterns of resistance in a population of Linum marginale attacked by the rust pathogen Melampsora lini,Burdon J.,Journal of Ecology,00220477,83,2,199-206,1995-01-01,1995,10.2307/2261558,97,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,35,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977487,SCOPUS_ID:0028977487,2-s2.0-0028977487,Community stability: A 60-year record of trends and outbreaks in the occurrence of species in the Park Grass Experiment,Dodd M.,Journal of Ecology,00220477,83,2,277-285,1995-01-01,1995,10.2307/2261566,72,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,36,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977476,SCOPUS_ID:0028977476,2-s2.0-0028977476,Growth and reproduction of dwarf shrubs in a subarctic plant community: Annual variation and above-ground interactions with neighbours,Shevtsova A.,Journal of Ecology,00220477,83,2,263-275,1995-01-01,1995,10.2307/2261565,83,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,37,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977475,SCOPUS_ID:0028977475,2-s2.0-0028977475,Competition between perennial grasses in a Neotropical savanna: The effects of fire and of hydric-nutritional stress,Inchausti P.,Journal of Ecology,00220477,83,2,231-243,1995-01-01,1995,10.2307/2261562,14,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,38,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977473,SCOPUS_ID:0028977473,2-s2.0-0028977473,Parasitic and competitive interactions between the hemiparasites Rhinanthus serotinus and Odontites rubra and their host Medicago sativa,Matthies D.,Journal of Ecology,00220477,83,2,245-251,1995-01-01,1995,10.2307/2261563,98,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,39,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977469,SCOPUS_ID:0028977469,2-s2.0-0028977469,Roles of root symbioses in African woodland and forest: Evidence from 15N abundance and foliar analysis,Hogberg P.,Journal of Ecology,00220477,83,2,217-224,1995-01-01,1995,10.2307/2261560,77,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,40,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977467,SCOPUS_ID:0028977467,2-s2.0-0028977467,Fire-followers in chaparral: Nitrogenous compounds trigger seed germination,Thanos C.,Journal of Ecology,00220477,83,2,207-216,1995-01-01,1995,10.2307/2261559,90,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,41,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977461,SCOPUS_ID:0028977461,2-s2.0-0028977461,Development of a Populus balsamifera clone in subarctic Quebec reconstructed from spatial analyses,Brodie C.,Journal of Ecology,00220477,83,2,309-320,1995-01-01,1995,10.2307/2261569,39,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,42,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977458,SCOPUS_ID:0028977458,2-s2.0-0028977458,The determinants of the distribution and abundance of the winter annual grass Vulpia ciliata ssp. ambigua,Carey P.,Journal of Ecology,00220477,83,2,177-187,1995-01-01,1995,10.2307/2261556,49,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,43,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977457,SCOPUS_ID:0028977457,2-s2.0-0028977457,Plant competition along soil moisture gradients: A field experiment with the desert annual Stipa capensis,Kadmon R.,Journal of Ecology,00220477,83,2,253-262,1995-01-01,1995,10.2307/2261564,93,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,44,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977449,SCOPUS_ID:0028977449,2-s2.0-0028977449,"On decaying roots, mycorrhizal colonization and the design of removal experiments",McLellan A.,Journal of Ecology,00220477,83,2,225-230,1995-01-01,1995,10.2307/2261561,43,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,45,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977437,SCOPUS_ID:0028977437,2-s2.0-0028977437,Demography of the perennial herb Lathyrus vernus. II.Herbivory and population dynamics,Ehrlen J.,Journal of Ecology,00220477,83,2,297-308,1995-01-01,1995,10.2307/2261568,117,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,46,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028977435,SCOPUS_ID:0028977435,2-s2.0-0028977435,"Pollinator visitation patterns, floral rewards and the probability of transmission of Microbotryum violaceum, a venereal disease of plants",Shykoff J.A.,Journal of Ecology,00220477,83,2,189-198,1995-01-01,1995,10.2307/2261557,130,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,47,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976943,SCOPUS_ID:0028976943,2-s2.0-0028976943,"Species replacement in the bryophyte layer in mires: The role of water type, nutrient supply and interspecific interactions",Kooijman A.M.,Journal of Ecology,00220477,83,1,1-8,1995-01-01,1995,10.2307/2261145,52,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,48,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976939,SCOPUS_ID:0028976939,2-s2.0-0028976939,Mediterranean annual pasture dynamics: Impact of autumn drought,Espigares T.,Journal of Ecology,00220477,83,1,135-142,1995-01-01,1995,10.2307/2261157,78,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,49,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976938,SCOPUS_ID:0028976938,2-s2.0-0028976938,"Differential substrate use by epiphytes in Corcovado National Park, Costa Rica: A source of guild structure",Kernan C.,Journal of Ecology,00220477,83,1,65-73,1995-01-01,1995,10.2307/2261151,32,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,50,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976937,SCOPUS_ID:0028976937,2-s2.0-0028976937,An experimental study of regeneration on landslides in montane rain forest in Jamaica,Dalling J.,Journal of Ecology,00220477,83,1,55-64,1995-01-01,1995,10.2307/2261150,57,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,51,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976936,SCOPUS_ID:0028976936,2-s2.0-0028976936,"Dendroecological analysis of successional dynamics for a presettlement-origin white-pine-mixed-oak forest in the southern Appalachians, USA",Abrams M.D.,Journal of Ecology,00220477,83,1,123-133,1995-01-01,1995,10.2307/2261156,139,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,52,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976930,SCOPUS_ID:0028976930,2-s2.0-0028976930,Ecophysiological responses of tree seedlings invading different patches of old-field vegetation,Burton P.J.,Journal of Ecology,00220477,83,1,99-112,1995-01-01,1995,10.2307/2261154,73,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,53,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976928,SCOPUS_ID:0028976928,2-s2.0-0028976928,Responses to nutrient addition among shade-tolerant tree seedlings of lowland tropical rain forest in Singapore,Burslem D.,Journal of Ecology,00220477,83,1,113-122,1995-01-01,1995,10.2307/2261155,83,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,54,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976927,SCOPUS_ID:0028976927,2-s2.0-0028976927,Disturbance and the population dynamics of Liriodendron tulipifera: Simulations with spatial model of forest succession,Busing R.,Journal of Ecology,00220477,83,1,45-53,1995-01-01,1995,10.2307/2261149,48,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,55,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976925,SCOPUS_ID:0028976925,2-s2.0-0028976925,Effects of adult tree density and fire on the demography of pregrass stage juvenile longleaf pine (Pinus palustris Mill.),Grace S.,Journal of Ecology,00220477,83,1,75-86,1995-01-01,1995,10.2307/2261152,76,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,56,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976924,SCOPUS_ID:0028976924,2-s2.0-0028976924,Genet disintegration in Filipendula ulmaria: Consequences for population dynamics and vegetation succession,Falinska K.,Journal of Ecology,00220477,83,1,9-21,1995-01-01,1995,10.2307/2261146,54,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,57,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976923,SCOPUS_ID:0028976923,2-s2.0-0028976923,Influence of gap disturbances and type of microsites on seedling establishment in Bouteloua gracilis,Aguilera M.,Journal of Ecology,00220477,83,1,87-97,1995-01-01,1995,10.2307/2261153,76,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,58,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976920,SCOPUS_ID:0028976920,2-s2.0-0028976920,Plant life-history attributes: Their relationship to disturbance response in herbaceous vegetation,McIntyre S.,Journal of Ecology,00220477,83,1,31-44,1995-01-01,1995,10.2307/2261148,397,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,59,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028976919,SCOPUS_ID:0028976919,2-s2.0-0028976919,Morphological plasticity in clonal plants: The foraging concepts reconsidered,De Kroon H.,Journal of Ecology,00220477,83,1,143-152,1995-01-01,1995,10.2307/2261158,461,Journal,re,Review,100,2,2,29602,undefined,0,FALSE,60,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975886,SCOPUS_ID:0028975886,2-s2.0-0028975886,Herbaceous vegetation in the understorey of the boreal forest: Does nutrient supply or snowshoe hare herbivory regulate species composition and abundance?,John E.,Journal of Ecology,00220477,83,4,581-590,1995-01-01,1995,10.2307/2261626,31,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,61,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975884,SCOPUS_ID:0028975884,2-s2.0-0028975884,Root and shoot competition intensity along a soil depth gradient,Belcher J.,Journal of Ecology,00220477,83,4,673-682,1995-01-01,1995,10.2307/2261635,140,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,62,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975877,SCOPUS_ID:0028975877,2-s2.0-0028975877,"Depth of root activity of coexisting grassland species in relation to N and P additions, measured using nonradioactive tracers",Mamolos A.,Journal of Ecology,00220477,83,4,643-652,1995-01-01,1995,10.2307/2261632,60,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,63,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975874,SCOPUS_ID:0028975874,2-s2.0-0028975874,Biotic and abiotic control of the dynamics of gray dogwood (Cornus racemosa Lam.) shrub thickets,Boeken B.,Journal of Ecology,00220477,83,4,569-580,1995-01-01,1995,10.2307/2261625,13,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,64,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975873,SCOPUS_ID:0028975873,2-s2.0-0028975873,Predicting demographic change in response to herbivory: A model of the effects of grazing and annual variation on the population dynamics of Anthyllis vulneraria,Bastrenta B.,Journal of Ecology,00220477,83,4,603-611,1995-01-01,1995,10.2307/2261628,54,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,65,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975871,SCOPUS_ID:0028975871,2-s2.0-0028975871,Size and reproductive inequality in mycorrhizal and nonmycorrhizal populations of Abutilon theophrasti,Shumway D.L.,Journal of Ecology,00220477,83,4,613-620,1995-01-01,1995,10.2307/2261629,46,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,66,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975869,SCOPUS_ID:0028975869,2-s2.0-0028975869,Genotypic and plastic variation in plant size: Effects on fecundity and allocation patterns in Lychnis flos-cuculi along a gradient of natural soil fertility,Biere A.,Journal of Ecology,00220477,83,4,629-642,1995-01-01,1995,10.2307/2261631,81,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,67,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975868,SCOPUS_ID:0028975868,2-s2.0-0028975868,Population biology of the clonal moss Hylocomium splendens in Norwegian boreal spruce forests. I.Demography,Okland R.,Journal of Ecology,00220477,83,4,697-712,1995-01-01,1995,10.2307/2261637,121,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,68,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975851,SCOPUS_ID:0028975851,2-s2.0-0028975851,Pollen source area and pollen productivity: Evidence from forest hollows,Calcote R.,Journal of Ecology,00220477,83,4,591-602,1995-01-01,1995,10.2307/2261627,236,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,69,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975836,SCOPUS_ID:0028975836,2-s2.0-0028975836,"Effect of grazing by greater snow geese on the production of graminoids at an Arctic site (Bylot Island, NWT, Canada)",Gauthier G.,Journal of Ecology,00220477,83,4,653-664,1995-01-01,1995,10.2307/2261633,82,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,70,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975835,SCOPUS_ID:0028975835,2-s2.0-0028975835,"Alternate bearing, predator satiation and seedling recruitment in Quercus robur L.",Crawley M.,Journal of Ecology,00220477,83,4,683-696,1995-01-01,1995,10.2307/2261636,280,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,71,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028975832,SCOPUS_ID:0028975832,2-s2.0-0028975832,An experimental field study of the effects of mollusc grazing on seedling recruitment and survival in grassland,Hanley M.,Journal of Ecology,00220477,83,4,621-627,1995-01-01,1995,10.2307/2261630,131,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,72,NA,NA,NA,NA
