@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/26844450630,SCOPUS_ID:26844450630,2-s2.0-26844450630,Seasonal variation in the quality of a tropical ripe fruit and the response of three frugivores,O'Driscoll Worman C.,Journal of Tropical Ecology,02664674,21,6,689-697,2005-11-01,November 2005,10.1017/S0266467405002725,S0266467405002725,"Seasonality in tropical forests can be more subtle than that of temperate forests but still affects the resources available to wildlife. Much work has been done describing changes in fruit availability and dietary composition but the nutritional quality of any particular food item is assumed to be relatively constant. We investigated seasonal changes in the quality of the ripe fruit of Celtis durandii, a common tree that produces fruit year-round and is important in the diets of many species. The lipid content of the ripe fruit was found to be highly variable (0.3-30.8% dry matter) among months and this variation was positively correlated with the summed daily rainfalls of the previous and concurrent months. The amount of this fruit in the diets of three frugivorous primate species (Cercopithecus mitis, Cercopithecus ascanius and Lophocebus albigena) was positively related to measured or estimated lipid levels in the fruit. Such predictable changes in the quality of a constantly available fruit have not been previously reported and suggest that the resources provided by tropical forests may be more seasonal than shown by common measures of fruit availability. Copyright © 2005 Cambridge University Press.",52,Journal,ar,Article,100,2,2,Celtis durandii | Cercopithecus ascanius | Cercopithecus mitis | Fruit | Kibale | lipids | Lophocebus albigena | Nutritional ecology | Uganda,23435,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844435128,SCOPUS_ID:26844435128,2-s2.0-26844435128,"Spatial ecology of slatey-grey snakes (Stegonotus cucullatus, Colubridae) on a tropical Australian floodplain",Brown G.,Journal of Tropical Ecology,02664674,21,6,605-612,2005-11-01,November 2005,10.1017/S0266467405002671,S0266467405002671,"The extent, sequence, synchrony and correlates of diel displacements by animals can provide powerful insights into the ecological and social factors that shape an organism's day-to-day activities, but detailed data on spatial ecology are available for very few tropical taxa. Radiotelemetric monitoring of 25 slatey-grey snakes (Stegonotus cucullatus) on a floodplain in the Australian wet-dry tropics for periods of 40 to 355 d (mean=195 d, 136 locations per snake) provided extensive information on habitat use, movement patterns and home range size of these large slender-bodied colubrids. All radio-tracked animals were nocturnal, sheltering by day in soil cracks and beneath tree roots and debris. Snakes did not appear to move between 61% of successive locations and timing of movements was not synchronized among snakes. Most displacements were small (<50m), with males moving further and more often than did females. However, nesting females made occasional long-distance movements, travelling 100-400m to forested areas to oviposit but then returning to their usual home ranges. Snakes of both sexes moved further and more often during the wet-season than the dry-season. Snakes typically moved on a few successive nights then remained sedentary for the next few days, apparently reflecting cessation of activity as soon as a meal was obtained. Home ranges were small (2.9-7.4 ha) and most snakes remained in the same area throughout the year, providing a strong contrast in this respect to the large and seasonally dynamic home ranges of sympatric acrochordid and pythonid snakes. Copyright © 2005 Cambridge University Press.",34,Journal,ar,Article,100,3,3,Activity | Home range | Movements | Radiotelemetry | Reptile,23435,undefined,0,FALSE,12,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/23944503358,SCOPUS_ID:23944503358,2-s2.0-23944503358,Resilience of secondary forest regrowth after slash-and-burn agriculture in central Amazonia,Gehring C.,Journal of Tropical Ecology,02664674,21,5,519-527,2005-09-01,September 2005,10.1017/S0266467405002543,NA,"This study describes forest succession following slash-and-burn agriculture in central Amazonia, based on four chronosequences (22 sites) of 2- to 25-y-old secondary regrowth and mature forest. Biomass accumulated in the form of a saturation curve: 25 y of regrowth restored half of the mature-forest biomass, 75% would be restored after an estimated 175 y. Biomass accumulation was accompanied by a rapid decrease in woody plant density and an increase of the positive skew of plant size distribution. Liana biomass share declined from 5.0% in young to 1.9% in old regrowth, and 1.3% in mature forest, whereas the share of palms was low (0.5%) in young regrowth and high in old regrowth (1.8%) and mature forest (2.2%). 25-y-old regrowth was similar with mature forest in respect to woody plant density and growth-form composition, but both the plant size distribution and the number of stems per plant differed strongly from mature forest. A moderate increase in land use had only minor effects on biomass accumulation, but profoundly changed structural characteristics of regrowth, pointing to a high vulnerability to degradation. Thus, the sustainability of slash-and-burn in central Amazonia may be lower than the rapid initial biomass accumulation would make it seem. Copyright © 2005 Cambridge University Press.",75,Journal,ar,Article,100,3,3,NA,23435,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944499144,SCOPUS_ID:23944499144,2-s2.0-23944499144,The cost of nectar replenishment in two epiphytic bromeliads,Ordano M.,Journal of Tropical Ecology,02664674,21,5,541-547,2005-09-01,September 2005,10.1017/S026646740500266X,NA,"Animal-pollinated angiosperm plants that replenish removed nectar invest energy that can entail a reproductive cost. Here we investigated whether or not seed production is affected by replenishing nectar in hummingbird-pollinated Tillandsia multicaulis and T. deppeana (Bromeliaceae) in a montane cloud forest in eastern Mexico. These epiphytic plants respond strongly and positively to repeated nectar removal. The female reproductive cost was assessed in manually, cross-pollinated flowers with or without repeated nectar removal. Seed production from experimental flowers was then contrasted with those naturally exposed to pollination and nectar removal. Tillandsia deppeana set the same number of seeds of the same size regardless of whether or not it had to replenish nectar. Seeds were slightly smaller if the result of natural open pollination than from copious hand crossing. In contrast, T. multicaulis set about half as many seeds when it had to replenish than when it did not, indicating a substantial cost to replenishment. There was no difference in seed number of T. multicaulis between open and hand-augmented pollination. The contrasting results for plants that respond strongly and positively to repeated nectar removal suggest that the female reproductive costs of nectar replenishment can range from costly to beneficial, depending on the conditions of the plants and on the species. Copyright © 2005 Cambridge University Press.",38,Journal,ar,Article,100,2,2,Bromeliaceae | Cloud forest | Epiphytes | Hummingbirds | Mexico | Nectar cost | Nectar removal | Seed production | Tillandsia,23435,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944498667,SCOPUS_ID:23944498667,2-s2.0-23944498667,Above- and below-ground litter production in three tropical montane forests in southern Ecuador,Röderstein M.,Journal of Tropical Ecology,02664674,21,5,483-492,2005-09-01,September 2005,10.1017/S026646740500249X,NA,"Litter production from above-ground (leaves, twigs, fruits, flowers) and below-ground (roots) plant organs is an important component of the cycling of carbon and nutrients in forests. Tropical montane forests possess comparatively large quantities of fine-root biomass, suggesting that litter production by dying fine roots may represent a major component of total litter production. In a comparative study in three tropical montane forests of southern Ecuador at 1890, 2380 and 3060 m elevation, we measured leaf-fall by litter trapping and fine-root litter production by sequential soil coring and fine-root biomass and necromass analysis for about 1 y with the objectives (1) to quantify annual above- and below-ground litter production, and (2) to investigate elevational differences in litter production. Leaf litter mass decreased to less than a third (862 to 263 g m-2 y-1) with increasing elevation (1890 m to 3060 m), whereas fine-root litter production increased by a factor of about four (506 to 2084 g m-2 y-1). Thus, the ratio of leaf to fine-root litter shifted by an order of magnitude in favour of fine-root litter production between 1890 to 3060 m. Fine-root litter production was not synchronized with leaf litterfall and was seasonal only at 3060 m with mortality peaks in the drier and the wetter periods. We conclude that dying fine roots represent a very important fraction of total litterfall in tropical montane forests that can exceed the quantity of leaf litter. At 3060 m, the largest part of the organic material on top of the soil must originate from dying fine roots but not from fallen leaves. Copyright © 2005 Cambridge University Press.",99,Journal,ar,Article,100,3,3,Elevation | Fine-root biomass | Fine-root necromass | Leaf litterfall | Sequential soil coring,23435,undefined,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944498658,SCOPUS_ID:23944498658,2-s2.0-23944498658,"The population dynamics of a non-pollinating fig wasp on Ficus auriculata at Xishuangbanna, China",Peng Y.,Journal of Tropical Ecology,02664674,21,5,581-584,2005-09-01,September 2005,10.1017/S0266467405002634,NA,NA,14,Journal,ar,Article,100,3,3,Apocryptophagus | Co-evolution | Dioecy | Fig-pollinating wasp | Symbiosis,23435,undefined,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944497159,SCOPUS_ID:23944497159,2-s2.0-23944497159,"Population dynamics of Hyperiodrilus africanus (Oligochaeta, Eudrilidae) in Ivory Coast",Tondoh J.E.,Journal of Tropical Ecology,02664674,21,5,493-500,2005-09-01,September 2005,10.1017/S0266467405002506,NA,"The population dynamics of the exotic earthworm Hyperiodrilus africanus was investigated in a secondary forest of the Natural Reserve of Lamto (Ivory Coast) over a period of 19 mo. The objectives were to assess seasonal abundance patterns and to determine the adaptive strategies of this species. Each month, 10 soil samples of 100 x 100 x 40 cm and 20 monolith samples of 25 x 25 x 30 cm were randomly excavated in a plot of 50 x 95 m and earthworms were extracted by both hand-sorting and wash-sieving methods. The results show significant inter-annual and seasonal fluctuations in population size. Three factors are likely to control population dynamics: (1) rainfall, (2) soil water content and (3) seasonality. The dry season appears to be the most important environmental factor that regulates population abundance when predation, density-dependent regulation and competition phenomena are ignored. Hyperiodrilus africanus exhibited an r strategy, suggesting a high ability to recover populations affected by drought. Copyright © 2005 Cambridge University Press.",14,Journal,ar,Article,100,2,2,Demographic profile | Ivory Coast | Population dynamics | Tropical earthworms | West Africa,23435,undefined,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944493668,SCOPUS_ID:23944493668,2-s2.0-23944493668,Catastrophic natural origin of a species-poor tree community in the world's richest forest,Pitman N.C.A.,Journal of Tropical Ecology,02664674,21,5,559-568,2005-09-01,September 2005,10.1017/S0266467405002713,NA,"Upper Amazonian tree communities are famous for their very high alpha-diversity. This paper describes an anomalous forest just 6 km south of the equator in lowland Ecuador that is structurally mature, surrounded by hyperdiverse forest, but strikingly poor in species. To investigate the anomaly, a 1-ha tree inventory and soil analysis were carried out and compared with 15 similar surveys of upland forest in the same region. The anomalous forest contains only 102 tree species ha-1, compared with a regional mean of 239 ± 28 species ha-1. It is structurally indistinguishable from richer forests, and closest in composition to upland forest, but lacks the uplands' typically rich understorey tree community. Three hypotheses for its origin are examined: recovery from anthropogenic disturbance, unique soil conditions and recovery from a large-scale natural catastrophe. The third hypothesis is the best supported. Mineralogical, geological and remote-sensing evidence, and 14C-dating suggest that the forest grows on a vast debris plain left by a catastrophic flooding event roughly 500 y ago. The forest's low diversity today is most likely due to the failure of a full complement of the region's tree species - especially understorey taxa - to recolonize the outwash plain in the time since the disaster. Copyright © 2005 Cambridge University Press.",22,Journal,ar,Article,100,5,5,Amazon | Disturbance | Ecuador | El Reventador | History | Natural disaster | Tree diversity | Trees | Volcano,23435,undefined,0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944493157,SCOPUS_ID:23944493157,2-s2.0-23944493157,Germination strategy of the East African savanna tree Acacia tortilis,Loth P.,Journal of Tropical Ecology,02664674,21,5,509-517,2005-09-01,September 2005,10.1017/S026646740500252X,NA,"Germination of Acacia tortilis seeds strongly depends on micro-site conditions. In Lake Manyara National Park, Tanzania, Acacia tortilis occurs abundantly in recently abandoned arable fields and in elephant-mediated gaps in acacia woodland, but does not regenerate in grass swards or beneath canopies. We examined the germination of Acacia tortilis using field and laboratory experiments. Seeds placed on top of the soil rarely germinated, while seeds covered with elephant dung or buried under the soil surface had a germination success between 23-43%. On bare soil 39% of both the dung-covered and buried seeds germinated, in perennial grass swards 24-43%, and under tree canopies 10-24% respectively. In laboratory experiments, seed water absorption correlated positively with temperature up to 41°C, while subsequent germination was optimal at lower (21-23°C) temperatures. Seeds that had absorbed water lost their viability when kept above 35.5°C. The absence of light did not significantly influence germination success. Acacia tortilis does not actively disperse its seeds, but regeneration outside tree canopies was substantial. The regeneration potential thus strongly depends on the physiognomy of the vegetation. Copyright © 2005 Cambridge University Press.",15,Journal,ar,Article,100,4,4,Fire | Herbivores | Rainfall | Seed dispersal | Seeds | Tanzania | Vegetation | Woodland dynamics,23435,undefined,0,FALSE,19,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23944493151,SCOPUS_ID:23944493151,2-s2.0-23944493151,Where are the decomposers? Uncovering the soil food web of a tropical montane rain forest in southern Ecuador using stable isotopes (<sup>15</sup>N),Illig J.,Journal of Tropical Ecology,02664674,21,5,589-593,2005-09-01,September 2005,10.1017/S0266467405002646,NA,NA,66,Journal,ar,Article,100,5,5,δ N 15 | Decomposer animals | Feeding guilds | Gamasid mites | Graffenrieda emarginata | Oribatid mites,23435,undefined,0,FALSE,20,NA,NA
