@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0030436921,SCOPUS_ID:0030436921,2-s2.0-0030436921,"Patterns of tree species richness in rain forests of the middle Caquetá Area, Colombia, NW Amazonia",Duivenvoorden J.,Biotropica,00063606,28,2,142-158,1996-01-01,1996,"Tree species, genus, and family richness (DBH ≥ 10 cm) is recorded in 95 plots of 0.1 ha, situated in most physiographic units in the middle Caqueta area, east of Araracuara, in the Amazon lowlands of Colombia. A positive correlation is present between forest canopy height and tree species density. Highest tree taxon density is recorded in upland (non-flooded) plots with well-drained soils. Lowest tree taxon density is found in poorly drained swamps, while plots on podzolized (""white sand"") soils show intermediate levels. In well-drained flood plains tree taxon density is lower in comparison with well-drained uplands, but this difference becomes smaller when stem densities are taken into account. Patterns of cumulative numbers of tree taxa in series of plots combined are similar. The results suggest that general patterns of tree taxon richness are mostly related to habitat hostility and environmental stress factors. Fluvial dynamics, between plot soil heterogeneity and beta diversity, play only a subordinate role in the maintenance of the high tree species diversity in the well-drained uplands. Here, tree species density in proportion to stem density is slightly higher in forests on the less nutrient poor, more clayey and reddish soils with thinner humus forms compared to forests on very poor, loamy, and yellowish soils with thicker humus forms. These results may be explained in terms of habitat hostility (stress) or forest dynamics Gap phase dynamics could be important in maintaining high levels of tree species alpha diversity in well-drained upland forests. Extinction of tree species related to cyclic forest disappearances on a regional scale has probably been relatively unimportant.",83,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,11,10.2307/2389070,NA,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0030436766,SCOPUS_ID:0030436766,2-s2.0-0030436766,"Seasonal patterns of leaf growth and loss, flowering and fruiting on a subtropical central pacific island",Brooke M.D.L.,Biotropica,00063606,28,2,164-179,1996-01-01,1996,"We studied the phenology of leaf production and loss, flowering, and fruiting on Hendenon Island, a raised limestone island situated at 24°S in the Central South Pacific. The one-year study encompassed 19 of the 22 wide-spread indigenous tree and shrub species found in the plateau forest. Of 11 species showing significant annual variation in leaf production, all grew most new leaves immediately after the solar zenith between January and March, when temperatures were highest. Thirteen species showed significant annual variation in leaf loss, with peaks in October/November or January/February In most species, January-June saw net leaf gain, while the converse was true from July-December Only one species, Premna serratifolia, was deciduous, shedding leaves and then remaining leifless for approximately two months until new shoots grew leaves. Flowering and fruiting were more evenly distributed through the year than leaf production. This could be related to the scarcity of pollinating insects and/or of fruit dispersers on this exceptionally remote island.",16,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,12,10.2307/2389072,Henderson island | Limestone island | Plant phenolegy | Polynesia,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030434857,SCOPUS_ID:0030434857,2-s2.0-0030434857,"Color discrimination conditioning of a wasp, Polybia occidentalis (Hymenoptera: Vespidae)",Shafir S.,Biotropica,00063606,28,2,243-251,1996-01-01,1996,"A Polybia accidentalis wasp was conditioned to collect sugar-water from a blue card (CB). In discrimination experiments, the wasp was able to detect the CB card when it was placed among 11 other cards that were all white, different shades of gray, different colors, or different shades of blue. The wasp made fewer mistakes in later trials than in earlier trials of each experiment, showing that she learned to focus on cues that were sufficient for discriminating between the CB card and the other cards present. The wasp was very successful ai discriminating the CB card from other cards of similar brightness but that differed in their spectral reflection properties. The wasp's most common mistakes were with cards that were most similar to the CB card in their relative spectral reflection curves at wavelengths shorter than 575 nm Cards that were similar in this region, and also reflected longer wavelengths, were most commonly confused with the CB card. Cards with reflection peaks in the blue region but that also reflected other wavelengths shorter than 575 nm were not commonly confused with the CB card. Therefore, unlike a few hymenopteran species. Polybis does not seem to have a red-sensitive photoreceptor. Color vision was supported in that the wasp discriminated between the CB card and cards that varned in their spectral reflection properties, independent of light intensity. This is the first behavioral demonstration of color vision in the Polistinae and could further our understanding of the evolution and ecology of this Urge group.",33,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,13,10.2307/2389078,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030434538,SCOPUS_ID:0030434538,2-s2.0-0030434538,Reproductive phenology of climbers in a southeastern Brazilian forest,Morellato P.,Biotropica,00063606,28,2,180-191,1996-01-01,1996,"The reproductive phenology of the entire climber community (96 species of lianas and 40 species of vines) in a semideciduous forest in Southeastern Brazil (22°49′45″S; 47°06′33″W and 670 m altitude) was observed from March 1988 to February 1991. Phenological observations were made weekly by walking along a 10.5 km trail in the interior and at the forest edges of the Santa Genebra Reserve (SGR). The most species-rich families of climbers were Bignoniaceae (22). Malpighiaceae (17), Sapindaceae (12) and Asteraceae (12). Flowering patterns for woody lianas and herbaceous vines differed. Lianas had two flowering peaks: a minor peak in March in the transition from wet to dry season, and a major peak in October during the transition from dry to wet season. The flowering peak for herbaceous vines was in April. Fruiting of lianas was highly seasonal, with one peak in the late dry season (July-August). Fruiting for vines was less seasonal with a slight peak in March. These differences were consistent with the predominance of wind-dispersed fruits among lianas (72% of species) versus vines (52%). Low rainfall, high leaf fall, and strong winds during the dry season favor wind dispersal. More species of vines (40%) have animal-dispersed seeds than lianas (19%). and most vines fruited during the wet season. Phenological patterns of cumbers and trees and treelets at SGR differed. The life form of lianas and their system of reserve economy may allow them to reproduce during periods unfavorable to trees. Displacement of peak flowering periods of trees and climbers pollinated by bees and small generalist insects may decrease competition for pollen vectors among speaes of these two groups of plants Whereas the fruiting patterns of wind-dispersed trees and climbers at SGR were similar (most species fruiting during the dry season), animal-dispersed trees and treelets fruited throughout the year while animal-dispersed climbers exhibited a pronounced peak in late wet season. The distinct phenological patterns of climbers, generally complementary to those presented by trees, resulted in constant availability of flowers and fruits throughout the year and enhances the importance of this plant group in Neotropical forests.",139,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,14,10.2307/2389073,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030429241,SCOPUS_ID:0030429241,2-s2.0-0030429241,"Aportes al conocimiento de la biología de la danta de Montaña, Tapirus pinchaque, en los andes centrales de Colombia",Acosta H.,Biotropica,00063606,28,2,258-266,1996-01-01,1996,"We studied the mountain tapir Tapirus pinchaque in the Parque Natural Regional Ucumari and Parque Nacional Natural Los Nevados in the Central Cordillera of the Andes of Colombia. Direct and indirect observations as well as interviews with local people (11 families), were used to gather information. In approximately 40 km of tapir-trails in the Valle de los Venados region, foot prints of Tapirus pinchaque indicated a single family composed of a female (17 cm), male (16 cm), subadult (14 cm) and infant (6 cm). Along the tapir-trails three were three eating grounds (tree fall gaps in different succesional stages), five sleeping places (four inside the root systems of a large tree and one inside a Chusquea thicket), five scratching places and three sites with accumulation of feces. Tapirus pinchaque is a large herbivore that eats between 23 and 46 plant species and uses salt licks. Currently there are records of 32 Tapirus pinchaque in Colombia, with 24 along the Central Cordillera, where the habitats of the mountain tapir (upper montane rain forest (2500-3200 m) and paramo vegetation {> 3200 m}) are most threatened by deforestation. The effective protection of these habitats within the limits of the Parks is the first step toward the conservation of this rare and large mammal in danger of extinction.",19,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,15,10.2307/2389080,Andes | Colombia | Danta | Montane forest | Mountain tapir | Tapir de montans | Tapir de parsms | Tapirus pinchaque,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030428684,SCOPUS_ID:0030428684,2-s2.0-0030428684,Driptips Vis-à-vis soil types in central Amazônia,Rebelo C.,Biotropica,00063606,28,2,159-163,1996-01-01,1996,"Measurements of driptips of understory plants in three different communities of the central Amazon - the ""campina"" (an open scrub) and the ""campinarana"" (a low forest), both occurring on sandy soils, and the high forest occurring on a day soil - revealed that driptips were significantly more evident in high forest than in the other two communities, which were not different from each other. As these communities are located in the same region and exposed to the same climate, selection for driptips may have been more intense on day soils than on sandy soils because the former are more susceptible to erosion. These results are consistent with the hypothesis that driptips provide a natural mechanism to reduce sod erosion by decreasing the drop size of leaf runoff. Soils exhibiting different sensitivities to erosion would then be associated with the degree of driptip development in understory plants.",8,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,16,10.2307/2389071,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030373228,SCOPUS_ID:0030373228,2-s2.0-0030373228,Effects of hurricane disturbance on groundwater chemistry and riparian function in a tropical rain forest,McDowell W.,Biotropica,00063606,28,4 A,577-584,1996-01-01,December 1996,"The long-term response of shallow groundwater chemistry to the canopy disturbance and defoliation associated with Hurricane Hugo was studied at two sites in the Luquillo Experimental Forest, Puerto Rico. The sites differed in bedrock type, dominant vegetation, and availability of pre-hurricane data. At the primary study site, the Bisley catchment, hurricane disturbance resulted in increased concentrations of NO3-, NH4+, dissolved organic N, base cations, Cl-, and SiO2 in groundwater within 5 mo of the hurricane. The largest relative change in concentration occurred for K+, which increased from 0.7 to as high as 13 mg/L; concentrations were still 1.3 mg/L 5.5 yr after the hurricane. Most other solutes had returned to background levels within 1-2 yr of the hurricane. At the secondary study site, the lcacos catchment, NO3- concentrations peaked at 1.1 mg/L one yr after the hurricane and decreased to nearly zero 5.5 yr after the hurricane. At both sites, NO3- concentrations were higher in upslope wells than in those closer to the stream. Overall, riparian processes appear to reduce but not eliminate hydrologic looses of N following catastrophic disturbance. The nature of the long-term biogeochemical response to disturbance in this tropical rain forest ecosystem is similar to that observed in some montane temperate forests, and the time course of recovery appears to be associated with the speed with which vegetation regrows following disturbance.",48,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,17,10.2307/2389098,Disturbance | Groundwater | Hurricane | Luquillo Experimental Forest | Nitrogen | Nutrients | Puerto Rico | Tropical rain forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030326736,SCOPUS_ID:0030326736,2-s2.0-0030326736,Biological challenges for certification of tropical timber,Putz F.E.,Biotropica,00063606,28,3,323-330,1996-01-01,1996,"Ecological certification of forest products is a rapidly depling market-based incentive for better fores management Improved forest management can be an important comportent of tropical conservation and development strategies. To provide a solid biophysical basis for certification programs, however, research is needed on the ecological and structural consequences of different forest management practices The current criteria for certification are generally based on sustainability of timber harvest volumes, protection of hydrological functions, maintenance of sod productivity and forest structure, and minimization of the deletenous impacts of forest management on non-commercial plants and animals Some criteria and the beld indicators used in their assessment apply equally well to most forests, whereas others are only appropriate for certain forest types. Hands, or species. Tropical biologists can contribute to the processes of refining eco-certifkation criteria and selecting ecologically meaningful indicators of good forest management that can be readily assessed and monitored Participation of tropical biologists in the design of ecological certification protocols will improve credibility of the process and promote better forest stewardship.",19,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,18,10.2307/2389196,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030326698,SCOPUS_ID:0030326698,2-s2.0-0030326698,Retaining forest biomass by reducing logging damage,Pinard M.,Biotropica,00063606,28,3,278-295,1996-01-01,1996,"Global concern over rising atmospheric concentrations of carbon dioxide is stimulating development and implementation of policies aimed at reducing net greenhouse gas emissions by enhancing carbon sinks. One option for reducing net emissions is to lessen damage to residual forests during selective logging, thereby retaining additional carbon in biomass. A pilot carbon offset project was initiated in Sabah, Malaysia, in 1992 in which a power company provided funds to a timber concessionaire to implement guidelines aimed at reducing logging damage; in doing so, the utility gained potential credit towards future emissions reduction requirements To quantify the carbon retained due to this effort, we compared dipterocarp forests logged according to reduced-impact logging guidelines with forests logged by conventional methods in terms of the above- and below-ground biomass both before and after logging. Prior to logging, the forest stored approximately 400 Mg biomass ha-1, 17 percent of which was bdowground. High volumes of timber were removed from both of the logging areas (mean CNV = 154. RIL - 104 m'ha1) Forty-one percent of the unharvested trees <60 cm DBH were severely damaged (uprooted and crushed) from logging in conventional logging areas in contrast to 15 percent in reduced-impact logging areas. Approximately 18 and 12 percent, respectively, of the remaining residual trees in conventional and reduced-impact logging areas suffered less severe damage (e. g., crown or bark damage). Mortality rates of the less severely damaged trees in all DBH classes were higher during the first year in conventional logging areas than in reduced-impact logging areas. One yr post harvest, conventional and reduced-impact logging areas contained biomass equivalent to about 44 percent and 67 percent of pre-logging levels, respectively. Approximately 62 percent of the difference in carbon retention was due to fewer trees killed in the reduced-impact logging areas; the remaining 38 percent was due to a lower mass of branches, stumps and waste wood from felled trees in reduced-impact logging areas. Mortality of damaged trees in both areas may contribute to net decreases in biomass for several years after logging. More and larger trees remained undamaged where reducedimpact logging was practiced, hence future biomass increment and yields of marketable timber are expected to be greater in the reduced-impact logging areas than in conventional logging areas.",303,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,19,10.2307/2389193,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030326663,SCOPUS_ID:0030326663,2-s2.0-0030326663,Changes in leaf morphology and foliar nutrient status along a successional gradient in a Costa Rican upper montane Quercus forest,Kappelle M.,Biotropica,00063606,28,3,331-344,1996-01-01,1996,"Morphology and mineral levels of leaves of 19 secondary and 22 primary tree species were studied in Querus-dominatd upper montane 10-year-old Early Secondary Forest (LSF) 30-year-old Late Secondary Forest (LSF) and undisturbed primary Forest (PF) in the Cosca Rican Cordillera de Talmanca IN generala the predominat leaf is simple. ellipse, center. pinnaceh vesned Netrophillius and mutophyllas sized leaves dominate all spectra During spectra secondary the mean leaf area of secondary species to reduca 30 to 65 percent while the average kaf area of primary species deables primary species exbibis a greters mean keaf dry weight per unit area than secondary species As soccesson proceeds. the mean leaf watercontent drups among secondary species and cises among primary spcis During forest recovery kvetsof lolias nitrogen phosphorous, and pixzassum deding singnificants IN kaves of species in ESF nitrogen Phaphorus and potesium are sigificantly correlaterl Values for leaf charcterstics recorded in Cosca Rican moncare ESF. LSF. and PF fall mainly within the canges known from other tropical moncane forests.",21,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,20,10.2307/2389197,NA,all,All Open Access
