@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84971733639,SCOPUS_ID:84971733639,2-s2.0-84971733639,Instruction to authors,Fleming T.,Journal of Tropical Ecology,02664674,14697831,10,1,126-128,1994-01-01,February 1994,10.1017/S026646740000777X,NA,0,Journal,ar,Article,100,1,1,NA,23435,NA,undefined,NA,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028321125,SCOPUS_ID:0028321125,2-s2.0-0028321125,Insect defoliation of a monodominant amazonian rainforest,Nascimento M.,Journal of Tropical Ecology,02664674,14697831,10,4,633-636,1994-01-01,November 1994,10.1017/S0266467400008312,NA,17,Journal,ar,Article,100,2,2,NA,23435,CNPq,undefined,Conselho Nacional de Desenvolvimento Científico e Tecnológico,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189516,SCOPUS_ID:0028189516,2-s2.0-0028189516,"Seed dispersal by the fish pterodoras granulosus in the parana river basin, Brazil",De Souza-Stevaux M.c.,Journal of Tropical Ecology,02664674,14697831,10,4,621-626,1994-01-01,November 1994,10.1017/S0266467400008294,NA,45,Journal,ar,Article,100,3,3,Brazil Cecropia | dispersal | Ficus | frueivorv | herbivory | ichthyochory | Polygonum | riverine species | Teleostei,23435,NA,undefined,NA,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028186304,SCOPUS_ID:0028186304,2-s2.0-0028186304,Further studies on the fish communities of a perturbed stream in southern Nigeria,Victor R.,Journal of Tropical Ecology,02664674,14697831,10,4,627-632,1994-01-01,November 1994,10.1017/S0266467400008300,NA,2,Journal,ar,Article,100,2,2,Africa | communities | fish | Nigeria | perturbation | reservoir | stream | tropics,23435,NA,undefined,NA,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165774,SCOPUS_ID:0028165774,2-s2.0-0028165774,Display dispersion and micro-habitat use by the malaysian peacock pheasant polyplectron malacense in peninsular malaysia,McGowan P.,Journal of Tropical Ecology,02664674,14697831,10,2,229-244,1994-01-01,May 1994,10.1017/S0266467400007872,"The spatial distribution of displaying Malaysian peacock pheasants was documented at a site in Peninsular Malaysia. Calling males were clustered and, therefore, were not evenly distributed throughout the available habitat. The location of these clusters differed between calling periods. An objective method of assessing micro-habitat structure at the forest-floor level was devised to investigate habitat use by displaying males. Habitat structure was measured at 197 points throughout the study site, both in areas used by the pheasant and in those areas not used by the pheasant. A DECO RAN A ordination revealed that two gradients explained much of the variation in micro-habitat structure. Male calling clusters were located in areas that were away from the river and more stable (e.g. fewer treefalls). Within these clusters, display scrapes were sited in areas that were more stable and were more influenced by the rivers than elsewhere within the area used by the calling males. It is suggested that the environmental gradients described by the ordination are more likely to determine the position of the calling cluster than individual habitat structure variables. Within calling clusters, however, it seems probable that the presence or absence of ground-level vegetation directly influences the siting of display scrapes. © 1994, Cambridge University Press. All rights reserved.",5,Journal,ar,Article,100,1,1,NA,23435,OU,undefined,Open University,0,FALSE,15,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165761,SCOPUS_ID:0028165761,2-s2.0-0028165761,Effects of habitat fragmentation on Amazonian termite communities,Fonseca de souza O.F.,Journal of Tropical Ecology,02664674,14697831,10,2,197-206,1994-01-01,May 1994,10.1017/S0266467400007847,". Intuitively, termites would seem to be a very suitable group to illustrate effects of ecosystem fragmentation. Being detritivorcs, they do not control directly the rate at which their resources are available, nor do they restrict the ability of the resources to regenerate. Consequently, termites do not mask the ecosystem depletion caused by fragmentation. With this in mind, we compared the communities of termites in undisturbed Amazonian forest with those of two isolated fragments nearby, aiming to show that the differences observed may have resulted from habitat fragmentation. Dissimilarities between communities in the undisturbed forest suggest natural patchiness in their distribution, which could lead to misinterpretation of the effects of fragmentation. Continuous forest had higher species richness and fewer rare species than the fragments. Guild structure in the forest was biased towards soil-feeding termites, which are subterranean and soft bodied, and therefore more sensitive to variation in microclimate. In the fragments, litter-feeders and species intermediate between soil-feeding and wood-feeding types were numerically more important. Habitats in the forest were more equally used than in the fragments, suggesting habitat unsuitability increased with fragmentation. It is suggested that the community composition of the fragments is a result of the intrinsic patchiness of the original forest and deterministic and stochastic extinctions caused by fragmentation. The need for manipulative experiments to test such ideas is discussed. © 1994, Cambridge University Press. All rights reserved.",154,Journal,ar,Article,100,2,2,Amazonia Brazil | ecosystem fragmentation | habitat islands | Isoptera rainforest | termite ecology,23435,TF,undefined,Tinker Foundation,0,FALSE,16,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165753,SCOPUS_ID:0028165753,2-s2.0-0028165753,Population size structure and sex ratios in some woodlice (Crustacea: Oniscidae) from southern Africa,Dangerfield J.,Journal of Tropical Ecology,02664674,14697831,10,2,261-271,1994-01-01,May 1994,10.1017/S0266467400007902,"The population size structure and adult sex ratio were recorded for four indigenous and one introduced species of terrestrial isopod from southern Africa. Interspecific variation was considerable with either discrete or continuous distributions indicative of the production of separate cohorts or continuous recruitment. Intraspecific variation was also considerable particularly in species such as Aphiloscia vilts which can be found in diverse habitats. Sex ratios were consistently female biased, a result consistent with observations made on temperate species. These observations, and a consideration of sexual dimorphism based on body mass, suggest that phenotypic plasticity may be an important tactic in the life histories of tropical woodlice and that in some populations the potential exists for strong sexual competition and complex mating systems. © 1994, Cambridge University Press. All rights reserved.",7,Journal,ar,Article,100,2,2,Oniscidae | phenotypic plasticity | Porcellionides pruinosus | recruitment | sexual competition,23435,UZ,undefined,University of Zimbabwe,0,FALSE,17,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165697,SCOPUS_ID:0028165697,2-s2.0-0028165697,Growth rates and mortality patterns of tropical lowland tree species and the relation to forest structure in Amazonian Ecuador,Korning J.,Journal of Tropical Ecology,02664674,14697831,10,2,151-166,1994-01-01,May 1994,10.1017/S026646740000780X,"Growth in diameter and the relationship between age and size are analysed for 22 tree species in Amazonian Ecuador using growth simulation by a stochastic technique that projects the diameter-age relationships of a species. Maximum diameter growth rates varied from 1.2 mm y'1(Grias neuberthii) to 20.0 mm y l(Cecropia sciadophylla). Minimum growth rates ranged from almost zero in Neea divaricata to 2.4 mm y1 in Mo Ilia lepidota. Median growth rates ranged between c. 0.5 mm yl(Grias neuberthii, Neea divaricata) and 11.6 mm y1(Cecropia sciadophylla). The maximum simulated life-span spent between a DBH of 10 cm and the largest DBH of a species varied from 54 y (Cecropia sciadophylla) to 529 y (Neea divaricata). Fast growing species and species that potentially can grow old showed a convex survivorship curve, whereas slower growing species and species that do not grow very old showed sigmoid, linear and convex survivorship curves. The species were grouped according to their DBH-height relationship and according to their maximum age, maximum growth rate, and maximum DBH. The groups probably reflect different light requirements. A negative correlation was found between maximum age and mortality rate. Growth rates vary within species, thus the largest tree is not necessarily the oldest. © 1994, Cambridge University Press. All rights reserved.",86,Journal,ar,Article,100,2,2,NA,23435,"FNU, DFF",11/6848,"Natur og Univers, Det Frie Forskningsråd",0,FALSE,18,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165696,SCOPUS_ID:0028165696,2-s2.0-0028165696,Evaluation of regression models for above-ground biomass determination in Amazon rainforest,Maria Overman J.P.,Journal of Tropical Ecology,02664674,14697831,10,2,207-218,1994-01-01,May 1994,10.1017/S0266467400007859,"conducted to determine the above-ground biomass by means of regression analysis. Dry weight, DBH (i.e. stem diameter at 1.3 m above ground level, or just above buttresses if these surpassed 1.3 m in height), total height and specific wood density were measured on 54 harvested trees, chosen in a‘selected random ’ manner. Nine different regression models were evaluated for statistical correctness, accuracy of the estimates and for practical use. The logarithmically transformed models with DBH 1 and DBH 2 x height as independent variables appeared to be the only models meeting the above criteria, the latter being the most accurate. The exclusion of big trees (DBHgt;45 cm) from the regression did not result in significant changes of the regression coefficients. In a mature lowland‘terra firme forest near Araracuara in Colombia, a study was. © 1994, Cambridge University Press. All rights reserved.",148,Journal,ar,Article,100,4,4,Amazon | Biomass | Colombia. DBH lowland rainforest | Regression models,23435,NA,undefined,NA,0,FALSE,19,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0028165691,SCOPUS_ID:0028165691,2-s2.0-0028165691,The response to salinity of a population of Dactyloctenium aegyptium from a saline habitat in southern Nigeria,Adu A.A.,Journal of Tropical Ecology,02664674,14697831,10,2,219-228,1994-01-01,May 1994,10.1017/S0266467400007860,"The effects of salinity upon the growth, photosynthesis, ion and water contents of a population of Dactyloctenium aegyptium originating from a saline site in Nigeria were investigated. Growth was unaffected by a salinity of 10% artificial sea water, but was reduced by one third in 20% and by two thirds in 30% artificial sea water respectively. Initial adjustment to salinity was due both to increases in the concentrations of sodium and potassium per unit dry weight and to reduced hydration, the latter being the more important at higher salinities. The increase in ion concentration in the cell sap balanced the salinity of the medium at 10% artificial sea water, but was excessive at higher concentrations of sea water. Net photosynthesis was unaffected by 10% artificial sea water but declined at higher salinities. The potassium content of the plants did not fall below 200-250 mM, and the sodium to potassium ratio did not exceed three, even at the highest salinities. Variation in the concentration of nutrients (potassium, nitrate and sulphate) in the medium in the presence of 25% artificial sea water had significant effects upon growth, but these were small in relation to the inhibitory effect of the salinity. The reduction in growth could not be attributed to lack of osmotic adjustment or to nutrient deficiency, and was probably due to ion toxicity within the leaves. The tolerance to reduced hydration, combined with the ability to germinate in saline conditions previously observed, could enable D. aegyptium to establish in a saline soil. The population did not exhibit any halophytic characteristics but did survive with a low growth rate at salinities up to 50% artificial sea water. It is concluded that the species was able to colonize the saline site because of its inherent adaptability, rather than the possession of an ecotype adapted to saline conditions. © 1994, Cambridge University Press. All rights reserved.",6,Journal,ar,Article,100,3,3,NA,23435,NA,undefined,NA,0,FALSE,20,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165680,SCOPUS_ID:0028165680,2-s2.0-0028165680,"The effects of man made gaps on germination, early survival, and morphology of Chlorocardium rodiei seedlings in Guyana",Steege H.,Journal of Tropical Ecology,02664674,14697831,10,2,245-260,1994-01-01,May 1994,10.1017/S0266467400007884,". Germination success of Chlorocardium rodiei is low in large gaps. High light levels, however are beneficial for the survival of seedlings. (Partial) removal of cotyledons has a large negative impact on survival especially under low light conditions. Seedlings from large gaps are larger but not taller than those from the understorey, due to differential internodc growth. Although growth of seedlings is improved by higher light levels caused for example by logging, great care should be taken with logging intensity, which may increase seed mortality. © 1994, Cambridge University Press. All rights reserved.",32,Journal,ar,Article,100,3,3,Chlorocardium rodiei | gaps | germination | Guyana | light climate | logging | seedling survival | tropical rain forest,23435,NA,undefined,NA,0,FALSE,21,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165660,SCOPUS_ID:0028165660,2-s2.0-0028165660,The fate of mature African Acacia pods and seeds during their passage from the tree to the soil,Miller M.,Journal of Tropical Ecology,02664674,14697831,10,2,183-196,1994-01-01,May 1994,10.1017/S0266467400007835,". The fate of mature Acacia tortilis pods on the tree and ground and A. nilotica pods on the ground were investigated at a site in South Africa. Pods on Acacia trees were browsed only by giraffe whereas pods on the ground were browsed by kudu, impala, steenbok and duiker. In the absence of giraffe most A. tortilis pods fell from the tree to the ground. When giraffe were present they consumed most A. tortilis pods at tree level. Bruchids infested 21.6-54.0% of seeds within pods on the tree. Once fallen, in the absence of browsing ungulates, A. tortilis and A. nilotica pod and seed disappearance could be attributed to burial by termites and ants, seed consumption by rodents and to decomposition; when browsing ungulates were present they consumed most pods on the ground. Between 20.0-47.6% of A. tortilis and 31.0-58.0% of A. nilotica seeds on the ground were infested by bruchids. Ungulate browsing had no effect on bruchid infestation of seeds. This study exemplifies the importance of browsing ungulates as consumers of Acacia pods. Although survival of.4. tortilis and A. nilotica seeds was greatest in the absence of browsing ungulates the survival of seeds following pod consumption by ungulates is unknown. © 1994, Cambridge University Press. All rights reserved.",33,Journal,ar,Article,100,1,1,Acacia | bruchid beetle | giraffe | seed predation | South Africa | ungulate browsing,23435,NERC,undefined,Natural Environment Research Council,0,FALSE,22,NA,NA
