@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,3,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,14
true,1,https://api.elsevier.com/content/author/author_id/57468112100,57468112100,0000-0001-5498-9924,Solano J.P.,Solano,Juan Pablo,J.P.,true,60071929,15
true,2,https://api.elsevier.com/content/author/author_id/57468579000,57468579000,0000-0003-3567-2504,Aguilar A.T.,Aguilar,Ana Teresita,A.T.,true,60071929,15
true,3,https://api.elsevier.com/content/author/author_id/57468268400,57468268400,0000-0002-2089-0560,Madrigal M.D.P.,Madrigal,María Del Pilar,M.D.P.,true,60071929,15
true,4,https://api.elsevier.com/content/author/author_id/14047159200,14047159200,0000-0002-1982-0979,Pérez W.,Pérez,Wendy,W.,true,127777825,15
true,5,https://api.elsevier.com/content/author/author_id/57468419100,57468419100,0000-0002-6079-3765,Vargas C.A.,Vargas,Carlos Alonso,C.A.,true,60082234,15
true,6,https://api.elsevier.com/content/author/author_id/57217502021,57217502021,0000-0001-6378-1893,Chavarría M.M.,Chavarría,María Marta,M.M.,true,105995240,15
true,7,https://api.elsevier.com/content/author/author_id/12785115800,12785115800,0000-0002-8006-9889,Denyer P.,Denyer,Percy,P.,true,60071929,15
true,1,https://api.elsevier.com/content/author/author_id/57212928219,57212928219,0000-0003-4054-6609,De Weerdt J.,De Weerdt,Joëlle,J.,true,122573287,16
true,2,https://api.elsevier.com/content/author/author_id/57468726900,57468726900,0000-0001-7232-3341,Patulny C.,Patulny,Carla,C.,true,122573287,16
true,3,https://api.elsevier.com/content/author/author_id/7005847420,7005847420,0000-0002-2776-5746,Clapham P.,Clapham,Phillip,P.,true,123421403,16
true,1,https://api.elsevier.com/content/author/author_id/7005110878,7005110878,0000-0003-4638-0742,Hidalgo H.G.,Hidalgo,Hugo G.,H.G.,true,60071929,17
true,2,https://api.elsevier.com/content/author/author_id/13806152600,13806152600,0000-0001-9278-5017,Alfaro E.J.,Alfaro,Eric J.,E.J.,true,60071929,17
true,3,https://api.elsevier.com/content/author/author_id/57206484368,57206484368,0000-0002-7217-8495,Pérez-Briceño P.M.,Pérez-Briceño,Paula M.,P.M.,true,60071929,17
true,1,https://api.elsevier.com/content/author/author_id/57468418400,57468418400,0000-0003-4855-3731,Méndez-Venegas M.,Méndez-Venegas,Mauricio,M.,true,127596209,18
true,2,https://api.elsevier.com/content/author/author_id/7201478755,7201478755,0000-0003-3413-6662,Jiménez C.,Jiménez,Carlos,C.,true,127778122,18
true,3,https://api.elsevier.com/content/author/author_id/57468727500,57468727500,0000-0002-9900-9069,Bassey-Fallas G.,Bassey-Fallas,Giovanni,G.,true,60071929,18
true,4,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,18
true,1,https://api.elsevier.com/content/author/author_id/36986990000,36986990000,0000-0003-2808-4093,Fernández-García C.,Fernández-García,Cindy,C.,true,60071929,19
true,2,https://api.elsevier.com/content/author/author_id/56426448600,56426448600,0000-0002-3781-8127,Salas-Moya C.,Salas-Moya,Carolina,C.,true,60071929,19
true,3,https://api.elsevier.com/content/author/author_id/56426021000,56426021000,0000-0002-1403-5533,Mena S.,Mena,Sebastián,S.,true,60071929,19
true,4,https://api.elsevier.com/content/author/author_id/56426613700,56426613700,0000-0002-2105-1056,Azofeifa-Solano J.C.,Azofeifa-Solano,Juan Carlos,J.C.,true,60071929,19
true,5,https://api.elsevier.com/content/author/author_id/7006237966,7006237966,0000-0002-2620-9115,Alvarado J.J.,Alvarado,Juan José,J.J.,true,60071929,19
true,1,https://api.elsevier.com/content/author/author_id/57201078643,57201078643,0000-0002-7814-7673,Cambronero-Solano S.,Cambronero-Solano,Sergio,S.,true,60071924,20
true,2,https://api.elsevier.com/content/author/author_id/57222000741,57222000741,0000-0002-3429-8672,Tisseaux-Navarro A.,Tisseaux-Navarro,Alexandre,A.,true,60071924,20
true,3,https://api.elsevier.com/content/author/author_id/56439449900,56439449900,0000-0003-2634-2036,Vargas-Hernández J.M.,Vargas-Hernández,José Mauro,J.M.,true,60071924,20
true,4,https://api.elsevier.com/content/author/author_id/57194250380,57194250380,0000-0002-7014-7054,Salazar-Ceciliano J.P.,Salazar-Ceciliano,Juan P.,J.P.,true,60071924,20
true,5,https://api.elsevier.com/content/author/author_id/57188580725,57188580725,0000-0002-8570-8280,Benavides-Morera R.,Benavides-Morera,Rosario,R.,true,60071924,20
true,6,https://api.elsevier.com/content/author/author_id/57467954700,57467954700,0000-0002-6951-5286,Quesada-ávila I.,Quesada-ávila,Isabel,I.,true,60071924,20
true,7,https://api.elsevier.com/content/author/author_id/57467805900,57467805900,0000-0002-3737-612X,Brenes-Rodríguez C.,Brenes-Rodríguez,Carlos,C.,true,60071924,20
true,1,https://api.elsevier.com/content/author/author_id/56856828900,56856828900,0000-0001-7834-5306,López-Garro A.,López-Garro,Andrés,A.,true,116476327,21
true,2,https://api.elsevier.com/content/author/author_id/56856645800,56856645800,0000-0002-3820-7643,Zanella I.,Zanella,Ilena,I.,true,116476327,21
true,1,https://api.elsevier.com/content/author/author_id/57218910804,57218910804,0000-0003-4618-6560,Rodríguez A.,Rodríguez,Alejandro,A.,true,60071929,22
true,2,https://api.elsevier.com/content/author/author_id/13806152600,13806152600,0000-0001-9278-5017,Alfaro E.J.,Alfaro,Eric J.,E.J.,true,60071929,22
true,3,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,22
true,1,https://api.elsevier.com/content/author/author_id/6507229940,6507229940,0000-0002-0883-5366,Morales-Ramírez Á.,Morales-Ramírez,Álvaro,Á.,true,60071929,23
true,2,https://api.elsevier.com/content/author/author_id/57468417300,57468417300,0000-0002-5057-2053,Pons I.T.,Pons,Ivana Till,I.T.,true,60071612,23
true,3,https://api.elsevier.com/content/author/author_id/13806152600,13806152600,0000-0001-9278-5017,Alfaro E.J.,Alfaro,Eric J.,E.J.,true,60071929,23
true,4,https://api.elsevier.com/content/author/author_id/56856811000,56856811000,0000-0001-5387-4914,Corrales-Ugalde M.,Corrales-Ugalde,Marco,M.,true,60025572,23
true,5,https://api.elsevier.com/content/author/author_id/57201074547,57201074547,0000-0001-5881-8057,Sheridan-Rodríguez C.,Sheridan-Rodríguez,Carolina,C.,true,60071929,23
true,1,https://api.elsevier.com/content/author/author_id/57468417200,57468417200,0000-0001-9327-0752,Fallas-Madrigal D.,Fallas-Madrigal,Diego,D.,true,126515399,24
true,2,https://api.elsevier.com/content/author/author_id/57468110200,57468110200,0000-0003-3378-4297,Castelo-Corona A.,Castelo-Corona,Alejandra,A.,true,60134870,24
true,3,https://api.elsevier.com/content/author/author_id/57467801700,57467801700,0000-0002-0177-8274,Mejías D.,Mejías,Diego,D.,true,127778182,24
true,4,https://api.elsevier.com/content/author/author_id/57021686200,57021686200,0000-0002-6090-9158,Stephens-Cárdenas S.,Stephens-Cárdenas,Steve,S.,true,60077409,24
true,5,https://api.elsevier.com/content/author/author_id/57467801800,57467801800,0000-0002-8384-4342,Astorga-Arias J.,Astorga-Arias,Jennyfer,J.,true,60014209,24
true,6,https://api.elsevier.com/content/author/author_id/57217094866,57217094866,0000-0001-7163-6004,Molina-Quirós J.L.,Molina-Quirós,José L.,J.L.,true,126515399,24
true,7,https://api.elsevier.com/content/author/author_id/30767496400,30767496400,0000-0002-2908-6050,Hernández S.,Hernández,Sebastián,S.,true,126515399,24
true,1,https://api.elsevier.com/content/author/author_id/37085143100,37085143100,0000-0001-9004-0150,de Mendoza L.H.,de Mendoza,Luis Hurtado,L.H.,true,127778041,25
true,2,https://api.elsevier.com/content/author/author_id/6603915850,6603915850,0000-0001-7082-4994,Alvarado G.E.,Alvarado,Guillermo E.,G.E.,true,60071929,25
true,1,https://api.elsevier.com/content/author/author_id/57200417561,57200417561,0000-0003-2394-2685,Suárez A.,Suárez,Alvin,A.,true,60031287,26
true,2,https://api.elsevier.com/content/author/author_id/6603085287,6603085287,NA,Riosmena-Rodríguez R.,Riosmena-Rodríguez,Rafael,R.,true,60031287,26
true,3,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,26
true,1,https://api.elsevier.com/content/author/author_id/57467971300,57467971300,0000-0002-3030-8300,Porsiel N.,Porsiel,Nathalie,N.,true,60028229,27
true,2,https://api.elsevier.com/content/author/author_id/30767496400,30767496400,0000-0001-7547-5631,Hernández S.,Hernández,Sebastián,S.,true,60029195,27
true,3,https://api.elsevier.com/content/author/author_id/57468896600,57468896600,0000-0002-4583-3212,Cordier D.,Cordier,Damien,D.,true,124202450,27
true,4,https://api.elsevier.com/content/author/author_id/57190619816,57190619816,0000-0002-2908-6050,Heidemeyer M.,Heidemeyer,Maike,M.,true,124202450,27
true,1,https://api.elsevier.com/content/author/author_id/55802033100,55802033100,0000-0002-4587-1446,Angulo A.,Angulo,Arturo,A.,true,60071929,28
true,2,https://api.elsevier.com/content/author/author_id/57468883500,57468883500,0000-0001-7099-5304,Martínez-Servín F.,Martínez-Servín,Francisco,F.,true,60032816,28
true,3,https://api.elsevier.com/content/author/author_id/56241715900,56241715900,0000-0002-8518-6750,Torres-Hernández E.,Torres-Hernández,Eloísa,E.,true,60032442,28
true,4,https://api.elsevier.com/content/author/author_id/8878221000,8878221000,0000-0001-9583-4443,Domínguez-Domínguez O.,Domínguez-Domínguez,Omar,O.,true,60032816,28
true,5,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,28
true,1,https://api.elsevier.com/content/author/author_id/57467954600,57467954600,0000-0003-4578-2539,Escoto-Murillo A.,Escoto-Murillo,Andrés,A.,true,60071924,29
true,2,https://api.elsevier.com/content/author/author_id/13806152600,13806152600,0000-0001-9278-5017,Alfaro E.J.,Alfaro,Eric J.,E.J.,true,60071929,29
true,1,https://api.elsevier.com/content/author/author_id/13806152600,13806152600,0000-0001-9278-5017,Alfaro E.J.,Alfaro,Eric J.,E.J.,true,60071929,30
true,2,https://api.elsevier.com/content/author/author_id/35422127200,35422127200,0000-0001-7004-8649,Cortés J.,Cortés,Jorge,J.,true,60071929,30
true,1,https://api.elsevier.com/content/author/author_id/57468418300,57468418300,0000-0002-7208-9302,González-Sánchez K.,González-Sánchez,Kaylen,K.,true,60071929,31
true,2,https://api.elsevier.com/content/author/author_id/57467952600,57467952600,0000-0003-2826-8810,Flores-Alvarado B.,Flores-Alvarado,Bryan,B.,true,60071929,31
true,3,https://api.elsevier.com/content/author/author_id/57467952700,57467952700,0000-0002-5945-8396,Montiel-Barrantes P.,Montiel-Barrantes,Paula,P.,true,60071929,31
true,4,https://api.elsevier.com/content/author/author_id/57468882200,57468882200,0000-0002-5200-0390,Gómez-Arce G.,Gómez-Arce,Gonzalo,G.,true,60071929,31
true,5,https://api.elsevier.com/content/author/author_id/7006237966,7006237966,0000-0002-2620-9115,Alvarado J.J.,Alvarado,Juan José,J.J.,true,60071929,31
true,1,https://api.elsevier.com/content/author/author_id/57463606400,57463606400,0000-0003-1573-6160,Gomez A.,Gomez,Angelo,A.,true,60078122,32
true,2,https://api.elsevier.com/content/author/author_id/57462643200,57462643200,0000-0002-6357-033X,Gonzales S.,Gonzales,Sergio,S.,true,60078122,32
true,3,https://api.elsevier.com/content/author/author_id/57462967700,57462967700,0000-0001-5095-6623,Francia-Quiroz J.C.,Francia-Quiroz,Juan C.,J.C.,true,60078122,32
true,1,https://api.elsevier.com/content/author/author_id/57226349091,57226349091,0000-0002-4639-0564,Rubio E.C.,Rubio,Edgar Camero,E.C.,true,124988710,33
true,2,https://api.elsevier.com/content/author/author_id/57207301431,57207301431,0000-0002-9379-7818,Cárdenas J.P.,Cárdenas,Johanna Paola,J.P.,true,60107009,33
true,3,https://api.elsevier.com/content/author/author_id/57463376400,57463376400,0000-0001-9062-1852,Ballesteros J.M.,Ballesteros,Jaime Marín,J.M.,true,124988710,33
true,1,https://api.elsevier.com/content/author/author_id/57463543500,57463543500,0000-0002-2543-0694,López-álvarez R.L.,López-álvarez,Rosa Lina,R.L.,true,60033065,34
true,2,https://api.elsevier.com/content/author/author_id/25422138000,25422138000,0000-0003-1672-8154,Luna-Cavazos M.,Luna-Cavazos,Mario,M.,true,60033065,34
true,3,https://api.elsevier.com/content/author/author_id/6508079292,6508079292,0000-0002-9488-2790,Valdez-Hernández J.I.,Valdez-Hernández,Juan Ignacio,J.I.,true,60033065,34
true,4,https://api.elsevier.com/content/author/author_id/6602892388,6602892388,0000-0003-1100-8553,García-Moya E.,García-Moya,Edmundo,E.,true,60033065,34
true,1,https://api.elsevier.com/content/author/author_id/57391388100,57391388100,0000-0001-5163-4220,Mena-Mosquera V.E.,Mena-Mosquera,Víctor Eleazar,V.E.,true,118425594,35
true,2,https://api.elsevier.com/content/author/author_id/24328424000,24328424000,0000-0002-3398-294X,Andrade H.J.C.,Andrade,Hernán J.C.,H.J.C.,true,60056455,35
true,1,https://api.elsevier.com/content/author/author_id/57388158700,57388158700,0000-0002-0238-1762,Cano M.F.,Cano,Manuel Francisco,M.F.,true,60066812,36
true,2,https://api.elsevier.com/content/author/author_id/56507493200,56507493200,0000-0001-5040-7894,Murillo-García O.E.,Murillo-García,Oscar E.,O.E.,true,60066812,36
true,1,https://api.elsevier.com/content/author/author_id/57192248576,57192248576,0000-0002-6209-4984,da Silva W.B.,da Silva,Wully B.,W.B.,true,127300539,37
true,2,https://api.elsevier.com/content/author/author_id/57080073900,57080073900,0000-0003-0176-9201,Cajaiba R.L.,Cajaiba,Reinaldo L.,R.L.,true,60069357,37
true,3,https://api.elsevier.com/content/author/author_id/14049217400,14049217400,0000-0002-2926-6246,Périco E.,Périco,Eduardo,E.,true,127300539,37
true,1,https://api.elsevier.com/content/author/author_id/57204968868,57204968868,0000-0003-1451-7265,García-Navarrete P.G.,García-Navarrete,Patricia G.,P.G.,true,60032442,38
true,2,https://api.elsevier.com/content/author/author_id/57216876777,57216876777,0000-0003-1952-7323,Soria-Ortiz G.J.,Soria-Ortiz,Gerardo J.,G.J.,true,60174564,38
true,3,https://api.elsevier.com/content/author/author_id/6506606240,6506606240,0000-0001-7347-714X,González-Salazar C.,González-Salazar,Constantino,C.,true,60032442,38
true,1,https://api.elsevier.com/content/author/author_id/9737354200,9737354200,0000-0002-4211-0203,Esparza-Olguín L.,Esparza-Olguín,Ligia,L.,true,60015438,39
true,2,https://api.elsevier.com/content/author/author_id/57194182624,57194182624,0000-0002-2053-3766,Martínez-Romero E.,Martínez-Romero,Eduardo,E.,true,118488864,39
true,1,https://api.elsevier.com/content/author/author_id/6505846581,6505846581,0000-0003-3431-8802,Vargas-Zamora J.A.,Vargas-Zamora,José A.,J.A.,true,60071929,40
true,2,https://api.elsevier.com/content/author/author_id/6602464065,6602464065,0000-0002-8138-0222,Gómez-Ramírez E.,Gómez-Ramírez,Eddy,E.,true,60071929,40
true,3,https://api.elsevier.com/content/author/author_id/6507229940,6507229940,0000-0002-0883-5366,Morales-Ramírez Á.,Morales-Ramírez,Álvaro,Á.,true,60071929,40
true,1,https://api.elsevier.com/content/author/author_id/57354730000,57354730000,0000-0002-8460-6995,Suárez H.D.,Suárez,Hernán Darío,H.D.,true,60055696,41
true,2,https://api.elsevier.com/content/author/author_id/57215009282,57215009282,0000-0002-1710-9489,Robayo C.,Robayo,Camila,C.,true,60055696,41
true,3,https://api.elsevier.com/content/author/author_id/30767631700,30767631700,0000-0002-0035-260X,Marquínez X.,Marquínez,Xavier,X.,true,60055696,41
true,4,https://api.elsevier.com/content/author/author_id/17344677400,17344677400,0000-0002-3152-4726,Raz L.,Raz,Lauren,L.,true,60055696,41
true,1,https://api.elsevier.com/content/author/author_id/57194191661,57194191661,0000-0002-4801-8782,Elizalde V.,Elizalde,Violeta,V.,true,60033065,42
true,2,https://api.elsevier.com/content/author/author_id/57192940995,57192940995,0000-0002-2086-1073,García J.R.,García,José Rodolfo,J.R.,true,60033065,42
true,3,https://api.elsevier.com/content/author/author_id/56013664800,56013664800,0000-0003-3431-4828,Trejo C.,Trejo,Carlos,C.,true,60033065,42
true,4,https://api.elsevier.com/content/author/author_id/6603904263,6603904263,0000-0003-4245-0547,Peña-Valdivia C.B.,Peña-Valdivia,Cecilia Beatriz,C.B.,true,60033065,42
true,5,https://api.elsevier.com/content/author/author_id/57194192120,57194192120,0000-0002-9634-008X,Ybarra M.C.,Ybarra,Ma Carmen,M.C.,true,60010597,42
true,6,https://api.elsevier.com/content/author/author_id/25628519100,25628519100,0000-0002-6150-9367,Leyva O.R.,Leyva,Otto Raúl,O.R.,true,60007909,42
true,1,https://api.elsevier.com/content/author/author_id/57354891400,57354891400,0000-0002-7782-1339,Laidlaw K.,Laidlaw,Katra,K.,true,60028628,43
true,2,https://api.elsevier.com/content/author/author_id/8919611000,8919611000,0000-0002-4488-4237,Broadbent E.,Broadbent,Eben,E.,true,60013959,43
true,3,https://api.elsevier.com/content/author/author_id/19933624400,19933624400,0000-0001-7047-7101,Eby S.,Eby,Stephanie,S.,true,60028628,43
true,1,https://api.elsevier.com/content/author/author_id/57354729900,57354729900,0000-0001-7571-7952,Sánchez-Ferreira A.,Sánchez-Ferreira,Arantxa,A.,true,60064735,44
true,2,https://api.elsevier.com/content/author/author_id/26032331600,26032331600,0000-0003-1347-171X,Rincón-Barón E.J.,Rincón-Barón,Edgar Javier,E.J.,true,60106657,44
true,3,https://api.elsevier.com/content/author/author_id/36983219200,36983219200,0000-0001-6968-0719,Rueda-Solano L.A.,Rueda-Solano,Luis Alberto,L.A.,true,60064735,44
true,1,https://api.elsevier.com/content/author/author_id/57354250800,57354250800,0000-0002-6703-5959,Ortega-Arroyo E.J.,Ortega-Arroyo,Edgar Jesús,E.J.,true,60025417,45
true,2,https://api.elsevier.com/content/author/author_id/56013829200,56013829200,0000-0003-4684-1086,Jiménez-Pérez J.,Jiménez-Pérez,Javier,J.,true,60025417,45
true,3,https://api.elsevier.com/content/author/author_id/6506407293,6506407293,0000-0001-8211-1203,Villanueva-Díaz J.,Villanueva-Díaz,José,J.,true,60017983,45
true,4,https://api.elsevier.com/content/author/author_id/57353933500,57353933500,0000-0002-9216-7427,Yerena-Yamallel J.I.,Yerena-Yamallel,José Israel,J.I.,true,60025417,45
true,5,https://api.elsevier.com/content/author/author_id/56013636900,56013636900,0000-0001-6294-4275,Alanís-Rodríguez E.,Alanís-Rodríguez,Eduardo,E.,true,60025417,45
true,6,https://api.elsevier.com/content/author/author_id/56013895100,56013895100,0000-0001-5668-8869,Aguirre-Calderón O.A.,Aguirre-Calderón,Oscar Alberto,O.A.,true,60025417,45
true,1,https://api.elsevier.com/content/author/author_id/57190400494,57190400494,0000-0003-0545-6130,Zortéa K.É.M.,Zortéa,Kelli Évelin Müller,K.É.M.,true,60029442,46
true,2,https://api.elsevier.com/content/author/author_id/24465329300,24465329300,0000-0002-8318-5375,Rossi A.A.B.,Rossi,Ana Aparecida Bandini,A.A.B.,true,60029442,46
true,3,https://api.elsevier.com/content/author/author_id/57190404967,57190404967,0000-0001-9556-9491,Tiago A.V.,Tiago,Auana Vicente,A.V.,true,60029442,46
true,4,https://api.elsevier.com/content/author/author_id/57195306260,57195306260,0000-0001-9477-1743,Cardoso E.D.S.,Cardoso,Elisa Dos Santos,E.D.S.,true,60029442,46
true,5,https://api.elsevier.com/content/author/author_id/36997316600,36997316600,0000-0002-9484-1868,Pinto J.M.A.,Pinto,Joyce Mendes Andrade,J.M.A.,true,127195473,46
true,6,https://api.elsevier.com/content/author/author_id/16686514700,16686514700,0000-0003-0944-3898,Hoogerheide E.S.S.,Hoogerheide,Eulalia Soler Sobreira,E.S.S.,true,127195473,46
true,1,https://api.elsevier.com/content/author/author_id/26032331600,26032331600,0000-0003-1347-171X,Rincón-Barón E.J.,Rincón-Barón,Edgar Javier,E.J.,true,60106657,47
true,2,https://api.elsevier.com/content/author/author_id/57354561100,57354561100,0000-0003-2381-2936,Torres-Rodríguez G.A.,Torres-Rodríguez,Gerardo Andrés,G.A.,true,60051434,47
