@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,5,https://api.elsevier.com/content/author/author_id/57219386252,57219386252,Kunpratum N.,Kunpratum,Narisa,N.,true,60022498,9,NA
true,1,https://api.elsevier.com/content/author/author_id/55390270300,55390270300,Del Moral-Flores L.F.,Del Moral-Flores,Luis Fernando,L.F.,true,60005058,10,NA
true,2,https://api.elsevier.com/content/author/author_id/57193992624,57193992624,López-Segovia E.,López-Segovia,Eduardo,E.,true,60005058,10,NA
true,3,https://api.elsevier.com/content/author/author_id/57193995733,57193995733,Hernández-Arellano T.,Hernández-Arellano,Tao,T.,true,60005058,10,NA
true,1,https://api.elsevier.com/content/author/author_id/57194240417,57194240417,Rivera-Jiménez H.J.,Rivera-Jiménez,Hernando J.,H.J.,true,60109397,11,NA
true,2,https://api.elsevier.com/content/author/author_id/57192589112,57192589112,Rossini B.C.,Rossini,Bruno C.,B.C.,true,60006028,11,NA
true,3,https://api.elsevier.com/content/author/author_id/57219384501,57219384501,Humanez Alvarez A.D.C.,Humanez Alvarez,Alicia Del Carmen,A.D.C.,true,60091617,11,NA
true,4,https://api.elsevier.com/content/author/author_id/57191609928,57191609928,Silva S.R.,Silva,Saura R.,S.R.,true,60006028,11,NA
true,5,https://api.elsevier.com/content/author/author_id/57219389625,57219389625,Escobar J.Y.,Escobar,Juan Yepes,J.Y.,true,60109397,11,NA
true,6,https://api.elsevier.com/content/author/author_id/7102632303,7102632303,Marino C.L.,Marino,Celso L.,C.L.,true,60006028,11,NA
true,1,https://api.elsevier.com/content/author/author_id/55775697700,55775697700,Tamaris-Turizo C.E.,Tamaris-Turizo,Cesar E.,C.E.,true,60064735,12,NA
true,2,https://api.elsevier.com/content/author/author_id/57219574834,57219574834,Arrieta K.G.,Arrieta,Katty Gómez,K.G.,true,60064735,12,NA
true,3,https://api.elsevier.com/content/author/author_id/57219572091,57219572091,Pinilla-A. G.A.,Pinilla-A.,Gabriel A.,G.A.,true,60055696,12,NA
true,1,https://api.elsevier.com/content/author/author_id/57201151364,57201151364,Carrasco C.,Carrasco,Carlos,C.,true,60105109,13,NA
true,2,https://api.elsevier.com/content/author/author_id/57219566697,57219566697,Rayme C.,Rayme,Carolina,C.,true,60105109,13,NA
true,3,https://api.elsevier.com/content/author/author_id/57219562813,57219562813,Alarcón R.D.P.,Alarcón,Rosa Del Pilar,R.D.P.,true,60105109,13,NA
true,4,https://api.elsevier.com/content/author/author_id/57574539500,57574539500,Ayala Y.,Ayala,Yuri,Y.,true,60105109,13,NA
true,5,https://api.elsevier.com/content/author/author_id/57219571385,57219571385,Arana J.,Arana,Jerry,J.,true,60071232,13,NA
true,6,https://api.elsevier.com/content/author/author_id/57200211996,57200211996,Aponte H.,Aponte,Héctor,H.,true,60078122,13,NA
true,1,https://api.elsevier.com/content/author/author_id/23004350400,23004350400,Criales-Hernández M.I.,Criales-Hernández,María I.,M.I.,true,60057258,14,NA
true,2,https://api.elsevier.com/content/author/author_id/57219571315,57219571315,Sanchez-Lobo D.M.,Sanchez-Lobo,Diana M.,D.M.,true,60057258,14,NA
true,3,https://api.elsevier.com/content/author/author_id/57219573924,57219573924,Almeyda Osorio J.K.,Almeyda Osorio,Johanna K.,J.K.,true,60057258,14,NA
true,1,https://api.elsevier.com/content/author/author_id/55241401900,55241401900,Herrera F.,Herrera,Federico,F.,true,60071924,15,NA
true,2,https://api.elsevier.com/content/author/author_id/57219551133,57219551133,Solano-Ulate D.,Solano-Ulate,Darha,D.,true,60071929,15,NA
true,3,https://api.elsevier.com/content/author/author_id/8620873700,8620873700,Springer M.,Springer,Monika,M.,true,60071929,15,NA
true,1,https://api.elsevier.com/content/author/author_id/16678942200,16678942200,Pérez L.M.F.,Pérez,Lida Marcela Franco,L.M.F.,true,60105473,16,NA
true,2,https://api.elsevier.com/content/author/author_id/57219552256,57219552256,Hincapié-Usma P.A.,Hincapié-Usma,Pamela Andrea,P.A.,true,60040209,16,NA
true,3,https://api.elsevier.com/content/author/author_id/57203839596,57203839596,Restrepo C.A.,Restrepo,Carlos Andrés,C.A.,true,109526444,16,NA
true,4,https://api.elsevier.com/content/author/author_id/30367465400,30367465400,Balaguera-Reina S.A.,Balaguera-Reina,Sergio A.,S.A.,true,60105473,16,NA
true,5,https://api.elsevier.com/content/author/author_id/24474792200,24474792200,Guevara G.,Guevara,Giovany,G.,true,60056455,16,NA
true,1,https://api.elsevier.com/content/author/author_id/57218692055,57218692055,Quesada-Alvarado F.,Quesada-Alvarado,Francisco,F.,true,60071924,17,NA
true,2,https://api.elsevier.com/content/author/author_id/57219551133,57219551133,Solano-Ulate D.,Solano-Ulate,Darha,D.,true,60071929,17,NA
true,1,https://api.elsevier.com/content/author/author_id/55316082700,55316082700,Poi A.S.G.,Poi,Alicia S.G.,A.S.G.,true,60018064,18,NA
true,2,https://api.elsevier.com/content/author/author_id/6602624470,6602624470,Neiff J.J.,Neiff,Juan J.,J.J.,true,60018064,18,NA
true,3,https://api.elsevier.com/content/author/author_id/6504392224,6504392224,Casco S.L.,Casco,Sylvina L.,S.L.,true,60018064,18,NA
true,4,https://api.elsevier.com/content/author/author_id/56715373400,56715373400,Gallardo L.I.,Gallardo,Luciana I.,L.I.,true,60018064,18,NA
true,1,https://api.elsevier.com/content/author/author_id/7401735232,7401735232,Ramírez A.,Ramírez,Alonso,A.,true,60004923,19,NA
true,2,https://api.elsevier.com/content/author/author_id/43061329500,43061329500,Gutiérrez-Fonseca P.E.,Gutiérrez-Fonseca,Pablo E.,P.E.,true,60071929,19,NA
true,1,https://api.elsevier.com/content/author/author_id/57203634736,57203634736,Pedroza-Ramos A.,Pedroza-Ramos,Adriana,A.,true,60077378,20,NA
true,2,https://api.elsevier.com/content/author/author_id/55775697700,55775697700,Tamaris-Turizo C.E.,Tamaris-Turizo,Cesar E.,C.E.,true,60064735,20,NA
true,3,https://api.elsevier.com/content/author/author_id/57210070339,57210070339,Aranguren-Riaño N.,Aranguren-Riaño,Nelson,N.,true,60077378,20,NA
true,1,https://api.elsevier.com/content/author/author_id/42961514800,42961514800,Espinosa R.,Espinosa,Rodrigo,R.,true,60072063,21,NA
true,2,https://api.elsevier.com/content/author/author_id/36486160800,36486160800,Andino P.,Andino,Patricio,P.,true,60072063,21,NA
true,3,https://api.elsevier.com/content/author/author_id/55961312600,55961312600,Cauvy-Fraunié S.,Cauvy-Fraunié,Sophie,S.,true,60106335,21,NA
true,4,https://api.elsevier.com/content/author/author_id/57203081696,57203081696,Dangles O.,Dangles,Olivier,O.,true,60108488,21,NA
true,5,https://api.elsevier.com/content/author/author_id/7102148750,7102148750,Jacobsen D.,Jacobsen,Dean,D.,true,60030840,21,NA
true,6,https://api.elsevier.com/content/author/author_id/35078282700,35078282700,Crespo-Pérez V.,Crespo-Pérez,Verónica,V.,true,60072063,21,NA
true,1,https://api.elsevier.com/content/author/author_id/57219550942,57219550942,Rojas C.A.D.,Rojas,Camila Andrea Díaz,C.A.D.,true,60077378,22,NA
true,2,https://api.elsevier.com/content/author/author_id/55984537700,55984537700,Motta-Díaz Á.J.,Motta-Díaz,Ángela Judith,Á.J.,true,60077378,22,NA
true,3,https://api.elsevier.com/content/author/author_id/57210070339,57210070339,Aranguren-Riaño N.,Aranguren-Riaño,Nelson,N.,true,60077378,22,NA
true,1,https://api.elsevier.com/content/author/author_id/57201642624,57201642624,Ramos-Montaño C.,Ramos-Montaño,Carolina,C.,true,60077378,23,NA
true,1,https://api.elsevier.com/content/author/author_id/35200924600,35200924600,González Á.,González,Ángel,Á.,true,60004429,24,NA
true,2,https://api.elsevier.com/content/author/author_id/8613543300,8613543300,Márquez A.,Márquez,Arístide,A.,true,60025791,24,NA
true,1,https://api.elsevier.com/content/author/author_id/55913121400,55913121400,Ortiz-Curiel S.,Ortiz-Curiel,Simitrio,S.,true,60017983,25,NA
true,2,https://api.elsevier.com/content/author/author_id/56002765700,56002765700,López-Guillén G.,López-Guillén,Guillermo,G.,true,60017983,25,NA
true,3,https://api.elsevier.com/content/author/author_id/56000836200,56000836200,Avendaño-Arrazate C.H.,Avendaño-Arrazate,Carlos Hugo,C.H.,true,60017983,25,NA
true,4,https://api.elsevier.com/content/author/author_id/57218927237,57218927237,Martínez-Bolaños M.,Martínez-Bolaños,Misael,M.,true,60017983,25,NA
true,1,https://api.elsevier.com/content/author/author_id/6603820092,6603820092,Monge-Nájera J.,Monge-Nájera,Julián,J.,true,60113197,26,NA
true,2,https://api.elsevier.com/content/author/author_id/56012856700,56012856700,Mêgnigbêto E.,Mêgnigbêto,Eustache,E.,true,125110564,26,NA
true,3,https://api.elsevier.com/content/author/author_id/7402554934,7402554934,Ho Y.S.,Ho,Yuh Shan,Y.S.,true,60072429,26,NA
true,1,https://api.elsevier.com/content/author/author_id/56640817400,56640817400,Campos P.V.,Campos,Prímula Viana,P.V.,true,60013918,27,NA
true,2,https://api.elsevier.com/content/author/author_id/57062017500,57062017500,Villa P.M.,Villa,Pedro Manuel,P.M.,true,60013918,27,NA
true,3,https://api.elsevier.com/content/author/author_id/16022771900,16022771900,Schaefer C.E.G.R.,Schaefer,Carlos Ernesto Gonçalves Reynaud,C.E.G.R.,true,60013918,27,NA
true,4,https://api.elsevier.com/content/author/author_id/56950031700,56950031700,Nunes J.A.,Nunes,Jaquelina Alves,J.A.,true,60016011,27,NA
true,5,https://api.elsevier.com/content/author/author_id/7004484104,7004484104,Porembski S.,Porembski,Stefan,S.,true,60003615,27,NA
true,6,https://api.elsevier.com/content/author/author_id/14219591000,14219591000,Neri A.V.,Neri,Andreza Viana,A.V.,true,60013918,27,NA
true,1,https://api.elsevier.com/content/author/author_id/57218279643,57218279643,Osorio-Osorio J.A.,Osorio-Osorio,José Antonio,J.A.,true,60019607,28,NA
true,2,https://api.elsevier.com/content/author/author_id/57191072709,57191072709,Astudillo-Sánchez C.C.,Astudillo-Sánchez,Claudia C.,C.C.,true,60019607,28,NA
true,3,https://api.elsevier.com/content/author/author_id/6506407293,6506407293,Villanueva-Díaz J.,Villanueva-Díaz,José,J.,true,60017983,28,NA
true,4,https://api.elsevier.com/content/author/author_id/36640561600,36640561600,Soria-Díaz L.,Soria-Díaz,Leroy,L.,true,60019607,28,NA
true,5,https://api.elsevier.com/content/author/author_id/57218277547,57218277547,Vargas-Tristán V.,Vargas-Tristán,Virginia,V.,true,60019607,28,NA
true,1,https://api.elsevier.com/content/author/author_id/57201197335,57201197335,Hernández-Aguilar I.,Hernández-Aguilar,Itandehui,I.,true,60019176,29,NA
true,2,https://api.elsevier.com/content/author/author_id/6507314810,6507314810,Santos-Moreno A.,Santos-Moreno,Antonio,A.,true,60019176,29,NA
true,1,https://api.elsevier.com/content/author/author_id/57219228652,57219228652,Corredor-Londoño G.A.,Corredor-Londoño,Germán A.,G.A.,true,60172553,30,NA
true,2,https://api.elsevier.com/content/author/author_id/57463284900,57463284900,Beltrán J.W.,Beltrán,José William,J.W.,true,127752499,30,NA
true,3,https://api.elsevier.com/content/author/author_id/55986613700,55986613700,Torres-González A.M.,Torres-González,Alba Marina,A.M.,true,60066812,30,NA
true,4,https://api.elsevier.com/content/author/author_id/57189384593,57189384593,Sardi-Saavedra A.,Sardi-Saavedra,Antonella,A.,true,60066812,30,NA
true,1,https://api.elsevier.com/content/author/author_id/26032331600,26032331600,Barón E.J.R.,Barón,Edgar Javier Rincón,E.J.R.,true,60106657,31,NA
true,2,https://api.elsevier.com/content/author/author_id/57218383943,57218383943,Rodríguez A.M.G.,Rodríguez,Ana Mariany Gutiérrez,A.M.G.,true,60057258,31,NA
true,3,https://api.elsevier.com/content/author/author_id/57216085860,57216085860,Guerra B.E.,Guerra,Beatriz Elena,B.E.,true,60106657,31,NA
true,4,https://api.elsevier.com/content/author/author_id/24724314300,24724314300,Matías S.E.,Matías,Silvia Espinosa,S.E.,true,60032442,31,NA
true,1,https://api.elsevier.com/content/author/author_id/57207849414,57207849414,Córdoba-Ariza G.,Córdoba-Ariza,Gabriela,G.,true,60055696,32,NA
true,2,https://api.elsevier.com/content/author/author_id/57207841850,57207841850,Rincón-Palau K.,Rincón-Palau,Katterine,K.,true,60055696,32,NA
true,3,https://api.elsevier.com/content/author/author_id/57215581521,57215581521,Donato-R J.C.,Donato-R,Jhon Ch,J.C.,true,60055696,32,NA
true,4,https://api.elsevier.com/content/author/author_id/56497847500,56497847500,González-Trujillo J.D.,González-Trujillo,Juan David,J.D.,true,60055696,32,NA
true,1,https://api.elsevier.com/content/author/author_id/57200619089,57200619089,Ramos-Hernández E.,Ramos-Hernández,Eder,E.,true,60017983,33,NA
true,2,https://api.elsevier.com/content/author/author_id/7003755773,7003755773,Martínez-Sánchez J.L.,Martínez-Sánchez,José Luis,J.L.,true,60025378,33,NA
true,1,https://api.elsevier.com/content/author/author_id/36240426800,36240426800,Coronado-Rivera J.,Coronado-Rivera,James,J.,true,60257212,34,NA
true,2,https://api.elsevier.com/content/author/author_id/57215575954,57215575954,Valle M.S.D.,Valle,Marianela Solís Del,M.S.D.,true,60071929,34,NA
true,3,https://api.elsevier.com/content/author/author_id/24167678900,24167678900,Amador-Vargas S.,Amador-Vargas,Sabrina,S.,true,60030522,34,NA
true,1,https://api.elsevier.com/content/author/author_id/36717857400,36717857400,Lotta-Arévalo I.A.,Lotta-Arévalo,Ingrid A.,I.A.,true,60055696,35,NA
true,2,https://api.elsevier.com/content/author/author_id/16417734200,16417734200,Vargas-Ramírez M.,Vargas-Ramírez,Mario,M.,true,60055696,35,NA
true,3,https://api.elsevier.com/content/author/author_id/7801434167,7801434167,Nates-Parra G.,Nates-Parra,Guiomar,G.,true,60055696,35,NA
true,4,https://api.elsevier.com/content/author/author_id/6602696718,6602696718,Matta N.E.,Matta,Nubia E.,N.E.,true,60055696,35,NA
true,5,https://api.elsevier.com/content/author/author_id/57208211859,57208211859,Torres R.O.,Torres,Rodulfo Ospina,R.O.,true,60055696,35,NA
true,1,https://api.elsevier.com/content/author/author_id/53864863100,53864863100,Ávila D.D.,Ávila,Dennis Denis,D.D.,true,60046703,36,NA
true,2,https://api.elsevier.com/content/author/author_id/57215585836,57215585836,Ramírez-Arrieta V.M.,Ramírez-Arrieta,Victor Manuel,V.M.,true,60048914,36,NA
true,3,https://api.elsevier.com/content/author/author_id/57214994628,57214994628,Pérez-Lanyau R.D.,Pérez-Lanyau,Ramón David,R.D.,true,60046703,36,NA
true,1,https://api.elsevier.com/content/author/author_id/57215575465,57215575465,Feitosa F.S.,Feitosa,Francimário S.,F.S.,true,60018777,37,NA
true,2,https://api.elsevier.com/content/author/author_id/7004919326,7004919326,Rezende C.F.,Rezende,Carla F.,C.F.,true,60020457,37,NA
true,1,https://api.elsevier.com/content/author/author_id/6603274598,6603274598,Fernández-Álamo M.A.,Fernández-Álamo,Ma Ana,M.A.,true,60032442,38,NA
true,2,https://api.elsevier.com/content/author/author_id/57217180002,57217180002,Ramírez-Arriaga L.,Ramírez-Arriaga,Lidia,L.,true,60032442,38,NA
true,1,https://api.elsevier.com/content/author/author_id/7202699294,7202699294,Vargas J.A.,Vargas,José A.,J.A.,true,60071929,39,NA
true,2,https://api.elsevier.com/content/author/author_id/6507522066,6507522066,Ramírez A.R.,Ramírez,Ana R.,A.R.,true,60071929,39,NA
true,3,https://api.elsevier.com/content/author/author_id/57221207949,57221207949,Marín B.,Marín,Berny,B.,true,125582747,39,NA
true,4,https://api.elsevier.com/content/author/author_id/7404123747,7404123747,López M.I.,López,Myrna I.,M.I.,true,60071929,39,NA
true,5,https://api.elsevier.com/content/author/author_id/7403304576,7403304576,Wolff M.,Wolff,Matthias,M.,true,60072176,39,NA
true,1,https://api.elsevier.com/content/author/author_id/57218692055,57218692055,Quesada-Alvarado F.,Quesada-Alvarado,Francisco,F.,true,60071929,40,NA
true,2,https://api.elsevier.com/content/author/author_id/8676882700,8676882700,Villalobos G.U.,Villalobos,Gerardo Umaña,G.U.,true,60071929,40,NA
true,3,https://api.elsevier.com/content/author/author_id/8620873700,8620873700,Springer M.,Springer,Monika,M.,true,60071929,40,NA
true,4,https://api.elsevier.com/content/author/author_id/57188702645,57188702645,Barboza J.P.,Barboza,Jorge Picado,J.P.,true,60071919,40,NA
true,1,https://api.elsevier.com/content/author/author_id/57194798769,57194798769,Walteros J.M.,Walteros,Jeymmy M.,J.M.,true,60077377,41,NA
true,2,https://api.elsevier.com/content/author/author_id/7401735232,7401735232,Ramírez A.,Ramírez,Alonso,A.,true,60004923,41,NA
true,1,https://api.elsevier.com/content/author/author_id/55110183500,55110183500,Góngora-Gómez A.M.,Góngora-Gómez,Andrés M.,A.M.,true,60019176,42,NA
true,2,https://api.elsevier.com/content/author/author_id/57219380528,57219380528,Pinzón-Zúñiga M.,Pinzón-Zúñiga,Misael,M.,true,120662229,42,NA
true,3,https://api.elsevier.com/content/author/author_id/56835740400,56835740400,Hernández-Sepúlveda J.A.,Hernández-Sepúlveda,Juan A.,J.A.,true,60019176,42,NA
true,6,https://api.elsevier.com/content/author/author_id/57197724176,57197724176,García-Ulloa M.,García-Ulloa,Manuel,M.,true,60019176,42,NA
true,5,https://api.elsevier.com/content/author/author_id/57193751438,57193751438,Villanueva-Fonseca B.P.,Villanueva-Fonseca,Brenda P.,B.P.,true,120662229,42,NA
true,6,https://api.elsevier.com/content/author/author_id/57197724176,57197724176,García-Ulloa M.,García-Ulloa,Manuel,M.,true,60019176,42,NA
true,1,https://api.elsevier.com/content/author/author_id/6603011897,6603011897,Barrientos Z.,Barrientos,Zaidett,Z.,true,60113197,43,NA
true,1,https://api.elsevier.com/content/author/author_id/57219395954,57219395954,Alvarado-Chacon E.M.,Alvarado-Chacon,Elvira M.,E.M.,true,60070356,44,NA
true,2,https://api.elsevier.com/content/author/author_id/57193121304,57193121304,Gómez-Lemos L.A.,Gómez-Lemos,Luis A.,L.A.,true,60064735,44,NA
true,3,https://api.elsevier.com/content/author/author_id/57219390000,57219390000,Sierra-Sabalza N.P.,Sierra-Sabalza,Nireth P.,N.P.,true,60070356,44,NA
true,4,https://api.elsevier.com/content/author/author_id/35766187700,35766187700,Hernández-Chamorro A.M.,Hernández-Chamorro,Ana M.,A.M.,true,60070356,44,NA
true,5,https://api.elsevier.com/content/author/author_id/57219381312,57219381312,Lozano-Peña J.P.,Lozano-Peña,Juan P.,J.P.,true,60070356,44,NA
true,6,https://api.elsevier.com/content/author/author_id/57219383148,57219383148,Valcárcel-Castellanos C.A.,Valcárcel-Castellanos,Camilo A.,C.A.,true,113099895,44,NA
true,7,https://api.elsevier.com/content/author/author_id/12545327500,12545327500,Pizarro V.,Pizarro,Valeria,V.,true,125208272,44,NA
true,8,https://api.elsevier.com/content/author/author_id/56610372600,56610372600,García-Urueña R.,García-Urueña,Rocío,R.,true,60064735,44,NA
true,9,https://api.elsevier.com/content/author/author_id/57219381331,57219381331,Zárate-Arévalo J.C.,Zárate-Arévalo,Juan C.,J.C.,true,125209590,44,NA
true,10,https://api.elsevier.com/content/author/author_id/57219394531,57219394531,Rojas J.A.,Rojas,Jaime A.,J.A.,true,125209590,44,NA
true,1,https://api.elsevier.com/content/author/author_id/57219388057,57219388057,Topete-Corona C.,Topete-Corona,Citlally,C.,true,60008943,45,NA
true,2,https://api.elsevier.com/content/author/author_id/6505479806,6505479806,Cuevas-Guzmán R.,Cuevas-Guzmán,Ramón,R.,true,60008943,45,NA
true,3,https://api.elsevier.com/content/author/author_id/54881040900,54881040900,Sánchez-Rodríguez E.V.,Sánchez-Rodríguez,Enrique V.,E.V.,true,60008943,45,NA
true,4,https://api.elsevier.com/content/author/author_id/55956576400,55956576400,Moreno-Hernández A.,Moreno-Hernández,Arturo,A.,true,60008943,45,NA
true,5,https://api.elsevier.com/content/author/author_id/55359490800,55359490800,Morales-Arias J.G.,Morales-Arias,José Guadalupe,J.G.,true,60008943,45,NA
true,6,https://api.elsevier.com/content/author/author_id/24475164600,24475164600,Núñez-López N.M.,Núñez-López,Nora M.,N.M.,true,60008943,45,NA
true,1,https://api.elsevier.com/content/author/author_id/57219384263,57219384263,Espitia E.J.R.,Espitia,Edith Juliana Ramírez,E.J.R.,true,60091618,46,NA
true,2,https://api.elsevier.com/content/author/author_id/6603920752,6603920752,Giraldo H.H.,Giraldo,Hernán Hurtado,H.H.,true,60106657,46,NA
true,3,https://api.elsevier.com/content/author/author_id/35071893900,35071893900,Ramírez E.G.,Ramírez,Edwin Gómez,E.G.,true,60091618,46,NA
true,1,https://api.elsevier.com/content/author/author_id/7003652059,7003652059,Velásquez C.,Velásquez,Carlos,C.,true,60010652,47,NA
true,2,https://api.elsevier.com/content/author/author_id/57207305791,57207305791,Henríquez-Antipa L.,Henríquez-Antipa,Luis,L.,true,60010652,47,NA
true,3,https://api.elsevier.com/content/author/author_id/57219389137,57219389137,Torres-Avilés D.,Torres-Avilés,Denisse,D.,true,60010652,47,NA
true,4,https://api.elsevier.com/content/author/author_id/57219381253,57219381253,Wilson Á.E.,Wilson,Álvaro E.,Á.E.,true,60010652,47,NA
true,5,https://api.elsevier.com/content/author/author_id/57219385119,57219385119,Alanís Y.,Alanís,Yeriko,Y.,true,60010652,47,NA
true,6,https://api.elsevier.com/content/author/author_id/8709889900,8709889900,Cárcamo F.,Cárcamo,Francisco,F.,true,60010652,47,NA
true,1,https://api.elsevier.com/content/author/author_id/57195943047,57195943047,Bari I.N.,Bari,Ichsan Nurul,I.N.,true,60069388,48,NA
true,2,https://api.elsevier.com/content/author/author_id/55375900600,55375900600,Herawati N.,Herawati,Nur’Aini,N.,true,100425441,48,NA
true,3,https://api.elsevier.com/content/author/author_id/57219382748,57219382748,Medina Suherman B.,Medina Suherman,Bunga,B.,true,60069388,48,NA
true,4,https://api.elsevier.com/content/author/author_id/57219385720,57219385720,Subakti Putri S.N.,Subakti Putri,Syifa Nabilah,S.N.,true,60069388,48,NA
true,1,https://api.elsevier.com/content/author/author_id/57219385611,57219385611,Hernández-Silva N.,Hernández-Silva,Néstor,N.,true,60019176,49,NA
true,2,https://api.elsevier.com/content/author/author_id/57188694535,57188694535,Hernández-Ruiz J.,Hernández-Ruiz,Jesús,J.,true,60033291,49,NA
true,3,https://api.elsevier.com/content/author/author_id/57219396230,57219396230,Socorro Gonzalez-Elizondo M.,Socorro Gonzalez-Elizondo,M.,M.,true,60019176,49,NA
true,4,https://api.elsevier.com/content/author/author_id/24398995900,24398995900,Figueroa-Brito R.,Figueroa-Brito,Rodolfo,R.,true,60019176,49,NA
true,5,https://api.elsevier.com/content/author/author_id/56013570300,56013570300,Villa-Ruano N.,Villa-Ruano,Nemesio,N.,true,60024830,49,NA
